[00:00:22.515 --> 00:00:27.700]  Hi, I'm Gigi Ornette on your InfoWars Nightly News this August 7th, 2013.
[00:00:28.080 --> 00:00:30.583]  It's a Wednesday night and boy do we have a lot of news.
[00:00:32.765 --> 00:00:37.949]  Tonight, Homeland Security is criticized over its sexy spy app.
[00:00:39.130 --> 00:00:40.492]  And Obama says the U.S.
[00:00:40.512 --> 00:00:43.014]  does not have a domestic spy program.
[00:00:43.875 --> 00:00:46.297]  All that and... Come and take it, mother...
[00:00:51.850 --> 00:00:52.551]  Oh, Wars.
[00:00:52.611 --> 00:00:53.151]  Nightly News.
[00:00:54.412 --> 00:00:55.253]  You're failures!
[00:00:55.473 --> 00:01:01.618]  And now you want to waddle around the piles of crap you are and tell me how to run my life while you siphon everything off of me!
[00:01:02.335 --> 00:01:06.058]  Homeland Security is being criticized for a sexy spy ad.
[00:01:06.619 --> 00:01:11.443]  They're doing a campaign right now with a lady holding a cell phone, and it's a bit sexy.
[00:01:11.603 --> 00:01:16.708]  It's, uh, see something, say something, but we're not sure quite what it is we're looking for.
[00:01:17.208 --> 00:01:26.216]  Their campaign has a woman in a low-cut top, prompting jibes that the federal agency is trying to sex up the task of encouraging Americans to spy on each other.
[00:01:26.957 --> 00:01:50.645]  Now, their campaigns usually have behaviors that seem routine, such as DHS promotional videos for the See Something Say Something campaign have portrayed routine behavior as suspicious, including opposing surveillance, paying for a hotel room with cash, using a video camera, talking to police officers, wearing hoodies, driving vans, writing on a piece of paper.
[00:01:51.465 --> 00:01:53.627]  And using a cell phone recording application.
[00:01:54.147 --> 00:02:00.372]  Obama appeared on the Jay Leno Show last night and he told them that the United States doesn't have a spy program.
[00:02:00.452 --> 00:02:08.478]  The president says that the odds of dying in a terrorist attack are a lot lower than they are of dying in a car accident.
[00:02:09.218 --> 00:02:09.979]  Unfortunately.
[00:02:10.549 --> 00:02:16.770]  President Obama has sent John McCain to Cairo to help solve the political problems that brought the Egyptian government to a halt.
[00:02:17.250 --> 00:02:17.670]  I got an idea.
[00:02:17.690 --> 00:02:19.791]  How about solving the problems that brought our government to a halt?
[00:02:19.951 --> 00:02:21.231]  Why don't we start with that one first?
[00:02:21.271 --> 00:02:27.672]  There have been times where they slip back into Cold War thinking and a Cold War mentality.
[00:02:27.932 --> 00:02:29.232]  I had the programs reviewed.
[00:02:29.892 --> 00:02:39.114]  We put in some additional safeguards to make sure that there's federal court oversight as well as congressional oversight, that there is no spying on Americans.
[00:02:39.736 --> 00:02:41.539]  Oh, and the lying continues.
[00:02:42.440 --> 00:02:48.829]  CNN reports a study on mental illness, not combat, causes soldiers suicide.
[00:02:49.209 --> 00:02:54.817]  What they're saying is that mental illness, not combat, causes soldiers to commit suicide.
[00:02:55.788 --> 00:02:58.929]  Okay, so they're disclaiming PTSD altogether.
