[00:00:00.009 --> 00:00:01.718]  Alex Jones Broadcasting Network.
[00:00:16.363 --> 00:00:17.004]  Big Brother.
[00:00:17.684 --> 00:00:18.706]  Mainstream media.
[00:00:19.446 --> 00:00:20.548]  Government cover-ups.
[00:00:21.208 --> 00:00:22.009]  You want answers?
[00:00:22.790 --> 00:00:23.671]  Well, so does he.
[00:00:24.332 --> 00:00:27.935]  He's Alex Jones on the GCN Radio Network.
[00:00:28.536 --> 00:00:32.600]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.355 --> 00:00:47.322]  To fix Obamacare, Congress will have to stand down and allow Obama to operate outside of the courts, outside of law, outside of Congress.
[00:00:48.083 --> 00:00:50.725]  And of course, this is the big test now, because the Republican leadership
[00:00:51.636 --> 00:00:55.177]  You know, helped write this with foreign banks, so they wanted to go through.
[00:00:55.217 --> 00:00:55.958]  That's their orders.
[00:00:56.658 --> 00:01:02.960]  And so now, Obama will be like, hey, let me do what I want outside of law, and I'll give you the free health care.
[00:01:02.980 --> 00:01:04.581]  And then of course, you'll let him be dictator.
[00:01:05.021 --> 00:01:09.523]  It'll get even worse, as I keep telling you, for years and months, specifically.
[00:01:10.563 --> 00:01:12.324]  And then it'll just get worse and worse and worse.
[00:01:12.404 --> 00:01:17.366]  It's kind of like if you stuck your arm in something and something bit your finger off, you wouldn't stick your arm back in there.
[00:01:17.906 --> 00:01:19.987]  So you stick your arm in the Obamacare hole,
[00:01:21.411 --> 00:01:24.113]  And you pull it out and three fingers have been chewed off.
[00:01:25.114 --> 00:01:27.856]  And then you hear a voice going, I love you, stick your hand back in.
[00:01:28.797 --> 00:01:31.679]  I'll give you a bag of gold if you stick your hand back in.
[00:01:31.699 --> 00:01:33.241]  You know, come to healthcare.gov.
[00:01:33.821 --> 00:01:34.622]  Oh, I love you.
[00:01:34.642 --> 00:01:35.142]  I love you.
[00:01:35.162 --> 00:01:35.583]  I love you.
[00:01:35.603 --> 00:01:37.464]  And you go, well, it sounds sweet.
[00:01:37.504 --> 00:01:44.330]  You know, it sounds like Harry Lennox, who now has gone public to media and
[00:01:47.133 --> 00:01:49.876]  Chicago, that he actually for years was there and trained Obama.
[00:01:50.236 --> 00:01:54.200]  And then you watch and listen to Lennox, and you go back to videos of him years ago, he's Obama!
[00:01:54.840 --> 00:02:02.288]  He's the guy, he's the American, he's the smooth-talking guy, the Shakespearean actor, who trained Obozo.
[00:02:03.799 --> 00:02:04.980]  I mean, we know Obama.
[00:02:05.020 --> 00:02:07.262]  I shouldn't call him a bozo, but I like to denigrate their puppets.
[00:02:07.282 --> 00:02:14.387]  He's actually a viciously successful puppet who savagely stabbed America in the back a thousand times and we're bleeding out right now.
[00:02:14.427 --> 00:02:19.511]  So he's actually the Great Destroyer, the most successful New World Order agent ever against the Republic.
[00:02:20.131 --> 00:02:29.357]  Benedict Arnold rolls in his grave with jealousy, flopping end over end, foaming at the mouth with just absolute rapine.
[00:02:30.518 --> 00:02:33.160]  Let's get into some of the Obozo care news.
[00:02:33.500 --> 00:02:36.782]  They're now reporting that the fix could make it worse.
[00:02:36.822 --> 00:02:38.243]  That's what McClatchy's saying, of course.
[00:02:38.904 --> 00:02:39.884]  Always going to make it worse.
[00:02:40.165 --> 00:02:40.885]  That's the plan.
[00:02:42.586 --> 00:02:48.010]  More Navigators exposed in new video with the Veritas Project.
[00:02:49.305 --> 00:02:57.170]  Where they're telling them to engage in fraud, and cheat everyone, and lie on everything, and commit felonies, and that they work for the Democratic Party, and that they're going to take over the country.
[00:02:57.911 --> 00:03:01.413]  And no mainstream media is picking that up, because again, this is the age of total criminality.
[00:03:02.554 --> 00:03:07.257]  GOP warns of constitutional crisis, but they're controlled at the top, so don't expect anything.
[00:03:08.317 --> 00:03:11.619]  A Democratic representative says they haven't seen this much panic since 9-11.
[00:03:12.380 --> 00:03:13.561]  Now that was a staged event too.
[00:03:14.901 --> 00:03:18.264]  And the New York Times says there's a crisis in confidence in Obozo.
[00:03:18.284 --> 00:03:20.446]  Well, it doesn't matter, he's not facing re-election.
[00:03:20.847 --> 00:03:24.850]  So he's designed the abomination, the O-Vomit.
[00:03:26.131 --> 00:03:29.254]  That's the best name, because they're vomiting out their hatred on us with Obama.
[00:03:31.036 --> 00:03:33.858]  Like boiling oil dumped off a castle wall on our heads.
[00:03:36.616 --> 00:03:38.176]  We're saying it's a crisis in confidence.
[00:03:38.437 --> 00:03:46.279]  And then that will run everyone to the self-propelled Baron Harkinen, Jabba the Hutt's illegitimate son, the governor of New Jersey.
[00:03:47.079 --> 00:03:50.860]  That will run everyone to him and his suspenser belts.
[00:03:52.020 --> 00:04:03.964]  And then, of course, he'll come in and double down the savagery and all the neocon talk show hustle, defend him and say you're liberal if you don't like him and that I'm a commie because I don't like Christie.
[00:04:05.501 --> 00:04:06.281]  All the rest of it.
[00:04:06.321 --> 00:04:08.082]  I mean, this is how they operate.
[00:04:08.182 --> 00:04:09.483]  This is how the game works.
[00:04:09.943 --> 00:04:15.545]  And if America puts up with this again, I know there's electronic voting machines and a lot of fraud, but it doesn't matter.
[00:04:15.585 --> 00:04:31.132]  We should be out in the streets by the millions, demanding the resignation of the abomination, Vomitus Maximus, Ludus Brutus, Turtus,
[00:04:32.694 --> 00:04:41.456]  I mean, I'm trying to come up with names in Latin here, a little bit of pig Latin here, to describe what they're doing to us, ladies and gentlemen.
[00:04:42.455 --> 00:04:45.836]  But, uh, I gotta have some gallows humor sometimes.
[00:04:45.856 --> 00:04:47.196]  I'm having really trouble dealing with this.
[00:04:47.816 --> 00:04:52.977]  Uh, just watching the total criminal takeover and them dancing around on the grave of America, shutting everything down.
[00:04:53.317 --> 00:04:55.518]  Restaurants I used to go to are shut down or half empty.
[00:04:55.798 --> 00:04:56.858]  Movie theaters are empty.
[00:04:56.878 --> 00:04:58.158]  Autonomy's imploding.
[00:04:58.198 --> 00:05:07.420]  I live in the best city in the country and I can see the rot setting in everywhere while globalists fly around above me going to the F1 race this weekend that taxpayers paid for.
[00:05:07.440 --> 00:05:10.701]  These billionaires suck me dry, giggling at me.
[00:05:11.491 --> 00:05:16.076]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:05:16.236 --> 00:05:19.200]  Why do we have the highest cancer rates on the planet?
[00:05:19.340 --> 00:05:24.586]  The highest rates of diabetes, autism, and every other major disease.
[00:05:24.906 --> 00:05:26.568]  It all comes down to one thing.
[00:05:26.848 --> 00:05:28.169]  We are what we eat.
[00:05:28.490 --> 00:05:30.392]  Our food is devoid of nutrition.
[00:05:30.552 --> 00:05:31.453]  We're good to go.
[00:05:49.096 --> 00:05:56.022]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:05:56.162 --> 00:06:01.987]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:06:02.227 --> 00:06:08.172]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:06:08.413 --> 00:06:10.895]  And get free shipping when you sign up for AutoShip.
[00:06:11.395 --> 00:06:13.035]  Introducing Pro-1.
[00:06:13.296 --> 00:06:16.796]  All of your filtration in one system, portable, on-the-go.
[00:06:16.936 --> 00:06:21.338]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:21.518 --> 00:06:27.459]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid.
[00:06:27.599 --> 00:06:38.362]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:06:38.582 --> 00:06:44.885]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:06:45.066 --> 00:07:02.054]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:07:02.375 --> 00:07:06.497]  Get your Pro-Pure with the new Pro-1 filters today at InfoWarsTore.com.
[00:07:07.358 --> 00:07:13.924]  Alex Jones here with a message to fellow freedom lovers.
[00:07:14.204 --> 00:07:19.049]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:07:19.229 --> 00:07:26.396]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:07:26.516 --> 00:07:31.939]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:07:32.159 --> 00:07:35.861]  These are items that I did research on, that I personally use.
[00:07:36.181 --> 00:07:40.723]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:07:40.904 --> 00:07:46.146]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:07:46.386 --> 00:07:49.428]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:07:49.608 --> 00:07:51.850]  When Disaster Strikes by Matthew Stein.
[00:07:52.111 --> 00:07:56.695]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:07:56.876 --> 00:07:59.338]  Hand crank shortwave AM FM radios.
[00:07:59.759 --> 00:08:06.806]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:08:06.966 --> 00:08:08.007]  We're getting prepared.
[00:08:08.247 --> 00:08:08.668]  Are you?
[00:08:08.908 --> 00:08:09.689]  Infowarshop.com
[00:08:16.451 --> 00:08:17.092]  Big Brother.
[00:08:17.753 --> 00:08:18.774]  Mainstream media.
