[00:00:04.904 --> 00:00:06.105]  They fled from tyranny.
[00:00:06.505 --> 00:00:08.666]  Your oppressions planted them in America.
[00:00:09.247 --> 00:00:19.412]  And yet, actuated by principles of true English liberty, they met all hardships with pleasure compared with those they suffered in their own country from the hands of those that should have been their friends.
[00:00:19.833 --> 00:00:25.336]  Men whose behavior on many occasions has caused the blood of those sons of liberty to recoil within them.
[00:00:25.756 --> 00:00:30.359]  I know not what costs others, but as for me, give me liberty, or give me death.
[00:00:31.059 --> 00:00:31.539]  Believe me.
[00:00:32.060 --> 00:00:34.001]  Remember, I this day told you so.
[00:00:34.381 --> 00:00:39.103]  That same spirit of freedom, which actuated that people at first, will accompany them still.
[00:00:39.463 --> 00:00:45.506]  But a people, jealous of their liberties, and who will vindicate them, if ever they should be violated.
[00:00:46.127 --> 00:00:46.967]  Sons of Liberty!
[00:00:47.407 --> 00:00:48.468]  Sons of Liberty!
[00:00:48.948 --> 00:00:49.929]  Sons of Liberty!
[00:00:49.989 --> 00:00:50.249]  Liberty!
[00:00:50.989 --> 00:00:58.793]  Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery?
[00:00:59.233 --> 00:01:00.474]  Forbid it, Almighty God!
[00:01:04.636 --> 00:01:07.479]  It appears as though something has happened in the motorcade group.
[00:01:07.539 --> 00:01:10.521]  Something, I repeat, has happened in the motorcade group.
[00:01:11.382 --> 00:01:14.284]  Who controls the past, controls the future.
[00:01:14.745 --> 00:01:18.108]  Who controls the present, controls the past.
[00:01:18.228 --> 00:01:23.653]  Betha Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:01:23.973 --> 00:01:26.035]  All you gotta do is start looking around.
[00:01:26.395 --> 00:01:28.017]  Start thinking for yourself.
[00:01:28.277 --> 00:01:29.878]  Start investigating things.
[00:01:30.259 --> 00:01:31.700]  And you will see it all.
[00:01:32.200 --> 00:01:33.681]  Right there.
[00:01:34.301 --> 00:01:35.722]  So you have the power.
[00:01:36.063 --> 00:01:37.623]  Humanity has the power.
[00:01:38.064 --> 00:01:39.184]  We have the power.
[00:01:39.325 --> 00:01:40.165]  You wanna fight?
[00:01:40.425 --> 00:01:42.586]  You better believe you got one!
[00:01:43.847 --> 00:01:47.890]  Let us never tolerate outrageous conspiracy theories.
[00:01:59.372 --> 00:02:00.693]  The answer to 1984 is 1776.
[00:02:00.753 --> 00:02:02.814]  Welcome to the Infowars Nightly News.
[00:02:02.834 --> 00:02:05.616]  It's Tuesday, March 19th, 2013.
[00:02:05.656 --> 00:02:08.679]  I'm David Knight, and here are our top stories.
[00:02:16.914 --> 00:02:29.803]  Tonight, the symbolism is strong as a wave of bombs tear through Iraq, killing 65 people on the eve of the 10th anniversary of the U.S.-led invasion.
[00:02:30.323 --> 00:02:32.805]  Then, the lie that got us in.
[00:02:33.285 --> 00:02:38.289]  The Bush administration knew there were no WMDs in Iraq.
[00:02:39.089 --> 00:02:52.177]  Plus, a congressman is asking Big Sis to explain the huge ammo purchases by the DHS, and millions of Chase Bank customers see their bank balances reduced to zero.
[00:02:52.597 --> 00:02:56.260]  That's coming up next on the InfoWars Nightly News.
[00:03:00.522 --> 00:03:06.706]  Well, it's been a decade since the United States invaded Iraq under the false pretenses of them having weapons of mass destruction.
[00:03:07.435 --> 00:03:22.308]  And today, the AP reported on USA Today, that a wave of bombings tore through Iraq on Tuesday, killing 65 people on the eve of the 10th anniversary of the U.S.-led invasion, and showing how unstable Iraq remains more than a year after the withdrawal of American troops.
[00:03:22.328 --> 00:03:24.310]  And they're talking about that instability.
[00:03:24.350 --> 00:03:26.672]  They say instead of a solidly pro-U.S.
[00:03:26.772 --> 00:03:34.078]  regime, the Iraqis now have a Shiite-led government that is arguably closer to Tehran than to Washington.
[00:03:35.114 --> 00:03:39.657]  So, what kind of results have we gotten after 10 years of effort in Iraq?
[00:03:39.957 --> 00:03:41.098]  What have we really accomplished?
[00:03:41.118 --> 00:03:45.701]  Well, there's a civil war going on between two Muslim factions, the Sunnis and the Shiites.
[00:03:46.262 --> 00:03:52.786]  And the Shiites are actually the allies of the people that we're told now are our greatest enemies, Iran.
[00:03:53.887 --> 00:03:56.328]  And those are the Shiites that we put in control.
[00:03:56.348 --> 00:03:59.210]  And what did it cost us to get these kinds of results?
[00:03:59.831 --> 00:04:02.853]  Well, in terms of lives, it cost over 4,500 American soldiers lives
[00:04:05.831 --> 00:04:07.974]  Over 32,000 were wounded.
[00:04:08.634 --> 00:04:09.936]  That's officially the account.
[00:04:09.976 --> 00:04:11.698]  The unofficial count goes to over 100,000.
[00:04:13.159 --> 00:04:19.006]  Over 100,000 Iraqis were killed, and the official, unofficial counts put that as 190,000.
[00:04:19.046 --> 00:04:19.967]  And monetary cost, 2.2 trillion dollars.
[00:04:26.681 --> 00:04:30.484]  Now, we were originally told that that was going to only be about 50 to 60 billion.
[00:04:30.645 --> 00:04:31.305]  I say only.
[00:04:31.485 --> 00:04:34.848]  That's small, only if you're talking in terms of Pentagon type of numbers.
[00:04:35.289 --> 00:04:39.072]  But it was actually 44 times higher than what we were told.
[00:04:39.692 --> 00:04:51.663]  And it's kind of interesting to note that as we were pulling out a couple of years ago, the press reported that nearly $300 million worth of equipment and supplies were left behind.
[00:04:52.330 --> 00:04:59.332]  And at the time, the Pentagon said, well, it would have cost us nearly twice that much to bring it back to America, to transport it back to America.
[00:05:00.032 --> 00:05:12.955]  Well, that's interesting because just within the last couple of weeks, we've seen that over 2,700 APC, Armored Personnel Carriers, have been repurposed for use in America from these foreign wars abroad.
[00:05:14.075 --> 00:05:20.437]  Now, here's what we were told 10 years ago by Colin Powell in an effort to justify the invasion of Iraq.
[00:05:21.488 --> 00:05:32.434]  But how much longer are we willing to put up with Iraq's non-compliance before we as a Council, we as the United Nations say, enough!
[00:05:33.395 --> 00:05:33.675]  Enough!
[00:05:36.236 --> 00:05:44.201]  The gravity of this moment is matched by the gravity of the threat that Iraq's weapons of mass destruction pose to the world.
[00:05:45.182 --> 00:05:51.145]  One of the most worrisome things that emerges from the thick intelligence file we have on Iraq's biological weapons
[00:05:52.023 --> 00:05:57.067]  Is the existence of mobile production facilities used to make biological agents.
[00:05:57.807 --> 00:06:04.652]  Let me take you inside that intelligence file and share with you what we know from eyewitness accounts.
[00:06:05.433 --> 00:06:11.577]  We have first-hand descriptions of biological weapons factories on wheels and on rails.
[00:06:11.978 --> 00:06:13.799]  The regime is seeking a nuclear bomb.
[00:06:14.099 --> 00:06:17.402]  It concludes that Iraq has chemical and biological weapons.
[00:06:18.803 --> 00:06:20.967]  That Saddam has continued to produce them.
[00:06:21.307 --> 00:06:22.389]  Weapons of mass destruction.
[00:06:22.449 --> 00:06:23.711]  Weapons of mass destruction.
[00:06:24.052 --> 00:06:25.374]  Weapons of mass death.
[00:06:25.474 --> 00:06:26.296]  But we now know...
[00:06:27.652 --> 00:06:31.314]  Saddam has resumed his efforts to acquire nuclear weapons.
