[00:00:00.170 --> 00:00:00.613]  Network.
[00:00:14.113 --> 00:00:14.734]  Big Brother.
[00:00:15.414 --> 00:00:16.435]  Mainstream media.
[00:00:17.176 --> 00:00:18.277]  Government cover-ups.
[00:00:18.938 --> 00:00:19.739]  You want answers?
[00:00:20.520 --> 00:00:21.401]  Well, so does he.
[00:00:22.061 --> 00:00:25.665]  He's Alex Jones on the GCN Radio Network.
[00:00:26.266 --> 00:00:30.330]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.836 --> 00:00:40.537]  I wasn't going to start the broadcast with this, but it just popped into my head, a realization.
[00:00:40.557 --> 00:00:44.199]  I mean, I realize it all the time, but it really hit me how important it is.
[00:00:44.219 --> 00:00:47.399]  Why do you think they're going after Rand Paul?
[00:00:47.540 --> 00:00:56.282]  He's introduced legislation to where members of the House and Senate, members of the Congress, will have to be under whatever laws they put on the American people.
[00:00:57.723 --> 00:01:05.205]  In almost every case, as you know, it's very common knowledge, Congress, but they also do this over in Europe, any socialist regime does it,
[00:01:06.371 --> 00:01:07.772]  Any authoritarian regime does it.
[00:01:08.773 --> 00:01:19.922]  Look at the book by Orwell, Animal Farm, where first they say, four legs good, two legs bad, and by the end of it, the pigs, who are representing the tyrants, the humans, they start out fighting them.
[00:01:20.422 --> 00:01:26.447]  They've now taken over the house, and they're now saying, actually, two legs good, four legs bad.
[00:01:27.047 --> 00:01:30.930]  Yet again, the reverse of what they claimed the whole revolution had been about.
[00:01:31.390 --> 00:01:34.473]  Meet the new boss, same as the old boss, as the who say.
[00:01:36.121 --> 00:01:54.247]  So, we love to get fooled again and again and again and again, but it just hit me that until we... I was thinking about how they've got over 50% of the public now on some form of welfare or government assistance, and why that's game over for any society.
[00:01:55.438 --> 00:01:59.219]  They will always end up collapsing, and I've got a bunch of news showing that today around the world.
[00:01:59.899 --> 00:02:13.402]  But that the globalists have set it up to where they collapse all the rest of the economies they don't control, to consolidate it, and then exempt themselves from everything they're doing to everyone else.
[00:02:13.462 --> 00:02:20.724]  Because the elites aren't going to let them go to 100% taxation on the middle class, like France has done to bankrupt everybody.
[00:02:22.228 --> 00:02:26.571]  Unless they're exempt and outside of it, just like the Socialists have been caught.
[00:02:27.031 --> 00:02:32.134]  Entire leadership with multi-billions of euros this year in foreign bank accounts.
