[00:00:00.429 --> 00:00:06.351]  Waging war on corruption.
[00:00:06.791 --> 00:00:09.271]  Alex Jones on the GCN Radio Network.
[00:00:17.413 --> 00:00:28.296]  We now take you live to the Central Texas Command Center in the heart of the resistance rallying patriots worldwide
[00:00:32.499 --> 00:00:35.155]  You're listening to The Alex Jones Show.
[00:01:03.359 --> 00:01:04.901]  Best part of the song right here.
[00:01:05.502 --> 00:01:07.485]  Stand up and be counted!
[00:01:10.589 --> 00:01:12.532]  For what you are about to receive.
[00:01:14.972 --> 00:01:18.813]  Ladies and gentlemen, thank you for joining us on this 15th day of December, 2013.
[00:01:21.053 --> 00:01:34.335]  Oh yes, the year is very old, has a big long white beard, as we prepare to go out with the old, in with the new, 2014, ladies and gentlemen.
[00:01:35.135 --> 00:01:41.677]  And as Matt Drudge said about a year ago on his Twitter feed, 2014 is everything.
[00:01:42.097 --> 00:01:43.777]  And I already knew that,
[00:01:44.727 --> 00:01:58.513]  And I thought about that, but in the last year, I think about that tweet almost every day, because I realize that 2014, to a great extent, will probably be the most important year in our lifetimes.
[00:01:59.553 --> 00:02:01.854]  Not just for this country, but every other nation.
[00:02:02.454 --> 00:02:05.596]  All of the dots are connecting.
[00:02:05.776 --> 00:02:08.437]  Everything is intersecting in 2014.
[00:02:08.497 --> 00:02:11.178]  That doesn't mean things won't be a lot crazier.
[00:02:12.830 --> 00:02:14.772]  For better and worse, after that.
[00:02:14.912 --> 00:02:21.519]  But the set of things, the way it's going to go, so much of it is 2014.
[00:02:22.360 --> 00:02:31.989]  Liking it, like the Bible does, to bringing up a child and then releasing them into the world, like drawing an arrow back on your bow and then releasing.
[00:02:32.530 --> 00:02:35.533]  And then once you've released, it's out of your hands to a great extent.
[00:02:36.479 --> 00:02:38.480]  When the child's 16, 17, 18 years old.
[00:02:39.000 --> 00:02:39.721]  It's the same thing.
[00:02:40.341 --> 00:02:46.965]  So much of what we've seen is the pulling back of the arrow and the different forces battling for where that arrow's gonna go.
[00:02:47.405 --> 00:02:53.468]  And now, it's up, and the forces are all engaged, and 2014 is the release of the arrow.
[00:02:54.129 --> 00:02:56.970]  That's the best way that I can describe 2014.
[00:03:00.845 --> 00:03:05.806]  It is a momentous year, and we've seen incredible things happen the last year.
[00:03:06.227 --> 00:03:07.767]  You notice there's a quickening politically.
[00:03:07.807 --> 00:03:10.748]  This happens historically at the bottom of a decadent cycle.
[00:03:11.188 --> 00:03:18.330]  You add into that the singularity and high-tech changes and the acceleration of knowledge, but also the acceleration of decadence.
[00:03:19.050 --> 00:03:28.293]  Just all these tidal forces of nature are colliding in together right now, and I don't want to hear anybody
[00:03:29.881 --> 00:03:32.783]  Anybody say that they are bored.
[00:03:34.083 --> 00:03:38.866]  Now, obviously we've got a lot of news that I want to cover here, but...
[00:03:39.901 --> 00:03:44.662]  I went and saw The Hobbit 2, The Desolation of Smaug.
[00:03:44.682 --> 00:03:45.882]  It was an excellent film.
[00:03:46.023 --> 00:03:46.863]  Very entertaining.
[00:03:47.243 --> 00:03:48.763]  Good for kids as well as adults.
[00:03:50.724 --> 00:03:56.625]  Not as good as The First Lord of the Rings, which is one of the best action adventure sword and sorcerer films ever.
[00:03:57.085 --> 00:03:58.606]  But it was definitely excellent.
[00:03:58.686 --> 00:03:59.746]  Smaug made the movie.
[00:04:00.606 --> 00:04:01.867]  Peter O'Toole, by the way, died today.
[00:04:01.887 --> 00:04:03.908]  We're going to be talking about that great Shakespearean actor.
[00:04:04.268 --> 00:04:09.632]  Just watched him about three weeks ago with my children that we watched over at my parents' house one night.
[00:04:09.692 --> 00:04:10.452]  Lawrence of Arabia.
[00:04:10.812 --> 00:04:11.453]  Very well done.
[00:04:11.733 --> 00:04:12.773]  Accurate historical film.
[00:04:13.254 --> 00:04:15.575]  To understand the entire Middle East today, you need to watch that movie.
[00:04:15.915 --> 00:04:16.175]  He died.
[00:04:16.195 --> 00:04:17.096]  We're going to talk about that.
[00:04:17.496 --> 00:04:20.998]  China lands a jade rabbit robot rover on the moon.
[00:04:23.120 --> 00:04:30.466]  I saw an ad for a new Matthew McConaughey movie coming out, the same guy that put out The Last Batman, called Interstellar.
[00:04:31.707 --> 00:04:37.852]  And I went and looked up the secretive synopsis on it, but I was sitting there next to Rob Dube,
[00:04:38.933 --> 00:04:41.515]  I want Rob doing my dad and hitting my son and his kids.
[00:04:42.516 --> 00:04:48.400]  And I looked at him and said, that's how we should brand what we're doing to get the message across to keep humanity moving forward.
[00:04:48.720 --> 00:04:50.822]  The intro to the Interstellar trailer.
[00:04:50.842 --> 00:04:52.243]  They're not paying me to plug this.
[00:04:52.403 --> 00:04:53.324]  I was gonna do this tomorrow.
[00:04:53.344 --> 00:04:54.184]  I'm gonna do it today.
[00:04:54.204 --> 00:04:55.685]  Guys, go grab the new Interstellar trailer.
[00:04:55.705 --> 00:04:56.666]  It just came out yesterday.
[00:04:57.347 --> 00:04:58.327]  I looked last night online.
[00:04:58.387 --> 00:04:59.168]  It just came out yesterday.
[00:04:59.188 --> 00:05:00.789]  I saw it in theaters the first day it was out.
[00:05:01.710 --> 00:05:05.593]  And we're going to play that because it really plays it all on the table.
[00:05:05.993 --> 00:05:07.474]  Coming up, it's a big broadcast.
[00:05:07.554 --> 00:05:08.315]  I'm Alex Jones.
[00:05:08.914 --> 00:05:17.923]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[00:05:18.003 --> 00:05:26.250]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:26.411 --> 00:05:31.075]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:31.275 --> 00:05:37.978]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:05:38.058 --> 00:05:45.140]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:45.220 --> 00:05:52.103]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:52.263 --> 00:05:56.605]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:05:56.745 --> 00:05:59.946]  Available in original or with our immune support infusion blend.
[00:06:00.126 --> 00:06:06.249]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:06.409 --> 00:06:08.130]  Available at Infowarslife.com.
[00:06:08.290 --> 00:06:26.700]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military industrial commonwealth.
[00:06:27.578 --> 00:06:32.922]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:06:33.463 --> 00:06:38.687]  The first reports say that President Kennedy has been seriously wounded by this shooting.
[00:06:39.527 --> 00:06:40.868]  It is a big idea.
[00:06:40.928 --> 00:06:42.369]  A new world order.
[00:06:42.389 --> 00:06:49.054]  It was almost as if it were a planned implosion.
[00:06:49.755 --> 00:06:51.276]  It just pancaked.
[00:06:53.678 --> 00:06:54.779]  Either you were with us,
[00:06:56.198 --> 00:06:57.480]  Well, you were with the terrorists.
[00:06:57.680 --> 00:07:16.200]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:07:20.812 --> 00:07:21.813]  Guns will be taken.
[00:07:21.853 --> 00:07:23.414]  No one will be able to be armed.
[00:07:23.454 --> 00:07:24.414]  We will take all guns.
[00:07:24.454 --> 00:07:29.257]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[00:07:29.297 --> 00:07:30.737]  Global governance at last.
[00:07:30.838 --> 00:07:33.459]  Is it one world the central bank is in charge?
[00:07:33.519 --> 00:07:36.981]  But aren't we all just living and dying for what the central banks do?
[00:07:37.061 --> 00:07:41.063]  As for me, give me liberty or give me death!
[00:07:43.404 --> 00:07:48.087]  Live from the Infowars.com studios, it's Alex Jones.
[00:07:50.399 --> 00:07:59.487]  Ladies and gentlemen, it is the 15th day of December 2013 on this live Sunday worldwide broadcast.
[00:08:00.048 --> 00:08:02.990]  We're going to have open phones later in the hour into the second hour.
[00:08:03.030 --> 00:08:04.592]  We're here every Sunday 4 to 6 p.m.
[00:08:04.632 --> 00:08:06.814]  Central, back weekdays 11 a.m.
[00:08:06.894 --> 00:08:08.015]  to 2 p.m.
[00:08:08.055 --> 00:08:08.435]  Central.
[00:08:08.795 --> 00:08:13.560]  The news websites are Infowars.com and PrisonPlanet.com.
[00:08:13.580 --> 00:08:16.983]  You can follow yours truly on Twitter at RealAlexJones.
[00:08:18.462 --> 00:08:19.563]  Where to begin?
[00:08:19.683 --> 00:08:22.125]  There is so much to go over today.
[00:08:23.426 --> 00:08:26.749]  Just masses of incredibly important news and we will cover it all.
[00:08:28.811 --> 00:08:33.936]  But first off, I want to just mention some of the headlines that are up on InfoWars.com.
[00:08:34.897 --> 00:08:39.401]  Media works to keep mass murder shooters profiles secret.
[00:08:41.178 --> 00:08:46.161]  Again, media is working very hard to keep mass shooters' profiles a secret.
[00:08:46.561 --> 00:09:05.311]  We have put together, that just was published minutes ago, a breakdown of some of the modern mass shooters, detailing the fact that across the board they're Democrats, and then they share with that being Satanist or Occultist, and being on psychotropic drugs, and being obsessed with shoot-em-up games.
[00:09:05.331 --> 00:09:06.872]  You want to profile somebody?
[00:09:07.392 --> 00:09:07.753]  It's that.
[00:09:08.813 --> 00:09:22.180]  Also, we're going to get into the Trans-Pacific Partnership that's bigger than NAFTA and GATT, bigger and more dangerous than Obamacare, is what the editor of the New American Magazine, William F. Jasper, says, and I agree with him.
[00:09:22.200 --> 00:09:24.761]  We're going to be breaking all of that down.
[00:09:25.042 --> 00:09:29.364]  I want to take you now from InfoWars.com to DrudgeReport.com.
[00:09:30.805 --> 00:09:33.606]  I hadn't looked at Drudge in the last couple hours.
[00:09:33.826 --> 00:09:35.607]  I printed articles off there hours ago.
[00:09:35.667 --> 00:09:36.928]  I got here about three hours ago.
[00:09:37.881 --> 00:09:40.905]  And then I was already deciding what I was going to cover first.
[00:09:41.806 --> 00:09:43.028]  What was most important.
[00:09:44.515 --> 00:09:53.723]  And when I got to the site, lo and behold, Drudge also had separately thought that that was most important and had it as his top story.
