[00:00:25.461 --> 00:00:28.422]  You've got one!
[00:00:47.381 --> 00:00:49.043]  It's Tuesday, May 7, 2013.
[00:00:49.805 --> 00:00:51.607]  I'm Alex Jones.
[00:00:51.687 --> 00:00:55.853]  Get ready for another original edition of InfoWars Nightly News.
[00:00:56.153 --> 00:00:56.754]  Straight ahead.
[00:00:59.118 --> 00:00:59.478]  Tonight...
[00:01:00.464 --> 00:01:00.984]  Danger!
[00:01:01.425 --> 00:01:09.091]  Google tells internet users that the Drudge Report and Infowars.com websites contain malicious software.
[00:01:09.111 --> 00:01:10.492]  I don't think so.
[00:01:10.932 --> 00:01:24.062]  Plus, more information has emerged about Google's relationship with the government and spook agencies, as a group calls for hearings into Google's ties to the CIA and NSA.
[00:01:24.743 --> 00:01:29.046]  And Professor Griff says Obama is a mass media deception.
[00:01:29.526 --> 00:01:35.577]  The InfoWars exclusive interview premieres tonight on the InfoWars Nightly News.
[00:01:40.896 --> 00:01:57.508]  Thank you for joining us tonight, and I want to thank again all the subscribers and viewers that make InfoWars Nightly News possible via PrisonPlanet.tv as we fight the globalist plan to construct a prison planet on the ashes of our once free republic and world.
[00:01:57.528 --> 00:01:58.489]  Again, thank you for joining us.
[00:01:59.009 --> 00:02:04.893]  After the extensive news and analysis segment tonight, we're going to premiere here
[00:02:06.595 --> 00:02:16.705]  A hour plus long interview with Professor Griff, the information officer of Public Enemy that just got inducted into the Rock and Roll Hall of Fame.
[00:02:17.366 --> 00:02:28.096]  What we tend to do is when I'm making a new film or making an Obama Deception Part 2, is we go and do hour, two hour long interviews and then like five minutes of what Griff talks about will probably end up in the film or less.
[00:02:29.017 --> 00:02:36.380]  But we like to then air the full, basically unedited interview here for you tonight.
[00:02:36.940 --> 00:02:44.203]  And we've got some more of these big interviews with not just Professor Griff, but other equally informative and interesting people.
[00:02:44.643 --> 00:02:47.664]  And this is in high def, and this is powerful.
[00:02:48.065 --> 00:02:51.986]  And this will reach out to a lot of people, and he lays it all out.
[00:02:52.026 --> 00:02:52.987]  He basically declares war
[00:02:54.567 --> 00:03:00.953]  On the Illuminati, and calls for humanity to come together against this dehumanizing tyranny.
[00:03:01.013 --> 00:03:04.477]  So that is coming up tonight, and it is powerful.
[00:03:04.497 --> 00:03:05.638]  In fact, I always...
[00:03:08.044 --> 00:03:10.845]  Under-promise and over-deliver, which isn't good in media.
[00:03:11.525 --> 00:03:16.766]  We're constantly covering bombshell, breaking stuff, and we don't even really build it up.
[00:03:16.826 --> 00:03:24.168]  It's like, oh yeah, we went to California two weeks ago, got this interview, John Bowne and Rob Jacobson.
[00:03:24.588 --> 00:03:26.189]  We've got a bunch of other interviews, too, with him.
[00:03:27.009 --> 00:03:28.169]  Went to protests with him.
[00:03:28.229 --> 00:03:29.149]  It was pretty wild.
[00:03:29.909 --> 00:03:35.711]  But I haven't even told viewers and radio listeners this was coming up.
[00:03:36.331 --> 00:03:38.312]  And this has been edited since last Friday.
[00:03:38.352 --> 00:03:41.973]  Again, edited cutting out people taking breaks and things like that or phones ringing.
[00:03:43.013 --> 00:03:44.454]  And so just here it is tonight.
[00:03:44.554 --> 00:03:51.316]  So that's coming up after we cover the extensive news that we've got here for you.
[00:03:51.756 --> 00:04:01.420]  Now, first off, when InfoWars.com and PrisonPlanet.com and the radio show and the films are under sustained attack, we have to cover it.
[00:04:02.390 --> 00:04:07.678]  It is my mission to be gonzo journalist where we write ourselves in the story, but time and time again it just happens.
[00:04:08.559 --> 00:04:12.364]  We try to hand out magazines in downtown Austin, they say, we'll arrest you if you do.
[00:04:12.685 --> 00:04:14.908]  You have no more First Amendment.
[00:04:15.869 --> 00:04:16.470]  Things like that.
[00:04:17.426 --> 00:04:24.171]  Now, there are many different forms of censorship going on, and Google is trying to set up a worldwide web monopoly.
[00:04:24.691 --> 00:04:33.797]  Even if you follow their rules, they try to block you on YouTube and other platforms, if you are successfully criticizing the global corporatocracy that's being set up.
[00:04:34.357 --> 00:04:47.006]  Well, it turns out this is the third time they've done this to DrudgeReport.com, and the second time we know that they've done this to us, but Chrome users, and we've confirmed it, of Google Chrome browser,
[00:04:48.448 --> 00:04:52.877]  ...are being told that Drudge and Infowars have malware.
[00:04:53.257 --> 00:04:54.520]  Well, we scanned our systems.
[00:04:54.740 --> 00:04:56.303]  We do not have this.
[00:04:57.606 --> 00:04:59.189]  It is not going on.
[00:05:00.521 --> 00:05:01.342]  It is a lie.
[00:05:02.062 --> 00:05:06.424]  And if you scroll down in the article, we have a link to CNET News in 2010.
[00:05:06.464 --> 00:05:07.925]  We also scanned Drudge Report.
[00:05:08.705 --> 00:05:09.706]  They're not linked to this.
[00:05:10.566 --> 00:05:26.535]  And it turns out that Google has systems embedded in ad software on news sites that Drudge is simply linking to, and that Google is saying, don't go to Drudge because of Google.
[00:05:28.246 --> 00:05:29.387]  You cannot make this up.
[00:05:29.427 --> 00:05:39.092]  It's like saying we have to give our rights up because Al-Qaeda attacked us, but then the Western governments are funding Al-Qaeda, then and now, to take over countries like Libya and Syria.
[00:05:39.492 --> 00:05:49.858]  It's like we have a drug war, but they've had the CIA Inspector General admit in 1997 that the CIA ships in most the drugs and major banks launder the money.
[00:05:50.718 --> 00:05:51.579]  And major U.S.
[00:05:51.639 --> 00:05:54.561]  banks give the guns to the Mexican drug cartels.
[00:05:54.941 --> 00:05:56.062]  Source on that Bloomberg.
[00:05:56.582 --> 00:06:00.304]  And on the aircraft that flies the cocaine and heroin in and out.
[00:06:01.725 --> 00:06:07.169]  But cops want to search my car at Texas checkpoints I've run into.
[00:06:08.710 --> 00:06:11.251]  And they ask me if I've got any drugs.
[00:06:11.351 --> 00:06:13.032]  No, I don't use your damn products.
[00:06:13.853 --> 00:06:17.695]  Okay, so this is the type of craziness that we're talking about here.
[00:06:17.836 --> 00:06:19.737]  And coming from Google,
[00:06:21.477 --> 00:06:37.707]  Saying that we're involved in malware, which is basically hacking somebody's computer to either steal data or put data on there, and they say, don't go to InfoWars because they may try to steal your identity, it says this, or financial loss or permanent file deletion.
[00:06:37.987 --> 00:06:41.129]  I mean, I'm really thinking about suing Google, and I'm not a litigious person.
[00:06:41.789 --> 00:06:44.251]  It's a big hassle, but I mean, something's got to give.
[00:06:45.034 --> 00:06:46.415]  We're not doing this.
[00:06:46.795 --> 00:06:48.677]  We're on record not doing this.
[00:06:49.057 --> 00:06:51.059]  And this is the third time they've done it to Drudge.
[00:06:51.319 --> 00:06:54.541]  The second time, they've had the White House come out and go, don't visit his site.
[00:06:54.841 --> 00:06:59.425]  They've had Congress come out, Democratic senators, he'll put stuff on your computer with no evidence.
[00:06:59.745 --> 00:07:00.866]  And it turned out that was a lie.
[00:07:01.566 --> 00:07:07.711]  They don't want you visiting our sites because we're some of the only opposition showing what they're doing.
[00:07:09.212 --> 00:07:09.713]  I reported
[00:07:11.164 --> 00:07:25.869]  Several years ago that it was in the General Motors government bailout plan to give 20 plus billion, 21 billion dollars of taxpayer money to move General Motors to Brazil, China, and Eastern Europe.
[00:07:27.169 --> 00:07:28.310]  Volt, Cadillac, you name it.
[00:07:28.610 --> 00:07:31.551]  It's just now in the Wall Street Journal today.
[00:07:31.591 --> 00:07:32.211]  We're going to cover that.
[00:07:34.091 --> 00:07:37.592]  Guess who linked to our article about that several years ago?
[00:07:38.012 --> 00:07:38.372]  Drudge.
[00:07:38.972 --> 00:07:40.153]  That's why they don't like us.
[00:07:40.393 --> 00:07:41.253]  Hey, look!
[00:07:41.533 --> 00:07:47.135]  This White House plan with General Motors says they have to agree to ship their main factories overseas.
[00:07:47.815 --> 00:07:50.376]  We paid with taxpayer money to ship our factories.
[00:07:51.854 --> 00:07:57.238]  Just like we're paying with taxpayer money to force the shutdown of coal-powered plants in this country.
[00:07:57.479 --> 00:07:59.480]  This is the designed shutdown.
[00:07:59.520 --> 00:08:00.601]  How do they conquer America?
[00:08:00.781 --> 00:08:01.242]  They do this.
[00:08:01.482 --> 00:08:02.423]  And Drudge covers that.
[00:08:02.683 --> 00:08:05.385]  And look, I don't get up here every day and talk about Drudge every day.
[00:08:05.425 --> 00:08:09.648]  It's just our destinies are more and more entwined because there's nobody else.
[00:08:09.969 --> 00:08:11.370]  World Net Daily, Newsmax.
[00:08:11.890 --> 00:08:14.652]  There's not many others that are willing to go toe-to-toe.
[00:08:15.493 --> 00:08:23.197]  And the truth is, the globalists are such criminal liars, if you just challenge them, if you stand up to them, it's the mouse that roared.
[00:08:24.137 --> 00:08:30.441]  But so many times in history, people give in to the uniforms, they give in to the fake authority, they give in to the government.
[00:08:32.381 --> 00:08:38.805]  Arrogance and bravado, the chutzpah, and nightmares happen.
[00:08:39.747 --> 00:08:41.308]  Free people are uppity.
[00:08:41.568 --> 00:08:43.850]  Free people are jealous of their liberty.
[00:08:44.090 --> 00:08:45.331]  Free people are aggressive.
[00:08:45.691 --> 00:08:46.872]  Slaves submit.
[00:08:48.794 --> 00:08:52.316]  And if you're slaves, you're not free.
[00:08:52.617 --> 00:08:54.318]  You're like, that's really simple.
[00:08:54.478 --> 00:08:54.898]  We know that.
[00:08:55.138 --> 00:08:55.399]  Really?
[00:08:55.699 --> 00:08:57.440]  Do the American people know that?
[00:08:58.781 --> 00:09:07.688]  So I thought here today we would go over some of the mainstream news reporting on Google, because they're trying to say, don't go to this site,
[00:09:09.088 --> 00:09:14.930]  They're associated with some URL that we're not, and then it turns out that URL is associated with Google.
[00:09:16.710 --> 00:09:18.310]  They're framing us for what they do.
[00:09:18.711 --> 00:09:20.711]  I thought I would go over some of these articles.
[00:09:20.751 --> 00:09:21.151]  Here they are.
[00:09:21.451 --> 00:09:23.732]  Drugs Report Accused of Serving Malware Again.
[00:09:23.832 --> 00:09:24.492]  CNET News.
[00:09:24.832 --> 00:09:28.453]  And it goes on to report, and admit, and it shows the screenshot.
[00:09:28.533 --> 00:09:29.893]  Attention, danger, don't go there.
[00:09:30.254 --> 00:09:31.454]  Infowars.com too.
[00:09:32.717 --> 00:09:34.638]  And they have to admit in the article, it's total crap.
[00:09:35.399 --> 00:09:36.359]  Okay, there you go.
[00:09:37.140 --> 00:09:42.163]  Did Google get off easy with a $7 million Wi-Fi settlement?
[00:09:42.463 --> 00:09:50.207]  All over the world, they drive around, not just with a camera, but with systems designed to break into your computer, go pass your passcode.
[00:09:50.507 --> 00:09:58.372]  Google, it's come out, even if you disable their cookies, they re-enable them, and they do keystroke loggers to get this, get your passcode.
[00:09:58.592 --> 00:09:59.733]  That is felony
[00:10:00.393 --> 00:10:13.782]  They're hacking, breaking and entering, and they do it from France to Germany, to Russia to the United States, and then they've got the nerve to tell people to not go to InfoWars.com.
[00:10:14.723 --> 00:10:16.084]  That is an imperial probe droid.
[00:10:16.104 --> 00:10:17.425]  Let's put that back up on screen.
[00:10:17.465 --> 00:10:19.186]  That's what smart meters are on your house.
[00:10:19.526 --> 00:10:25.311]  That is an imperial probe droid directly out of Star Wars, and I for one have had enough of it, man.
[00:10:25.791 --> 00:10:27.232]  Where's Chewbacca when you need him?
[00:10:29.491 --> 00:10:30.232]  What do I have to hide?
[00:10:30.252 --> 00:10:31.212]  I got a lot to hide.
[00:10:31.272 --> 00:10:32.873]  My privacy from you criminals.
[00:10:33.694 --> 00:10:40.219]  I saw some statistic where 90-something percent of identity theft is corporations, big corporations and government, leaking data.
[00:10:40.759 --> 00:10:44.241]  Yeah, you read about Bank of America, 9 million social security numbers given out.
[00:10:44.522 --> 00:10:50.226]  Nobody's getting them in trouble, but they're just lying, saying, you know what, don't go to Alex's side, he'll get you.
[00:10:51.980 --> 00:10:53.722]  Don't use Google, use Startpage.
[00:10:53.782 --> 00:10:56.684]  And I'm really gonna... Startpage wants to work with me.
[00:10:56.784 --> 00:10:59.627]  I've been too busy to even work with them in a PR campaign to help them.
[00:10:59.847 --> 00:11:02.029]  Get me Catherine Albert, get me Startpage guys.
[00:11:02.269 --> 00:11:06.072]  They flew here from the Netherlands to meet with me, those scientists, those tech guys.
[00:11:06.313 --> 00:11:07.914]  I want to just all in with Startpage.
[00:11:08.194 --> 00:11:09.655]  They are the best alternative engine.
[00:11:09.956 --> 00:11:11.137]  I have had it with Google.
[00:11:12.898 --> 00:11:14.059]  And it's hard not to work with them.
[00:11:14.099 --> 00:11:14.520]  We've had...
[00:11:16.007 --> 00:11:17.449]  Three different or is it the fourth now?
[00:11:17.809 --> 00:11:20.972]  Different companies that we get to run our ad software.
[00:11:21.253 --> 00:11:22.214]  That's complex stuff.
[00:11:22.394 --> 00:11:23.275]  They always buy it.
[00:11:24.456 --> 00:11:25.678]  They're buying everything up.
[00:11:27.017 --> 00:11:28.819]  It's so hard not to work with Google.
[00:11:28.839 --> 00:11:30.020]  You're like, well why are you on YouTube?
[00:11:30.340 --> 00:11:31.702]  I was on YouTube before they bought it.
[00:11:32.302 --> 00:11:34.124]  They advertise it's a public commons.
[00:11:34.184 --> 00:11:37.087]  Like, I can come here and I can do this and they make money off of me.
[00:11:37.647 --> 00:11:40.970]  I don't even monetize it because I hate them so much on our YouTube channels.
[00:11:41.771 --> 00:11:43.332]  And people say, well you don't like it, leave it.
[00:11:43.533 --> 00:11:45.154]  They're taking the web over.
[00:11:45.374 --> 00:11:49.618]  It'd be like if somebody bought the county square and said you can't get up on your soapbox.
[00:11:49.899 --> 00:11:50.980]  Okay, I followed
[00:11:52.958 --> 00:11:54.722]  Their trade rules.
[00:11:55.685 --> 00:11:57.770]  It's false advertising what they're doing.
[00:11:58.953 --> 00:12:05.377]  I mean, it's criminal saying that I'm going to steal your identity when it's a damn lie and they're the ones famous for it.
[00:12:05.577 --> 00:12:06.317]  Let's continue.
[00:12:06.658 --> 00:12:10.020]  Did Google get off easy with 7 million Wi-Fi settlement?
[00:12:10.060 --> 00:12:10.540]  Look at this.
[00:12:11.340 --> 00:12:12.001]  Let's go to another one.
[00:12:12.021 --> 00:12:12.781]  There's hundreds of these.
[00:12:13.181 --> 00:12:13.582]  Forbes.
[00:12:13.982 --> 00:12:17.464]  Court rules NSA doesn't have to reveal its semi-secret relationship with Google.
[00:12:17.684 --> 00:12:19.365]  There's no semi-secret relationship.
[00:12:19.605 --> 00:12:21.506]  They are NSA in Q-Tel.
[00:12:21.706 --> 00:12:25.589]  We got a clip, by the way, with former CIA agent Steele coming up.
[00:12:27.403 --> 00:12:27.904]  Here's another one.
[00:12:27.944 --> 00:12:31.127]  Group calls for hearings into Google's CIA and NSA ties.
[00:12:31.247 --> 00:12:31.608]  Boom!
[00:12:32.609 --> 00:12:33.210]  Here's another one.
[00:12:33.330 --> 00:12:35.893]  Ex-agent CIA seed money helped launch Google.
[00:12:36.193 --> 00:12:37.615]  We were the first to break that in December 2006.
[00:12:40.305 --> 00:12:49.008]  And that was with Robert David Steele, 20-year Marine Corps infantry and intelligence officer and former clandestine services case officer with the Central Intelligence Agency.
[00:12:49.368 --> 00:12:51.749]  And by the way, he got heavily threatened when he came on.
[00:12:51.789 --> 00:12:52.690]  He's never been on since.
[00:12:53.010 --> 00:12:53.970]  It's time to get him on.
[00:12:54.470 --> 00:12:55.931]  He was the first to talk about this.
[00:12:55.971 --> 00:12:59.132]  This has all been declassified now.
[00:12:59.152 --> 00:12:59.212]  Why?
[00:12:59.772 --> 00:13:03.894]  By the way, when we had him on, do you know what Google did on InfoWars and Prison Planet?
[00:13:04.154 --> 00:13:06.055]  Do you know what happened the week after he came on?
[00:13:06.946 --> 00:13:10.730]  They delisted us from Google News Feeds when I had him on.
[00:13:11.771 --> 00:13:13.413]  Folks, they aren't connected.
[00:13:13.993 --> 00:13:15.655]  They are the shadow government.
[00:13:15.875 --> 00:13:17.016]  You know what is above?
[00:13:17.877 --> 00:13:19.459]  The real shadow government is NASA.
[00:13:20.159 --> 00:13:21.861]  NASA is just the corporate shell.
[00:13:22.582 --> 00:13:24.504]  Over 90% of NASA is actually secret.
[00:13:24.584 --> 00:13:28.728]  It's NORTHCOM, it's Space Command, it's Cheyenne Mountain.
[00:13:32.409 --> 00:13:34.751]  Mount Weather, other side are.
[00:13:35.692 --> 00:13:37.253]  See, we've studied the shadow government.
[00:13:37.273 --> 00:13:38.214]  That's why they don't like us.
[00:13:38.454 --> 00:13:39.956]  This is not our government, by the way.
[00:13:40.516 --> 00:13:47.503]  It's here to make sure the Republicans, it's doing everything it can to shut our oil off, to shut our coal plants off, to shut our factories down.
[00:13:48.416 --> 00:13:53.799]  It's run by foreign banks, and they're going to shut us down just like they've done other wealthy countries.
[00:13:54.059 --> 00:14:00.003]  There was an old saying, riches in Argentina, and they took that country and bankrupted it to one of the poorest in Latin America.
[00:14:00.263 --> 00:14:04.685]  They've done it to once wealthy countries in Europe, like Czechoslovakia, the Czech Republic.
[00:14:04.966 --> 00:14:06.406]  They will do it to anybody.
[00:14:06.667 --> 00:14:08.828]  They want you poor as a tool of control.
[00:14:10.729 --> 00:14:14.091]  Let's go ahead and go to that clip with former CIA operative Steele.
[00:14:17.469 --> 00:14:21.591]  First off, I think Google took money from the CIA when it was poor, and it was starting up.
[00:14:21.711 --> 00:14:33.776]  And unfortunately, our system right now floods money into spying and other illegal and largely unethical activities, and it doesn't fund what I call the open source world, which is both intelligence and software.
[00:14:33.876 --> 00:14:39.619]  Right now, I would say it's a small but significant relationship.
[00:14:40.059 --> 00:14:44.661]  However, I think it's also very, very wrong of Google to have this relationship.
[00:14:45.061 --> 00:14:48.685]  Well, what do you think about them censoring videos and erasing my hit counts and things like that?
[00:14:48.705 --> 00:14:52.108]  Well, I think they're not only censoring videos, they're censoring press releases.
[00:14:52.888 --> 00:15:01.496]  I think that I've seen some press releases that are very critical of Dick Cheney and others that somehow don't make it to Google News even though they're released by PR Newswire.
[00:15:01.516 --> 00:15:04.439]  Listen, we're exactly, which is a normal affiliate.
[00:15:04.839 --> 00:15:07.502]  I think Google is long overdue for a public audit.
[00:15:07.995 --> 00:15:12.797]  And one of the problems with privatized power is that it's not subject to public audit.
[00:15:13.817 --> 00:15:22.980]  I believe that there is a marketplace for a handheld and a laptop that allows the end user to completely control all outgoing emissions.
[00:15:23.480 --> 00:15:30.387]  And I believe there's a desperate need for a citizen activist skunkworks that can thoroughly scrub stuff.
[00:15:30.447 --> 00:15:36.472]  And I absolutely believe that we should put Google out of business unless they're willing to go the open source software route.
[00:15:36.913 --> 00:15:44.079]  So, do you think all that coverage your interview got concerning their involvement with the CIA, do you think that concerned them?
[00:15:45.280 --> 00:15:47.342]  It concerned them enough to lie to the public.
[00:15:47.382 --> 00:15:47.963]  They denied it.
[00:15:49.364 --> 00:15:52.307]  But you have sources in the CIA that are involved?
[00:15:52.387 --> 00:15:57.172]  Let me say very explicitly, their contact at CIA is named Dr. Rick Steinhiser.
[00:15:57.212 --> 00:15:59.215]  He's in the Office of Research and Development.
