[00:00:00.169 --> 00:00:01.270]  Government cover-ups.
[00:00:01.931 --> 00:00:02.732]  You want answers?
[00:00:03.512 --> 00:00:04.373]  Well, so does he.
[00:00:05.054 --> 00:00:08.657]  He's Alex Jones on the GCN Radio Network.
[00:00:09.258 --> 00:00:13.322]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.829 --> 00:00:40.294]  Ladies and gentlemen, thank you so much for joining us on this Tuesday, 25th day of June, 2013.
[00:00:42.035 --> 00:00:44.276]  I am your host, Alex Jones.
[00:00:45.617 --> 00:00:48.739]  And I told you this a long time ago, because it's the facts.
[00:00:49.360 --> 00:00:53.082]  Congress insisted they be kept in the dark on NSA spying.
[00:00:54.723 --> 00:00:58.226]  That's now what the lawmakers have come out and are saying to the press.
[00:00:59.830 --> 00:01:03.431]  They passed the echelon legislation in the 80s.
[00:01:03.571 --> 00:01:17.675]  They passed the Telecommunications Act of 96 and the subsequent acts that all stated $5 billion, $9 billion, $18 billion, $50 plus billion dollars, $100 plus billion dollars.
[00:01:17.695 --> 00:01:19.015]  That's how it's building up.
[00:01:23.257 --> 00:01:30.839]  To build giant spy grids everywhere and hire hundreds of thousands of analysts per region to listen to your phones.
[00:01:33.339 --> 00:01:35.200]  To track everything you're doing in live time.
[00:01:35.780 --> 00:01:38.600]  And they're not looking for terrorists, folks, okay?
[00:01:39.020 --> 00:01:41.261]  They've given them heat-seeking missiles in Syria.
[00:01:41.861 --> 00:01:47.382]  They are controlling the economy and spying on good government people.
[00:01:47.822 --> 00:01:49.102]  This has come out from whistleblowers.
[00:01:49.803 --> 00:01:51.503]  They're spying on the light side
[00:01:53.223 --> 00:01:53.863]  Of government.
[00:01:54.643 --> 00:01:58.785]  Because there's a legitimate side of government that does legitimate actions and legitimate, quote, services.
[00:01:59.725 --> 00:02:02.406]  The problem is, is that it's shrinking down to nothing.
[00:02:04.446 --> 00:02:06.267]  And it's come out that they use it to spy.
[00:02:06.307 --> 00:02:16.009]  I mean, what did NSA Insider, Wayne Madsen, tell you on this show 15 years ago, 10 years ago, 5 years ago, a year ago, 6 months ago?
[00:02:19.617 --> 00:02:33.384]  Over and over again, the NSA is there to spy on Congress, to spy on other governments, to spy on corporations, and to spy on the American people, and to spy on FBI, CIA, NSA.
[00:02:33.684 --> 00:02:38.827]  That's their main, I mean their main focus, the most important thing, the apple of their eye, the plum.
[00:02:42.962 --> 00:02:46.345]  is their own people, because the government is engaged in criminality.
[00:02:46.745 --> 00:02:48.847]  And they're all acting like this isn't going on.
[00:02:49.107 --> 00:03:00.175]  It's like General Alexander, the head of the NSA, the head of the Cyber Command, looking at the Deputy Director of the FBI and saying, tell your boss I'm gonna buy him another beer.
[00:03:02.437 --> 00:03:05.119]  Because it's all a big joke, ladies and gentlemen.
[00:03:05.139 --> 00:03:06.460]  They're all committing crimes.
[00:03:08.018 --> 00:03:16.141]  And so of course Congress says, I know nothing, I know, I've seen nothing, I hear nothing, nothing, nothing!
[00:03:16.161 --> 00:03:19.543]  And what do they do in their testimony?
[00:03:19.983 --> 00:03:20.403]  All of them.
[00:03:22.404 --> 00:03:24.065]  Justice Department heads, all of them.
[00:03:24.685 --> 00:03:26.766]  I know nothing on Benghazi.
[00:03:27.206 --> 00:03:30.608]  I know nothing on IRSgate.
[00:03:30.828 --> 00:03:33.509]  I know nothing on Fast and Furious.
[00:03:33.889 --> 00:03:36.230]  They actually know everything.
[00:03:38.729 --> 00:03:46.733]  If someone in the Justice Department or someone in the NSA that's even mid-level wants to go into my entire surfing history, they can do it right now.
[00:03:48.073 --> 00:03:50.054]  And they can also go in there and place false things.
[00:03:50.575 --> 00:03:55.517]  That's even under law under a subsection of the Patriot Act on sneak and peek.
[00:03:56.677 --> 00:04:04.241]  And then when you find out about it, if you catch them in your house or catch them on your computer remotely, it's a felony if you tell anyone they were doing it.
[00:04:06.840 --> 00:04:11.444]  What, are they going to have laws next that they can put children in soup bowls?
[00:04:11.544 --> 00:04:12.225]  It's the law!
[00:04:12.245 --> 00:04:15.188]  Or make black people slaves again?
[00:04:15.268 --> 00:04:16.069]  It's the law!
[00:04:16.089 --> 00:04:18.751]  Well, I say your law is a fraud.
[00:04:18.771 --> 00:04:20.673]  It's unconstitutional.
[00:04:20.833 --> 00:04:23.636]  It's a... infomnia.
[00:04:26.837 --> 00:04:29.920]  So that's just one of the articles up on InfoWars.com.
[00:04:30.000 --> 00:04:30.760]  No exaggeration.
[00:04:31.181 --> 00:04:32.522]  There's probably 200 articles here.
