[00:00:19.241 --> 00:00:22.563]  For the InfoWars Nightly News, I'm David Knight, and it's Thursday, September 26, 2013.
[00:00:23.604 --> 00:00:25.625]  Here are our top stories.
[00:00:27.767 --> 00:00:33.430]  Tonight, the FBI denies that Aaron Alexis was a victim of ELF technology.
[00:00:33.951 --> 00:00:39.374]  Then, how secret 3G Intel chips give a backdoor to your PC.
[00:00:40.095 --> 00:00:43.977]  And the NSA claims it trolls your phone to keep you safe.
[00:00:44.598 --> 00:00:47.580]  That's next, on the InfoWars Nightly News.
[00:00:48.520 --> 00:00:57.788]  It knows all your medical conditions, your history, where you eat, what size and color underwear your wife wears, what type of sex you're into.
[00:00:58.148 --> 00:01:07.837]  Well, the inscription on Aaron Alexis' gun, My ELF Weapon, has caused quite a stir about research that's been out in the open for decades, but has largely gone unnoticed by the public.
[00:01:08.337 --> 00:01:10.499]  So the FBI decided that they needed to push back.
[00:01:11.000 --> 00:01:20.129]  In this article, the FBI gave a statement saying that there was an electronic document from Alexis that said, ultra-low frequency attack is what I've been subject to for the last three months.
[00:01:20.489 --> 00:01:22.732]  And to be perfectly honest, that's what's driven me to this.
[00:01:23.412 --> 00:01:26.235]  They just dismissed that by saying he was delusional.
[00:01:27.136 --> 00:01:44.535]  But as we pointed out, Satanist and high-ranking NSA official Michael Aquino pointed out 33 years ago in his document, Mind War, that ELF was very useful for harassing and controlling people, as well as making a connection to the Navy Yard, where the ELF program is also used for submarines.
[00:01:45.837 --> 00:02:02.131]  And what was also different about this, and indicating that it wasn't just simple schizophrenia, or natural schizophrenia, was that it was a sudden onset, late in life, he was hearing voices of people that he thought were harassing him, not the voice of God or Satan, and especially sleep deprivation.
[00:02:02.312 --> 00:02:05.695]  Take a look at this clip from a new film by Take Back Your Power.
[00:02:06.215 --> 00:02:10.076]  They show people that are exposed to smart meters, and these are pictures before.
[00:02:10.776 --> 00:02:18.218]  After they're exposed to just two minutes of standing close by a smart meter, you see abnormal cell conditions in the first two subjects.
[00:02:18.258 --> 00:02:21.739]  The third subject was a female who could only stay there for 45 seconds.
[00:02:22.079 --> 00:02:29.201]  It still caused clotting, gave her headaches, and those are the symptoms that we see people complaining about frequently with smart meters.
[00:02:30.359 --> 00:02:39.365]  So you can see a dramatic difference in the effect on blood cells with just two minutes of exposure, and in the one case, only 45 seconds of exposure.
[00:02:39.885 --> 00:02:43.047]  Now you can see more about that documentary at Infowarsstore.com.
[00:02:43.068 --> 00:02:53.755]  We sell the DVD, Take Back Your Power, a very powerful film that will educate you about the very real effects on your health and your family's health with smart meters.
[00:02:54.175 --> 00:02:59.919]  Now what we didn't show, but what happens right after they show the effect on blood cells of the smart meters,
[00:03:00.459 --> 00:03:06.863]  There's an Apple, former Apple executive, who talks about how they use the term smart meters as simply a marketing ploy.
[00:03:07.503 --> 00:03:11.605]  He says it's very clever to do that, because if you criticize a smart meter, you're obviously dumb.
[00:03:12.105 --> 00:03:14.026]  He says he calls them dangerous meters.
[00:03:14.507 --> 00:03:15.847]  It's a very good documentary.
[00:03:16.248 --> 00:03:18.069]  Check it out at Infowarsstore.com.
[00:03:18.789 --> 00:03:23.311]  So we know that there are real physiological effects of microwave radiation on people.
[00:03:23.731 --> 00:03:33.175]  We've had research that has talked about how companies and how various military organizations have research projecting communications into people's heads.
[00:03:33.235 --> 00:03:37.777]  The Army calls it their voice to skull program or DARPA calls it a sonic projector.
[00:03:38.198 --> 00:03:43.140]  The Marines of course have their directed energy beam weapons and Medusa project and there's a lot of
[00:03:43.760 --> 00:03:52.246]  Weapons of mass control, as I like to call them, as they talk about them being non-lethal weapons, but they're weapons that they know have very severe physiological effects on people.
[00:03:52.526 --> 00:03:55.087]  Now, Aaron Alexis was a technician who worked in this area.
[00:03:55.127 --> 00:03:56.508]  He worked with defense contractors.
[00:03:56.528 --> 00:03:57.649]  He had been in the military.
[00:03:58.169 --> 00:04:03.533]  And he may have known, may have been warned, about the physiological effects of exposure to this.
[00:04:03.613 --> 00:04:07.716]  But he certainly knew that he was being harassed, and he knew the source of this harassment.
[00:04:08.476 --> 00:04:12.178]  For the FBI to just dismiss this as delusional is not credible.
[00:04:12.598 --> 00:04:15.359]  We know that there are real physiological effects.
[00:04:15.379 --> 00:04:16.579]  We saw that with the smart meters.
[00:04:17.040 --> 00:04:20.621]  We know that they've been researching these programs for decades.
[00:04:21.141 --> 00:04:24.042]  The only question is, are they morally capable of doing it?
[00:04:24.723 --> 00:04:25.723]  Well, of course they are.
[00:04:26.343 --> 00:04:28.004]  They think they're on a noble mission.
[00:04:28.564 --> 00:04:31.826]  Look at what the NSA surveillance boss just said about this.
[00:04:31.866 --> 00:04:32.346]  He said that
[00:04:33.166 --> 00:04:35.129]  The NSA has defined U.S.
[00:04:35.149 --> 00:04:42.601]  surveillance programs as part of a noble mission to protect the nation, and that any reports about what they're doing are simply sensationalized.
[00:04:43.383 --> 00:04:47.690]  Keith Alexander, the head of the NSA, said that not only was their mission noble,
[00:04:48.584 --> 00:04:51.647]  But that reports about what they're doing have been sensationalized.
[00:04:51.687 --> 00:04:57.953]  Well, there is absolutely nothing about a secret shadow government that is breaking the law.
[00:04:58.533 --> 00:04:59.594]  He's lied to Congress.
[00:04:59.895 --> 00:05:02.377]  He and James Clapper have lied to Congress about what they're doing.
[00:05:02.517 --> 00:05:03.558]  They're breaking the law.
[00:05:03.638 --> 00:05:06.421]  They're simply criminals who don't think they're subject to the law.
[00:05:07.021 --> 00:05:12.746]  And we've seen how the NSA is using PRISM in conjunction with large internet companies
[00:05:13.507 --> 00:05:16.049]  But you're not even safe if you stay away from the Internet.
[00:05:16.249 --> 00:05:20.071]  We now learn that there are backdoors even in your computer processor.
[00:05:20.131 --> 00:05:23.874]  Take a look at this clip from Intel talking about their new generation of processors.
[00:05:24.614 --> 00:05:38.743]  Unlike software-only solutions that require PCs to be powered on and software agents running on a fully functional OS, a hardware-assisted approach enables PCs to be managed regardless of system state and without requiring software agents.
[00:05:40.124 --> 00:05:40.585]  The result?
[00:05:41.591 --> 00:05:54.704]  IT or IT service providers can diagnose and fix problems without a deskside visit, schedule PCs to power down at night to cut energy costs, and still have the ability to power them up for off-hours patching.
[00:05:55.045 --> 00:05:58.568]  So Intel reported about that, but it went, again, largely unnoticed.
[00:05:58.628 --> 00:06:05.015]  But in this article we have today on InfoWars, secret 3G Intel chip gives Snoops backdoor PC access.
[00:06:05.615 --> 00:06:16.833]  It points out that the Intel Core vPro processors contain a secret 3G wireless chip that allows remote disabling and backdoor access to any computer, even if it's turned off.
[00:06:16.993 --> 00:06:20.218]  And that's because it uses the system's phantom power.
[00:06:20.979 --> 00:06:25.523]  So it can individually turn on hardware components, and it can access anything on your computer.
[00:06:25.623 --> 00:06:27.604]  And it allows third parties to do this.
[00:06:27.664 --> 00:06:32.468]  In that video that you just saw, Intel is bragging about how it can be used for system management.
[00:06:32.508 --> 00:06:36.571]  And of course, like any technology, it can be used for good purposes or for bad purposes.
[00:06:36.631 --> 00:06:43.177]  But we've already seen how the NSA uses all the technology that it gets for evil purposes, for spying on people.
[00:06:44.017 --> 00:06:47.740]  It points out that the webcams can also be remotely accessed.
[00:06:47.780 --> 00:06:53.065]  So any third party, and you can bet that an interested third party, is going to be the NSA.
[00:06:54.106 --> 00:07:02.212]  And, as a former NSA director said just ten days ago, they want to see our internet, he wants to see our internet, look more like China's.
