[00:00:11.100 --> 00:00:11.843]  I'm good.
[00:00:47.086 --> 00:00:47.566]  Good evening.
[00:00:47.606 --> 00:00:49.727]  You're watching InfoWars Nightly News.
[00:00:49.887 --> 00:00:50.967]  I'm David Ortiz.
[00:00:51.407 --> 00:00:59.131]  It's Tuesday, the 12th of March of 2013, and you're in for a real treat, because tonight is our inaugural music edition.
[00:01:01.795 --> 00:01:05.878]  Tonight, the United States is arming Syrian rebels.
[00:01:06.379 --> 00:01:09.301]  Meanwhile, an army vet joins Al-Qaeda.
[00:01:09.682 --> 00:01:16.407]  Plus, caught on camera, 13 people are gunned down in a drive-by shooting in D.C.
[00:01:16.847 --> 00:01:24.674]  And Tatiana Moroz breaks in the inaugural music edition, up next on the InfoWars Nightly News.
[00:01:26.104 --> 00:01:32.831]  Well, it seems the United States is far more involved in the Syrian conflict than officials would like to lead on.
[00:01:33.211 --> 00:01:42.420]  According to an article posted today on the newamerican.com, the headline reads, reports US personnel arming and training Syrian rebels.
[00:01:42.781 --> 00:01:43.602]  According to the article,
[00:01:44.182 --> 00:01:55.114]  American personnel and allied European governments are secretly training Syrian rebel forces at bases in Jordan to wage war against the Bashir al-Assad regime.
[00:01:55.574 --> 00:02:06.606]  Now they're quoting an article from a media outlet in Germany called Der Spiegel that basically says that military officials have stated that this in fact is going on.
[00:02:07.126 --> 00:02:14.452]  And later on in the article it says that the number of trained revolutionaries is set to balloon to some 1,200 men going forward.
[00:02:14.932 --> 00:02:21.877]  And the end goal is to create about a dozen free Syrian army units totaling some 10,000 fighters.
[00:02:21.917 --> 00:02:22.378]  So there you go.
[00:02:23.138 --> 00:02:30.445]  According to this article, there are military officials that are saying that, yeah, the United States does have its hand in the cookie jar.
[00:02:30.485 --> 00:02:43.857]  They're not just doling out money to help with the humanitarian effort, but they are in fact, along with the UK and French officials, training rebel forces with the hope of toppling the Bashir
[00:02:44.577 --> 00:02:45.938]  Al-Assad regime.
[00:02:45.998 --> 00:02:52.422]  Now, thus far, the United States denies that this is taking place, but we all know that we can't really trust what our government says.
[00:02:52.882 --> 00:03:02.888]  Recently, an Obama administration official, the spokesperson, said that the Obama administration wanted him to say that there was no drone program.
[00:03:03.428 --> 00:03:09.712]  And he wanted him to tell members of the media that there is no drone program, no program is in existence.
[00:03:10.052 --> 00:03:12.554]  So, we can't really trust what our government officials say.
[00:03:13.590 --> 00:03:30.459]  And speaking, thus far the United States has donated about half a billion dollars towards humanitarian effort in Syria and about 70,000 people have died as a result of the war that's taking place there and it's created one million refugees.
[00:03:31.059 --> 00:03:35.642]  It seems like the United States is going to get involved in this conflict very soon.
[00:03:36.562 --> 00:03:52.607]  Now, speaking of military conflicts in the Middle East, according to an article posted today, or posted recently on the Daily Mail UK, the headline reads, US Army veteran joins Al-Qaeda linked group after months of fighting with rebel forces in Syria.
[00:03:52.907 --> 00:04:02.450]  The article states, a US Army veteran says he has joined an offshoot of Al-Qaeda after spending several months fighting alongside Syrian rebel forces.
[00:04:03.050 --> 00:04:14.076]  Eric Haroon, 30 years old, a Phoenix, has joined Al-Qaeda-linked group Jabhat al-Nusra in part because of his fascination with the conflict in the Middle East.
[00:04:14.496 --> 00:04:22.861]  Basically, what the article is stating is that there's this individual, he used to be an army veteran, he was discharged, however, for mental reasons.
[00:04:22.921 --> 00:04:26.643]  He was clinically depressed, he was discharged, but he's gone back.
[00:04:27.123 --> 00:04:30.484]  To fight shoulder-to-shoulder with members of Al-Qaeda.
[00:04:30.904 --> 00:04:38.267]  That's interesting to know, to know that some of the bullets that will be, you know, being sprayed in Syria right now are coming from an American.
[00:04:38.307 --> 00:04:40.108]  But is it really that far-fetched?
[00:04:40.528 --> 00:04:49.151]  I mean, right now the United States government is working with Al-Qaeda in Syria because some of the Syrian rebel forces are members of Al-Qaeda.
[00:04:49.591 --> 00:04:55.258]  So one minute we're enemies with these individuals, the next minute we're somewhat friendly with them.
[00:04:55.518 --> 00:05:02.446]  So what this individual is doing, even though it's obviously not good, isn't that much different than what our government is possibly doing.
[00:05:02.926 --> 00:05:03.787]  Now, speaking of
[00:05:04.528 --> 00:05:05.768]  Military weaponry.
[00:05:06.449 --> 00:05:11.690]  Our very own Jakari Jackson recently produced a powerful story on drones.
[00:05:12.010 --> 00:05:19.632]  There's a convention going on right now, a festival called South by Southwest, and many experts were talking about drones at that festival.
[00:05:23.313 --> 00:05:28.815]  My name is Brian Anderson, and I produced a film called Drone On.
[00:05:30.111 --> 00:05:37.921]  The basis of the film was to figure out what the hell a drone is, and what it isn't, what it can do, what it can't do.
[00:05:37.941 --> 00:05:38.001]  0.99% of
[00:05:42.301 --> 00:05:48.726]  Drone activity is the weaponized sh** that you see going on throughout the Middle East and the Horn of Africa.
[00:05:49.346 --> 00:05:51.808]  The rest of it is civilian use.
[00:05:52.548 --> 00:05:53.429]  Non-lethal.
[00:05:53.809 --> 00:05:54.610]  My name is Jesse.
[00:05:54.630 --> 00:05:56.111]  I'm with DJI Innovations.
[00:05:56.151 --> 00:05:57.772]  I'm the lead technician for the company.
[00:05:58.412 --> 00:06:01.795]  This right here is an introductory type model, good for a beginner.
[00:06:02.375 --> 00:06:03.756]  It's called the Phantom.
[00:06:04.697 --> 00:06:08.239]  If a robot could take out the trash, that gives me five more minutes to spend with my kid at night.
[00:06:08.660 --> 00:06:10.421]  That would be a good thing.
[00:06:10.461 --> 00:06:11.682]  Of course, we're not looking for
[00:06:12.674 --> 00:06:17.456]  We're looking for the good in robot technology.
[00:06:17.556 --> 00:06:20.898]  We're looking for a way to do harm with it.
[00:06:21.258 --> 00:06:32.324]  If you look at the trajectory of warfare throughout history, you know, when people put down the sword for a gun, folks said, you know, well, there's no honor in that.
[00:06:32.404 --> 00:06:35.305]  You know, there's no honor in killing someone from a distance.
[00:06:37.227 --> 00:06:41.791]  You know, my personal belief, there really is no honor in killing at all times.
[00:06:42.812 --> 00:06:52.820]  But, you know, remote warfare is just the most recent incarnation of that, like, distance phenomenon in warfare.
[00:06:53.200 --> 00:06:58.385]  We do not have any types of contract with the military or any type of things like that so far.
[00:06:58.465 --> 00:07:00.306]  I believe in defending your country, but
[00:07:01.331 --> 00:07:16.055]  I mean, when it comes to unmanned airplanes striking against targets that we can't really see from hundreds of miles away, there's gotta be some questions asked about that.
[00:07:16.275 --> 00:07:19.756]  But in terms of them being used, you know, here in the States,
[00:07:22.386 --> 00:07:24.607]  I think for surveillance, absolutely.
[00:07:24.687 --> 00:07:33.993]  Recently, Christopher Dorner, the fugitive cop in Los Angeles, there was a rumor that started that a drone was going after him to search for him.
[00:07:34.553 --> 00:07:37.335]  Didn't turn out to be true, but a lot of folks said, you know,
[00:07:38.755 --> 00:07:41.436]  Why wasn't it used to find a guy, you know?
[00:07:41.736 --> 00:07:48.839]  I have a neighbor who is a senior police officer with APD and he asked me about it and I showed it to him.
[00:07:48.919 --> 00:07:50.500]  I flew it for him.
[00:07:50.600 --> 00:07:51.521]  He was very impressed.
[00:07:52.081 --> 00:08:01.145]  He wants me to set up an interview with my boss and so forth to possibly see about getting a contract with the city.
[00:08:01.625 --> 00:08:10.351]  I think it's something that shouldn't not be done, but I also think that foreign drone strikes are probably a little off base, too.
[00:08:10.371 --> 00:08:20.159]  It's like any technology, as it democratizes, you're going to have to confront these problems or these concerns and these issues, you know, privacy.
[00:08:20.819 --> 00:08:24.682]  You know, a small personal drone that you can buy off the shelf for $300,
[00:08:26.870 --> 00:08:27.890]  That's just a tool.
[00:08:28.351 --> 00:08:31.432]  And there's been issues, too, with people thinking that you could spy with these.
[00:08:32.152 --> 00:08:36.353]  It's bright colored, has flashing lights, and it's loud.
[00:08:36.674 --> 00:08:38.474]  Well, not really loud, but you can hear it.
[00:08:38.554 --> 00:08:43.696]  I can hear it about 30 feet up, so I don't think that'd make a very good spy tool.
[00:08:43.916 --> 00:08:54.740]  I never have privacy concerns because I'm the type of person that says, why am I worried about my privacy if I'm not doing anything in my private life that should set off any red flags?
[00:08:57.486 --> 00:09:05.433]  Back home, in an article posted today on Infowars.com by our very own Kurt Nimmo, the headline reads, Fourth Amendment?
[00:09:05.853 --> 00:09:08.315]  We don't need no stinking Fourth Amendment.
[00:09:08.815 --> 00:09:13.920]  According to the article, police may solemnly swear to support the Constitution of the United States.
[00:09:14.540 --> 00:09:18.182]  But this is increasingly a meaningless formality for many of them.
[00:09:18.663 --> 00:09:27.468]  For instance, a couple of cops in Dallas County, Texas, and you can see the video there, arrived at John Locke's home to serve an arrest warrant on his brother, who wasn't there.
[00:09:27.868 --> 00:09:41.537]  Mr. Locke wasn't home either, but instead of coming back at a later time when somebody was home and asking about his brother, the police took it upon themselves to violate the Fourth Amendment and go through the homeowner's personal belongings,
[00:09:42.037 --> 00:09:55.666]  According to Mr. Locke, they went through his home and police officials in that town, it's the Garland Police Department, are saying that yes, in fact, those cops did not honor that individual's Fourth Amendment rights.
[00:09:55.706 --> 00:09:59.468]  And Mr. Locke is quoted as saying, quote, I don't feel safe here at all.
[00:09:59.909 --> 00:10:02.470]  We lost that trust in the Garland Police Department.
[00:10:02.510 --> 00:10:03.431]  It's time for us to go.
[00:10:03.491 --> 00:10:04.392]  He wants to move.
[00:10:04.972 --> 00:10:10.978]  So there you go, you've got police cops, police officers violating the Fourth Amendment.
[00:10:11.058 --> 00:10:19.826]  Most officers are good people, but there is a large minority of officers that abuse their authority, and you don't hear mention of it at all in the media.
[00:10:20.106 --> 00:10:27.613]  If those individuals had not been caught on camera, you never would have known that they violated Mr. Locke's Fourth Amendment rights.
[00:10:28.843 --> 00:10:34.627]  Now, speaking of tyranny, it seems that homicides continue to take place in Washington, D.C.
[00:10:35.208 --> 00:10:44.394]  and in Chicago, places where gun control advocates say that they should continue the gun control laws that are taking place in these cities.
[00:10:44.875 --> 00:10:50.259]  Recently, last night in Washington, D.C., 13 individuals were shot
[00:10:51.556 --> 00:10:59.664]  At a drive-by, according to an article posted at thewashingtonpost.com, it says, the headline reads, 13 people shot in a D.C.
[00:10:59.704 --> 00:11:03.127]  neighborhood with a violent past and a future in flux.
[00:11:03.648 --> 00:11:16.180]  They tumbled on the sidewalk or ran for cover, scraping and kicking fruitlessly at the locked front door of an apartment building amid a spray of gunfire from two cars speeding down North Capitol Street.
[00:11:17.771 --> 00:11:29.457]  And in another bastion of gun control laws, the city of Chicago, recently another tragedy happened earlier this week, where a six-month-old was shot dead.
[00:11:29.837 --> 00:11:31.898]  Her father was changing her pampers.
[00:11:32.658 --> 00:11:42.243]  The headline reads, six-month-old girl dies after getting shot multiple times as her father changed her diaper outside a Chicago home.
[00:11:43.132 --> 00:11:50.354]  A Chicago family is mourning the tragic death of a six-month-old girl who was shot multiple times as her father changed her diaper.
[00:11:50.794 --> 00:11:55.635]  The baby's name, I hope I'm pronouncing this right, is Johnnella Watkins.
[00:11:56.375 --> 00:12:04.978]  She passed away on Tuesday morning, a day after a gunman opened fire on her and her father in the Woodland neighborhood on the south side of Chicago.
[00:12:05.018 --> 00:12:09.179]  Authorities say that that individual, her father, he was also shot.
[00:12:09.219 --> 00:12:09.519]  He's in
[00:12:10.339 --> 00:12:15.222]  In serious but stable condition, but they say he was involved in drug dealing.
[00:12:15.823 --> 00:12:17.724]  And here we go again, it's the same M.O.
[00:12:18.204 --> 00:12:23.708]  The drug war kills plenty of people, yet President Barack Obama and liberals rarely mention it.
[00:12:23.968 --> 00:12:31.553]  And those good liberals that do say something about it, they don't harshly criticize the drug war or President Obama's support of the drug war.
[00:12:31.873 --> 00:12:35.616]  The drug war kills far more people than massacres do.
[00:12:36.542 --> 00:12:43.286]  It's my estimation if you were to end the drug war, you'd see homicide rates drop by at least 40% inside of two years.
[00:12:43.827 --> 00:12:48.269]  And in the month of January, Chicago had 40 homicides.
[00:12:49.355 --> 00:12:57.037]  I wonder what would have happened if this had happened in Texas, and it wasn't drug-related, it was just some madman, you know, walking in and killing a person.
[00:12:57.557 --> 00:12:59.038]  The liberals would be going crazy.
[00:12:59.558 --> 00:13:05.579]  But there you go, these bastions of gun control, these cities, you continue to see more and more violence.
[00:13:05.619 --> 00:13:14.742]  The city of Oakland, California, cops have said that they can't control the situation anymore, and they have very strict gun control laws in Oakland.
[00:13:15.765 --> 00:13:17.106]  That hasn't helped in that city either.
[00:13:17.146 --> 00:13:19.728]  Now, moving on to some more positive news.
[00:13:19.768 --> 00:13:25.351]  We want to end this segment with some positive news in an article posted today on InfoWars.com.
[00:13:25.652 --> 00:13:32.556]  The headline reads, most Americans see government as, quote, threat to rights for first time.
[00:13:33.017 --> 00:13:44.064]  The article posted by Paul Joseph Watson says, a new poll released by the Pew Research Center has found that a majority of Americans now see the government as a threat to their rights for the first time ever.
[00:13:44.184 --> 00:13:45.565]  Thank God more people are waking up.
[00:13:46.245 --> 00:14:03.155]  According to Pew Research, a total of 53% of Americans view the government as a threat to their personal rights and freedoms, with 43% just loving the government and not believing it poses a threat, and 4% in a complete coma saying they don't know.
[00:14:03.355 --> 00:14:04.096]  They have no opinion.
[00:14:04.136 --> 00:14:05.897]  But I bet you they know who won the Nick game last night.
[00:14:06.517 --> 00:14:13.710]  So 53% saying there's an issue, 43% saying they're not so sure, and 4% of the public completely comatose.
[00:14:14.351 --> 00:14:16.956]  But it's good to see that the tides are turning.
[00:14:18.050 --> 00:14:19.651]  And you're in for a real treat.
[00:14:19.771 --> 00:14:22.773]  Tonight is our inaugural music edition.
[00:14:23.473 --> 00:14:29.976]  And we're going to, you're going to see an artist, a patriotic musician by the name of Tatiana Morose.
[00:14:30.477 --> 00:14:31.857]  She's going to be singing here.
[00:14:31.918 --> 00:14:36.340]  She came earlier today and she sung right in our studio a wonderful song.
[00:14:36.720 --> 00:14:40.042]  So stay tuned for this inaugural music edition.
[00:14:44.781 --> 00:14:50.765]  I'm Darren McBreen and these are some of the new items that are available now at InfoWarsShop.com.
[00:14:50.886 --> 00:14:56.330]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:14:56.430 --> 00:15:00.092]  Obama's joker face on the front and come and take it on the back.
[00:15:00.312 --> 00:15:04.235]  It's time to publicly call him out for what he is, a tyrant.
[00:15:04.355 --> 00:15:08.218]  Defend the second amendment with our top seller come and take it t-shirts.
[00:15:08.358 --> 00:15:12.461]  And look at that, women's cut tank tops and t-shirts now available.
[00:15:12.601 --> 00:15:13.082]  Nice hat.
[00:15:13.382 --> 00:15:15.464]  Plus, the Don't Tread On Me flag.
[00:15:15.504 --> 00:15:19.588]  And now, you can become a micro-distributor of the Info Wars magazine.
[00:15:19.628 --> 00:15:23.651]  Plus, get your own copy delivered right to your door each and every month.
[00:15:24.172 --> 00:15:32.819]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:15:33.119 --> 00:15:39.145]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:15:40.856 --> 00:15:44.375]  So join the revolution at infowarshop.com.
[00:15:49.986 --> 00:15:54.009]  InfoWars Magazine is more than just our answer to the internet kill switch.
[00:15:54.689 --> 00:16:08.559]  We're also going back to the roots of this country, when our founders, for a decade before 1776, known as the Pamploteers, with hundreds of little printing presses in every colony, got out the real news, the real information, and countered the system.
[00:16:08.899 --> 00:16:13.702]  This is tailored design with the truth to wake up your friends and family.
[00:16:13.983 --> 00:16:17.025]  This is the 21st century version of the Pamploteers.
[00:16:17.605 --> 00:16:21.007]  Get them at Infowarshop.com or Infowarsstore.com.
[00:16:21.467 --> 00:16:22.728]  Sign up and buy them in bulk.
[00:16:23.188 --> 00:16:29.231]  Sign up and be a micro-distributor for a full year to buy them in bulk and get one of the new stands added.
[00:16:29.851 --> 00:16:33.993]  Or sign up and get 12 issues delivered to your door or give a gift subscription.
[00:16:34.273 --> 00:16:37.815]  Whatever you do, be part of the fight and I want to salute
[00:16:38.115 --> 00:16:50.212]  And thank all of you that are subscribers and are getting the magazine in bulk or who have ever come to InfoWarsTore.com and bought any of our products because we are supported by patriots and liberty lovers like you.
[00:16:50.572 --> 00:16:52.095]  We couldn't do it without you.
[00:17:00.123 --> 00:17:03.285]  We are now joined by musician Tatiana Moroz.
