[00:00:08.922 --> 00:00:13.085]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:13.746 --> 00:00:14.546]  You want answers?
[00:00:15.347 --> 00:00:16.268]  Well, so does he.
[00:00:16.888 --> 00:00:20.551]  He's Alex Jones on the GCN Radio Network.
[00:00:21.071 --> 00:00:25.134]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.268 --> 00:00:33.589]  And a rousing good morning.
[00:00:33.749 --> 00:00:37.150]  Catherine Albrecht here, filling in for Alex Jones.
[00:00:37.210 --> 00:00:40.252]  Let's hope he gets a good, well, a week of well-deserved rest.
[00:00:40.832 --> 00:00:52.617]  Alex Jones, on the front lines of liberty out there defending our rights, out there fighting against the globalists and the folks like Piers Morgan, who would take away your guns and your rights and all of your freedoms.
[00:00:52.757 --> 00:00:59.180]  Well, you know, even Alex Jones, hard to believe, because it's hard to believe that man ever gets tired or ever rests.
[00:01:00.460 --> 00:01:01.341]  We're encouraging him.
[00:01:01.681 --> 00:01:02.802]  Hey, get a back rub.
[00:01:02.942 --> 00:01:03.682]  Take a little break.
[00:01:03.742 --> 00:01:04.883]  So I'm sitting in with you.
[00:01:05.424 --> 00:01:07.585]  I will be with you today, Monday.
[00:01:07.805 --> 00:01:09.306]  This is March 4th, 2013.
[00:01:09.406 --> 00:01:12.989]  I'll also be with you Tuesday and Friday as well.
[00:01:13.289 --> 00:01:14.129]  And you may know me.
[00:01:14.290 --> 00:01:18.933]  My radio program broadcasts not long after Alex's on the same network, the GCN Network.
[00:01:19.353 --> 00:01:21.014]  Catherine Albrecht is my name.
[00:01:21.054 --> 00:01:21.955]  I've been a regular guest.
[00:01:22.515 --> 00:01:36.481]  on Alex's show in the past and you probably know me either as the RFID lady or the privacy lady or maybe the lady who's out there always telling you to get off of Google and make the switch over to start page, that private search engine we've been talking about for a while.
[00:01:36.982 --> 00:01:38.862]  So it is my pleasure to be with you today.
[00:01:38.882 --> 00:01:42.024]  I've got a pretty exciting show lined up for you.
[00:01:42.204 --> 00:01:44.585]  Alex said, hey, bring some of your best guests on.
[00:01:44.605 --> 00:01:46.566]  So I'm going to be doing that today.
[00:01:46.766 --> 00:01:59.495]  First hour, I want to give you some updates from the news, bring a couple of things to your attention in terms of how the technology is merging to create what I've been referring to as the giant, hey, you know, I got a name for it.
[00:01:59.515 --> 00:02:00.576]  How about the web?
[00:02:01.357 --> 00:02:02.237]  Ooh, the web.
[00:02:02.257 --> 00:02:02.958]  How about the net?
[00:02:03.138 --> 00:02:03.899]  Let's call it that.
[00:02:04.919 --> 00:02:06.921]  Trouble is, that's what it's already called.
[00:02:07.489 --> 00:02:20.659]  But if you put it all together, you realize that all of these technologies are combining to create prison walls, whether it is a net, whether it is a web, whether it's a jail, whether it's a prison, lots of ways you can refer to it.
[00:02:21.260 --> 00:02:33.329]  And the crazy part about this, I think our ancestors, especially back in the days of, you know, John sitting there on the island of Patmos, taking down some dictation from the big guy in the sky in the Book of Revelation,
[00:02:33.849 --> 00:02:43.316]  I think he would have said, I can't imagine that anybody's going to welcome the changes that come about as this global entity takes form.
[00:02:43.696 --> 00:02:48.500]  And yet we look around ourselves and we see that people are welcoming it with open arms.
[00:02:48.580 --> 00:02:49.240]  Isn't it crazy?
[00:02:49.641 --> 00:02:57.867]  It's almost like there's a degree of discernment that some people have and a degree of discernment that other people seem to not have ears at all to hear.
[00:02:58.547 --> 00:03:07.915]  But if you are listening to this radio program, if you're a regular listener to Alex Jones or to my own show, then I'm guessing that you have ears to hear and you're feeling something coming.
[00:03:08.876 --> 00:03:09.257]  Something.
[00:03:10.097 --> 00:03:15.122]  And that something that's coming, when you really feel it down in your bones, it probably gives you a little bit of a chill.
[00:03:15.622 --> 00:03:15.922]  Maybe.
[00:03:16.123 --> 00:03:18.004]  Maybe makes the hair stand up on the back of your neck.
[00:03:18.245 --> 00:03:19.546]  Well, there's other people out there
[00:03:19.966 --> 00:03:25.551]  Who are dancing with joy at the development of the encroaching technology.
[00:03:25.972 --> 00:03:29.916]  Several of those folks out there, one of them, you'll get a kick out of this one, Justin Bieber.
[00:03:29.936 --> 00:03:32.078]  Yeah, any Justin Bieber fans out there?
[00:03:32.418 --> 00:03:33.179]  Yeah, I didn't think so.
[00:03:33.639 --> 00:03:42.107]  Well, Justin Bieber's latest plan, he has actually been enlisted as one of many, of a long line of folks here, enlisted to promote
[00:03:42.908 --> 00:03:50.930]  And make cool, at least to his following, his fans, to make the idea of embracing this future technology very cool.
[00:03:51.110 --> 00:04:01.453]  Yeah, Justin Bieber, he's actually marketing a prepaid card so that kids will get away from using cash and move into using numbered payment systems.
[00:04:01.513 --> 00:04:03.554]  Give you more details on that as we come back.
[00:04:03.574 --> 00:04:05.114]  I've got a break coming up here in just a moment.
[00:04:05.474 --> 00:04:11.736]  I also want to talk about how those spy drones, turns out they've been in use now, spying on Americans for the last seven years.
[00:04:12.356 --> 00:04:14.197]  Yeah, we just started hearing about these last year.
[00:04:15.998 --> 00:04:25.442]  By the time we hear about it, usually this stuff's been around for a couple of years at the very least, and even the seven years may be an understatement as to how long this stuff has been going on.
[00:04:25.482 --> 00:04:30.805]  But yeah, we've got the drones now getting equipped with eavesdropping surveillance.
[00:04:31.525 --> 00:04:37.687]  ...technology on board, so not only can they spy on you and look through your window, but they'll also be able to listen to you.
[00:04:37.807 --> 00:04:44.470]  All right, we'll be right back, right after this break coming up, and then the final thing I want to talk about this hour is national service.
[00:04:44.810 --> 00:04:45.890]  Yeah, you want to sign up for that?
[00:04:46.451 --> 00:04:53.313]  It's not compulsory military service they're promoting now, but compulsory public service, and guess who's going to be defining what that is?
[00:04:53.453 --> 00:04:57.054]  All right, I'm your host for this, uh, today's show at least, Kathryn Albrecht.
[00:04:57.074 --> 00:04:57.835]  Fill it in for Alex.
[00:04:58.135 --> 00:04:58.515]  Stay tuned.
[00:05:04.167 --> 00:05:05.808]  Introducing Pro-1.
[00:05:06.048 --> 00:05:09.570]  All of your filtration in one system, portable, on-the-go.
[00:05:09.710 --> 00:05:14.113]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:14.233 --> 00:05:20.237]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:20.357 --> 00:05:31.143]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:05:31.343 --> 00:05:37.645]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:05:37.825 --> 00:05:52.571]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:05:53.672 --> 00:06:00.457]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:06:04.412 --> 00:06:11.275]  It's no secret that pathogens such as bacteria, viruses, moles and fungus can inflict severe damage in the human body.
[00:06:11.435 --> 00:06:15.877]  Fortunately, a new and vastly improved silver solution has been developed.
[00:06:16.077 --> 00:06:26.662]  Supernatural Silver is a revolutionary, broad-spectrum, antibacterial, antiviral, antifungal solution that can be used inside the body as well as on the skin.
[00:06:26.882 --> 00:06:32.144]  Supernatural Silver is unique and superior to colloidal and ionic silvers.
[00:06:32.344 --> 00:06:40.470]  Using a patented technology that is highly effective against colds, flus, infections, food poisoning, and yeast, in addition to many other pathogens.
[00:06:40.790 --> 00:06:49.577]  Supernatural Silver is scientifically supported, extremely safe, and is the number one choice of thousands of people for immune system support.
[00:06:49.657 --> 00:06:53.200]  Find out how Supernatural Silver could change your life.
[00:06:53.340 --> 00:06:57.283]  Go to SupernaturalSilver.com and use the promo code HEALTHY
[00:07:04.164 --> 00:07:07.225]  You prepare by purchasing gold, food, and firearms.
[00:07:07.565 --> 00:07:13.026]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
