[00:00:26.773 --> 00:00:28.438]  Welcome to the Info Wars Nightly News.
[00:00:28.559 --> 00:00:29.722]  I'm your host, Jakari Jackson.
[00:00:30.083 --> 00:00:32.370]  This is what we have in store for you for this February 25th, 2013 edition.
[00:00:36.570 --> 00:00:47.459]  Tonight, on the InfoWars Nightly News, the drone lobbyists are circling our liberties as they ask for lethal drones to be approved for use within the United States.
[00:00:48.100 --> 00:00:53.184]  Plus, breaking video of a drone used to spy on a private gun sale.
[00:00:53.585 --> 00:00:59.670]  Then, Beretta tells Maryland they're jumping ship if the gun law is enacted.
[00:01:00.090 --> 00:01:03.273]  All that and more on the InfoWars Nightly News.
[00:01:14.266 --> 00:01:14.967]  And welcome back.
[00:01:15.167 --> 00:01:16.468]  Top story, headline.
[00:01:16.849 --> 00:01:20.252]  Lobbyists demand approval for lethal drones within the United States.
[00:01:20.833 --> 00:01:24.837]  Applewhite admits UAVs have been used for indiscriminate killings.
[00:01:25.177 --> 00:01:29.521]  Now before we go too much further, we actually have a video of Mr. Applewhite making his argument.
[00:01:29.762 --> 00:01:31.243]  So let's take a look and see what he has to say.
[00:01:31.263 --> 00:01:34.566]  We have moved away from indiscriminate killing to discriminate killing.
[00:01:35.467 --> 00:01:43.156]  And we now have basically a star chamber set up that can pinpoint somebody on the other side of the planet and zap that individual.
[00:01:43.757 --> 00:01:47.781]  Why are we denying ourselves this great technology that's now available?
[00:01:48.382 --> 00:01:54.669]  Our law enforcement officials, we do a careful screening, a lot of training, and each one of them has lethal force on their hip.
[00:01:55.964 --> 00:02:03.134]  We're saying we give them the judgment to be able to pull this thing out and use it up to and including lethal force.
[00:02:04.336 --> 00:02:08.902]  Why is this technology so much different to say you've got it in your trunk, pull it out, use it now?
[00:02:10.219 --> 00:02:16.123]  No, as Applewhite mentioned there, he talked about cops, you know, having firearms and maybe a shotgun in the car.
[00:02:16.163 --> 00:02:19.285]  He said, what's different from that versus pulling out a drone?
[00:02:19.665 --> 00:02:31.853]  Well, Mr. Applewhite, when you take into account, and this is no way bashing the police, but the police aren't always the most accurate, and anybody would have an accuracy problem in a pressure situation, such as the Empire State Building, when I believe was
[00:02:32.353 --> 00:02:33.054]  I don't know.
[00:02:42.805 --> 00:02:55.012]  Maybe the, just to backtrack, maybe the Empire State Building was just lack of accuracy, but the Chris Dorner situation was a lack of confidence where the police were opening fire on people in vehicles that did not even match the description.
[00:02:55.472 --> 00:03:09.060]  So if we can't have accuracy and discernment when it comes to things such as firearms, just pistols and shotguns, I don't want drones flying around because no man-made weapon is immune to human error.
[00:03:09.620 --> 00:03:11.062]  And that's my take.
[00:03:11.102 --> 00:03:16.669]  And we've done many reports on drones in the past, so I'm not going to labor on this issue too much longer.
[00:03:16.709 --> 00:03:17.750]  We'll move on to our next one.
[00:03:18.250 --> 00:03:22.175]  DHS-funded drone spies on private gun sales.
[00:03:22.195 --> 00:03:22.956]  You'll love this one.
[00:03:23.296 --> 00:03:29.404]  The promotional video for a surveillance drone now being purchased by law enforcement bodies across the country will aid
[00:03:29.884 --> 00:03:30.484]  We're good to go.
[00:03:46.693 --> 00:04:07.188]  The dispatcher is watching the video and he's saying hey let's let's look at these guys and you know the guy he gets out and he has the gun in his hand and he's somehow depicting that this is a an illegal activity and you can actually hear the guy on the video if you watch it on InfoWars.com saying oh man that gun has a it has a scope on it it has a flashlight on it as if those are illegal
[00:04:07.968 --> 00:04:17.171]  Accessories and you look at the guy and the guys wearing a trench coat, so he must be evil So it's a it's a training aid used to demonize a clearly legal activity.
[00:04:17.212 --> 00:04:37.379]  You can definitely Exchange firearms and that's that's no problem But they're trying to depict this as being some type of illegal activity but getting back to the drone usage the company's website notes that drones are fitted are not fitted with weapons currently and They're not available to law enforcement, but they want to change that as the the gentleman just said in our last video
[00:04:38.482 --> 00:04:43.926]  Former Obama press secretary was ordered to act as if drone program did not exist.
[00:04:43.966 --> 00:04:44.567]  Let's take a look.
[00:04:44.927 --> 00:04:48.850]  Robert Gibbs, the former White House press secretary under Obama, said this.
[00:04:49.451 --> 00:04:58.878]  When I went through the process of becoming press secretary, one of the first things they told me was, you're not even to acknowledge the drone program, Gibbs said on MSNBC.
[00:04:59.399 --> 00:05:03.222]  Gibbs said that he was told, you're not even to discuss that it exists.
[00:05:03.722 --> 00:05:06.745]  And why wouldn't they want to discuss that this program doesn't exist?
[00:05:07.305 --> 00:05:12.670]  Because the drone program under Obama administration and many other presidents have done many dirty deeds.
[00:05:12.731 --> 00:05:16.814]  I'm not just pegging all Obama, but this situation with the drones.
[00:05:17.095 --> 00:05:25.263]  When you look at Pakistan, just as one example, where 80% of the people killed in Pakistan by drones were non-combatants, not their enemy targets.
[00:05:26.203 --> 00:05:28.784]  And so, you don't want to draw attention to this issue.
[00:05:29.264 --> 00:05:36.846]  So, just like in the previous examples, when you have your law enforcement out there flying drones around, you don't want people to think about the kids who got their faces blown off.
[00:05:36.906 --> 00:05:41.247]  And you can go to Infowars.com and type in Obama orders children murdered.
[00:05:41.568 --> 00:05:50.070]  A great video we produced showing the people, or just the children specifically, that have been killed up to that date under the Obama administration's drone attack.
[00:05:50.650 --> 00:05:54.134]  And we've discussed drones at great length here at InfoWars.
[00:05:54.455 --> 00:06:05.428]  So if you're a PrisonPlanet.TV subscriber, even if you're not, go there get yourself a 15-day free trial and you can look in November and December of last year all the drone information you could ever want.
[00:06:05.448 --> 00:06:07.090]  So definitely go and check that out.
[00:06:08.007 --> 00:06:09.587]  We move now to our next article.
[00:06:09.987 --> 00:06:14.748]  Dead French photographer was State Department-funded, embedded with Al-Qaeda.
[00:06:14.768 --> 00:06:15.648]  Let's take a look.
[00:06:16.009 --> 00:06:23.590]  A French photographer recently killed in Syria was embedded with terrorist militants in Idlib, northern Syria, and was working on behalf of the U.S.
[00:06:23.610 --> 00:06:28.531]  State Department's National Endowment for Democracy-funded Reporters Without Borders.
[00:06:29.091 --> 00:06:34.012]  Idlib, Syria, along with much of northern Syria, is admittedly overrun with Al-Qaeda.
[00:06:34.512 --> 00:06:35.012]  We're good to go.
[00:06:56.298 --> 00:06:56.799]  I don't know.
[00:07:12.299 --> 00:07:12.679]  I don't know.
[00:07:37.181 --> 00:07:38.384]  Let's move on to our next article.
[00:07:38.745 --> 00:07:43.055]  Beretta tells Maryland it will move operation if gun law isn't acted.
[00:07:43.684 --> 00:07:54.449]  Jeff Ray, a member of the Board of Directors for Beretta, told lawmakers the company opposes Maryland's Senate Bill 281, otherwise known as the Firearm Safety Act of 2013.
[00:07:55.930 --> 00:08:08.416]  And if you go to the top and click that link, BizPak Review, it will take you to this, where you can see, some armorers have banded together and vowed to refuse to do business with any state enacting strict gun control measures.
[00:08:08.876 --> 00:08:12.418]  Beretta is taking an even more direct approach, telling Maryland,
[00:08:13.078 --> 00:08:14.079]  And I believe it was Smith and Wesson.
[00:08:28.331 --> 00:08:36.897]  Who's in the state of New York, and they were talking about moving their operations if New York, you know, pushed through their tough gun legislation, which they did.
[00:08:36.937 --> 00:08:40.519]  And I believe Oklahoma welcomed them with open arms.
[00:08:41.059 --> 00:08:43.441]  And come on down to Oklahoma, that's where I'm from.
[00:08:43.501 --> 00:08:48.024]  And especially, I don't know if you guys sell your guns straight out of the factory, but I'd love to see something like that.
[00:08:48.404 --> 00:08:55.349]  So move out of New York, Smith and Wesson, and you can move to Oklahoma as well, Beretta, and we'll just call it good.
[00:08:55.849 --> 00:08:58.430]  Now we'll move on to a different segment in our newscast.
[00:08:58.850 --> 00:09:03.271]  Why is Walmart worried payroll tax could cut consumer spending?
[00:09:03.631 --> 00:09:04.651]  Let's take a look right here.
[00:09:05.711 --> 00:09:18.014]  Retailers, restaurants, and consumer goods companies like Walmart are lowering sales forecasts and adjusting marketing campaigns ahead of expectations that consumers will slash spending, the Wall Street Journal reports.
[00:09:19.269 --> 00:09:21.910]  The payroll tax cut expired January 1st of this year.
[00:09:22.310 --> 00:09:33.834]  The restoration of the tax effectively raised the rate from 4.2% in 2012 to 6.2% in 2013, saving 2% from consumers' take-home pay.
[00:09:34.214 --> 00:09:35.254]  Yeah, you remember that video?
[00:09:35.294 --> 00:09:38.375]  He said, I'm not going to raise your payroll tax.
[00:09:38.435 --> 00:09:40.216]  I'm not going to raise your XYZ tax.
[00:09:40.556 --> 00:09:43.597]  And we actually have a video, and I want everybody to take into account these words.
[00:09:43.617 --> 00:09:44.137]  Let's take a look.
[00:09:44.961 --> 00:09:46.262]  A total disaster.
[00:09:46.322 --> 00:09:50.624]  That is what one Walmart executive reportedly wrote about a plunge in sales.
[00:09:50.864 --> 00:09:53.566]  Walmart is considered a bellwether for our overall economy.
[00:09:53.886 --> 00:09:59.249]  And what they told us this morning is that the payroll tax cut is impacting consumers.
[00:09:59.569 --> 00:10:07.734]  That hike that we saw at the beginning of the year, the 2% hike, which takes about $20 out of people's weekly paychecks, that's hitting their consumer.
[00:10:07.854 --> 00:10:12.477]  And there's a temporary knock on the consumer right now because refunds have been delayed.
[00:10:14.486 --> 00:10:17.008]  Alright, that actually ties in with our last article.
[00:10:17.349 --> 00:10:35.584]  It's more of the same, talking about the payroll tax cuts and whatever else tax cuts, saying that, I won't raise your tax, and you can see it right there, the National Retail Federation is talking about 7 in 10 Americans adjusting spending plans to cope with recent payroll tax changes, according to the NRF.
[00:10:36.565 --> 00:10:47.391]  But remember, he said, I think that was the big press conference, he's like, I'm on TV so everybody knows it, I'm not going to raise your taxes, I'm not going to do this, I'm not going to do that, and as the saying goes, he's going to do more.
[00:10:47.931 --> 00:10:52.014]  And we'll end right now with our quote of the day, and this is from Thomas Paine.
[00:10:52.554 --> 00:10:57.977]  A little matter will move a party, but it must be something great that moves a nation.
[00:10:58.117 --> 00:10:59.478]  And that from Thomas Paine.
[00:10:59.918 --> 00:11:04.664]  Now let's go and do it for our news portion of the news tonight and stay tuned right after this break.
[00:11:04.684 --> 00:11:13.754]  We'll be back with Alex Jones and his interview with Ted Nugent that was on the Alex Jones Radio Show and I believe Ted will be back later on this week as well as some other big guests.
[00:11:13.814 --> 00:11:18.059]  I can't even tell you everybody who's going to be on this week and people say, who are you going to have on?
[00:11:18.079 --> 00:11:19.040]  We already had Ron Paul.
[00:11:19.780 --> 00:11:21.821]  Today, and we had some big guests last week.
[00:11:22.181 --> 00:11:24.543]  Sheriff Clark, you know, made the Drudge Report with us.
[00:11:24.903 --> 00:11:31.186]  But just stay tuned, this week we'll probably have some big guests, not just here on the InfoWars Nightly News, but also on the Alex Jones Radio Show.
[00:11:31.606 --> 00:11:38.049]  If you want to support this broadcast, stop by PrisonPlanet.tv, get yourself a 15-day free trial, you can see it right there.
[00:11:38.450 --> 00:11:41.051]  There goes Uncle Ted, as Alex likes to call him.
[00:11:41.711 --> 00:11:44.852]  And Immortal Technique, we actually got to hang out with that guy on Friday.
[00:11:44.892 --> 00:11:45.912]  He's a real cool guy.
[00:11:46.252 --> 00:11:47.312]  Very smart, very smart.
[00:11:47.332 --> 00:11:49.553]  A lot of people think these hip-hop guys aren't smart.
[00:11:49.573 --> 00:11:52.153]  That guy was definitely on top of his game.
[00:11:52.493 --> 00:11:54.814]  And also check out Planet Info Wars.
[00:11:55.174 --> 00:11:59.415]  You can meet with other Patriots, other like-minded people, whatever you want to talk about.
[00:11:59.435 --> 00:12:08.577]  If you want to talk about just general rights, if you want to get together and go shooting, if you want to meet up with somebody and go on a date, it's all right there on Planet Info Wars.
[00:12:08.877 --> 00:12:14.066]  Like I said, that's going to do it for this segment of the Info Wars Nightly News, but stay tuned for Alex Jones and Ted Nugent.
[00:12:18.285 --> 00:12:21.548]  ProPure is introducing ProOne.
[00:12:22.168 --> 00:12:26.312]  All of your filtration in one system, portable, on the go.
[00:12:27.072 --> 00:12:30.815]  This is the ProOne by ProPure.
[00:12:31.075 --> 00:12:32.296]  You wanted it, you got it.
[00:12:32.677 --> 00:12:37.581]  No more do you have two or three filters to just reduce sodium fluoride.
[00:12:38.081 --> 00:12:42.545]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:12:45.427 --> 00:12:57.534]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:12:58.415 --> 00:13:01.677]  It cuts out the acid derivative of fluoride.
[00:13:02.017 --> 00:13:05.219]  It is the only one that does it and out of the gates!
[00:13:05.719 --> 00:13:09.482]  We have it discounted at 10% off with promo code WATER.
[00:13:10.362 --> 00:13:29.014]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:13:29.574 --> 00:13:32.636]  This is a revolution against the tyrants.
[00:13:32.956 --> 00:13:38.520]  They love putting the toxic acid base of fluoride into your water.
[00:13:38.560 --> 00:13:45.945]  They love the fact that it's an adjuvant supercharging the trace Prozac in the water and the hormones and the other chemicals.
[00:13:46.466 --> 00:13:54.832]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:13:55.532 --> 00:13:56.653]  This is what I use.
[00:13:57.133 --> 00:13:57.974]  It's a win-win.
[00:13:58.294 --> 00:14:00.435]  You get a high quality product at the lowest price.
[00:14:00.715 --> 00:14:01.976]  You support the InfoWar.
[00:14:02.316 --> 00:14:08.120]  Get your Pro Pure with the new Pro One filters today at InfoWarStore.com or by calling 888-253-3139.
[00:14:15.310 --> 00:14:19.471]  InfoWars.com is proud to introduce the new InfoWars skateboards by Alien Workshop.
[00:14:20.011 --> 00:14:22.012]  Skaters have always been against the grain socially.
[00:14:22.312 --> 00:14:23.653]  Now wake up your friends politically.
[00:14:23.993 --> 00:14:25.593]  Just go to InfoWarsStore.com.
[00:14:25.893 --> 00:14:27.634]  We have Divide and Conquer or Brainwashing.
[00:14:28.074 --> 00:14:33.536]  Then take your deck to your local skate shop, pick out your own trucks, your own wheels, and then hit the streets and wake some people up.
[00:14:33.896 --> 00:14:35.696]  Here is legendary skateboarder Jake Nunn.
[00:14:36.116 --> 00:14:38.397]  This one has a lot more concave than I have on my board.
[00:14:38.657 --> 00:14:39.477]  And I like concave.
[00:14:39.818 --> 00:14:41.678]  It makes it easier to turn and feel the board.
[00:14:42.458 --> 00:14:42.958]  It's pretty cool.
[00:14:42.999 --> 00:14:44.379]  I mean, it's almost the same shape as mine.
[00:14:45.319 --> 00:14:47.040]  It's not really a sport and it's not really art.
[00:14:47.500 --> 00:14:49.360]  It's just kind of freedom, you know?
[00:14:49.660 --> 00:14:52.862]  I've listened to Alex Jones for a long time and I love what InfoWars does.
[00:14:53.222 --> 00:14:54.622]  I've always loved the Alien Workshop too.
[00:14:54.902 --> 00:14:56.323]  I think it's kind of cool you guys got together.
[00:14:57.303 --> 00:14:58.063]  This one's pretty nice.
