[00:00:22.449 --> 00:00:24.070]  It's Tuesday, September 3rd, 2013.
[00:00:25.692 --> 00:00:26.832]  I'm Paul Joseph Watson.
[00:00:26.872 --> 00:00:28.694]  This is InfoWars Nightly News.
[00:00:30.315 --> 00:00:36.400]  Tonight, Syria's chemical weapons turn out to be sodium fluoride, the same used in the U.S.
[00:00:36.440 --> 00:00:37.280]  water supply.
[00:00:38.101 --> 00:00:43.745]  Then, as the military revolts against Obama, the mainstream media claims it's nothing but a hoax.
[00:00:44.706 --> 00:00:48.469]  And even Rush Limbaugh thinks the Syrian conflict could be a frame job.
[00:00:48.889 --> 00:00:51.971]  Looking here at a frame job.
[00:00:52.332 --> 00:00:53.352]  Alex Jones reports.
[00:00:54.013 --> 00:00:56.975]  That's next on the Info Wars Nightly News.
[00:00:57.595 --> 00:01:00.597]  And you better pray to God they don't get this through!
[00:01:00.738 --> 00:01:05.521]  Top story tonight, Obama's Syria attack resolution authorizes boots on the ground.
[00:01:05.941 --> 00:01:11.826]  President Obama today claimed that there would be no US troops in Syria, telling reporters, this is not...
[00:01:12.586 --> 00:01:13.046]  Iraq.
[00:01:13.266 --> 00:01:14.607]  This is not Afghanistan.
[00:01:15.007 --> 00:01:31.572]  However, Harvard Law School Professor Jack Goldsmith warns that the White House's draft resolution for military intervention, which Congress is set to vote on, of course, next week, is so broad that it would authorize boots on the ground as well as regime change and open-ended war throughout the entire region.
[00:01:32.172 --> 00:01:37.213]  The proposed AUMF focuses on Syrian WMD, but is otherwise very broad.
[00:01:37.533 --> 00:01:43.274]  It authorizes the President to use any element of the US Armed Forces and any method of force rights.
[00:01:43.734 --> 00:01:44.415]  Goldsmith!
[00:01:45.155 --> 00:01:51.676]  The AUMF also contains no time limit for when this mandate expires without further Congressional approval.
[00:01:51.756 --> 00:02:00.318]  So it creates this open-ended war that would quote, quote, permit the President to use military force against any target, anywhere in the world,
[00:02:01.118 --> 00:02:10.147]  Including Iran or Lebanon, as long as the President, in his discretion, determines that the target has a connection to WND and the Syrian war.
[00:02:10.747 --> 00:02:19.496]  So remember that Kerry and other officials in the State Department have made it clear that if Congress votes no, Obama is going to go ahead and order the attack anyway.
[00:02:20.096 --> 00:02:23.460]  Obama was again asked that question today, he kind of evaded it.
[00:02:24.160 --> 00:02:37.678]  But as we've seen with the wider war on terror, everything that Congress greenlights, whether domestically or in the context of foreign affairs, inevitably gets used for far broader intentions than it was originally justified for.
[00:02:38.038 --> 00:02:39.300]  So the question remains, of course...
[00:02:39.700 --> 00:02:48.288]  Is Obama using this Congressional vote as an exit strategy for his potentially embarrassing step-back with his red-line rhetoric?
[00:02:48.768 --> 00:02:58.157]  Or, as Obama himself and other State Department officials have indicated, does Congress even matter since the decision to attack Syria has already been made anyway?
[00:02:58.877 --> 00:03:05.643]  And The Hill published an article today which indicates, in fact, that Congress will vote no on military intervention in Syria.
[00:03:06.063 --> 00:03:11.328]  They did an estimation of the nays and the yeses in Congress.
[00:03:11.648 --> 00:03:16.132]  Coming up, about 31 Congress members are going to vote no compared to 13.
[00:03:16.913 --> 00:03:17.673]  That's confirmed.
