[00:00:32.323 --> 00:00:33.004]  I'm good.
[00:00:39.926 --> 00:00:42.227]  Welcome to the InfoWars Nightly News.
[00:00:42.307 --> 00:00:47.149]  It is Monday, July 15, 2013, and I'm your host, Leigh Ann McAdoo.
[00:00:47.589 --> 00:00:48.649]  Tonight's top story.
[00:00:49.090 --> 00:00:54.192]  George Zimmerman was acquitted in the 2012 shooting death of Trayvon Martin.
[00:00:54.812 --> 00:01:02.595]  As promised, protests took place all over the country with thousands of people taking to the streets demanding justice for Trayvon.
[00:01:04.560 --> 00:01:09.083]  Oakland police stood down as protesters terrorized drivers.
[00:01:09.804 --> 00:01:19.771]  According to a report by ABC7, protesters had complete control of 14th and Broadway near Oakland City Hall and refused to let vehicles pass.
[00:01:20.631 --> 00:01:29.978]  At about 8.30 p.m., police opened the intersection to traffic, but it quickly deteriorated when demonstrators surrounded frightened drivers who found themselves trapped.
[00:01:30.778 --> 00:01:32.620]  The crowd forced them to turn around.
[00:01:33.812 --> 00:01:40.275]  Oakland police officers that had been near the corner retreated, leaving the helpless drivers without police protection.
[00:01:40.756 --> 00:01:43.417]  Now this is all very similar to what happened during the L.A.
[00:01:43.477 --> 00:01:52.182]  riots in 1992 when police there were ordered by their superiors to stand down in order that they wouldn't escalate the cycle of violence that was going on there.
[00:01:52.702 --> 00:01:59.606]  But because there was no police presence, 53 people died and more than 2,000 were injured during the L.A.
[00:01:59.666 --> 00:01:59.986]  riots.
[00:02:00.546 --> 00:02:12.558]  But apparently police this weekend weren't given the stand down order there because they fired rubber bullets at protesters and arrested several others who blocked off the 10 freeway in LA.
[00:02:13.459 --> 00:02:23.068]  Now when I first heard about the Justice for Trayvon protests and how they were backed financially by the Department of Justice and then of course with the new Black Panthers calling for
[00:02:23.849 --> 00:02:24.670]  Whitey riots.
[00:02:24.790 --> 00:02:33.140]  I thought, you know, they're going to let this play out and enact martial law, much like they did during the World Trade Organization riots in Seattle in 1999.
[00:02:36.038 --> 00:02:40.280]  The WTO, since its inception, has come across incredible opposition.
[00:02:40.900 --> 00:02:45.442]  Worldwide, because of its obvious authoritarian implications.
[00:02:46.303 --> 00:02:52.746]  That's a hard thing to deal with when you've got highly motivated people that have real complaints and valid issues.
[00:02:53.286 --> 00:02:54.427]  How do you deal with it?
[00:02:54.907 --> 00:02:56.888]  Well, you simply call in your friends.
[00:02:57.588 --> 00:03:03.591]  The left-coast communists posing as anarchists under Delta Force direction.
[00:03:09.827 --> 00:03:13.048]  They're breaking the bank window here.
[00:03:46.816 --> 00:03:48.818]  And so we're keeping a safe distance away from them.
[00:03:49.459 --> 00:03:56.565]  Several police officers have told us because they were assigned to control the protest crowds, they weren't allowed to break ranks and to stop the black block.
[00:03:56.906 --> 00:04:00.129]  So the group just continued destroying property for nearly an hour.
[00:04:01.311 --> 00:04:02.712]  What's wrong with this picture?
[00:04:02.772 --> 00:04:07.556]  If the police are supposedly there to protect the public and property, then why?
[00:04:07.836 --> 00:04:23.408]  Why did State Police, Seattle Police, as well as the Feds, stand back and allow the anarchists, en masse, to run around and throw bottles at police, cones, rocks, you name it, and assault private property, as well as members of the general public?
[00:04:24.079 --> 00:04:28.383]  Because they needed someone to demonize the rest of the good demonstrators.
[00:04:28.863 --> 00:04:39.632]  You see, the anarchists were actually given their own operations base, even during the curfew and civil emergency that was declared after their attacks.
[00:04:40.052 --> 00:04:42.194]  Boy, that was a good excuse to clear the streets.
[00:04:42.850 --> 00:04:48.773]  If you thought the anarchists who commandeered a privately-owned downtown building were out of town now, well, think again.
[00:04:49.234 --> 00:04:54.737]  As Cairo 7 Eyewitness News reporter Christina McKenna has found out, they're still here and still living rent-free.
[00:04:55.457 --> 00:05:00.920]  Susan, when these anarchists moved out of the building behind me on Saturday, a lot of people thought they should have been headed to jail.
[00:05:01.240 --> 00:05:10.786]  Instead, it turns out, a lot of them just headed around the corner, and they're now living in a building right over here, where they're enjoying electricity, hot water, and heat, all rent-free.
[00:05:12.714 --> 00:05:15.036]  Saturday afternoon was a celebration here.
[00:05:15.476 --> 00:05:22.000]  Seven days after they commandeered this downtown building, anarchists walked away without a word from police.
[00:05:22.301 --> 00:05:23.301]  It feels to me like we won.
[00:05:23.682 --> 00:05:25.423]  And at least some are still winning.
[00:05:25.723 --> 00:05:31.307]  As part of the deal to get them to surrender this building, anarchists were offered housing just around the corner.
[00:05:31.787 --> 00:05:32.828]  At the same price.
[00:05:33.388 --> 00:05:44.015]  The building is owned by the Low Income Housing Institute, a private non-profit that is in large part funded by the city, and is now working with the city to house the anarchists.
[00:05:44.215 --> 00:05:48.898]  First of all, the criminal trespass, if that was me or you or the average person out in the street, we'd be in jail.
[00:05:49.457 --> 00:05:52.579]  John Satoli can't believe the anarchists aren't in jail now.
[00:05:52.879 --> 00:06:01.624]  As a lawful tenant in the building the anarchists had seized, he was locked out of his packaging and shipping business for a week during his busiest season.
[00:06:02.064 --> 00:06:09.248]  Satoli can't believe he's now contemplating bankruptcy, and the people who put them there have paid no consequence at all.
[00:06:09.488 --> 00:06:10.069]  They walked away.
[00:06:10.089 --> 00:06:17.373]  They walked away and they, the city of Seattle, low-income housing, moved them across the street on me and yours taxpayers' dollars.
[00:06:18.328 --> 00:06:22.051]  So why didn't the police department arrest the anarchists when they moved out of that building?
[00:06:22.151 --> 00:06:27.254]  Well, that's a question a lot of people are asking, especially since the West Precinct is just down the block.
[00:06:27.594 --> 00:06:29.235]  We asked the police department this weekend.
[00:06:29.396 --> 00:06:30.416]  We asked them again today.
[00:06:30.436 --> 00:06:32.658]  They still haven't returned our call with an answer.
[00:06:34.899 --> 00:06:38.742]  Now, for the most part, these protests for Trayvon have been peaceful.
[00:06:38.802 --> 00:06:45.086]  So who knows if the powers that be are going to get their wish and inflame this racial tension in the country.
[00:06:45.547 --> 00:06:46.927]  But we do know that in Oakland,
[00:06:47.932 --> 00:06:56.859]  The freeways were blocked off, violence erupted there, and the police were just allowing the protesters to take over the city, scare drivers and innocent bystanders, and in L.A.
[00:06:57.100 --> 00:06:57.420]  as well.
[00:06:57.480 --> 00:06:59.522]  Who cares if anyone gets killed?
[00:06:59.902 --> 00:07:05.206]  Because Zimmerman is a whitey, racist cracker, and we must divide and conquer.
[00:07:05.747 --> 00:07:09.790]  Now, do I personally think that Zimmerman was wrong to go after Trayvon Martin?
[00:07:09.930 --> 00:07:10.811]  Yes, I do.
