[00:00:06.235 --> 00:00:08.076]  Aaron Dykes here for InfoWars.com.
[00:00:08.217 --> 00:00:12.019]  Obviously I'm outraged just about the use of executive orders themselves.
[00:00:12.420 --> 00:00:14.922]  It's very abusive of constitutional powers.
[00:00:15.262 --> 00:00:21.346]  The fact that he has bragged through his aides to the media in Reuters that he's going to act without Congress.
[00:00:21.487 --> 00:00:27.411]  It's even more outrageous that he staged this press conference exploiting children, bringing them on stage with him.
[00:00:27.771 --> 00:00:31.074]  The same Obama who fake cried over the Sandy Hook shooting.
[00:00:31.394 --> 00:00:33.776]  The same Obama who released the White House photo
[00:00:34.196 --> 00:00:35.637]  Showing him looking distraught.
[00:00:35.957 --> 00:00:39.018]  The same Obama who lied about the entire Bin Laden account.
[00:00:39.098 --> 00:00:43.160]  A staged photo of the Situation Room, supposedly watching the raid.
[00:00:43.501 --> 00:00:46.122]  The same Obama administration lying about Benghazi.
[00:00:46.442 --> 00:00:50.444]  But worse than that is the actual actions taken in those executive orders.
[00:00:50.764 --> 00:00:53.185]  And Obama's not even done with 23 of them.
[00:00:53.505 --> 00:00:58.548]  He's still going to ask Congress to reinstate the assault weapons ban and do even more.
[00:00:58.968 --> 00:01:05.854]  Now remember the words of Obama's first chief of staff, Rahm Emanuel, now mayor of the murder capital of the world, who also wants gun control.
[00:01:05.895 --> 00:01:08.357]  He said, never let a good crisis go to waste.
[00:01:08.717 --> 00:01:11.340]  It's an opportunity to do something you couldn't do before.
[00:01:11.440 --> 00:01:13.762]  You never want a serious crisis to go to waste.
[00:01:14.974 --> 00:01:18.675]  And what I mean by that, it's an opportunity to do things that you think you could not do before.
[00:01:18.735 --> 00:01:23.057]  Now it's on record the Obama administration's been pursuing gun control all along.
[00:01:23.117 --> 00:01:26.998]  I did a top ten list of the actions of his previous administration.
[00:01:27.458 --> 00:01:38.641]  Also, Senator Feinstein was amassing legislation to reinstitute the assault weapons ban at the time of the election and they were waiting to use the appropriate crisis that became Sandy Hook.
[00:01:38.941 --> 00:01:43.563]  So let's just remember they always wanted to exploit a good crisis and that's what we've seen now.
[00:01:43.803 --> 00:01:50.811]  With that in mind, at least two of Obama's executive orders on gun control institute a brainwashing mentality.
[00:01:50.871 --> 00:01:58.681]  Remember that Eric Holder, Attorney General, said in 1995 he wants to brainwash the American public on guns the way they did with cigarettes.
[00:01:58.701 --> 00:02:03.026]  Just really brainwash people into thinking about guns in a vastly different way.
