[00:00:21.542 --> 00:00:23.085]  Welcome to the Infowars Nightly News.
[00:00:23.285 --> 00:00:24.026]  I'm David Knight.
[00:00:24.107 --> 00:00:25.569]  It's Friday, August 23rd, 2013.
[00:00:25.609 --> 00:00:30.918]  Now our top story tonight is, what actor is going to play Batman?
[00:00:31.519 --> 00:00:33.062]  I'm sure that was what was on your mind.
[00:00:33.891 --> 00:00:51.496]  With war about to break out in the Middle East, which could turn into a world war, with the White House pushing for a race war here at home, and with the government spying on your every move and breaking every law to do so, the most important thing that was trending on Twitter and the mainstream media today was, who's going to play Batman?
[00:00:51.516 --> 00:00:56.297]  A lot of pushback that Ben Affleck has been chosen, perhaps, to play that.
[00:00:56.817 --> 00:00:58.838]  You know, it's hard to believe that
[00:01:00.239 --> 00:01:00.999]  We're good to go.
[00:01:22.290 --> 00:01:22.650]  I think so.
[00:01:52.415 --> 00:01:52.915]  Do you hear that?
[00:01:53.636 --> 00:01:56.619]  Just like Bush number one in the first Iraq war.
[00:01:57.039 --> 00:02:03.725]  He said, if this is done without a UN mandate about international law, well, what about American law?
[00:02:04.125 --> 00:02:06.427]  What about a declaration of war from the US Congress?
[00:02:07.188 --> 00:02:07.748]  Doesn't care.
[00:02:08.189 --> 00:02:08.949]  Doesn't care about that.
[00:02:09.009 --> 00:02:10.330]  Just like Bush didn't care about that.
[00:02:10.631 --> 00:02:13.733]  You think there's a difference between Bush's and Obama?
[00:02:14.354 --> 00:02:17.496]  You think there's a difference, for instance, between Obama and McCain?
[00:02:18.493 --> 00:02:19.213]  Think about this.
[00:02:19.473 --> 00:02:25.715]  We've got an attack being set for a Syrian invasion in motion following a reported chemical attack.
[00:02:25.735 --> 00:02:27.515]  This is a story from Infowars.com.
[00:02:28.055 --> 00:02:31.376]  Kurt Nemo writes, he's got a quote from John McCain.
[00:02:31.416 --> 00:02:32.797]  This is what McCain says about the war.
[00:02:32.837 --> 00:02:40.419]  He says, it's a long past for the United States and our friends and allies to respond to Assad's continuing mass atrocities in Syria.
[00:02:40.939 --> 00:02:41.219]  Really?
[00:02:41.299 --> 00:02:41.799]  Continuing?
[00:02:42.714 --> 00:02:51.620]  With decisive action, including limited military strikes to degrade Assad's air power and ballistic missile capabilities, said John McCain, the other choice that we were presented with in 2008.
[00:02:52.821 --> 00:03:01.608]  So Obama wants to move in as long as we've got the UN approval and don't break any international law, but of course McCain wants to go in right away.
[00:03:02.560 --> 00:03:13.610]  So the next time you have an election and somebody's trying to push on you that you should vote for the lesser of two evils, just understand there's no difference between the foreign policy between the Bush's and Obama's and the McCain's.
[00:03:14.090 --> 00:03:14.931]  They're all the same.
[00:03:14.951 --> 00:03:18.274]  They're all doing what the military-industrial complex wants them to do.
[00:03:18.875 --> 00:03:20.396]  And there's evidence now that the U.S.
[00:03:20.456 --> 00:03:23.919]  is not even waiting for even the U.N.
[00:03:23.939 --> 00:03:24.620]  to okay this.
[00:03:25.882 --> 00:03:30.303]  There's a report from Max Lavo based on an article from Le Figaro.
[00:03:30.463 --> 00:03:35.064]  The title is, Hundreds of American troops and CIA operatives have entered Syria.
[00:03:35.364 --> 00:03:42.206]  He says, If the following from France's second largest newspaper, Le Figaro, is accurate, then we must assume that war is now a foregone conclusion.
[00:03:42.586 --> 00:03:53.629]  According to our information, the regime's opponents, this is Le Figaro saying this, supervised by Jordanian, Israeli, and American commandos moving toward Damascus since mid-August.
[00:03:54.389 --> 00:03:58.710]  This attack could explain the possible use of the Syrian president in chemical weapons.
[00:03:59.051 --> 00:04:10.394]  According to the information presented by Le Figaro, the first trained in guerrilla warfare by the Americans and Jordan-Syrian troops reportedly entered into action since mid-August in southern Syria in the region of Daraa.
[00:04:10.974 --> 00:04:18.797]  A first group of 300 men, probably supported by Israeli and Jordanian commandos, as well as men of the CIA, crossed the border August 17.
[00:04:19.697 --> 00:04:20.758]  A second would have joined the 19th.
[00:04:21.778 --> 00:04:26.161]  And the French paper suggests that perhaps the Syrian government launched the gas attack because of this invasion.
[00:04:26.862 --> 00:04:27.422]  Not likely.
[00:04:27.462 --> 00:04:28.683]  The gas wasn't directed at them.
[00:04:28.703 --> 00:04:34.327]  But more importantly, Syria and their ally Russia know that this would galvanize opposition against them.
[00:04:34.347 --> 00:04:35.608]  They have no reason to do that.
[00:04:36.548 --> 00:04:38.129]  It's important to note that the U.S.
[00:04:38.169 --> 00:04:44.914]  standard method of operation to justify involvements in a war is to stage an attack that they then blame on the party that they wish to attack
[00:04:45.603 --> 00:04:45.823]  All right.
[00:05:03.297 --> 00:05:03.717]  I think so.
[00:05:25.999 --> 00:05:30.368]  Chemical weapons experts are saying that this doesn't look like a sarin attack.
[00:05:30.408 --> 00:05:33.895]  In another article from Infowars, from Paul Joseph Watson, titled, U.S.
[00:05:34.295 --> 00:05:38.043]  Trained Rebels Move Toward Damascus Days Before Chemical Weapons Attack.
[00:05:38.962 --> 00:05:44.144]  He quotes Paula Bananan of the Finnish Institute for Verification of the Chemical Weapons Convention.
[00:05:44.844 --> 00:05:54.748]  And this person's question says, at the moment, I am not totally convinced because the people that are helping them are without any protective clothing and without any respirators.
[00:05:55.409 --> 00:05:58.150]  In a real case, they would have been contaminated.
[00:05:58.490 --> 00:06:00.891]  They would have also been having symptoms.
[00:06:02.105 --> 00:06:18.278]  Although some experts are claiming nerve agent gas used was likely sarin, he says, compare the photos of the protective gear worn by Japanese chemical weapons specialists who did clean a metro station in Tokyo eight hours after a real bottle of sarin gas was thrown in 1995.
[00:06:18.679 --> 00:06:26.005]  Compare that to the complete lack of protective gear worn by those seen handling victims in the video footage released earlier this week.
[00:06:27.150 --> 00:06:29.352]  Now understand, people really died.
[00:06:29.592 --> 00:06:30.633]  Children really died.
[00:06:30.893 --> 00:06:35.937]  But when we're talking about the justification for war, it really matters how they died.
[00:06:36.357 --> 00:06:38.238]  And it matters who killed them.
[00:06:38.599 --> 00:06:41.461]  Because that's the basis of them pushing for war.
[00:06:41.801 --> 00:06:47.645]  And also understand that once this war starts out, it is going to be a lot more people dying and suffering.
[00:06:47.985 --> 00:06:49.326]  Dying agonizing deaths.
[00:06:49.787 --> 00:06:51.448]  So we need to look at this very carefully.
[00:06:51.728 --> 00:06:56.612]  We need to not be goaded into jumping into a war as Obama and McCain and the
[00:06:57.575 --> 00:07:00.578]  One war party that we have running Washington wants to do.
[00:07:00.778 --> 00:07:02.119]  That's precisely what they want.
[00:07:03.400 --> 00:07:07.223]  Now here at home, we have the White House pushing for a U.S.
[00:07:07.603 --> 00:07:08.104]  race war.
[00:07:09.265 --> 00:07:16.510]  And in an article that was written, co-written by Alex Jones and Paul Joseph Watson, they ask, is the media covering up the beginning of a race war?
[00:07:17.431 --> 00:07:26.919]  George Zimmerman's acquittal last month drew a line under nearly 18 months of hand-wringing over the threat posed to black people by racially charged hate crimes
[00:07:27.499 --> 00:07:41.936]  Yet we have a case this week where a baseball player from Australia, Lane, was slaughtered by a gunshot to the back as part of a gang initiation by three juveniles, an incident which the media tried to downplay initially as, quote, bored teens.
[00:07:42.697 --> 00:07:49.584]  Two of the suspects are black, and it subsequently emerged that one of the suspects had posted racist tweets on his account before the murder.
[00:07:49.604 --> 00:08:04.037]  Now, of course, Barack Obama, who's personally inserted himself into the Trayvon Martin case on two separate occasions, said he was not familiar with Lane's murder, according to the White House spokesman, and in light of several high-profile black-on-white murders in recent days,
[00:08:04.918 --> 00:08:15.002]  The invective has been noticeably less, virtually non-existent, and there on the screen you can see three people that in just the last couple of days have been brutally murdered.
[00:08:15.142 --> 00:08:21.145]  Two of them shot the elderly man in the center, an 88-year-old World War II veteran who was beaten to death.
[00:08:21.980 --> 00:08:27.688]  Now, compare this to the Trayvon Zimmerman case, which got essentially 24-7 coverage.
[00:08:27.708 --> 00:08:36.219]  It was always a lead story, always with a racist charge background being put in there to try to goad this race war into happening.
[00:08:37.387 --> 00:08:41.489]  Why is it that they're not talking about these racial attacks now?
[00:08:42.089 --> 00:08:50.754]  Well, because that's exactly what they were trying to stoke when these kids go on Twitter and talk about how they wanted to kill white people, beat white people.
[00:08:51.694 --> 00:08:57.637]  They're not attacked, they don't have their accounts shut down, and of course the White House and the mainstream media is not complaining about that.
[00:08:58.097 --> 00:09:02.079]  And in the case of one of these people that died, David Stantucci,
[00:09:03.820 --> 00:09:10.203]  The police, initially wanting to avoid any appearance of a racially charged crime, said that it was a burglary.
[00:09:10.643 --> 00:09:17.006]  Although, he didn't have his wallet stolen, he didn't have his car keys taken, and he didn't have his cell phone taken.
[00:09:17.955 --> 00:09:32.683]  So, they're going to every length that they can to ignore this, to downplay this when it is black on white, but when it is white on black, possibly, they try to play that up into something that, in the case of Zimmerman and Trayvon Martin, a jury agreed did not happen.
[00:09:33.263 --> 00:09:36.205]  Now, of course, there's another agenda just besides the race war.
[00:09:36.645 --> 00:09:40.467]  They also use this as a case for gun control.
[00:09:41.517 --> 00:09:44.978]  And they are coming in on these cases with gun control.
[00:09:45.018 --> 00:09:47.559]  Piers Morgan was quick to jump in on his agenda.
[00:09:48.119 --> 00:09:53.061]  And as usually, he likes to put this in as a gun control issue.
[00:09:53.501 --> 00:09:54.482]  This is what he tweeted.
[00:09:55.062 --> 00:10:02.585]  When an innocent Australian student is shot dead in Oklahoma for fun, America's gun crisis becomes the world's problem.
[00:10:03.482 --> 00:10:04.203]  Isn't that amazing?
[00:10:04.764 --> 00:10:17.459]  And then when people criticized him for blindly pushing his gun control agenda, he pushed back and said, memo to all the idiots tweeting me that the Australian student murder was a race crime, one of the three killers was white.
[00:10:18.854 --> 00:10:35.222]  Well, you know, when you look at this, he's saying this on Twitter, obviously not looking at the tweets that one of the accused killers put out there, which was obviously a racist tweet saying that he was going around attacking people just based on their race.
[00:10:36.274 --> 00:10:46.183]  But if he's going to blame a drive-by shooting and call for gun control, if he's going to blame the gun in that as opposed to the people who are pulling the trigger, why doesn't he call for banning cars?
[00:10:46.203 --> 00:10:50.087]  You know, you can't have a drive-by shooting if you don't have a car.
[00:10:50.723 --> 00:10:55.346]  The car was every bit as much of an instrument in the drive-by shooting as the gun was.
[00:10:55.986 --> 00:11:09.574]  But, you know, if you take away the gun, if you take away the car, they're just going to ambush people and kill them with a machete if they have that kind of hate that's been stoked by the mainstream media and the White House over and over again for a year and a half in the Trayvon Martin case.
[00:11:10.543 --> 00:11:13.205]  Now, why do they need a race war?
[00:11:13.265 --> 00:11:14.746]  Why do they need that kind of distraction?
[00:11:14.846 --> 00:11:19.829]  And why is the homeland Gestapo building up for a massive civil war?
[00:11:20.430 --> 00:11:23.072]  Well, we have an amazing memo that was released today.
[00:11:23.092 --> 00:11:25.854]  It was covered on Infowars.com.
[00:11:25.994 --> 00:11:27.755]  It was written by Greg Palast.
[00:11:29.384 --> 00:11:34.307]  And the title of it is, The Confidential Memo at the Heart of the Global Financial Crisis.
[00:11:34.968 --> 00:11:38.830]  And what he points out is that he got this memo sent to him from somebody.
[00:11:39.270 --> 00:11:47.996]  He says, when a little birdie dropped in the endgame memo, is what he calls it, through my window, its content was so explosive, so sick, and just plain evil, he couldn't believe it.
[00:11:48.036 --> 00:11:49.757]  But he actually did go through and verify it.
[00:11:50.257 --> 00:11:52.099]  And this is what's interesting about it.
[00:11:52.819 --> 00:11:53.479]  The players.
[00:11:54.060 --> 00:11:58.321]  The Treasury official playing the Bankers' secret endgame was Larry Summers.
[00:11:58.381 --> 00:12:02.903]  And of course, Larry Summers is Obama's choice to become Chairman of the U.S.
[00:12:02.923 --> 00:12:03.563]  Federal Reserve.
[00:12:04.384 --> 00:12:09.686]  And if the memo is authentic, he says, then Summers shouldn't be going to the Fed, he should be going to the prison.
[00:12:09.746 --> 00:12:12.107]  But he verified it as being authentic.
[00:12:12.547 --> 00:12:17.169]  And the interesting thing about this memo is that it is from Timothy Geithner.
[00:12:18.137 --> 00:12:27.827]  Who was a leading player at the Federal Reserve in New York during the TARP fiasco and is now Treasury Secretary under Obama.
[00:12:28.147 --> 00:12:29.488]  And this is what the memo said.
[00:12:29.508 --> 00:12:40.619]  It said, as we enter the endgame of the World Trade Organization financial services negotiation, I would believe it would be a good idea for you to touch base with CEOs.
[00:12:41.584 --> 00:12:48.131]  He sent this to Larry Summers, and he points out here that if Larry Summers had called him, that would have triggered, under U.S.
[00:12:48.211 --> 00:12:49.332]  law, a public law.
[00:12:49.352 --> 00:12:55.118]  So what he does is he puts the phone numbers of the people, these few bankers that he wants to get involved in there.
[00:12:55.158 --> 00:12:57.801]  Of course, one of them is the criminal John Corzine.
[00:13:00.023 --> 00:13:22.314]  The whole point of this was to, the endgame essentially was to deregulate the banks with Glass-Steagall and to allow them to create these financial derivative markets, which as he points out, JP Morgan would soon after this memo have an $88 trillion pseudo-security on their books, because of course those derivatives are not worth that much money.
[00:13:22.894 --> 00:13:30.520]  They can claim that they're worth that much money and then they go around to different countries and tell them that they need to be banked, need to be bailed out or else.
[00:13:31.080 --> 00:13:40.187]  And then once the countries do that, then they declare those countries financially insolvent, lower their credit ratings and then take over their countries as we've seen time and again.
[00:13:40.207 --> 00:13:49.194]  In Italy and in Greece we see Goldman Sachs people being put in positions of power and taking out democratically elected leaders.
[00:13:50.464 --> 00:14:00.392]  Now, if you want to know what these preparations for martial law look like, what the federalization and militarization of the police look like, take a look at this report from Jakari Jackson.
[00:14:04.054 --> 00:14:06.876]  Another active shooter drill comes to Central Texas.
[00:14:07.737 --> 00:14:12.461]  If the feds weren't involved, why was the Department of Homeland Security in attendance?
[00:14:19.708 --> 00:14:22.949]  And why don't the heads of the police and fire department know about it?
[00:14:23.449 --> 00:14:27.031]  Is it true that the Department of Homeland Security was here to observe this event this morning?
[00:14:27.511 --> 00:14:28.471]  To my knowledge, no sir.
[00:14:29.131 --> 00:14:29.671]  That's not true?
[00:14:29.911 --> 00:14:30.232]  No sir.
[00:14:30.252 --> 00:14:30.952]  Not that I saw.
[00:14:30.972 --> 00:14:31.552]  They were never here.
