[00:00:01.769 --> 00:00:02.269]  You've got it.
[00:00:02.309 --> 00:00:08.752]  This transmission is coming to you.
[00:00:08.832 --> 00:00:11.233]  Waging war on corruption.
[00:00:13.214 --> 00:00:22.718]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:22.778 --> 00:00:26.880]  Ladies and gentlemen, it is Sunday, the 10th day of February, 2013.
[00:00:30.831 --> 00:00:38.285]  I am your host, Alex Jones, and Lord willing, we'll be here for the next two hours as we are every Sunday, 4 to 6 p.m.
[00:00:38.345 --> 00:00:40.008]  Central Standard Time.
[00:00:41.303 --> 00:00:45.125]  Okay, it is a big broadcast, obviously, as the world just gets crazier by the minute.
[00:00:45.546 --> 00:00:51.950]  In the second hour, I will open the phones up for the families of veterans who have committed suicide.
[00:00:52.390 --> 00:00:54.731]  It's 22 a day and growing.
[00:00:55.752 --> 00:01:07.920]  It's growing every month, unfortunately, and we're going to look at why this phenomenon is exploding to epic and pandemic proportions.
[00:01:08.854 --> 00:01:18.663]  Because the establishment wants to only focus on violence when they can get some power out of it and use the crisis to take basic liberties.
[00:01:19.103 --> 00:01:30.694]  They want it swept under the rug, dealing with not just suicide of the troops, but when you guys print me, suicide now number one cause of unnatural death in the U.S., print me that in the 22 a day dead.
[00:01:30.754 --> 00:01:32.415]  Thank you, because I'll need that in the second hour.
[00:01:32.455 --> 00:01:34.957]  I forgot to have those exhibits for people.
[00:01:36.175 --> 00:01:43.962]  For the TV viewers and radio listeners, we are streaming video at Infowarsnews.com and PrisonPlanet.tv.
[00:01:45.283 --> 00:01:47.445]  Okay, where to start today?
[00:01:51.135 --> 00:01:52.335]  Let me just go over the headlines.
[00:01:53.496 --> 00:02:01.979]  In fact, I intended to come today to talk about the police, state, drones, expanded war in the Middle East, Israel striking Syria, maybe first in a series, Washington Post.
[00:02:02.799 --> 00:02:10.782]  But last night and this morning, I watched several times a video that Paul Watson's posting right now at Infowars.com and PrisonPlanet.com.
[00:02:11.142 --> 00:02:13.123]  World banker makes stunning confession.
[00:02:13.583 --> 00:02:16.624]  And it's James Wolfdenson, but it has a couple clips off
[00:02:17.751 --> 00:02:19.531]  Financial channels, TV as well.
[00:02:20.372 --> 00:02:30.394]  Something he said two years ago that we covered at the time, but I was reminded of it, where they talked about how most of the West is going to be poor in the next decade, and how the middle class is going to disappear.
[00:02:31.874 --> 00:02:38.595]  And he was telling top PhD students this here in the United States.
[00:02:38.635 --> 00:02:39.136]  What was it?
[00:02:39.736 --> 00:02:41.356]  Stanford Research Institute.
[00:02:45.592 --> 00:02:48.513]  Which is about as high level as it gets in actual technocratic training.
[00:02:49.693 --> 00:03:00.255]  And I just wanted to point out that this is all an engineered program on record, and I'm going to write an article tomorrow, I'll have to write it tonight, with Paul Watson, and then he'll finish it up in the morning.
[00:03:00.275 --> 00:03:04.136]  It's going to be published at Infowars.com, if not tomorrow, Tuesday.
[00:03:04.176 --> 00:03:06.477]  But if I procrastinate, it will never get done.
[00:03:06.877 --> 00:03:09.377]  Just showing where the globalists admit this is by design.
[00:03:10.657 --> 00:03:12.678]  Because this doesn't have to happen.
[00:03:13.900 --> 00:03:28.523]  And I saw that video, and it reminded me, I did some more research last night, and sure enough, I go to DrugsReport.com probably 15 times a day, like I do Infowars.com, and I realized it's about the two sites now.
[00:03:29.263 --> 00:03:31.503]  I got a wire and some too, and a couple others CNET.
[00:03:33.564 --> 00:03:37.244]  And I saw these headlines out of Bloomberg, China eclipses U.S.'
[00:03:37.184 --> 00:03:39.765]  's biggest trading nation measured in goods.
[00:03:41.181 --> 00:03:43.903]  And then I saw this other one, Fed holdings of U.S.
[00:03:44.824 --> 00:03:53.371]  government debt hit $1.696691 trillion, up 257% under Obama.
[00:03:54.072 --> 00:03:56.494]  And I thought I would break this down today.
[00:03:56.514 --> 00:04:01.838]  I was already planning it, and I'm glad that Drudge is concerned about it, because
[00:04:03.971 --> 00:04:05.652]  This is not a big enough issue out there.
[00:04:05.692 --> 00:04:08.413]  I mean, it's not even on the radar screen for most people.
[00:04:08.973 --> 00:04:13.956]  How did we even allow the communist dictatorial Chinese to own our debt?
[00:04:14.056 --> 00:04:16.017]  And what is this part of in the future?
[00:04:18.134 --> 00:04:19.615]  And again, it's really not our debt.
[00:04:19.675 --> 00:04:21.616]  Most of it is derivatives we've signed on to.
[00:04:21.696 --> 00:04:34.443]  So, I'm going to be breaking down this fact again in more detail today because being aware of this is what is going to allow ourselves to extricate ourselves from this engineered system.
[00:04:34.924 --> 00:04:38.566]  The globalists have decided to transfer everything to India and China and the third world.
[00:04:39.346 --> 00:04:41.228]  And it's not going to benefit their people either.
[00:04:41.668 --> 00:04:45.632]  They've decided to impoverish us as a tool of political control.
[00:04:46.392 --> 00:04:47.994]  All this and a lot more.
[00:04:48.074 --> 00:04:50.836]  A new cyber security power grab as well.
[00:04:50.896 --> 00:04:51.717]  It's all coming up.
[00:04:52.137 --> 00:04:55.300]  I'm Alex Jones, transmitting worldwide.
[00:04:55.360 --> 00:04:58.223]  You are listening to The Voice of the Resistance.
[00:05:00.712 --> 00:05:07.574]  It's no secret that pathogens such as bacteria, viruses, moles, and fungus can inflict severe damage in the human body.
[00:05:07.734 --> 00:05:12.174]  Fortunately, a new and vastly improved silver solution has been developed.
[00:05:12.375 --> 00:05:22.977]  Supernatural Silver is a revolutionary, broad-spectrum, antibacterial, antiviral, antifungal solution that can be used inside the body as well as on the skin.
[00:05:23.177 --> 00:05:28.418]  Supernatural Silver is unique and superior to colloidal and ionic silvers.
