[00:00:01.607 --> 00:00:03.636]  You're listening to GCN.
[00:00:04.018 --> 00:00:05.705]  Great Talk Radio starts here.
[00:00:13.171 --> 00:00:17.352]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.012 --> 00:00:18.833]  You want answers?
[00:00:19.613 --> 00:00:20.493]  Well, so does he.
[00:00:21.153 --> 00:00:24.734]  He's Alex Jones on the GCN Radio Network.
[00:00:25.334 --> 00:00:29.396]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.615 --> 00:00:52.619]  Ladies and gentlemen, thank you for joining us on this Thursday Worldwide Transmission, the 13th day of June 2013.
[00:00:52.699 --> 00:00:57.361]  We're going to be live here for the next three hours.
[00:00:57.502 --> 00:01:09.148]  General Hamid Gul, that nobody can get on television or radio in the Western media, nobody, will be joining us because he's a listener of the show.
[00:01:11.294 --> 00:01:25.260]  General Hamid Gul, who ran the Afghan war with the CIA against the Russians, will be joining us from Pakistan to talk about the West now running Al Qaeda in Libya and Syria and what he thinks is behind that.
[00:01:26.360 --> 00:01:30.382]  Let's just say a lot of government agencies will be listening on air and on the phone line.
[00:01:31.411 --> 00:01:31.731]  We have to.
[00:01:31.751 --> 00:01:33.392]  A lot of times they try to jam the phone lines.
[00:01:33.432 --> 00:01:34.513]  We have to move around.
[00:01:34.533 --> 00:01:45.440]  Then Colonel Tony Schaefer will be joining us, who was blocked from killing bin Laden right before 9-11 about two months before in 2001.
[00:01:46.541 --> 00:01:50.084]  He is going to be coming on to give us his take on the whole NSA situation.
[00:01:50.624 --> 00:01:53.206]  And then I got a nice call from Dr. Pachinik this morning.
[00:01:54.747 --> 00:02:01.212]  Saying he's got the big inside scoop and his big buddies with General Alexander, the head of the NSA or head of Cyber Command.
[00:02:01.492 --> 00:02:03.994]  We're going to work on getting him on tomorrow or Sunday.
[00:02:04.014 --> 00:02:05.475]  We'll see about that.
[00:02:06.976 --> 00:02:17.784]  You know, last night I had dinner with my dad and he said, you know, I'd appreciate it if you wouldn't talk about me and the CIA.
[00:02:19.285 --> 00:02:20.126]  And I said, why?
[00:02:20.847 --> 00:02:22.468]  And he goes, because it sounds crazy.
[00:02:24.431 --> 00:02:27.693]  And I said, well, was your run-ins with them true?
[00:02:27.713 --> 00:02:30.454]  I mean, I saw some of it as a kid.
[00:02:30.474 --> 00:02:33.916]  And he said, well, yeah, but people aren't going to believe it.
[00:02:33.936 --> 00:02:35.017]  And I said, I don't care.
[00:02:35.497 --> 00:02:37.158]  General Hamid Ghul's coming on.
[00:02:37.478 --> 00:02:38.399]  That sounds crazy.
[00:02:38.619 --> 00:02:39.159]  It's happening.
[00:02:40.680 --> 00:02:45.022]  I had MI5 and police tell me Bilderberg's going to go public to BBC.
[00:02:45.302 --> 00:02:45.842]  We broke it.
[00:02:46.103 --> 00:02:46.563]  It happened.
[00:02:48.949 --> 00:02:52.732]  And more and more, that's the issue that I have trouble with, my dad does, we all do.
[00:02:52.993 --> 00:02:57.837]  We can't believe how real reality is, how bizarre it is for the stranger than fiction.
[00:02:59.178 --> 00:03:04.222]  So my dad opened up last night and said, I guess go ahead and talk about it.
[00:03:04.242 --> 00:03:10.027]  He didn't sign any national security agreements about when he was one of the favorite
[00:03:12.165 --> 00:03:14.226]  Just because he was a smart guy and friendly.
[00:03:15.067 --> 00:03:23.392]  Professors once a week when he went and taught at Baylor Dental School and Oral Surgery School.
[00:03:24.653 --> 00:03:28.155]  And he told me some pretty wild stuff.
[00:03:29.435 --> 00:03:35.279]  How they would send the CIA there because they could have bigger operating rooms.
[00:03:35.299 --> 00:03:39.622]  They'd have to have other CIA people there when anything medical was done to anybody.
[00:03:40.302 --> 00:03:44.203]  Of course, that's on record that that goes on because they could drug somebody and try to get data.
[00:03:44.483 --> 00:03:45.944]  So that was one reason.
[00:03:46.624 --> 00:03:57.427]  But then my dad and a few other professors out of a whole bunch of them there were picked to be the ones they wanted to be worked on by because they knew my dad's, I guess, family background and things, you know, goes way back.
[00:03:59.090 --> 00:04:02.131]  That's kind of how this works, at least in the old days.
[00:04:02.151 --> 00:04:06.333]  If you went back to the start of the country, then you were like, you know, seen as safe or whatever.
[00:04:06.713 --> 00:04:08.013]  CIA is completely different now.
[00:04:08.093 --> 00:04:12.955]  It's just completely turned over to foreign corporations and globalists and has been deeply in bed with them for a long time.
[00:04:13.336 --> 00:04:19.018]  But he was telling me about senior CIA people coming, and that's when they tried to hire him and some of the other professors.
[00:04:19.818 --> 00:04:33.396]  To go work in Maryland, and they said, we noticed in your college file you were into cybernetics and electrical engineering, and even did some of that in the National Science Program when you were in high school, building lasers and things.
[00:04:34.017 --> 00:04:34.658]  You like that?
[00:04:35.535 --> 00:04:38.016]  He goes, but yeah, I have to go back to school and get an electrical engineering.
[00:04:38.396 --> 00:04:40.177]  No, no, no, there are shortcuts.
[00:04:40.937 --> 00:04:42.358]  You don't need to do that.
[00:04:42.378 --> 00:04:45.499]  The point is, is my dad's like, don't tell those stories.
[00:04:45.539 --> 00:04:46.399]  They sound nuts.
[00:04:46.419 --> 00:04:48.480]  You know, the general public won't believe it.
[00:04:48.500 --> 00:04:49.000]  Well, whatever.
[00:04:49.060 --> 00:04:49.520]  It's true.
[00:04:49.901 --> 00:04:50.541]  So it's told.
[00:04:50.701 --> 00:04:51.601]  And he said, I could tell it.
[00:04:52.081 --> 00:04:54.662]  And I kind of babbled through it because it was parts of it he didn't want told.
[00:04:54.682 --> 00:04:55.403]  So that's why I was kind of.
