[00:00:19.657 --> 00:00:21.979]  September 24th, I'm Paul Joseph Watson.
[00:00:22.019 --> 00:00:23.801]  This is InfoWars Nightly News.
[00:00:25.723 --> 00:00:31.769]  Tonight, an off-duty soldier armed only with a handgun saves 100 during an active shooting.
[00:00:32.710 --> 00:00:37.435]  Then, Virginia children get suspended for playing with toy guns at home.
[00:00:38.487 --> 00:00:42.111]  And why won't the state of Connecticut release Adam Lanza's medical records?
[00:00:42.712 --> 00:00:48.038]  That's next on the Info Wars Nightly News.
[00:00:51.222 --> 00:00:52.764]  Alright, let's continue here.
[00:00:52.824 --> 00:00:54.586]  I'm actually really freaked out by what's going on.
[00:00:55.114 --> 00:00:55.935]  Top story tonight.
[00:00:56.255 --> 00:00:59.857]  State of Connecticut refuses to release Adam Lanza's medical records.
[00:01:00.138 --> 00:01:17.149]  The State of Connecticut is refusing to release Sandy Hook government Adam Lanza's medical records over fears that divulging the identity of the antidepressants he was taking would quote cause a lot of people to stop taking their medications according to Assistant Attorney General Patrick B. Quanashe.
[00:01:17.270 --> 00:01:19.191]  You can go watch the clip on the website.
[00:01:19.831 --> 00:01:24.457]  So we've known basically for nine months that Adam Lanza was on some form of prescription medication.
[00:01:24.497 --> 00:01:26.399]  It said that in the search warrant for his house.
[00:01:27.140 --> 00:01:33.988]  The parents group Able Child has basically been behind this effort to try and find out exactly the identity of what those drugs were.
[00:01:34.349 --> 00:01:38.153]  And they've been rebuffed at every level and attempt by the state.
[00:01:38.914 --> 00:01:48.217]  Because this is important to find out, because as we've documented, virtually every mass shooter in the last three decades has been on some form of psychiatric drug.
[00:01:48.677 --> 00:01:55.318]  And in fact, we've got the link here in the article, SSRIstories.com, which lists literally hundreds of examples.
[00:01:55.779 --> 00:02:04.181]  So the state admits they don't want to divulge the identity of the drug Lanza was taking, because it might cause others to stop taking it.
[00:02:04.861 --> 00:02:06.883]  And, you know, how is that a bad thing?
[00:02:06.963 --> 00:02:12.546]  It's a public safety issue, yet they're trying to block the release of this information at every turn.
[00:02:12.907 --> 00:02:27.097]  And, of course, the media isn't interested in it, because they get $2.4 billion of pharmaceutical company advertising every year, which is why they habitually choose to obsess about gun control and not psychiatric drugs in the case of mass shooters.
[00:02:27.737 --> 00:02:32.323]  Moving on, off-duty soldier armed with handgun saves 100 lives during mall siege.
[00:02:32.984 --> 00:02:38.050]  Here's a positive story about guns that you're not likely to see the US corporate media pay much attention to.
[00:02:38.390 --> 00:02:45.880]  An off-duty SAS soldier armed with just a handgun saved 100 lives during terrorist siege on the Westgate shopping mall in Kenya.
[00:02:46.846 --> 00:02:52.690]  So he basically went in with a handgun, kept going in and out a dozen times, saved a hundred hostages.
[00:02:53.410 --> 00:02:55.111]  But again, the media won't cover it.
[00:02:55.572 --> 00:03:12.543]  They will shy away from it because they dare not highlight examples of guns being used for positive defensive purposes, despite a 1993 National Defense Survey which found that Americans use guns to defend themselves in a confrontation with criminals some 2.5 million times a year.
[00:03:14.724 --> 00:03:30.419]  And again, the media obsession with refusing to highlight this fact of guns being used defensively contributes to the erroneous perception that violent gun crime is increasing when in fact, according to the Justice Department's own figures, gun homicides are down 49% since 1993.
[00:03:33.442 --> 00:03:38.207]  Staying on the issue of gun control, Kit Daniels reports... And you can see these images up on screen now.
[00:03:38.227 --> 00:03:40.509]  So I basically set up a trail cam near the entrance to his driveway.
[00:03:56.986 --> 00:04:00.650]  Caught the individual on camera who was stealing his pro-Second Amendment sign.
[00:04:00.990 --> 00:04:04.774]  Lo and behold, it turned out to be a SOMA's police officer.
[00:04:05.195 --> 00:04:17.928]  So now apparently American taxpayer dollars are being used to send out cops who swore an oath to uphold and defend the Constitution to steal signs that show support for the Constitution.
[00:04:18.675 --> 00:04:20.097]  Welcome to the New America!
[00:04:20.717 --> 00:04:32.109]  The homeowner is now accepting media requests and he will likely pursue charges against the officer despite an unconstitutional ordinance that bans yard signs within 15 feet of the road.
[00:04:32.490 --> 00:04:35.713]  So we'll bring you more updates on that as and when they develop.
[00:04:36.670 --> 00:04:52.684]  Moving on, Steve Watson reports... Last week, in the wake of the Navy Yard shooting in DC, we predicted that another wave of knee-jerk overreactions to anyone doing anything with any object remotely looking like a gun
[00:04:53.502 --> 00:04:54.002]  ...would occur.
[00:04:54.062 --> 00:04:55.122]  Sadly, we were right.
[00:04:55.302 --> 00:05:05.385]  The latest incident occurred in Virginia, where a 7th grade and his friend had been suspended from school for playing with a toy gun in the boy's own front yard, outside of school hours.
[00:05:05.985 --> 00:05:16.268]  So you go watch the video, basically they're shooting a plastic pellet gun on their own front yard against a cartoon paper target, these two 13-year-old boys.
[00:05:16.928 --> 00:05:20.349]  Some busybody calls the police, says that there's somebody shooting a gun.
[00:05:21.289 --> 00:05:31.881]  They come out, the principal suspends both kids for nine months and recommends that they, quote, be expelled for a year for possession, handling and use of a firearm.
[00:05:32.282 --> 00:05:40.652]  So this kid's whole education could be completely ruined over the fact that he was shooting a plastic pellet gun in his own front yard outside of school hours.
[00:05:41.172 --> 00:05:44.374]  And again, it's all part of the pacification of America.
[00:05:44.394 --> 00:05:49.177]  You've got psychologically damaged people in positions of power, like this principal.
[00:05:49.597 --> 00:05:58.041]  Then you've got the moron public wannabes who seek out that petty power, like the one who called the cops over this kid who was playing with a toy gun.
[00:05:58.522 --> 00:05:58.682]  So...
