[00:00:00.009 --> 00:00:00.909]  Not safe here.
[00:00:01.790 --> 00:00:05.851]  You know, for obvious reasons, we're moving you to a different area and out of here.
[00:00:06.472 --> 00:00:07.672]  And then we're all escorted.
[00:00:07.692 --> 00:00:08.893]  Stream media.
[00:00:09.633 --> 00:00:10.733]  Government cover-ups.
[00:00:11.394 --> 00:00:12.194]  You want answers?
[00:00:12.974 --> 00:00:13.895]  Well, so does he.
[00:00:14.535 --> 00:00:18.136]  He's Alex Jones on the GCN Radio Network.
[00:00:18.717 --> 00:00:22.778]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.559 --> 00:00:51.025]  Back in the saddle again, ladies and gentlemen, and it is Friday, the 8th day of February 2013.
[00:00:52.686 --> 00:00:59.612]  I am your host, Alex Jones, and we will be here live for the next three hours and taking your phone calls.
[00:01:00.413 --> 00:01:01.034]  You know something?
[00:01:01.054 --> 00:01:05.538]  I don't think the end of the world is coming in the next few days, but
[00:01:06.511 --> 00:01:13.813]  When the government says there's absolutely no danger, they're such congenital liars, it tends to make me take a double-take.
[00:01:14.793 --> 00:01:20.575]  And we have asteroid to travel and traverse Earth's satellite zones, NASA says.
[00:01:21.515 --> 00:01:30.978]  Now, of course, there are satellites that are close in and satellites that are a little bit further out, but it's still, in the scope of the solar system, this bullet is
[00:01:32.028 --> 00:01:36.991]  Like in a Looney Tunes, when Yosemite Sam shoots at somebody and they say, hey, you missed me.
[00:01:37.311 --> 00:01:41.653]  And then you see a hair on their head go, meeeerrrr, because it's split the hair.
[00:01:41.673 --> 00:01:46.636]  Uh, this is like, uh, is it Ivanhoe that shoots the arrow and it hits the apple?
[00:01:47.540 --> 00:01:47.800]  Yeah.
[00:01:48.761 --> 00:01:51.282]  I think it is Ivanhoe that shoots the arrow and it hits the apple.
[00:01:51.622 --> 00:01:53.543]  The point is, that's what's happening here.
[00:01:53.843 --> 00:02:06.449]  In fact, in the scale of the solar system, in the scale of asteroids, it's so gigantic as well, and it's moving five times the speed of a high-velocity rifle round.
[00:02:06.469 --> 00:02:11.551]  To give you an idea, a high-velocity rifle round goes about 3,000 feet per second.
[00:02:12.292 --> 00:02:12.592]  Yeah.
[00:02:14.093 --> 00:02:16.696]  I was out shooting a .50 cal BMG yesterday.
[00:02:17.436 --> 00:02:19.739]  That was absolutely awesome.
[00:02:19.759 --> 00:02:22.421]  I'm going to talk more about that in the days to come.
[00:02:22.441 --> 00:02:24.844]  We're going to do a video shoot with it, talking about the Second Amendment.
[00:02:25.344 --> 00:02:26.305]  But that's a side issue.
[00:02:26.725 --> 00:02:27.606]  I took off 24 hours.
[00:02:29.651 --> 00:02:36.316]  And took the children camping with our kind host, and certainly enjoyed that.
[00:02:36.576 --> 00:02:42.581]  Little fishing, little camping, little mini-vacation, very restorative.
[00:02:43.281 --> 00:02:51.948]  They had a stock tank with some of the biggest stock tank bass I've ever seen, because usually they overpopulate the tank, and then they start getting smaller.
[00:02:52.488 --> 00:02:54.730]  And if you're not a fisher person, you think, a tank?
[00:02:55.270 --> 00:02:56.751]  Not like a fish tank, a small lake.
[00:02:57.772 --> 00:03:01.295]  Uh, sometimes every time we cast we were jerking in like two, three pound bass.
[00:03:01.896 --> 00:03:05.719]  And I could see some like ten pounders or more swimming around out there.
[00:03:05.740 --> 00:03:07.761]  I'll tell you where the biggest bass I've ever seen are.
[00:03:07.801 --> 00:03:08.962]  They're in Barton Springs.
[00:03:09.483 --> 00:03:11.825]  Some of those things have got to weigh 25 pounds to be a state record.
[00:03:12.506 --> 00:03:15.228]  Okay, you can tell I've been on vacation mode.
[00:03:15.248 --> 00:03:17.130]  24 hour little sneak vacation.
