[00:00:13.212 --> 00:00:14.473]  They fled from tyranny.
[00:00:14.814 --> 00:00:16.976]  Your oppressions planted them in America.
[00:00:17.556 --> 00:00:27.746]  And yet, actuated by principles of true English liberty, they met all hardships with pleasure compared with those they suffered in their own country from the hands of those that should have been their friends.
[00:00:28.146 --> 00:00:33.651]  Men whose behavior on many occasions has caused the blood of those sons of liberty to recoil within them.
[00:00:34.091 --> 00:00:38.676]  I know not what costs others, but as for me, give me liberty or give me death.
[00:00:39.376 --> 00:00:39.836]  Believe me.
[00:00:40.357 --> 00:00:42.317]  Remember, I this day told you so.
[00:00:42.697 --> 00:00:47.399]  That same spirit of freedom, which actuated that people at first, will accompany them still.
[00:00:47.800 --> 00:00:53.802]  But a people, jealous of their liberties, and who will vindicate them, if ever they should be violated.
[00:00:54.422 --> 00:00:55.263]  Sons of Liberty!
[00:00:55.283 --> 00:00:56.783]  Sons of Liberty!
[00:00:57.243 --> 00:00:58.084]  Sons of Liberty!
[00:00:58.144 --> 00:00:58.564]  Liberty!
[00:00:59.284 --> 00:01:07.087]  Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery?
[00:01:07.527 --> 00:01:08.768]  Forbid it, Almighty God.
[00:01:12.950 --> 00:01:15.783]  It appears as though something has happened in the motorcade route.
[00:01:15.843 --> 00:01:18.033]  Something, I repeat, has happened in the motorcade route.
[00:01:19.807 --> 00:01:22.629]  Who controls the past, controls the future.
[00:01:23.049 --> 00:01:25.891]  Who controls the present, controls the past.
[00:01:26.411 --> 00:01:31.915]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:01:32.275 --> 00:01:34.316]  All you gotta do is start looking around.
[00:01:34.697 --> 00:01:36.298]  Start thinking for yourself.
[00:01:36.578 --> 00:01:38.219]  Start investigating things.
[00:01:38.559 --> 00:01:42.041]  And you will see it all right there.
[00:01:42.642 --> 00:01:44.043]  So you have the power.
[00:01:44.403 --> 00:01:45.884]  Humanity has the power.
[00:01:46.384 --> 00:01:47.505]  We have the power!
[00:01:47.545 --> 00:01:52.247]  If you wanna fight, you better believe you got one!
[00:01:52.347 --> 00:01:56.269]  Let us never tolerate outrageous conspiracy theories.
[00:01:56.369 --> 00:02:04.213]  As for me, give me liberty or give me death!
[00:02:07.695 --> 00:02:08.836]  The answer to 1984 is 1776.
[00:02:16.092 --> 00:02:18.980]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:02:19.060 --> 00:02:20.905]  Today is Monday, March 11, 2013.
[00:02:21.085 --> 00:02:22.048]  I'm your host, Aaron Dyches.
[00:02:26.513 --> 00:02:34.758]  Tonight, the arms buildup intensifies as the Department of Homeland Security solicits another huge ammo buy.
[00:02:34.958 --> 00:02:46.244]  And this time, Forbes magazine is calling for a national conversation about the DHS buildup that has been dismissed by the mainstream media as a conspiracy theory.
[00:02:46.924 --> 00:02:54.615]  Plus, John Kerry labels Bilderberg protesters as hoodlums, and Jeb Bush in 2016?
[00:02:55.156 --> 00:02:56.198]  Say it isn't so.
[00:02:56.578 --> 00:02:59.703]  That's up next on Inful Wars Nightly News.
[00:03:05.296 --> 00:03:12.718]  In tonight's news, the Justice Department did not disclaim murder of Americans on American soil using drones.
