[00:00:18.336 --> 00:00:18.741]  Yeah, I think.
[00:00:53.489 --> 00:00:55.129]  Welcome to the Infowars Nightly News.
[00:00:55.309 --> 00:00:55.930]  I'm David Knight.
[00:00:56.070 --> 00:01:00.111]  It's Friday, May 10, 2013, and here are our top stories.
[00:01:02.052 --> 00:01:06.233]  Tonight, Obama gave Benghazi's stand-down order.
[00:01:07.381 --> 00:01:13.783]  A kidnapping victim removed from the missing persons database 15 months after she was snatched off the street.
[00:01:14.383 --> 00:01:17.944]  And the interest rate swap scandal that's ruining our economy.
[00:01:19.085 --> 00:01:21.766]  All that and more on the InfoWars Nightly News.
[00:01:31.909 --> 00:01:35.730]  Well, Benghazi is not just a case of what do they know and when do they know it.
[00:01:36.300 --> 00:01:39.662]  No, it's a case actually of criminal actions and criminal cover-up.
[00:01:40.323 --> 00:01:49.269]  In a commentary that got very little notice, we had a Congresswoman, Ann Wagner from Missouri, had this to say to Ann Lesch.
[00:01:51.371 --> 00:02:04.300]  And last quick question I have for you, Congresswoman, because you have been an ambassador, you have been overseas with similar responsibilities and similar missions, who gives such an order to stand down?
[00:02:04.680 --> 00:02:05.721]  Where does that come from?
[00:02:06.527 --> 00:02:07.548]  The President of the United States.
[00:02:08.709 --> 00:02:13.553]  Now this has a lot of credibility because Congresswoman Wagner has also been an ambassador.
[00:02:13.853 --> 00:02:17.896]  She understands what the chain of command is and she is a current Congresswoman.
[00:02:18.457 --> 00:02:32.728]  Now, Greg Hicks in his whistleblower testimony revealed that after Stevenson being killed, but while the attack was still ongoing, the Libyan military agreed to fly their C-130 to Benghazi and carry additional personnel to Benghazi as reinforcements, including U.S.
[00:02:32.748 --> 00:02:33.449]  Special Forces.
[00:02:33.949 --> 00:02:40.451]  But then a call came through from Special Ops Command Africa saying, you can't go now, you don't have authority to go now.
[00:02:41.031 --> 00:02:44.872]  And they were told not to board the flight, so they missed it, said Hicks.
[00:02:46.112 --> 00:02:57.655]  So this is, what we're seeing here is there's a growing body of evidence that indicates that the entire purpose of the consulate there was to oversee a clandestine war there.
[00:02:58.511 --> 00:03:06.497]  And we know that Al-Qaeda, who is responsible for killing the ambassador and attacking the embassy, was being armed secretly.
[00:03:06.557 --> 00:03:08.078]  We put them in power in Libya.
[00:03:08.538 --> 00:03:11.481]  We have to ask, why was that even done in the first place?
[00:03:11.581 --> 00:03:13.202]  It's absolutely insane.
[00:03:13.262 --> 00:03:25.571]  But it also appears to be, as people have pointed out, there seems to be an internecine warfare going on within the CIA between civilian elements of the CIA and military elements in the CIA, as represented by David Petraeus.
[00:03:26.189 --> 00:03:32.172]  It's a very complicated situation, potentially, but at the heart of it are some very simple issues.
[00:03:32.212 --> 00:03:39.095]  And so we want to make this clear for people who are maybe MSNBC viewers, typically, or people who watch mainstream media.
[00:03:39.115 --> 00:03:40.276]  We thought we would make this simple.
[00:03:40.776 --> 00:03:44.478]  So we came up with kind of a David Letterman top ten revelations.
[00:03:44.538 --> 00:03:48.099]  And this is from an article by, from Town Hall by Guy Vinson.
[00:03:48.139 --> 00:03:49.760]  He came up with some items.
[00:03:50.180 --> 00:03:54.523]  So here are the top ten revelations about the Benghazi false flags.
[00:03:54.603 --> 00:03:55.063]  Number one.
[00:03:55.683 --> 00:03:58.866]  Security provided by lightly armed Libya militia.
[00:03:58.886 --> 00:04:00.026]  That's right.
[00:04:00.086 --> 00:04:01.467]  Nordstrom, who was the U.S.
[00:04:01.808 --> 00:04:05.851]  security chief in Libya, said that they were complicit even in the attack.
[00:04:06.852 --> 00:04:07.432]  Number nine.
[00:04:08.172 --> 00:04:10.214]  Requests denied for increased security.
[00:04:10.995 --> 00:04:20.482]  It was actually operating below minimum security and only the Secretary of State, that would be Hillary Clinton, had the authority to grant exemptions for minimum security requirements.
[00:04:21.235 --> 00:04:21.455]  Number 8.
[00:04:22.257 --> 00:04:28.966]  State Department said austerity was not a factor in poor security, in spite of Democrat talking points.
[00:04:29.506 --> 00:04:30.167]  Number 7.
[00:04:30.648 --> 00:04:34.433]  Stevens was sent to vulnerable Benghazi at the behest of Clinton.
[00:04:35.276 --> 00:04:35.937]  Number six.
[00:04:36.677 --> 00:04:36.957]  U.S.
[00:04:37.037 --> 00:04:42.702]  forces in Tripoli were told twice they did not have the authority to deploy to Benghazi during the attack.
[00:04:43.302 --> 00:04:56.713]  Now, whistleblower Mark Thompson, who's a career counterterrorism official at the State Department, said that he called the White House to request the immediate deployment of a foreign emergency support team to Benghazi and told that it was not the right time to do so, quote unquote.
