[00:00:19.485 --> 00:00:20.806]  It's Tuesday, November 5th.
[00:00:20.906 --> 00:00:22.027]  I'm Paul Joseph Watson.
[00:00:22.047 --> 00:00:23.849]  This is InfoWars Nightly News.
[00:00:25.690 --> 00:00:30.714]  Tonight... A shadowy subculture which may have encouraged a disturbed young man.
[00:00:31.115 --> 00:00:31.815]  No kidding!
[00:00:31.855 --> 00:00:35.118]  Who else wants a job groping men, women and children all day?
[00:00:35.438 --> 00:00:39.321]  ABC News implicates Alex Jones in the LAX shooting.
[00:00:40.382 --> 00:00:43.445]  And DHS hires a top-secret security force.
[00:00:44.025 --> 00:00:46.988]  That's next on the InfoWars Nightly News.
[00:00:47.861 --> 00:00:49.122]  This is pure torture!
[00:00:50.062 --> 00:00:55.225]  Watching that con man slime bag bag of pus suck everybody dry.
[00:00:55.425 --> 00:01:00.088]  Top story tonight, DHS to hire top secret domestic security force.
[00:01:00.488 --> 00:01:06.312]  The Department of Homeland Security is to spend 19 million dollars on a private security force in Wisconsin and Minnesota.
[00:01:06.752 --> 00:01:12.656]  An armed unit that must have a top secret security clearance according to an official solicitation.
[00:01:13.436 --> 00:01:34.264]  Now we've reported numerous times on DHS hiring armed guards to protect government buildings in preparation for potential domestic unrest and food riots, but this one has a new twist because the highly unusual top secret clearance suggests that the DHS is not merely seeking to hire armed guards,
[00:01:34.844 --> 00:01:44.692]  But Blackwater-style mercenaries who will be engaged in some kind of clandestine activity, normally reserved for foreign spying or military operations.
[00:01:45.433 --> 00:01:46.834]  So what are they preparing for?
[00:01:46.894 --> 00:02:00.305]  Well, the DHS itself admitted back that they were buying equipment to prepare for, quote, riot control situations, and followed it up with the purchase of pepper spray launching guns and 120,000 live pepper spray projectiles.
[00:02:04.349 --> 00:02:09.233]  Moving on, ABC News implicates Alex Jones in LAX shooting.
[00:02:09.253 --> 00:02:20.923]  ABC News implied that Alex Jones was responsible for motivating the LAX shooter during a report introduced by Diane Sawyer, which linked criticism of big government with violence.
[00:02:21.064 --> 00:02:26.929]  Investigators are studying a shadowy subculture which may have encouraged a disturbed young man.
[00:02:27.549 --> 00:02:33.472]  The TSA has a thankless job enforcing procedures we all tolerate through gritted teeth.
[00:02:33.892 --> 00:02:34.953]  A popular target.
[00:02:35.213 --> 00:02:35.913]  No kidding!
[00:02:35.973 --> 00:02:39.275]  Who else wants a job groping men, women and children all day?
[00:02:39.455 --> 00:02:46.838]  Among some anti-government activists, the agency embodies a federal government that's too invasive, corrupt and incompetent.
[00:02:47.519 --> 00:02:56.343]  So they basically insinuate that not only Alex Jones but also anyone who stands up for liberty is an inspiration for violent extremists.
[00:02:57.003 --> 00:03:24.740]  Let's not mention the fact that mainstream media is by far the biggest promoter of violence as a result of its tacit support for wars, which have killed millions of people down through the decades, with Obama himself recently bragging to his aides, quote, I'm really good at killing people, but they're not responsible for promoting violence, we are, by our consistent message of peaceful resistance, which we broadcast every single day.
[00:03:25.680 --> 00:03:35.705]  So as John Rappaport notes, this is like blaming the murder of John Lennon on JD Salinger because Mark Chapman read Catcher in the Rye.
[00:03:36.496 --> 00:03:38.577]  Before gunning down the Beatles singer.
[00:03:38.697 --> 00:03:41.278]  It completely makes no sense whatsoever.
[00:03:41.878 --> 00:03:44.919]  However, I mean this tactic doesn't really work anymore.
[00:03:44.959 --> 00:03:58.505]  The fundamental message of individual liberty will continue to resonate far stronger than any number of dubious, lone nut incidents exploited by the establishment to frame their political adversaries.
[00:03:59.622 --> 00:04:06.146]  Moving on, related story, arming TSA officers hits resistance on the Hill, reports Politico.
[00:04:07.007 --> 00:04:20.176]  And again, precisely as I predicted in an article written hours after the LAX shooting on Friday, union leaders are now urging that TSA employees be given guns, handcuffs and the power to make arrests.
[00:04:21.018 --> 00:04:30.733]  This is a federal agency that has become notorious for hiring criminals through faulty background checks who then go on to commit criminal behavior.
[00:04:30.753 --> 00:04:32.055]  We've seen it many times before.
[00:04:32.856 --> 00:04:35.640]  And now they want to give them guns and powers of arrest.
[00:04:36.616 --> 00:04:42.698]  We've already seen TSA agents abusing their power to sexually harass women both on and off the job.
[00:04:43.438 --> 00:04:48.100]  Imagine the new level of authoritarian hell that this would open up.
[00:04:48.780 --> 00:05:00.904]  And don't forget that the TSA has never stopped a terrorist attack, primarily of course because the terror threat is massively exaggerated in order to justify big government expenditure.
[00:05:01.644 --> 00:05:10.811]  In reality, as academic studies show, Americans are more likely to be killed by bee stings or drowning in a bath than they are by terrorists.
[00:05:11.633 --> 00:05:12.133]  Moving on.
[00:05:12.974 --> 00:05:15.337]  FEMA camp, city to exile the homeless.
[00:05:15.637 --> 00:05:20.601]  It's not a conspiracy theory anymore, reports Brandon Walker of FreePatriot.org.
[00:05:21.282 --> 00:05:26.567]  Under the radar from the prying eyes of the public, South Carolina made it legal to get rid of their homeless problem.
[00:05:27.108 --> 00:05:28.469]  These people were given a choice.
[00:05:29.150 --> 00:05:30.891]  FEMA camps or jail.
[00:05:31.909 --> 00:05:36.191]  That's right, those FEMA camps that the mainstream media says don't exist.
[00:05:36.771 --> 00:05:49.417]  So homeless people were housed in 240 bed, razor wire topped FEMA emergency facilities on the edge of town and told that they could only be shuttled out of the camp if they applied to leave.
[00:05:49.817 --> 00:05:52.458]  This was before a big presentation that was coming to the town.
[00:05:52.818 --> 00:05:55.420]  They wanted to get the homeless people out of the way.
[00:05:56.670 --> 00:06:02.052]  Similar camps are also to be found in Galeston, Houston, New York, Boston and New Orleans.
[00:06:02.972 --> 00:06:06.093]  So, again, first they came for the homeless.
[00:06:06.453 --> 00:06:14.616]  In times of national emergency, are potentially dangerous political dissidents going to be treated the same way?
[00:06:14.776 --> 00:06:16.597]  Are they going to be given the same choice?
[00:06:17.077 --> 00:06:18.618]  Jail or FEMA camp?
[00:06:19.318 --> 00:06:28.030]  This article also documents how similar policies of criminalising the homeless are beginning to be introduced in Sacramento, Miami and Southern California.
