[00:00:06.659 --> 00:00:07.920]  They fled from tyranny.
[00:00:08.281 --> 00:00:10.443]  Your oppressions planted them in America.
[00:00:11.023 --> 00:00:21.193]  And yet, actuated by principles of true English liberty, they met all hardships with pleasure compared with those they suffered in their own country from the hands of those that should have been their friends.
[00:00:21.613 --> 00:00:27.138]  Men whose behavior on many occasions has caused the blood of those sons of liberty to recoil within them.
[00:00:27.538 --> 00:00:32.123]  I know not what costs others, but as for me, give me liberty or give me death.
[00:00:32.803 --> 00:00:33.304]  Believe me.
[00:00:33.824 --> 00:00:35.766]  Remember, I this day told you so.
[00:00:36.146 --> 00:00:40.869]  That same spirit of freedom, which actuated that people at first, will accompany them still.
[00:00:41.270 --> 00:00:47.274]  But a people, jealous of their liberties, and who will vindicate them, if ever they should be violated.
[00:00:47.895 --> 00:00:48.735]  Sons of Liberty!
[00:00:49.176 --> 00:00:50.237]  Sons of Liberty!
[00:00:50.717 --> 00:00:52.038]  Sons of Liberty!
[00:00:52.598 --> 00:00:52.899]  Liberty!
[00:00:52.919 --> 00:01:00.585]  Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery?
[00:01:01.005 --> 00:01:02.266]  Forbid it, Almighty God!
[00:01:30.247 --> 00:01:36.212]  And it's time to get out of the comfort zone, because these people aren't playing games.
[00:01:39.514 --> 00:01:47.620]  We're going to organize.
[00:01:47.861 --> 00:01:49.242]  Humanity's going to come together.
[00:01:50.783 --> 00:01:54.286]  We are swinging muskets here, toe-to-toe with the globalists.
[00:01:54.326 --> 00:01:55.847]  They're bloodied, we're bloodied.
[00:01:56.287 --> 00:01:58.189]  It is absolute total.
[00:02:10.959 --> 00:02:12.662]  Welcome to the Info Wars Nightly News.
[00:02:12.762 --> 00:02:14.044]  I'm your host, Jakari Jackson.
[00:02:14.365 --> 00:02:16.529]  This is what we have in store for you for this March 14, 2013 edition.
[00:02:21.007 --> 00:02:29.910]  Tonight, on the InfoWars Nightly News, police henpecking continues as a Florida man is arrested for releasing balloons.
[00:02:30.450 --> 00:02:35.952]  Then, a journalist is intimidated by White House officials for taking a photo of God.
[00:02:36.552 --> 00:02:37.933]  I mean, Vice President Biden.
[00:02:38.413 --> 00:02:43.535]  And, Illinois Governor Pat Quinn continues to feverishly attack the Second Amendment.
[00:02:43.835 --> 00:02:46.856]  All that and more on tonight's InfoWars Nightly News.
[00:02:52.065 --> 00:02:52.725]  And welcome back.
