[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[00:00:42.304 --> 00:00:44.045]  Welcome to the InfoWars Nightly News.
[00:00:44.105 --> 00:00:49.049]  I'm your host Rob Due and today's date is May 8th, 2013 and it's Wednesday.
[00:00:49.209 --> 00:00:50.711]  And here's a look at what we have coming up tonight.
[00:00:53.093 --> 00:00:56.275]  Tonight on the InfoWars Nightly News.
[00:00:57.116 --> 00:00:59.658]  We bring you the latest on the Benghazi hearings.
[00:01:00.487 --> 00:01:07.435]  Then, many Americans are still convinced that gun homicides are up, even though the numbers are quite the opposite.
[00:01:07.576 --> 00:01:13.543]  And Rob Dew talks to another victim of quote, imagined tyranny, in the wake of the Boston bombing.
[00:01:13.563 --> 00:01:15.225]  Imagined tyranny.
[00:01:15.745 --> 00:01:19.169]  All that and more coming up on the Info Wars Nightly News.
[00:01:19.730 --> 00:01:24.134]  We're going to have John Bowne coming up with us in studio with some live updates on Benghazi.
[00:01:24.154 --> 00:01:26.076]  But first, I want to get to an article from Kurt Nemo.
[00:01:26.396 --> 00:01:28.438]  The real Benghazi story, U.S.
[00:01:28.538 --> 00:01:30.339]  op to arm al-Qaeda in Syria.
[00:01:30.379 --> 00:01:36.085]  And this is a big deal where we're talking about there were 10,000 heat-seeking missiles in Benghazi.
[00:01:36.545 --> 00:01:40.849]  And that this whole, that Ambassador Stevens was most likely in a plot
[00:01:41.892 --> 00:01:46.213]  To give these missiles to Al-Qaeda, probably under the direction of Hillary Clinton and Barack Obama.
[00:01:46.713 --> 00:01:47.334]  We don't know yet.
[00:01:47.714 --> 00:01:51.995]  But that's what we're, the intel we're getting from people who actually care about this story.
[00:01:52.015 --> 00:01:55.816]  There's our latest on Benghazi, continual live updates that we were posting all day.
[00:01:56.256 --> 00:02:02.318]  And this afternoon, Kurt Nimmo came out with the article that's on the computer there, Real Benghazi Story, U.S.
[00:02:02.518 --> 00:02:04.479]  Op to Arm Al-Qaeda in Syria.
[00:02:05.079 --> 00:02:07.339]  And I'm just going to read one quote here from John Baxter.
[00:02:07.639 --> 00:02:09.000]  Benghazi is not about Libya.
[00:02:09.580 --> 00:02:18.425]  Benghazi is about a policy of the Obama administration to involve the United States without clarity to the American people, not only in Libya, but throughout the Arab world that is now in turmoil.
[00:02:18.845 --> 00:02:30.852]  Benghazi is about the NSC directing an operation that is perhaps shadowy, perhaps a presidential finding, perhaps doesn't, that takes arms and men and puts them into Syria under the guise of the Free Syrian Army.
[00:02:32.375 --> 00:02:35.277]  And so, you know, we've been posting updates on it all day.
[00:02:35.817 --> 00:02:37.598]  We're going to play you some old clips.
[00:02:37.638 --> 00:02:48.765]  But first, let's go to a quick clip from Mr. Hicks, who was one of the government officials who was there on the ground calling people, looking for help, and none was given.
[00:02:48.805 --> 00:02:49.405]  So here's that clip.
[00:02:52.301 --> 00:02:55.922]  During the night, I'm in touch with Washington.
[00:02:55.962 --> 00:03:06.744]  We're keeping them posted of what's happening in Tripoli and, to the best of my knowledge, what I'm being told in Benghazi.
[00:03:07.684 --> 00:03:08.304]  2 a.m., sorry.
[00:03:08.404 --> 00:03:13.985]  The Secretary of State Clinton called me, along with her senior staff.
[00:03:14.045 --> 00:03:14.885]  We're all on the phone.
[00:03:16.025 --> 00:03:18.926]  And she asked me,
[00:03:21.482 --> 00:03:22.282]  What was going on?
[00:03:22.583 --> 00:03:24.183]  And I briefed her on developments.
[00:03:25.684 --> 00:03:29.146]  Most of the conversation was about the search for Ambassador Stevens.
[00:03:30.147 --> 00:03:34.369]  They didn't know whether any more mortars were going to come in.
[00:03:35.610 --> 00:03:38.491]  The accuracy was terribly precise.
[00:03:39.712 --> 00:03:47.036]  The defense attache had persuaded the Libyans to fly their C-130 to
[00:03:51.283 --> 00:04:05.691]  Benghazi, as Colonel Gibson and his three personnel were getting in the cars, he stopped and he called them off and said, told me that he had not been authorized to go.
[00:04:08.472 --> 00:04:14.075]  The vehicles had to go because the flight needed to go to Tripoli, I mean to Benghazi.
[00:04:15.916 --> 00:04:17.237]  Lieutenant Colonel Gibson was furious.
[00:04:18.760 --> 00:04:29.569]  So hours after our ambassador and three others are killed in Benghazi, the President of Libya says it was an attack with possible terror links, correct?
[00:04:31.170 --> 00:04:32.331]  Yes, sir, that's what I recall.
[00:04:32.711 --> 00:04:38.016]  Did the President of Libya ever mention a spontaneous protest related to a video?
[00:04:38.957 --> 00:04:39.237]  No, sir.
[00:04:40.100 --> 00:04:49.275]  Would a highly decorated career diplomat have told you or Washington had there been a demonstration outside his facility that day?
[00:04:50.339 --> 00:04:51.300]  Yes, sir, he would have.
[00:04:51.540 --> 00:04:55.063]  Did he mention one word about a protest or a demonstration?
[00:04:55.343 --> 00:04:56.124]  No, sir, he did not.
[00:04:56.464 --> 00:05:06.312]  This email was sent on September the 12th, the day after Benghazi and several days before Ambassador Rice's television appearance.
[00:05:06.692 --> 00:05:07.613]  And I'll continue.
[00:05:08.053 --> 00:05:16.480]  When he said his government suspected that former Qaddafi regime elements carried out the attacks, I told him
[00:05:17.844 --> 00:05:25.592]  That the group that conducted the attacks, Ansar al-Sharia, is affiliated with Islamic terrorists.
[00:05:26.493 --> 00:05:28.215]  Let me say that again, Mr. Hicks.
[00:05:28.675 --> 00:05:40.688]  She told him, the State Department, on September the 12th, days before our ambassador went on national television, is telling the ambassador to Libya.
[00:05:42.162 --> 00:05:50.562]  The group that conducted the attacks, Ansar al-Sharia, is affiliated with Islamic terrorists.
[00:05:52.861 --> 00:05:56.023]  So there, Mr. Hicks, congressional testimony stating at 2 a.m.
[00:05:56.343 --> 00:06:01.006]  the night this attack was happening, he was on the phone with Hillary Clinton and her entire entourage.
[00:06:01.187 --> 00:06:03.968]  And for her to say she didn't know what was going on, totally disgraceful.
[00:06:04.189 --> 00:06:07.711]  We turn now to John Bowne, who's been watching this all day, watching it unfold.
[00:06:07.971 --> 00:06:08.732]  What can you tell us, John?
[00:06:08.752 --> 00:06:09.192]  What's the latest?
[00:06:09.212 --> 00:06:10.473]  Well, now we have the fallout.
[00:06:10.773 --> 00:06:22.381]  And after the hearings, Daniel Issa, the representative there with the House committee that was interviewing Mr. Hicks and Mr. Thompson and Mr. Nordstrom,
[00:06:23.241 --> 00:06:25.182]  I believe he got his name right, yeah.
[00:06:25.682 --> 00:06:30.263]  He spoke about the fact that Hillary Clinton is at the bottom of this.
[00:06:30.543 --> 00:06:31.824]  It does lead to Hillary Clinton.
[00:06:31.844 --> 00:06:40.026]  In his words, he said, if Hillary Clinton is not responsible for the before, during, and after mistakes, it's somebody really close.
[00:06:40.686 --> 00:06:50.372]  And then the fallout that results from this is going to be the Republicans against the Democrats, one side trying to push it on the other, and also the total mainstream media whitewash.
[00:06:50.392 --> 00:06:57.016]  A minor gang turf war is what we're going to see erupt out of this, and we're never going to get to the real issue, which is, where are these 10,000 heat-seeking missiles?
[00:06:57.256 --> 00:07:10.652]  Well, and this all resulted from the interview that Hicks did with Face the Nation only, what, a few months ago, or a few weeks ago, and then it just blew up into the hearings that we're seeing right now.
[00:07:10.752 --> 00:07:10.993]  Right.
[00:07:11.213 --> 00:07:12.835]  Yeah, the whistleblower started coming forward.
[00:07:13.476 --> 00:07:24.809]  And that's the next thing is that John Bolton today in the Washington Times was saying that he believes that there are going to be a lot more witnesses that come out.
[00:07:26.591 --> 00:07:32.698]  People that are involved with the ARB, they keep mentioning the ARB during hearings, that's the Accountability Review Board.
[00:07:33.118 --> 00:07:36.499]  Which basically kind of gave two different sides of the story.
[00:07:36.539 --> 00:07:40.800]  They said, yeah, we did recommend that they don't have security.
[00:07:40.860 --> 00:07:44.041]  And then they had other testimony where they said that they didn't.
[00:07:44.561 --> 00:07:46.802]  So that's got to be cleared up.
[00:07:47.162 --> 00:07:49.042]  There have to be more hearings.
[00:07:49.482 --> 00:07:50.763]  There have to be more witnesses.
[00:07:50.823 --> 00:07:57.764]  And there are key members that are going to have to be witnesses that testify in the hearings coming in the next few weeks.
[00:07:57.824 --> 00:07:59.785]  Because they only went to a certain level.
[00:08:00.225 --> 00:08:05.446]  They only went to as high up, they didn't interview Patrick Kennedy enough.
[00:08:05.966 --> 00:08:09.887]  And so now we're going to see these higher ups, these key members that need to be interviewed.
[00:08:09.907 --> 00:08:18.469]  Patrick Kennedy, he was one of the key people that told us that the underwear bomber was let on the plane because their agency was asked by another agency not to revoke his visa.
[00:08:18.789 --> 00:08:19.589]  Very interesting, isn't it?
[00:08:19.749 --> 00:08:20.429]  Yeah, it is.
[00:08:20.489 --> 00:08:21.230]  It all ties together.
[00:08:21.710 --> 00:08:26.931]  And what I also think is most interesting is that when we went to CNN, went to Fox,
[00:08:27.811 --> 00:08:29.152]  It was nothing about Benghazi.
[00:08:29.733 --> 00:08:31.194]  It was like they had shut it off.
[00:08:31.214 --> 00:08:32.616]  I guess Fox covered it for a little while.
[00:08:32.656 --> 00:08:33.937]  CNN turned it off.
[00:08:34.037 --> 00:08:35.058]  MSNBC turned it off.
[00:08:35.278 --> 00:08:37.781]  They didn't want these hearings going out to their audience.
[00:08:38.141 --> 00:08:42.325]  They want to keep their people in the dark because, oh, congressional testimony, that could be damning.
[00:08:42.365 --> 00:08:46.749]  We could have something that would come out that would make, you know, the president embarrassed or something.
[00:08:46.829 --> 00:08:47.990]  Well, this is Watergate 2.0.
[00:08:48.690 --> 00:08:49.311]  This is huge.
[00:08:49.331 --> 00:08:52.873]  This is a huge story to anybody that's paying attention and cares about our country.
[00:08:53.574 --> 00:08:55.455]  And, you know, they're going to completely whitewash.
[00:08:55.495 --> 00:08:57.456]  The mainstream media is going to whitewash everything.
[00:08:57.476 --> 00:09:02.079]  We're going to hear about some girl that shot her boyfriend and the girls locked up there in Cleveland.
[00:09:02.159 --> 00:09:02.299]  Right.
[00:09:02.319 --> 00:09:03.380]  That's what we're going to hear about.
[00:09:03.600 --> 00:09:10.185]  We're not going to hear about the complete destruction of the core of our American democracy.
[00:09:10.525 --> 00:09:11.265]  The arming of Al-Qaeda.
[00:09:11.285 --> 00:09:13.887]  The arming of Al-Qaeda, which leads to the arming of Al-Qaeda.
[00:09:13.947 --> 00:09:14.768]  That is just it.
[00:09:15.228 --> 00:09:16.469]  And then we're going to have these attacks.
[00:09:17.449 --> 00:09:24.473]  Over and over again, they're gonna say, well, we gotta go in and stop Al Qaeda in this country, and now in this country, and now in this country, when we gave them the damn missile.
[00:09:24.493 --> 00:09:29.836]  Well, and what stinks to high heaven is the fact that the NATO and the United Nations are completely involved in this.
[00:09:30.596 --> 00:09:32.958]  You know, and they're the ones, what looks like,
[00:09:33.658 --> 00:09:35.639]  They were the ones saying, no, stand down.
[00:09:37.380 --> 00:09:41.182]  He was asking a general to come and help.
[00:09:41.583 --> 00:09:44.685]  The general told that security detail to stand down.
[00:09:44.985 --> 00:09:46.366]  There was other AFRICOM.
[00:09:46.766 --> 00:09:47.986]  They were asked.
[00:09:48.107 --> 00:09:49.607]  They said they couldn't come in.
[00:09:49.988 --> 00:09:57.152]  And Hicks was basically saying, if we had shown some kind of firepower with maybe just a plane, a flyover, the Libyans would have backed off.
[00:09:57.172 --> 00:09:57.832]  They would have scattered.
[00:09:57.892 --> 00:09:58.513]  Just one plane.
[00:09:59.273 --> 00:10:04.516]  You know, and they were just left out there to be killed.
[00:10:05.657 --> 00:10:06.617]  With precision.
[00:10:06.717 --> 00:10:07.898]  Yeah, precision mortar attacks.
[00:10:07.938 --> 00:10:08.779]  He did talk about that.
[00:10:08.859 --> 00:10:14.042]  All right, we're going to go to three clips because we were doing our own investigation of this.
[00:10:14.102 --> 00:10:15.843]  We weren't waiting for congressional hearings.
[00:10:16.243 --> 00:10:19.365]  We were bringing in people who are geopolitically savvy.
[00:10:20.205 --> 00:10:26.449]  The first clip we're going to go to is Steve Pucinich and that was in, let me get the exact date here, that was in 8-12, that was August.
[00:10:28.630 --> 00:10:30.452]  And then we're going to go to Lt.
[00:10:30.472 --> 00:10:30.672]  Col.
[00:10:30.712 --> 00:10:33.414]  Anthony Schaffer who we had on the show in November of 2012.
[00:10:33.734 --> 00:10:41.060]  So we've got August, November, and then we have a clip of Rand Paul chewing out Hillary Clinton after she claimed, well I had no idea this was going on.
[00:10:41.340 --> 00:10:43.482]  That was in January of this year.
[00:10:43.762 --> 00:10:44.703]  So we're going to go to those clips.
[00:10:44.923 --> 00:10:49.767]  John, thanks for coming in with that update and I guess you're going to be on the show tomorrow with another update.
[00:10:49.787 --> 00:10:51.629]  We're going to follow this thing real close.
[00:10:51.849 --> 00:10:53.090]  Alright, well let's go to these clips now.
[00:10:55.527 --> 00:11:03.720]  Your sources, you were telling me off air, that your Pentagon sources, I mean, they know who really killed this guy and the message it's meant to send.
[00:11:04.724 --> 00:11:25.518]  Well, the message he was meant to send, the Pentagon sources have informed me that the distance between the Libyan embassy, where our ambassador was, and where the rioters were, was so large, and two days of delay in response, meaning simply that they were professionals ready to take out our ambassador, who is an Arabist.
[00:11:25.718 --> 00:11:32.202]  And the reason I say he's an Arabist, it was basically they wanted to kill him because he was too influential in the Arab world.
[00:11:32.302 --> 00:11:34.644]  He was too dangerous to Israeli interests.
[00:11:35.685 --> 00:11:41.670]  This was a protracted battle.
[00:11:41.690 --> 00:11:48.695]  We're talking about starting in the evening, say between 7 and 8, and lasting until the next morning.
[00:11:49.015 --> 00:11:59.003]  Now one notable thing, just to frame this whole thing, and I think this is where we're going to go with this, from what we were talking about, is that during this entire time, no one knew the ambassador was dead.
[00:12:00.324 --> 00:12:14.874]  And this is notable by the fact that one of the things you'd think they'd want to do is find him by the fact you would not want to have a hostage situation similar to the one that hobbled Jimmy Carter during his re-election campaign back in 1980.
[00:12:15.475 --> 00:12:16.195]  And think about this.
[00:12:16.675 --> 00:12:22.099]  If Ambassador Stevens was taken hostage, every day there would be a reminder of the failed policy.
[00:12:22.479 --> 00:12:29.444]  So therefore you have to wonder, why didn't the recovery of the ambassador take front and center from the moment
[00:12:29.964 --> 00:12:37.069]  That he went missing, and it's notable that there was no there's been no mention of that by any outlet how they wanted to go after him.
[00:12:37.149 --> 00:12:44.934]  So with that said, it's very clear now that within the context of the event of 11 September of this year of 2012.
[00:12:46.775 --> 00:12:56.237]  It was very clear from the moment, I'd say about 4 p.m., after Ambassador Stevens met with his last visitor of the day, which apparently was the Turkish representative.
[00:12:56.617 --> 00:12:57.297]  That's notable.
[00:12:57.797 --> 00:13:03.739]  Turkey is partnering with us right now in a covert action to help do two things.
[00:13:03.799 --> 00:13:15.821]  Increase the level of intelligence we're aware of by using the Turkish intelligence assets on the ground in Syria, and by actually working with us to quote-unquote arm the friendly rebels, whoever they are.
[00:13:16.001 --> 00:13:20.082]  Thank you for appearing, Secretary Clinton, and I'm glad to see your health is improving.
[00:13:20.942 --> 00:13:22.903]  I'm glad that you're accepting responsibility.
[00:13:23.803 --> 00:13:29.005]  I think that ultimately, with your leaving, you accept the culpability for the worst tragedy since 9-11.
[00:13:29.485 --> 00:13:30.505]  And I really mean that.
[00:13:30.925 --> 00:13:40.047]  Had I been president at the time, and I found that you did not read the cables from Benghazi, you did not read the cables from Ambassador Stevens, I would have relieved you of your post.
[00:13:40.428 --> 00:13:41.668]  I think it's inexcusable.
[00:13:44.718 --> 00:13:45.258]  So there you go.
[00:13:45.538 --> 00:13:50.621]  The story that we're hearing from the mainstream media is not the story we're hearing from the people we're interviewing.
[00:13:50.661 --> 00:13:56.125]  The insiders, the people who are, who've been in messes like this, who've even done things like this.
[00:13:56.425 --> 00:13:59.707]  In Pachetik's case, he's been in some interesting dealings in his life.
[00:14:00.187 --> 00:14:04.309]  So, of course, we're going to be bringing you more information as it becomes available.
[00:14:04.609 --> 00:14:06.831]  Moving on to gun homicides.
[00:14:07.271 --> 00:14:12.134]  Americans convinced gun homicides soar despite actual plunge in gun crimes.
[00:14:12.714 --> 00:14:13.274]  There you go.
[00:14:13.894 --> 00:14:22.416]  While gun-related homicides are down 39%, we actually think it's 49, from a 1993 peak, only 12% of people believe that gun crimes have fallen.
[00:14:22.916 --> 00:14:34.638]  Non-fatal firearm crimes declined by 69% to 467,000 in that same period, but 56% of Americans believe that gun crime is higher than it was 20 years ago.
[00:14:35.158 --> 00:14:41.919]  Maybe that has to do with Eric Holder putting out that memo that we need to brainwash people about guns.
[00:14:42.219 --> 00:14:43.540]  We have to show it every day.
[00:14:44.120 --> 00:14:45.601]  Guns, guns, guns are bad.
[00:14:45.621 --> 00:14:47.161]  We're having gun buyback programs.
[00:14:47.181 --> 00:14:48.362]  We're worried about illegal guns.
[00:14:48.422 --> 00:14:49.642]  What are illegal guns, huh?
[00:14:50.042 --> 00:14:52.163]  Those are the ones that you don't tell the government that you have?
[00:14:52.424 --> 00:14:53.284]  How is that illegal?
[00:14:54.544 --> 00:14:56.385]  I don't know, but they say, let's pull up a couple charts here.
[00:14:56.405 --> 00:14:58.506]  We got violent crime statistics.
[00:14:58.926 --> 00:14:59.607]  This is from the FBI.
[00:14:59.627 --> 00:15:00.787]  1992, you can see the rate there.
[00:15:00.827 --> 00:15:01.868]  To 2011, you can see the drop.
[00:15:05.580 --> 00:15:06.860]  And now we do some math.
[00:15:07.541 --> 00:15:12.422]  We start subtracting, dividing, and there you get 49% crime drop.
[00:15:12.462 --> 00:15:14.003]  That's based off the FBI statistics.
[00:15:14.023 --> 00:15:16.643]  The other statistics were Department of Justice.
[00:15:17.404 --> 00:15:19.024]  Now we're going to go to a murder rate.
[00:15:21.465 --> 00:15:21.925]  This is per 100,000 people.
[00:15:21.945 --> 00:15:22.845]  You got 9.3 in 1992 and then 4.6.
[00:15:22.885 --> 00:15:23.485]  Another 49% decrease.
[00:15:23.505 --> 00:15:24.226]  And now let's show all crime.
[00:15:35.598 --> 00:15:38.479]  These are the rates between 92 and 2011.
[00:15:39.199 --> 00:15:42.120]  In every single case it's going down.
[00:15:42.920 --> 00:15:52.863]  Even though the mainstream media and the rest of the dinosaur prostitute media want to tell you that you got to be afraid and it's all guns problem.
[00:15:52.883 --> 00:15:55.624]  It has nothing to do with the fact that people are becoming armed.
[00:15:55.644 --> 00:15:58.725]  That firearm ownership is going up and that's why crime is going up.
[00:15:58.925 --> 00:15:59.726]  Yeah, I think.
[00:16:18.359 --> 00:16:25.123]  And now I want to go to a video of this is a kid actually Alex Jones is going to introduce this, but we he saw this today.
[00:16:25.143 --> 00:16:32.487]  He's like I got to shoot a video got to shoot a video and the headlines from Fox 19 video of Vegas boy grilling cop goes viral.
[00:16:32.547 --> 00:16:40.532]  It's got over 4 million views of this kid with his camera walking out wants to know why this cop this mustache welding cop.
[00:16:41.232 --> 00:16:41.553]  Yes, sir.
[00:16:56.468 --> 00:17:05.931]  A 12-year-old boy in Las Vegas, Nevada did what all American adults need to be doing to keep our out-of-control government in check.
[00:17:06.891 --> 00:17:13.093]  He saw a police officer pull up on the sidewalk, go into a store to get a soft drink, and then waddle out.
[00:17:13.753 --> 00:17:19.335]  If a citizen would have done that, the cop would have written him a ticket or maybe even arrested them.
[00:17:19.915 --> 00:17:23.116]  We've seen many cases of people parking on the sidewalk and being arrested.
[00:17:23.556 --> 00:17:29.162]  And he says to the police officer, the public servant, are you responding to an emergency?
[00:17:29.903 --> 00:17:34.168]  Because you just pulled up here on the sidewalk.
[00:17:34.568 --> 00:17:36.050]  And the cop says, what are you, a lawyer?
[00:17:36.150 --> 00:17:37.231]  Let me see your ID.
[00:17:37.612 --> 00:17:38.573]  He turns it around.
[00:17:38.913 --> 00:17:40.175]  And that's what government does.
[00:17:40.575 --> 00:17:46.700]  It makes us all suspects under Homeland Security, under the fake war on terror and the fake war on drugs.
[00:17:47.141 --> 00:17:56.708]  And we never look at who the real suspect for corruption and tyranny is in history that our founding fathers warned us of, government and government servants.
[00:17:57.069 --> 00:18:00.752]  Because throughout history and in modern times it is government that
[00:18:01.192 --> 00:18:01.292]  It's
[00:18:19.537 --> 00:18:33.264]  Our government's servants are, that he would try to intimidate the boy, claim that he was loitering, claim that he'd done something wrong, claim that he needed to, you know, prove who he was, and wouldn't give the young man his badge number.
[00:18:33.624 --> 00:18:38.367]  Which, by the way, is the state law there in Nevada and most other states that are supposed to do that.
[00:18:38.687 --> 00:18:41.689]  So you have a cop breaking the law on multiple fronts.
[00:18:42.349 --> 00:18:47.034]  For his convenience, and then trying to treat the boy like he was some type of serf or slave.
[00:18:47.575 --> 00:18:50.898]  But within this is the essence of how we're going to save our society.
[00:18:51.298 --> 00:18:56.104]  Because most adults I know don't understand that cops can't do that unless there's an emergency.
[00:18:57.535 --> 00:19:09.726]  Most people don't understand that they have no responsibility to ID themselves to a police officer even though they claim that you have a responsibility to and have a lot of fake laws that have been overturned still on the books.
[00:19:10.227 --> 00:19:18.995]  So I want to salute this young man and I want to challenge adults out there to do what he's done and stand up to this type of tyranny.
[00:19:27.518 --> 00:19:28.399]  Um, hello?
[00:19:30.240 --> 00:19:32.582]  Is there a reason for you to park on the sidewalk?
[00:19:32.642 --> 00:19:34.283]  Is it like an emergency or anything?
