[00:00:10.478 --> 00:00:10.699]  I'm good.
[00:00:46.246 --> 00:00:46.686]  Good evening.
[00:00:46.766 --> 00:00:47.926]  I'm David Ortiz.
[00:00:48.027 --> 00:00:50.228]  You're watching InfoWars Nightly News.
[00:00:50.608 --> 00:00:56.671]  It's Monday, the 4th of February of 2013, and here's what we have in store for you tonight.
[00:00:59.790 --> 00:01:06.052]  Tonight on the InfoWars Nightly News, President Obama skeet shoots all the time.
[00:01:06.412 --> 00:01:08.413]  So why is he so bad at it?
[00:01:08.873 --> 00:01:13.414]  Plus, was Chris Kyle eliminated because of his Second Amendment beliefs?
[00:01:13.875 --> 00:01:20.117]  Then, Jesse Jackson wants Americans to know that having a gun makes you a domestic terrorist.
[00:01:20.677 --> 00:01:23.958]  All that and more on the InfoWars Nightly News.
[00:01:28.638 --> 00:01:34.384]  Well, it seems Jesse Jackson continues to demonize Second Amendment supporters.
[00:01:34.784 --> 00:01:45.355]  In an article posted today on Infowars.com by our very own Kurt Nimmo, the headline reads, Reverend Jesse Jackson says gun supporters are domestic terrorists.
[00:01:45.815 --> 00:01:49.359]  According to the article, during an interview with the Wall Street Journal,
[00:01:50.327 --> 00:02:06.336]  Posted on January 30th, the Reverend Jesse Jackson said anti-government people espousing what amounts to a Confederate ideology will engage in terrorist activities unless the government enacts draconian laws restricting the possession of firearms.
[00:02:06.876 --> 00:02:21.279]  Later on in the article, it says New York Representative Charlie Rangel said in January that Southern culture, a specific reference to gun culture prevalent in the South, is something that Democrats must work to overcome.
[00:02:22.380 --> 00:02:28.704]  New York is a little different and more progressive, says the Congressman, in a lot of areas than some other states.
[00:02:29.064 --> 00:02:32.846]  And some of the southern areas have cultures that we have to overcome.
[00:02:32.906 --> 00:02:33.986]  That is according to Rangel.
[00:02:34.327 --> 00:02:34.867]  So there you go.
[00:02:34.907 --> 00:02:46.193]  You continue to have far-left Democrats, particularly in the minority community, that continue to say if you support the Second Amendment, if you think that somebody has the right to own and assault weapons, you're bad.
[00:02:46.773 --> 00:02:50.215]  And there's a great possibility you're probably racist as well.
[00:02:50.795 --> 00:02:56.638]  Of course, Jesse Jackson doesn't talk about the drug war, which kills far more people than assault weapons.
[00:02:56.699 --> 00:03:01.561]  Only about 3 or 4 percent of all gun crimes or gun murders involve an assault weapon.
[00:03:02.001 --> 00:03:09.165]  But most, or a large percentage, at least 30, 40 percent of people who are killed by a gun, it's because of the drug war.
[00:03:09.866 --> 00:03:15.449]  Yet Mr. Jackson does not talk about that because his beloved Barack Obama supports it.
[00:03:16.209 --> 00:03:25.116]  He supports it, the drug war, and Barack Obama has said that he has bigger issues to solve than helping people to smoke marijuana.
[00:03:25.496 --> 00:03:33.542]  Well, it's not about allowing people to smoke marijuana, it's about reducing the prison population and stop locking up people for years in jail.
[00:03:34.242 --> 00:03:34.942]  We're really arming.
[00:03:53.308 --> 00:03:56.530]  To stop the government from taking our, taking, they're fighting the government.
[00:03:56.550 --> 00:03:57.931]  This is a confederate ideology.
[00:03:57.991 --> 00:04:00.373]  We need homeland security, not just the local police.
[00:04:00.933 --> 00:04:08.218]  And so you've got some combination in this drug thing, in this gun thing of, this drug thing, in this gun thing of, of territorial fights.
[00:04:08.839 --> 00:04:10.380]  The gun fights over that.
[00:04:10.780 --> 00:04:12.742]  It's metastasizing and it's festering.
[00:04:13.582 --> 00:04:16.464]  So we're trying to put some focus on this issue of reconstruction.
[00:04:16.604 --> 00:04:18.285]  We're really arming... It's so sad.
[00:04:18.325 --> 00:04:18.706]  There you go.
[00:04:18.746 --> 00:04:26.150]  You saw the fraudulent slip where he talked about the drug war and then he retracted because, again, he knows that Barack Obama supports the drug war.
[00:04:26.451 --> 00:04:33.916]  If he really wanted to reduce crime, gun violence, he would be lobbying and demonizing President Obama for his stance on the drug war.
[00:04:34.336 --> 00:04:42.702]  And it's amazing because these people in the Democratic Party want to continue to hold conferences over this gun issue.
[00:04:43.582 --> 00:04:45.325]  We don't need more conferences.
[00:04:45.365 --> 00:04:47.628]  What we need is to end the drug war.
[00:04:47.668 --> 00:04:59.003]  Now, speaking of the Second Amendment, in an article posted today by Paul Joseph Watson on Infowars.com, the article reads, Reuters Report Contradicts Obama Skeet Shooting Photo.
[00:05:00.000 --> 00:05:19.697]  The article says that, you know, they're looking at the photos, and if in fact that was President Obama shooting, according to media outlets, many media outlets, among them the New York Magazine, which is not a conservative outlet, they're saying, why is Obama aiming straight when skeets are normally only shot at a high or low angle?
[00:05:20.791 --> 00:05:23.192]  Why is smoke coming out of the side of the barrel?
[00:05:23.872 --> 00:05:34.034]  Obama claims he goes shooting all the time, yet as innumerable gun experts have pointed out, his stance is atrocious, and it looks like Obama has never even held a firearm before.
[00:05:34.594 --> 00:05:46.077]  Obama appears to have grown a potbelly that isn't apparent in other photos from the same time period, and the recoil of the gun immediately after being fired would result in camera blur.
[00:05:46.597 --> 00:05:48.158]  Which isn't evident in the photo.
[00:05:48.598 --> 00:05:56.762]  So there you go, Paul Joseph Watson as well as New York Magazine is bringing up the possibility that maybe that could be a doctored photo.
[00:05:56.802 --> 00:06:05.406]  We don't know if it is, but it certainly wouldn't be the first time that the White House has released a photo that isn't exactly what they say it is.
[00:06:05.466 --> 00:06:07.987]  We know that after bin Laden was caught,
[00:06:08.847 --> 00:06:19.470]  The White House released a photo that showed President Obama and Hillary Clinton looking very concerned, and they said that's how he looked as the raid was going on, the Osama Bin Laden raid.
[00:06:19.490 --> 00:06:23.371]  Well, it turns out that wasn't a photo of them during the raid.
[00:06:24.111 --> 00:06:28.973]  So, the White House has released photos that aren't exactly accurate.
[00:06:29.033 --> 00:06:30.673]  Could this be another one of them?
[00:06:31.393 --> 00:06:32.934]  We don't know, but what we do know is
[00:06:33.934 --> 00:06:45.042]  You know, President Obama saying he goes shooting all the time, that just could be a token gesture so that he can get the people to believe that he's not that bad a guy, so therefore let's pass the assault weapons ban.
[00:06:46.123 --> 00:06:49.345]  He's not a good guy when it comes to this issue, despite what he says.
[00:06:50.426 --> 00:06:53.088]  Moving on to another gun story.
[00:06:53.188 --> 00:06:58.632]  Sadly murdered Navy SEAL, Chris Kyle, a former Navy SEAL, has been murdered.
[00:06:58.652 --> 00:07:00.633]  He passed away this past weekend.
[00:07:01.835 --> 00:07:08.984]  According to the article, murdered Navy SEAL Chris Kyle was gunned down at point-blank range in Texas this past weekend.
[00:07:09.805 --> 00:07:18.176]  He was emerging as a prominent gun control critic, working to place armed guards in schools in the aftermath of the Sandy Hook massacre.
[00:07:18.857 --> 00:07:30.345]  And later on in the article, there's a quote by Mr. Kyle, where he says, I've talked to a bunch of cops and secret service guys, and they aren't going to go to anyone's house, especially if they have guns.
[00:07:30.805 --> 00:07:35.088]  They don't want to be knocking on doors, said the best-selling author of American Sniper.
[00:07:35.429 --> 00:07:45.396]  And later on in the article, it says, Kyle's alleged killer has been named as 25-year-old Eddie Ray Routh, an ex-Marine who suffered from post-traumatic stress syndrome.
[00:07:46.176 --> 00:07:52.399]  Ralph was arrested at his home in Lancaster, Texas after leading police on a chase following the shooting.
[00:07:52.439 --> 00:07:54.020]  So you've got two things going on here.
[00:07:54.460 --> 00:08:03.244]  One is that Mr. Kyle was killed and could the government be going after staunch high-profile supporters of the Second Amendment over the past six weeks?
[00:08:03.964 --> 00:08:08.888]  Three people have been mysteriously killed who were staunch supporters of the Second Amendment.
[00:08:08.908 --> 00:08:09.869]  We have Mr. Kyle.
[00:08:10.229 --> 00:08:21.038]  We also have another individual who used to post videos on YouTube that were wildly popular that promoted the Second Amendment and had hundreds of millions of hits.
[00:08:21.419 --> 00:08:25.442]  And he was shot at point-blank range and we still don't know exactly why that happened.
[00:08:25.742 --> 00:08:30.106]  And then there was another Second Amendment supporter who died in a mysterious car crash.
[00:08:30.666 --> 00:08:37.109]  And this is all happening right around the time that the government is trying to infringe upon our Second Amendment rights.
[00:08:37.209 --> 00:08:45.313]  They know darn well, what many skeptics might say, is they know that these people help the Second Amendment cause and we might have to get rid of them.
[00:08:45.753 --> 00:08:54.617]  Alex has talked about the fact that he has faced death threats and they quite possibly could be going after strong supporters of the Second Amendment.
[00:08:54.637 --> 00:08:58.799]  So our condolences to Mr. Kyle and also another
[00:08:59.259 --> 00:09:07.266]  A possibility that could be occurring is it says that the individual who shot him allegedly was suffering from post-traumatic stress syndrome.
[00:09:07.386 --> 00:09:20.516]  Alex has talked numerous times that people are talking about the weapons that are killing people but they're not talking about how many of these individuals are high as a kite when they murder these individuals.
[00:09:20.556 --> 00:09:25.761]  The gentleman from Aurora, Colorado who walked into the movie theater was drugged at the time that he
[00:09:26.581 --> 00:09:34.769]  Uh, did these murders, and Alex has talked about at great length that we need to be talked about, we need to talk about how these individuals are on medication.
[00:09:35.410 --> 00:09:39.094]  And that could be a reason, that is a reason why many of these murders are taking place.
[00:09:39.884 --> 00:09:47.250]  Now, speaking of Mr. Kyle, he was obviously involved in the lawsuit that Jesse Ventura was filing against him.
[00:09:47.811 --> 00:09:52.095]  According to Mr. Ventura, he was being slandered by Mr. Kyle.
[00:09:52.675 --> 00:10:07.388]  Supposedly, Mr. Kyle said that he was at an outing where Mr. Ventura was at, and Mr. Ventura was demeaning military soldiers who had passed away, saying that it was good that they passed away because they were participating in an immoral war.
[00:10:07.948 --> 00:10:10.850]  Mr. Ventura completely refutes that.
[00:10:10.910 --> 00:10:15.552]  He says he would never say such a thing, even though he detests the wars that we are in.
[00:10:16.132 --> 00:10:20.435]  He would never demean his fellow comrades in arms.
[00:10:20.755 --> 00:10:25.557]  He is a Navy SEAL, so he was going to sue Mr. Kyle over that accusation.
[00:10:26.678 --> 00:10:30.441]  So that's another reason why Mr. Kyle was recently in the news.
[00:10:30.481 --> 00:10:36.106]  They were both patriots, and it was obviously sad to see them having that disagreement.
[00:10:36.146 --> 00:10:39.369]  But again, our condolences to Chris Kyle's family.
[00:10:40.289 --> 00:10:48.096]  Now, speaking of the military, it seems that more military exercises are continuing in residential communities.
