[00:00:08.932 --> 00:00:11.695]  Waging war on corruption.
[00:00:11.995 --> 00:00:19.762]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:00:20.323 --> 00:00:22.845]  Ladies and gentlemen, it is
[00:00:28.339 --> 00:00:32.700]  Day of September 2013 as you listen to this worldwide transmission.
[00:00:33.460 --> 00:00:42.162]  And I am normally live here on Sundays, but we are taking off a little bit of time to actually work on Obama Deception 2, to be quite frank with you.
[00:00:43.163 --> 00:00:47.344]  The woods are lovely, dark and deep, but I have miles to go before I sleep.
[00:00:47.824 --> 00:00:50.584]  But part of this transmission will be original.
[00:00:51.605 --> 00:00:52.205]  It will be virgin.
[00:00:53.743 --> 00:01:07.626]  It will be a maiden voyage in the last three segments of the second hour coming up today because I had a chance to interview Friday night just a little while ago.
[00:01:08.086 --> 00:01:09.667]  As I said, I'm recording this on Friday night.
[00:01:10.387 --> 00:01:11.407]  Russell Brand.
[00:01:11.947 --> 00:01:13.308]  A lot of you probably heard of him.
[00:01:13.328 --> 00:01:18.729]  He is a very fast rising movie star, TV host, and a comic.
[00:01:20.183 --> 00:01:25.625]  And he's really been shaking things up, calling the media a bunch of narcissistic, basically mentally ill fools.
[00:01:27.086 --> 00:01:31.007]  And I had heard from David Icke that he was a listener, so we contacted him.
[00:01:31.047 --> 00:01:36.109]  Turned out he was a follower of me on my little Twitter account, Real Alex Jones.
[00:01:37.245 --> 00:01:45.111]  And so I contacted him on his Twitter that's got six million plus followers and said, hey, we'd like to get you on.
[00:01:45.171 --> 00:01:50.135]  And boom, he came on and he says when he comes to Austin in a few weeks, we'll be able to do a video interview.
[00:01:50.155 --> 00:01:50.816]  So that should be interesting.
[00:01:50.836 --> 00:01:52.597]  And people say, oh, why do we care about that?
[00:01:52.637 --> 00:01:53.558]  Well, he's a smart guy.
[00:01:53.978 --> 00:01:55.539]  He's getting people to think outside the box.
[00:01:56.040 --> 00:02:05.828]  And he's really, you know, awakened a lot from purely Marxist type ideas to a more libertarian view is what I got from the interview that you will be hearing.
[00:02:06.548 --> 00:02:09.369]  Because when I did it earlier today, it was only myself and the crew that heard it.
[00:02:09.789 --> 00:02:10.650]  Very small audience.
[00:02:11.150 --> 00:02:14.591]  But you will be hearing it by the millions coming up, and I think it was very informative.
[00:02:14.631 --> 00:02:31.218]  And then, the best part is, all of Russell Brand's hundreds of millions of fans around the world will then, many of them, tune in to this radio broadcast and to see the video of the interview that we will be posting up on InfoWars.com after the show today.
[00:02:32.353 --> 00:02:37.915]  Uh, so that they can then hear him not being interrupted, uh, by petty issues.
[00:02:38.536 --> 00:02:40.737]  Only interrupted by other serious questions.
[00:02:41.337 --> 00:02:43.538]  So, that is coming up.
[00:02:43.558 --> 00:02:47.780]  Don't worry, the signature, trademark, interruptions, ah, ah, ah, ah, ah, ah, ah, ah.
[00:02:48.400 --> 00:02:52.502]  Uh, will be, uh, brought to you by the speech impediment master, Alex Jones.
[00:02:52.542 --> 00:02:54.362]  I don't really have that, but I wish I did.
[00:02:54.822 --> 00:02:56.803]  So, ladies and gentlemen, that is coming up.
[00:02:57.284 --> 00:02:57.904]  Now, um,
[00:02:59.164 --> 00:03:03.006]  Doesn't really matter that I'm saying this, but it's interesting.
[00:03:04.887 --> 00:03:09.130]  If there is a big strike on Syria, you will be hearing me this Sunday, so you'll never hear this tape.
[00:03:09.670 --> 00:03:10.611]  This is all for naught.
[00:03:11.651 --> 00:03:19.836]  But obviously, if you are hearing it, there's a little inside baseball of how we're pre-planning things and how hard we work here at TheInfoWars.com studios.
[00:03:20.316 --> 00:03:24.139]  If Obama, for face-saving, only cruise missiles and a few military outposts,
[00:03:25.302 --> 00:03:25.842]  I don't
[00:03:45.228 --> 00:03:47.349]  He will be live doing three hours of the show.
[00:03:47.949 --> 00:03:52.332]  I will be here at the office working on the bottom of section two, as I have been about seven days a week as of late.
[00:03:53.092 --> 00:03:54.753]  Best film, most powerful film ever made.
[00:03:54.793 --> 00:03:55.353]  It's unbelievable.
[00:03:55.753 --> 00:03:57.194]  I mean, just how it exposes this thing.
[00:03:57.214 --> 00:03:58.935]  It's the Rosetta Stone of understanding this tyranny.
[00:03:59.435 --> 00:04:00.096]  So that's coming up.
[00:04:00.496 --> 00:04:10.541]  But we've got a distilled boil down of the most important World War III, the potential World War III news of the week with Greg Pallast, Dr. Jerome Corsi, Dr. Paul Gregg Roberts.
[00:04:10.881 --> 00:04:13.142]  That's all coming up from those interviews this week.
[00:04:13.502 --> 00:04:14.283]  Boiled down.
[00:04:15.043 --> 00:04:19.788]  And then you get the, again, maiden voyage of my interview with Russell Brandt.
[00:04:19.848 --> 00:04:34.403]  And again, if we win the culture wars to wake up people that have once been the princes of trendiness and now they're the princes of mass awakening, we are certainly beginning to win the culture war for free humanity against the bored, collectivist, globalist.
[00:04:34.883 --> 00:04:35.945]  So we're going to go to break.
[00:04:36.565 --> 00:04:44.752]  For now, though, my friends, I've got to leave you with the original transmission until Russell Brand joins us in about an hour and 15 minutes from now.
[00:04:45.172 --> 00:04:47.494]  But next, Dr. Jerome Corsi, straight ahead.
[00:04:47.914 --> 00:04:48.675]  It's September 1st, 2013.
[00:04:48.795 --> 00:04:49.636]  PrisonPlanet.tv.
[00:05:02.156 --> 00:05:04.218]  It's hurricane and wildfire season again.
[00:05:04.238 --> 00:05:11.844]  Why do thousands of people sit in these reoccurring problem areas year after year, betting their lives that the disaster won't get them?
[00:05:12.265 --> 00:05:16.929]  Hundreds of you helped eFoodsDirect ship 50,000 donated meals to the Oklahoma victims.
[00:05:17.209 --> 00:05:19.111]  The problem is we can't help everybody.
[00:05:19.411 --> 00:05:25.495]  If every one of us who can will take care of ourselves, we can all pitch in to take care of those who really can't.
[00:05:25.775 --> 00:05:33.581]  The new Just In Case Pack from eFoods Direct is the big brother to the 7-Day Emergency Pack designed for Oklahoma disaster donations.
[00:05:34.001 --> 00:05:40.326]  It contains a 2-month supply for 1 person, or a 1-month supply for 2 adults, or a 2-week supply for a family of 4.
[00:05:40.386 --> 00:05:41.407]  The $320 price is $50 less than retail.
[00:05:44.929 --> 00:05:45.990]  Call 800-409-5633 on the web efoodsdirect.com slash alex.
[00:05:46.030 --> 00:05:47.752]  Order two or more, get 10% off, free shipping applies.
[00:05:47.772 --> 00:05:50.775]  Call 800-409-5633 on the web efoodsdirect.com slash alex.
[00:06:12.393 --> 00:06:15.374]  Crashing through the lies and disinformation.
[00:06:15.954 --> 00:06:20.175]  It's Alex Jones on the GCN Radio Network.
[00:06:23.376 --> 00:06:26.296]  Waging war on corruption.
[00:06:26.756 --> 00:06:28.557]  We're here Monday through Friday 11 a.m.
[00:06:28.577 --> 00:06:29.057]  to 2 p.m.
[00:06:29.077 --> 00:06:29.417]  Central.
[00:06:29.457 --> 00:06:31.898]  Back Sundays live 4 to 6 p.m.
[00:06:32.018 --> 00:06:37.879]  But this is a retransmission for part of the broadcast today because the information was so important this week.
[00:06:38.459 --> 00:06:48.871]  Breaking down the confusing mess that is the Middle East, and then a premiere interview that I taped Friday with the top comedian, movie star, you name it, Russell Brand on a host of political issues.
[00:06:49.331 --> 00:06:50.192]  It's powerful.
[00:06:50.553 --> 00:06:57.461]  We're going to premiere it in the last three segments of the second hour, coming up in about an hour and 15 minutes, so stay with us.
[00:06:58.642 --> 00:07:02.604]  First up, Dr. Jerome Corsi of WorldNetDaily.
[00:07:02.824 --> 00:07:16.533]  You cannot get a better political mind on what's happening in the Middle East with bombshell info about the nuclear threat, the World War III threat, posed if this expansion of the war gets out of hand by Obama.
[00:07:16.994 --> 00:07:19.555]  Excuse me, that's illegal in America to talk about the President.
[00:07:19.836 --> 00:07:20.876]  We don't have a First Amendment anymore.
[00:07:21.237 --> 00:07:25.960]  I meant our Lord, our King, our dear leader, Kim Jong Il, Kim Jong Un.
[00:07:26.080 --> 00:07:26.880]  I meant Obama.
[00:07:27.060 --> 00:07:27.481]  Here it is.
[00:07:27.841 --> 00:07:27.944]  Yeah.
[00:07:29.181 --> 00:07:30.182]  This is unprecedented.
[00:07:30.222 --> 00:07:30.962]  Here's the headline.
[00:08:00.381 --> 00:08:07.283]  Dr. Corsi, how big is this, that they're doing this, and that they don't have support?
[00:08:07.604 --> 00:08:14.006]  Bush had 72% in Gallup polls, and Pew had 72% in 2003.
[00:08:15.306 --> 00:08:22.688]  I think this is the total collapse of credibility, but it's kind of like Hitler wasn't supported at the end either, but he was still in control of the Reich.
