[00:00:00.891 --> 00:00:03.756]  Coast to Coast, direct from Austin.
[00:00:04.477 --> 00:00:07.683]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.468 --> 00:00:15.088]  Big Brother.
[00:00:15.769 --> 00:00:16.790]  Mainstream media.
[00:00:17.530 --> 00:00:18.631]  Government cover-ups.
[00:00:19.291 --> 00:00:20.112]  You want answers?
[00:00:20.872 --> 00:00:21.793]  Well, so does he.
[00:00:22.433 --> 00:00:26.035]  He's Alex Jones on the GCN Radio Network.
[00:00:26.616 --> 00:00:30.678]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.184 --> 00:00:35.526]  Welcome to the Alex Jones Show!
[00:00:35.906 --> 00:00:40.792]  On this Thursday, December the 5th, 2013, I'm David Knight, and I'll be filling in for Alex today.
[00:00:40.872 --> 00:00:42.915]  We have a packed show.
[00:00:43.355 --> 00:00:49.783]  Alex is going to be joining us later in the show, but we're also going to be joined by Anthony Gucciardi, Leanne McAdoo, and Gigi Ornetta.
[00:00:50.243 --> 00:00:52.924]  We're going to be talking about a lot of breaking news today.
[00:00:52.944 --> 00:01:07.629]  You know it's pretty appropriate that we have the Empire Strikes Back as our theme song as we open up this hour because the top story at InfoWars.com right now is that Chinese state media is bragging of plans to establish a Death Star moon base.
[00:01:08.229 --> 00:01:08.689]  That's right.
[00:01:09.109 --> 00:01:14.291]  As Paul Watson says, it sounds like it's something out of The Onion but they're actually serious about it and it's the
[00:01:15.231 --> 00:01:19.192]  Chinese official state media that actually draws the analogy.
[00:01:19.632 --> 00:01:27.414]  They say that the experts in China are wargaming how the moon can be transformed into a deadly weapon like the Death Star in Star Wars.
[00:01:27.875 --> 00:01:34.336]  And the moon could hypothetically be used as a military battle station and ballistic missiles could be launched against any military target on Earth.
[00:01:34.356 --> 00:01:40.058]  You know, we need to have Alex here so he could do a spot-on Darth Vader impression that he's able to do.
[00:01:40.338 --> 00:01:41.578]  But he will be with us later.
[00:01:41.618 --> 00:01:43.599]  But we're going to be talking about something else once he gets on.
[00:01:44.926 --> 00:01:51.431]  This is set against really the larger rise of Chinese military aggression that we've been seeing over these islands and other places.
[00:01:52.491 --> 00:01:58.736]  Every government wants to build up its importance and the Chinese government is no different from the American government.
[00:01:58.776 --> 00:02:03.159]  They want to make themselves larger and bigger in the eyes of their people.
[00:02:03.959 --> 00:02:05.441]  And they'll go to war if they have to.
[00:02:05.501 --> 00:02:07.122]  They'll create a war if they have to.
[00:02:07.222 --> 00:02:12.526]  And that's something that we have to be on guard against our very own government as well as other governments.
[00:02:13.266 --> 00:02:15.288]  But there's also a big story today about Obama.
[00:02:16.028 --> 00:02:20.472]  And, you know, he's trying to pretend that he is the friend of the working man, friend of the working poor.
[00:02:20.532 --> 00:02:24.835]  We've got this breaking agenda this week of the minimum wage fight.
[00:02:24.875 --> 00:02:28.237]  And we've got fast food workers who are striking for increased wages.
[00:02:28.277 --> 00:02:32.401]  And they're talking about how the minimum wage hasn't been increased for a very, very long time.
[00:02:33.356 --> 00:02:34.457]  Well stop and think about that.
[00:02:34.977 --> 00:02:35.978]  Is that really the problem?
[00:02:36.679 --> 00:02:40.102]  Isn't the problem the fact that people's purchasing power has gone down?
[00:02:40.642 --> 00:02:43.645]  That's why they're saying you need to have a rise in the minimum wage.
[00:02:44.286 --> 00:02:46.768]  And what about the Trans-Pacific Partnership?
[00:02:48.200 --> 00:03:00.307]  As Obama is saying that he's going to help the working poor by raising the minimum wage from $7 to $9, and now he's talking about $10, and of course the people who are striking want $15 an hour minimum wage.
[00:03:00.968 --> 00:03:09.773]  As he's saying that he's going to raise that, he is secretly, secretly negotiating the Trans-Pacific Partnership, which is going to do
[00:03:10.805 --> 00:03:16.727]  What has happened to this economy is that we all know jobs have been transferred out of this economy.
[00:03:17.227 --> 00:03:22.209]  And as JFK said, when a rising tide floats all boats, well, we don't have a rising tide.
[00:03:22.769 --> 00:03:25.970]  What we have are trade deals that have basically drained the river.
[00:03:26.932 --> 00:03:34.514]  And what he's doing now is secretly negotiating the Trans-Pacific Partnership, which is going to do that to a far greater extent than we've ever seen that happen before.
[00:03:34.935 --> 00:03:44.478]  And he's going to put in all kinds of protections for big pharma, for big banks to make sure that they can speculate on derivatives without any kind of regulation from any country in the world.
[00:03:44.798 --> 00:03:47.939]  This is all being done in secret with 600 corporate lobbyists.
[00:03:48.599 --> 00:04:03.287]  Nobody who's elected from any government is allowed to do that, and the Obama administration has put through fast-track trade negotiation so that one person can secretly negotiate this without any oversight from elected representatives in the United States, and this is happening worldwide.
[00:04:03.587 --> 00:04:06.389]  So while he's doing this, secretly, under the table,
[00:04:07.469 --> 00:04:12.591]  He's now proclaiming that he's going to stand up for the working poor, and he's going to raise the minimum wage.
[00:04:13.311 --> 00:04:15.832]  And of course, that's just going to set off more inflation.
[00:04:15.892 --> 00:04:19.674]  We see that the dollar, we're coming up to the 100th anniversary of the Federal Reserve.
[00:04:19.954 --> 00:04:21.775]  What's happened to the value of the dollar over the last 100 years?
[00:04:23.035 --> 00:04:25.117]  Well, it's lost about 99% of its value.
[00:04:25.678 --> 00:04:27.019]  And that's because of the Federal Reserve.
[00:04:27.039 --> 00:04:28.560]  It's because of government borrowing.
[00:04:29.361 --> 00:04:32.404]  And the Obama administration is bringing that on astronomically.
[00:04:32.444 --> 00:04:34.066]  So the root causes are there.
[00:04:34.726 --> 00:04:36.448]  Yet nobody is looking at the root causes.
[00:04:36.488 --> 00:04:39.931]  They simply see the superficial symptoms of what's happening.
[00:04:40.212 --> 00:04:41.053]  It's a real problem.
[00:04:42.017 --> 00:04:44.679]  It's a problem that's going to be shared by everybody throughout the economy.
[00:04:44.699 --> 00:04:47.161]  It's not something that's just going to affect the fast food industry.
[00:04:47.402 --> 00:04:57.010]  When we see high-paying jobs being moved out of this country, when we see the manufacturing base of this country being destroyed, when we see all wealth being transferred to the bankers, that's the fundamental issue.
[00:04:57.490 --> 00:04:58.511]  It's not the minimum wage.
[00:04:58.952 --> 00:04:59.852]  We're going to be right back.
[00:05:00.133 --> 00:05:00.633]  Stay tuned.
[00:05:00.653 --> 00:05:01.534]  We've got a big show today.
[00:05:09.633 --> 00:05:20.017]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:05:20.317 --> 00:05:22.178]  Guess what else is in the halogen family?
[00:05:22.378 --> 00:05:23.058]  Fluoride!
[00:05:23.258 --> 00:05:24.839]  Ladies and gentlemen, Alex Jones here.
[00:05:25.179 --> 00:05:31.501]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:05:31.741 --> 00:05:36.545]  It's the good halogen on the periodic table, and the results are on record.
[00:05:36.665 --> 00:05:42.790]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:05:42.990 --> 00:05:45.152]  Bottom line, iodine is important.
[00:05:45.412 --> 00:05:48.035]  Unbound, clean, in a glycerin base.
[00:05:48.335 --> 00:05:51.718]  Nascent iodine was the answer for myself and my family.
[00:05:51.858 --> 00:05:56.421]  You will find survival shield Nascent Iodine exclusively at Infowarslife.com.
[00:05:57.282 --> 00:06:02.084]  InfoWarsLife Survival Shield Nascent Iodine isn't just for emergencies.
[00:06:02.385 --> 00:06:03.425]  I take it every day.
[00:06:03.565 --> 00:06:08.708]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:06:09.908 --> 00:06:12.650]  Alex Jones here with a message to fellow freedom lovers.
[00:06:12.930 --> 00:06:17.772]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:06:17.932 --> 00:06:25.116]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:06:25.236 --> 00:06:30.660]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:06:30.880 --> 00:06:34.563]  These are items that I did research on, that I personally use.
[00:06:34.903 --> 00:06:39.427]  We've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:06:39.627 --> 00:06:44.851]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:06:45.071 --> 00:06:48.173]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:06:48.333 --> 00:06:50.574]  When Disaster Strikes by Matthew Stein.
[00:06:50.834 --> 00:06:55.417]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:06:55.577 --> 00:06:58.059]  Hand Crank Shortwave AM FM Radios.
[00:06:58.479 --> 00:07:05.483]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:07:05.683 --> 00:07:06.723]  We're getting prepared.
[00:07:06.944 --> 00:07:07.364]  Are you?
[00:07:07.624 --> 00:07:09.404]  Infowarsshop.com.
[00:07:09.725 --> 00:07:14.306]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:07:14.426 --> 00:07:17.408]  Why do we have the highest cancer rates on the planet?
[00:07:17.568 --> 00:07:22.790]  The highest rates of diabetes, autism, and every other major disease.
[00:07:23.110 --> 00:07:24.770]  It all comes down to one thing.
[00:07:25.051 --> 00:07:26.371]  We are what we eat.
[00:07:26.691 --> 00:07:28.592]  Our food is devoid of nutrition.
[00:07:28.812 --> 00:07:31.014]  ...and processed with poisons and additives.
[00:07:31.354 --> 00:07:35.338]  Our water is filled with toxic poisons and Big Pharma runoff.
[00:07:35.578 --> 00:07:37.900]  All of this has been engineered by design.
[00:07:38.140 --> 00:07:44.066]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:07:44.366 --> 00:07:47.109]  To learn more, visit Infowarshealth.com.
[00:07:47.329 --> 00:07:54.155]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:07:54.375 --> 00:08:00.202]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:08:00.443 --> 00:08:06.370]  When you visit Infowarshealth.com, be sure and check out the catalog, with nearly 400 life-changing products.
[00:08:06.631 --> 00:08:09.114]  And get free shipping when you sign up for AutoShip.
[00:08:27.330 --> 00:08:33.400]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:33.700 --> 00:08:35.283]  It's Alex Jones!
[00:08:40.874 --> 00:08:42.075]  Welcome to the Alex Jones Show.
[00:08:42.135 --> 00:08:45.658]  I'm David Knight, filling in for Alex on this Thursday, December 5th, 2013.
[00:08:46.739 --> 00:08:50.082]  Alex will be joining us later in the show, as will Anthony Gucciardi.
[00:08:50.102 --> 00:08:57.849]  We'll be talking about how the government, other people in the government, are increasingly seeing Obama as a burgeoning dictator.
[00:08:58.630 --> 00:09:00.931]  There's opening talk on Capitol Hill.
[00:09:00.971 --> 00:09:03.372]  We heard it from someone from the Cato Institute.
[00:09:03.772 --> 00:09:05.512]  Usually these think tanks are very guarded.
[00:09:05.552 --> 00:09:10.234]  They're not throwing out over-the-top rhetoric about people being dictators, but we're hearing it from them.
[00:09:10.274 --> 00:09:12.795]  We're hearing it from constitutional law professors.
[00:09:13.155 --> 00:09:14.615]  And of course we're hearing it from the opposition.
[00:09:14.655 --> 00:09:17.476]  A lot of people are just going to dismiss this as partisan politics.
[00:09:18.017 --> 00:09:19.777]  There's a lot more to it than that.
[00:09:19.837 --> 00:09:21.998]  We've never heard these kind of charges being made before.
[00:09:22.619 --> 00:09:24.822]  And it's not just a matter of partisan politics.
[00:09:24.902 --> 00:09:27.166]  There are some real substantive issues.
[00:09:27.186 --> 00:09:30.452]  We're going to be talking about that with Anthony Gucciardi as well as Alex Jones.
[00:09:30.472 --> 00:09:33.837]  I'm also going to be joined later in the show with Leanne McAdoo and Gigi Ornette.
[00:09:35.026 --> 00:09:36.987]  There's a lot happening today in the news.
[00:09:37.027 --> 00:09:38.748]  We've got a top story on the Drudge Report.
[00:09:39.488 --> 00:09:44.910]  The Chinese government is openly talking about making a Death Star on the moon.
[00:09:44.970 --> 00:09:50.153]  I guess we should have that clip from Star Wars where they say, he says, look at the size of that moon.
[00:09:50.193 --> 00:09:51.533]  They say, that's no moon, Luke.
[00:09:51.914 --> 00:09:55.055]  You know, I mean, this is exactly, they're drawing the analogy, not us.
[00:09:55.195 --> 00:09:58.737]  They're saying that experts in China or war gaming, how
[00:09:59.537 --> 00:10:06.003]  They could turn the moon into a deadly weapon like the Death Star in Star Wars to attack targets on the Earth.
[00:10:06.603 --> 00:10:15.150]  We also see the CIA, this is also coming up in the news, we'll be talking about this later, funding a project to assign a number to everyone in India.
[00:10:16.271 --> 00:10:18.113]  Sounds like something out of the Book of Revelations, doesn't it?
[00:10:19.249 --> 00:10:23.512]  It also sounds like something that the CIA and DARPA would be involved in, and they are.
[00:10:23.632 --> 00:10:28.555]  Their venture capital company, In-Q-Tel, is backing this effort to do it in India.
[00:10:28.995 --> 00:10:33.218]  Now, just like the rest of our foreign policy, do you think they're going to leave it there?
[00:10:33.959 --> 00:10:37.261]  Or is it a test case, like Iran, like Afghanistan?
[00:10:37.481 --> 00:10:39.402]  We see those weapons coming home.
[00:10:39.663 --> 00:10:44.266]  We're going to see that weapon, and make no mistake about it, numbering everybody in a country
[00:10:45.226 --> 00:10:49.812]  Is a weaponized use of information systems processing power.
[00:10:50.392 --> 00:10:56.219]  And of course the big news is the increase in minimum wage that Obama is talking about.
[00:10:56.279 --> 00:10:59.402]  He wants to portray himself as a friend of the working poor.
[00:11:00.103 --> 00:11:20.798]  In spite of what we've now learned about the effects of Obamacare, the rates of Obamacare, we see people losing hours, getting transferred to part-time jobs, dumbing down the definition of a full-time job as 40 hours to saying that if you work 30 hours or more, we're going to consider you to be a full-time employee for the purposes of Obamacare.
[00:11:21.219 --> 00:11:22.880]  And of course, individuals can't afford it.
[00:11:23.320 --> 00:11:24.481]  Neither can companies.
[00:11:24.521 --> 00:11:26.422]  So people are having their hours cut.
[00:11:26.462 --> 00:11:36.808]  So if they're going to continue to work the same number of hours, many people in low-income jobs are having to find multiple jobs to get the number of hours that they need.
[00:11:37.088 --> 00:11:39.250]  That's just one of the ways that they're being attacked.
[00:11:39.950 --> 00:11:50.517]  But of course, as all this is being done, as Obama is parading around pretending that he's the friend of the working poor and he's going to raise the minimum wage, ignoring the fact of why the minimum wage has lost its purchasing power,
[00:11:51.505 --> 00:12:02.794]  At the same time, he's secretly negotiating a Trans-Pacific Partnership deal, which is going to further gut the economy as these past trade deals like NAFTA have done.
[00:12:02.814 --> 00:12:06.617]  Remember Ross Perot talking about that huge sucking sound?
[00:12:07.177 --> 00:12:10.360]  Well, it's going to get a lot worse, because the Trans-Pacific Partnership
[00:12:10.920 --> 00:12:18.744]  Steps up all of this activity that's been happening and it adds other things like it adds protections for banks to engage in speculative derivatives.
[00:12:19.264 --> 00:12:22.506]  Prohibits any country from stopping that with legislation.
[00:12:23.006 --> 00:12:32.151]  It asserts the controls through copyright that CISPA, SOPA, ACTA, PIPA, all these failed pieces of legislation were unable to do.
[00:12:32.611 --> 00:12:35.773]  They're going to try to do that through this secretive trade agreement.
[00:12:35.793 --> 00:12:39.355]  So it's going to affect our free speech rights, it's going to affect
[00:12:40.015 --> 00:12:45.736]  Ownership, not just jobs, not just wealth creation, but it's going to affect ownership.
[00:12:45.796 --> 00:12:56.338]  It's going to essentially move us further down this path of establishing a neo-feudalism, where a few people, a 1% of a 1%, own everything.
[00:12:56.898 --> 00:12:58.999]  And that's including intellectual property.
[00:12:59.479 --> 00:13:02.679]  And all the rest of us are slaveholders on the plantation.
[00:13:03.579 --> 00:13:05.860]  So that's coming up, and at the same time that's happening,
[00:13:07.264 --> 00:13:12.369]  He's also talking about, we've also got Democrats who are talking about raising the federal gas tax.
[00:13:12.729 --> 00:13:16.512]  So this is a quote from Obama's minimum wage speech that he delivered yesterday.
[00:13:16.733 --> 00:13:24.259]  He went into one of the poorest areas of Washington, D.C., they say, and he said, the combined trends of increased inequality
[00:13:25.060 --> 00:13:31.048]  And decreasing mobility pose a fundamental threat to the American dream, our way of life and what we stand for around the globe.
[00:13:31.128 --> 00:13:32.450]  And I would say absolutely true.
[00:13:32.510 --> 00:13:33.231]  I would agree with that.
[00:13:33.851 --> 00:13:41.221]  Except that everything that Obama is doing secretly, without people paying attention, certainly not the mainstream press,
[00:13:42.216 --> 00:13:42.356]  Yes.
[00:13:59.315 --> 00:14:01.878]  That's going to decrease your mobility, but of course that's not what he's talking about.
[00:14:01.898 --> 00:14:07.423]  He's talking about social mobility, being able to move up and down in the economic sphere.
[00:14:08.184 --> 00:14:17.153]  And that and inequality are what we're going to see happen with the Trans-Pacific Partnership and with these other things like Obamacare that are being put on to people.
[00:14:17.754 --> 00:14:35.648]  How are we going to have a healthy economy when many people are losing their insurance, being forced to buy mandated insurance that has a lot of sub-items that they don't need, and then they find that their insurance, their monthly insurance bill is the size of what their house payment used to be, or the size of a new car payment?
[00:14:36.448 --> 00:14:40.733]  That's going to have tremendous effect on everyone, on the entire economy.
[00:14:40.753 --> 00:14:41.954]  It's going to take everybody down.
[00:14:41.974 --> 00:14:47.460]  As I mentioned in the first segment, it was John Kennedy who said that a rising tide lifts all boats.
[00:14:47.600 --> 00:14:55.069]  Well, we're seeing the river actually drained by these economic policies that are in place with Obama and others.
[00:14:55.549 --> 00:14:58.491]  We're also going to be taking your calls on these issues and others.
[00:14:58.512 --> 00:15:11.622]  I want to hear what you have to say about minimum wage and about the Trans-Pacific Partnership, especially because the people who are out there protesting about minimum wages, they really should be protesting the Trans-Pacific Partnership because that is so much more pervasive.
[00:15:11.943 --> 00:15:12.903]  That is the core.
[00:15:12.943 --> 00:15:14.805]  Or they should be protesting the Federal Reserve.
[00:15:15.045 --> 00:15:17.107]  They should be looking at the root causes of this.
[00:15:17.187 --> 00:15:20.450]  But people tend to get caught up in the shallowness of things.
[00:15:20.990 --> 00:15:21.590]  We've seen this.
[00:15:21.670 --> 00:15:27.294]  Max Keiser was just talking about Jeremy Scahill's new documentary, Dirty Wars, and that was exactly the point he made.
[00:15:27.574 --> 00:15:36.399]  He said, Scahill's documentary goes around and tries to put a face on the suffering of war, and does a good job of it, because it's a well-produced film.
[00:15:37.019 --> 00:15:40.381]  But it's very superficial and very shallow, according to Max Keiser.
[00:15:40.401 --> 00:15:41.142]  I haven't seen the film.
[00:15:41.182 --> 00:15:43.043]  I'm going on his review.
[00:15:43.103 --> 00:15:45.784]  He says it doesn't talk at all about the involvement of the banks.
[00:15:45.824 --> 00:15:47.865]  It doesn't talk at all about the involvement of the CIA.
[00:15:48.826 --> 00:15:57.290]  How can you not talk about the root causes of these wars, and what is motivating these wars, and really hope that you're going to have any kind of change?
[00:15:57.330 --> 00:16:12.777]  And furthermore, Jeremy Scahill kind of, in this movie, Dirty Wars, according to Max Keiser's review, he says that he essentially gives a pass to the whole idea, the whole purpose of the war, by showing a lot of dangerous people that really, in his opinion, need to be killed.
[00:16:12.797 --> 00:16:15.779]  So he's really kind of a neocon leftist.
[00:16:16.719 --> 00:16:22.403]  And that's not really surprising when you look at who he's going to be going to work for, this new globalist billionaire.
[00:16:23.103 --> 00:16:25.685]  Pierre, oh my, I can't pronounce his name.
[00:16:26.025 --> 00:16:31.389]  We'll just leave it at Pierre, oh my, because that's kind of the reaction of everyone in the press when they see this.
[00:16:31.409 --> 00:16:39.734]  They just get all glassy-eyed and start talking about how wonderful this guy is, this eBay billionaire, because I guess they think that they're going to get a job with him.
[00:16:41.355 --> 00:16:43.357]  But there is something that the government can do right.
[00:16:44.310 --> 00:16:53.813]  We shouldn't discount everything that they do, because we learn now that Afghanistan has set yet another record production of poppy.
[00:16:54.493 --> 00:16:54.913]  That's right.
[00:16:55.253 --> 00:16:56.954]  Things used for opium and heroin.
[00:16:57.914 --> 00:17:08.177]  You know, they had only 10% of the world's supply under the Taliban, but after we came in and helped them, we've increased the supply to 90% of the world's supply is coming out of Afghanistan.
[00:17:08.537 --> 00:17:10.138]  That was just last year they had a record.
[00:17:10.737 --> 00:17:15.490]  Now they've got another record, and I guess, no pun intended, they have a chart here on this article from...
[00:17:18.157 --> 00:17:24.961]  There was a source on this at CNS News, and it says Afghanistan opium poppy cultivation reaches record high.
[00:17:25.701 --> 00:17:26.401]  No pun intended.
[00:17:26.842 --> 00:17:29.443]  That's the reason why we're there.
[00:17:29.563 --> 00:17:40.349]  And you've got to understand, when you look at these wars, as the Jeremy Scahill documentary does, to ignore the involvement of the CIA in the drug trade in Afghanistan.
[00:17:41.189 --> 00:17:50.577]  To ignore what's really happening there, to ignore what the bankers, how the bankers profit from all of this, that is a very shallow, superficial analysis.
[00:17:50.597 --> 00:17:58.905]  But of course, if you look at that, if you want to look at what's behind all of this, then people like Jeremy Scahill will accuse you of being a conspiracy theorist.
[00:17:58.945 --> 00:18:00.406]  That's what he's accused us of being.
[00:18:02.438 --> 00:18:06.940]  Now, we've also got this story that I just mentioned from the CIA and their Venture Capital Fund.
[00:18:07.601 --> 00:18:09.822]  This is the In-Q-Tel Fund.
[00:18:10.602 --> 00:18:15.505]  They, if you remember, helped to start up a lot of companies like, for instance, Palantir.
[00:18:15.545 --> 00:18:18.527]  Now, Palantir has a program that they created called PRISM.
[00:18:19.227 --> 00:18:26.070]  They're saying that PRISM is not the PRISM that we learned about through the Edward Snowden leaks, and yet its functions are exactly the same.
[00:18:26.770 --> 00:18:44.618]  And their focus is really on the military-industrial complex, and in terms of looking at people's data, and moving that data together, and looking at trends, and collating trends, collating what a person is doing on this part of the web, and this part of their life, and collating that with other things, and building relational networks.
[00:18:44.638 --> 00:18:48.200]  They've also were involved in trying to take down Glenn Greenwald.
[00:18:48.900 --> 00:18:58.891]  That was also a leak that came out from Wikileaks and we saw that Palantir was actively plotting to essentially assassinate his character.
[00:18:58.991 --> 00:19:06.378]  That's a very dangerous thing because as Jesse Ventura has pointed out, they first assassinate your character and then they assassinate you and we've had no shortage of people
[00:19:07.199 --> 00:19:11.080]  Leaving veiled threats that Glenn Greenwald ought to be assassinated.
[00:19:11.140 --> 00:19:17.581]  So, it's very troubling when we see In-Q-Tel and DARPA getting involved in a lot of these projects that they're getting involved.
[00:19:17.601 --> 00:19:19.322]  A lot of dark, dark research.
[00:19:20.162 --> 00:19:32.065]  And I think one of the dark things, we see the robots that they're creating, and we've talked to Dr. Noel Sharkey just recently about the killer robots, but consider how they're looking at you as their inventory, and consider
[00:19:32.865 --> 00:19:38.390]  Not only how they look at everything that we do, but now in India, they're assigning a number to everyone there.
[00:19:38.811 --> 00:19:43.415]  And this company that's called MongoDB, they have a name for it.
[00:19:43.455 --> 00:19:44.476]  It's called Adhar.
[00:19:44.896 --> 00:19:47.799]  And they are going to assign a number to everyone in India.
[00:19:48.359 --> 00:19:49.841]  And do you think that's going to stop there?
[00:19:49.861 --> 00:19:51.362]  Or are they going to bring it home?
[00:19:52.003 --> 00:19:52.924]  We're going to be right back.
[00:19:52.984 --> 00:19:54.305]  We've got lots more news to cover.
[00:19:54.405 --> 00:19:56.887]  And we're going to be talking to Alex Jones later in the show.
[00:19:56.907 --> 00:19:57.408]  Stay tuned.
[00:20:06.015 --> 00:20:06.222]  We're good.
[00:20:10.202 --> 00:20:10.943]  Alex Jones here.
[00:20:10.963 --> 00:20:15.346]  I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:20:15.706 --> 00:20:24.192]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:20:24.592 --> 00:20:31.897]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:20:32.438 --> 00:20:39.823]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:20:40.323 --> 00:20:43.704]  I personally store and use their high-quality products.
[00:20:44.265 --> 00:20:47.906]  It tastes great, and it's easy to store for up to 25 years.
