[00:00:42.233 --> 00:00:43.836]  It's July 9th, 2013.
[00:00:44.116 --> 00:00:45.398]  I'm Paul Joseph Watson.
[00:00:45.458 --> 00:00:47.341]  This is InfoWars Nightly News.
[00:00:49.574 --> 00:00:55.178]  Tonight, police and firefighters ordered not to speak out about the Michael Hastings crash.
[00:00:55.638 --> 00:00:59.440]  Then, abortion activists hailing Satan as part of their message?
[00:00:59.941 --> 00:01:03.583]  Then, Chuck Deeb, public enemy, breaks down the state of America.
[00:01:03.923 --> 00:01:06.505]  All this and more on the InfoWars Nightly News.
[00:01:12.728 --> 00:01:13.649]  Top story tonight.
[00:01:14.149 --> 00:01:18.432]  Police, firefighters ordered not to speak about Michael Hastings' crash.
[00:01:19.033 --> 00:01:29.240]  A journalist with San Diego Six News has fresh evidence that there could be a cover-up surrounding the suspicious car crash death of Rolling Stone journalist Michael Hastings.
[00:01:29.280 --> 00:01:30.181]  Let's go to this clip.
[00:01:30.595 --> 00:01:37.621]  Clearly, there are a couple things that stood out in my mind when I went up and visited the scene and visited law enforcement.
[00:01:37.681 --> 00:01:38.762]  What stood out in your mind?
[00:01:38.822 --> 00:01:40.463]  You said you couldn't get the police report.
[00:01:40.503 --> 00:01:41.904]  They weren't giving that out.
[00:01:41.964 --> 00:01:43.646]  So what else stood out in your mind?
[00:01:43.866 --> 00:01:51.472]  Well, the fact that when you go to the LA Police Department, then you go to the Fire Department, and you go to the different agencies, they all said they couldn't comment.
[00:01:51.592 --> 00:01:54.435]  And some of them said they were told not to comment on the story.
[00:01:54.835 --> 00:02:04.242]  That's Kimberly Dvorak, who says police and firefighters told her that they were ordered not to talk to the media about the car crash involving Hastings.
[00:02:04.783 --> 00:02:18.213]  She goes on to reveal that the military expert she spoke with also told her that the fire which consumed Hastings' Mercedes was an intensely hot inferno not normally seen in car accidents.
[00:02:18.734 --> 00:02:19.814]  And in fact, later on,
[00:02:20.735 --> 00:02:38.830]  She goes on to speak about how Mercedes have acknowledged that it's very unlikely that one of their modern vehicles would burst into flames, explode in such an inferno, and yet the LAPD, which said case closed, no foul play within days of the incident, has not contacted Mercedes.
[00:02:38.871 --> 00:02:43.955]  They're not interested in it, even though it was a raging inferno, the car basically exploded.
[00:02:44.356 --> 00:02:51.033]  Extremely unlikely for a modern vehicle to do that according to Mercedes, but the LAPD doesn't want to talk to them.
[00:02:51.846 --> 00:03:15.424]  And Dvorak, in this clip, also interviewed two physics professors who contradicted the notion that the engine, which was found 150 to 200 feet away from the vehicle, would have ended up behind the car, noting that its forward velocity would have ensured that it travelled in the same direction as the car under normal circumstances.
[00:03:15.464 --> 00:03:16.585]  So the fact that it's landed
[00:03:17.665 --> 00:03:24.488]  150 feet behind the car in this high-speed crash is extremely unusual according to these physics professors.
[00:03:25.408 --> 00:03:35.932]  And she goes on to suggest that the car could have been hacked and remote-controlled as academic studies, which I cite in this article, have proven is fairly easily done.
[00:03:36.653 --> 00:03:44.376]  Of course, that premise was also raised recently by former counter-terrorism czar Richard Clarke in an interview with the Huffington Post.
[00:03:45.396 --> 00:04:02.801]  So, as I said, the police ruled out foul play within days of the incident, yet refused to provide journalists with a copy of the police report, and indeed are now telling both firefighters and police officers there in LA not to talk to the media about this case.
[00:04:03.781 --> 00:04:20.813]  Add to this, of course, the fact that Hastings' colleagues, and indeed Hastings himself, in an email penned 15 hours before the crash, spoke of him being paranoid, under investigation by the Feds, and working on, quote, the biggest story yet about the CIA.
[00:04:20.853 --> 00:04:26.476]  Of course, we had Joseph Biggs, the army sergeant on the Alex Jones Show a couple of weeks, talking about that.
[00:04:26.536 --> 00:04:28.538]  He was a close friend of Hastings.
[00:04:28.578 --> 00:04:29.518]  He said the same thing.
[00:04:29.558 --> 00:04:32.901]  He was working on this major story right before the crash.
[00:04:33.881 --> 00:04:36.582]  So we're not in the realm of conspiracy theory.
[00:04:36.882 --> 00:04:52.669]  Hastings' friends, his wife, are all asking these same questions, even as the LAPD apparently tries to lock down access to information about this case, the death of Rolling Stone journalist Michael Hastings.
[00:04:53.110 --> 00:05:02.894]  We'll continue to track it as more and more suspicious pieces of evidence point towards foul play, even as the LAPD locks down the information.
[00:05:04.747 --> 00:05:13.529]  Abortion Activist Caught on Camera Possessed by Spooky Hail Satan Chant in Texas State Capitol, reports Mike Adams out of NaturalNews.com.
[00:05:13.969 --> 00:05:23.772]  You may have heard that Texas is seeking to outlaw late-term abortions, the kind of abortions that kill a nearly full-grown baby who has eyes, ears, hands, a beating heart.
[00:05:24.372 --> 00:05:25.753]  and can experience pain.
[00:05:26.114 --> 00:05:37.984]  The idea that such pre-born human beings cannot be murdered at all will infuriate pro-choice abortion activists and the true inspiration for their desire to kill babies has finally emerged.
[00:05:38.805 --> 00:05:50.636]  And basically this clip shows a pro-life activist giving a speech opposing late-term abortions but as you'll see she's soon drowned out by these bizarre chants of Hail Satan
[00:05:51.076 --> 00:05:53.717]  ...from pro-abortion demonstrators.
[00:05:53.777 --> 00:05:54.717]  Let's go to the clip.
[00:05:55.637 --> 00:05:59.918]  Herman Gosnell butchered women, butchered children.
[00:05:59.978 --> 00:06:03.719]  We have carpets down in Houston... Douglas Carpenter!
[00:06:03.739 --> 00:06:06.039]  ...butchering women, butchering children.
[00:06:06.079 --> 00:06:07.360]  You're being covered up!
[00:06:07.760 --> 00:06:12.601]  At the beginning of this year, February, five women died.
[00:06:12.641 --> 00:06:15.601]  February, out of Planned Parenthood in Delaware.
[00:06:15.661 --> 00:06:18.002]  Do you think you hear about that on the news?
[00:06:18.564 --> 00:06:20.166]  And that goes on for another minute.
[00:06:20.506 --> 00:06:32.441]  There's actually a second clip where they're chanting and screaming Hail Satan while attempting to interrupt a chorus of Amazing Grace sung by the pro-life activists that were there.
[00:06:33.423 --> 00:06:35.325]  And after this hit the news, even...
[00:06:36.346 --> 00:06:41.433]  Satan worshippers came out to distance themselves from the pro-abortion lobby.
[00:06:41.934 --> 00:06:48.723]  The UK Church of Satan tweeted, quote, unfortunate to see Satan's name used in such a diabolical manner.
[00:06:49.738 --> 00:06:55.443]  So apparently the butchering of 20-week-old children is too diabolical, even for Satan!
[00:06:55.863 --> 00:06:59.487]  But it's considered a right by US abortion advocates.
[00:07:00.207 --> 00:07:03.190]  So this goes beyond the pro-choice, pro-life arguments.
[00:07:03.470 --> 00:07:16.642]  It's an insight into the minds of those who would kill babies after 20 weeks, despite the fact, as we know from technology, that some 10 years old now, babies show obvious signs of consciousness before that.
[00:07:17.182 --> 00:07:19.424]  They're making finger movements at 15 weeks.
[00:07:19.884 --> 00:07:21.666]  They're yawning at 18 weeks.
[00:07:22.046 --> 00:07:26.670]  And by 26 weeks, they're laughing and crying inside the womb.
[00:07:27.711 --> 00:07:28.632]  But I guess, too...
[00:07:29.927 --> 00:07:50.519]  Advocate butchering them Kermit Gosnell style, as these Hail Satan pro-abortion advocates were chanting there in the Texas State Capitol, is really to be expected from a crowd that we've learned is nihilistic, consumed by moral relativism, and apparently, as this clip illustrates, are, in fact, Satan worshippers.
[00:07:52.100 --> 00:07:52.641]  Moving on.
[00:07:53.281 --> 00:07:56.463]  Bizarre video shows Cloud instantly changing shape.
[00:07:57.657 --> 00:08:03.159]  Take a look at this bizarre clip of a cloud appearing to instantly change shape in the sky.
