[00:00:10.859 --> 00:00:11.120]  I'm good.
[00:00:43.848 --> 00:00:45.529]  Welcome to the Infowars Nightly News.
[00:00:45.809 --> 00:00:46.549]  I'm David Knight.
[00:00:46.669 --> 00:00:49.410]  It's Wednesday, February the 20th, 2013.
[00:00:50.090 --> 00:00:54.451]  Now yesterday, Paul Joseph Watson broke a story that sounded like a parody from The Onion.
[00:00:54.471 --> 00:01:02.153]  It's about a company making targets of pregnant women, elderly, and even children at the behest of law enforcement.
[00:01:02.193 --> 00:01:03.633]  Today we've got a couple of updates on that.
[00:01:03.653 --> 00:01:06.594]  We've got a reaction from a retired police officer.
[00:01:07.348 --> 00:01:14.492]  He said, uh, desensitizing the police is training, uh, for sick, the training of sick social engineers.
[00:01:14.932 --> 00:01:19.155]  He said, uh, you are the target of our out of control government.
[00:01:19.595 --> 00:01:20.775]  Right here he says, T.F.
[00:01:20.795 --> 00:01:36.264]  Stern, writing on his website The Moral Liberal, states that the cardboard cutouts of pregnant women, children, and elderly citizens for police target practice can only have been created by a sick mind with the intention of having police officers of Homeland Security goons completely disregard humanity.
[00:01:36.844 --> 00:01:42.909]  He said law enforcement officers trained for what-if scenarios like robbers, burglars, or just bad guys in general.
[00:01:43.430 --> 00:01:45.732]  But he said there's something seriously wrong here.
[00:01:46.292 --> 00:01:50.055]  He said police have essentially become domestic standing armies.
[00:01:50.275 --> 00:01:57.081]  How will police officers react, he asks, after they no longer believe they're part of a society which they have been charged with policing?
[00:01:57.685 --> 00:02:00.769]  When they have become used to shooting pregnant ladies and old men.
[00:02:01.370 --> 00:02:10.401]  As odd as it may sound, coming from an old retired cop, if police recognition skills, the red flags and alert to danger were delayed for a moment, so be it.
[00:02:11.002 --> 00:02:16.569]  I'd rather get shot than develop the attitude that all or even most of my neighbors were a constant threat.
[00:02:17.429 --> 00:02:20.893]  Well, that's from what a retired cop says.
[00:02:21.033 --> 00:02:25.398]  Unfortunately, that is becoming less and less the mentality of the police these days.
[00:02:25.879 --> 00:02:38.253]  And in further information today, it was noted by Paul Joseph Watson that the company behind this controversial target actually has a long relationship with the Department of Homeland Security.
[00:02:38.869 --> 00:02:55.685]  In an article entitled, Company Behind Shooting Targets of Children Received $2 Million from the DHS, Paul Joseph Watson notes that this company that has targets and images of children, pregnant women, and elderly gun owners received almost $2 million in contracts from Homeland Security.
[00:02:56.346 --> 00:03:03.293]  Minnesota-based Law Enforcement Training Incorporated brags of its close relationship with the Department of Homeland Security.
