[00:00:19.420 --> 00:00:20.726]  It's Tuesday, October 29th.
[00:00:20.826 --> 00:00:22.132]  I'm Paul Joseph Watson.
[00:00:22.172 --> 00:00:24.020]  This is InfoWars Nightly News.
[00:00:26.482 --> 00:00:30.705]  Tonight, a food bank CEO suggests welfare cuts may spark riots.
[00:00:31.446 --> 00:00:35.489]  While Obama's affordable health care increases insurance premiums 539%.
[00:00:36.210 --> 00:00:46.838]  And government schools teach individual wants are less important than the nation's well-being and government commands must be obeyed by all.
[00:00:47.779 --> 00:00:51.002]  All that and more on tonight's InfoWars Nightly News.
[00:00:55.492 --> 00:01:00.556]  Top story tonight, food bank CEO suggests welfare cuts may spark riots.
[00:01:00.897 --> 00:01:09.624]  The CEO of the largest food bank in America has suggested that planned cuts in food stamp benefits set to take effect on Friday could spark riots.
[00:01:10.185 --> 00:01:21.755]  Margaret Purvis, the President and CEO of the Food Bank for New York City, told Salon.com, if you look across the world, riots always begin typically the same way, when people cannot afford to eat food.
[00:01:22.375 --> 00:01:32.884]  On November 1st, an expiration of stimulus funds will result in a $5 billion cut to food stamp benefits, the equivalent of one week of food taken off from poor families every month.
[00:01:33.545 --> 00:01:35.246]  Could we see riots looting?
[00:01:35.806 --> 00:01:44.534]  Well, that's certainly what Homeland Security's been preparing for, and even the mainstream media is speculating that all hell could break loose on Friday.
[00:01:45.114 --> 00:01:46.516]  As we saw earlier this month,
[00:01:47.136 --> 00:01:54.753]  Just hours of EBT card downtime resulted in mini-riots and looting at several Walmart stores.
[00:01:55.984 --> 00:02:00.726]  Moving on, feminists are angry at Russell Brand for calling a woman beautiful.
[00:02:01.467 --> 00:02:09.250]  Feminists are angry at comedian Russell Brand over a recent New Statesman editorial in which Brand referred to a woman as, quote, beautiful.
[00:02:09.850 --> 00:02:24.137]  Although most of the debate centered around Brand's call for a revolution, Salon.com's Natasha Leonard said she couldn't bring herself to jump on the brand wagon because the actor's framing of women is nothing short of the most archetypal
[00:02:24.577 --> 00:02:26.099]  Misogyny, that's what she said.
[00:02:26.960 --> 00:02:30.664]  And what misogynistic thought crime did Brand commit?
[00:02:31.164 --> 00:02:37.211]  He wrote that he agreed to do the editorial because he was asked by, quote, a beautiful woman.
[00:02:38.132 --> 00:02:40.654]  Emmeline Pankhurst rolls in her grave.
[00:02:41.215 --> 00:02:46.440]  But in all seriousness, again, it's another example of cultural Marxism.
[00:02:46.940 --> 00:03:00.973]  While women in foreign lands are being stoned to death and seriously oppressed in a myriad of different ways, feminists like Leonard are more concerned about a comedian using a complimentary word to describe the fairer sex.
[00:03:02.287 --> 00:03:07.548]  While on the subject of feminism and cultural Marxism, this is an absolutely shocking story.
[00:03:07.928 --> 00:03:10.949]  The EU is set to monitor intolerant citizens.
[00:03:11.469 --> 00:03:22.072]  A frightening proposal currently being considered by the European Parliament would direct governments to monitor citizens deemed intolerant and could even lead to a ban on all criticism of Islam and feminism.
[00:03:23.450 --> 00:03:38.548]  According to the Gatestone Institute, the statute represents an unparalleled threat to free speech and would have the impact of effectively shutting down the right to free speech in Europe by banning all critical scrutiny of Islam and Islamic Sharia law.
[00:03:39.517 --> 00:03:49.744]  What's equally shocking, I think, about this document is it also mandates re-education programs for juveniles who commit the crime of intolerance.
[00:03:50.245 --> 00:03:58.291]  It also directs governments to pressure the mass media into devoting a percentage of their broadcast hours to tolerance brainwashing.
[00:03:58.871 --> 00:04:10.523]  And if you think that it's too ludicrous to even get past the EU Parliament, recall that back in 2001, the EU passed a law which banned criticism of its own institutions.
[00:04:10.563 --> 00:04:13.767]  That's right, they outlawed criticism of themselves.
