[00:00:03.308 --> 00:00:05.349]  You're listening to GCN.
[00:00:05.709 --> 00:00:07.510]  Great Talk Radio starts here.
[00:00:14.993 --> 00:00:15.653]  Big Brother.
[00:00:16.293 --> 00:00:17.354]  Mainstream media.
[00:00:18.074 --> 00:00:19.215]  Government cover-ups.
[00:00:19.235 --> 00:00:20.655]  You want answers?
[00:00:21.416 --> 00:00:22.376]  Well, so does he.
[00:00:22.956 --> 00:00:26.578]  He's Alex Jones on the GCN Radio Network.
[00:00:27.158 --> 00:00:31.220]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.185 --> 00:00:40.187]  Ladies and gentlemen, it is Friday, April 26, 2013.
[00:00:40.387 --> 00:00:45.311]  And I'm your host, Alex Jones.
[00:00:45.531 --> 00:00:49.514]  And this is what it sounds like when I actually have a radio microphone in front of me.
[00:00:49.854 --> 00:01:00.001]  Most talk show hosts get a big, fancy microphone and they get right up on it and then they tweak it and tune it and put all this different effects on it to make their voice sound big.
[00:01:00.621 --> 00:01:01.422]  I do the opposite.
[00:01:01.722 --> 00:01:02.463]  Why, I don't know.
[00:01:03.623 --> 00:01:05.365]  But there are no effects on this microphone.
[00:01:05.385 --> 00:01:06.906]  This is just my voice.
[00:01:07.406 --> 00:01:09.787]  And yes, I'm bragging right now about my voice.
[00:01:10.368 --> 00:01:12.629]  And I'm sorry, ladies, when I'm taken, okay?
[00:01:14.230 --> 00:01:15.751]  I'm just acting stupid, folks.
[00:01:15.811 --> 00:01:16.272]  I'm joking.
[00:01:16.292 --> 00:01:16.712]  I'm sorry.
[00:01:18.033 --> 00:01:19.134]  That's what it sounds like.
[00:01:19.314 --> 00:01:25.378]  Because I come on, and then my voice sounds so big that I feel guilty like I'm an egomaniac.
[00:01:27.199 --> 00:01:29.961]  I'm actually a liberty maniac, ladies and gentlemen.
[00:01:30.543 --> 00:01:33.525]  And I'm not operating on a lot of sleep last night.
[00:01:33.705 --> 00:01:48.452]  I was up late here at the hotel with George W. Bush, Dick Cheney, the heads of Hunt Oil, and Joseph Curl of the Washington Times and DrugsReport.com.
[00:01:48.932 --> 00:01:49.653]  And I'm not kidding.
[00:01:49.833 --> 00:01:55.536]  That's who I was hanging out with last night in a very, very bizarre turn of events.
[00:01:57.228 --> 00:01:57.648]  Here we are.
[00:01:57.908 --> 00:02:04.392]  I am at a hotel in Dallas, Texas, and George W. Bush is sitting on my lap.
[00:02:04.432 --> 00:02:05.953]  No, no, that part's a joke.
[00:02:06.833 --> 00:02:08.334]  My mother always liked this hotel.
[00:02:08.354 --> 00:02:13.377]  I'm not going to say what hotel, because obviously we're incognito.
[00:02:13.417 --> 00:02:17.279]  But I'm up here in Dallas driving through visiting family, because I'm from Dallas.
[00:02:18.180 --> 00:02:25.284]  And then I'm going to go with my children and family and parents to another location in Texas.
[00:02:26.570 --> 00:02:26.990]  Why lie?
[00:02:27.090 --> 00:02:27.551]  Arkansas.
[00:02:27.871 --> 00:02:43.002]  So I'm taking a few days, just an extension of Texas or an extension of Arkansas, and so I come in the hotel and there's ambulances parked out front, and there's Secret Service running around, and I guess they've got like four presidents right now.
[00:02:43.642 --> 00:02:43.982]  What is it?
[00:02:44.022 --> 00:02:44.463]  Clinton?
[00:02:46.624 --> 00:02:47.105]  Obama?
[00:02:48.705 --> 00:02:51.327]  You've got Bush Senior, Bush Juniors, that's four.
[00:02:52.107 --> 00:02:52.728]  Were there others?
[00:02:53.268 --> 00:02:58.211]  And so they're here for the opening of the Presidential Library, and then this is where some of them are staying.
[00:02:58.852 --> 00:03:06.776]  I know Bush lives in Dallas, but I'll tell the story later, obviously, ladies and gentlemen.
[00:03:07.956 --> 00:03:12.360]  Of Curl and I trying to crash the private Bush-Cheney party.
[00:03:12.421 --> 00:03:13.442]  And I'm not joking.
[00:03:13.542 --> 00:03:15.784]  I actually didn't hang out with them last night.
[00:03:15.844 --> 00:03:20.989]  But the cops, the cops then said, the cops recognized me definitely.
[00:03:21.029 --> 00:03:23.411]  And we're like, okay, no, you're not on the list.
[00:03:24.112 --> 00:03:28.696]  And then, you know, the police officer went on to say, what's, what's the big joke here?
[00:03:31.463 --> 00:03:32.403]  I said, it's not a joke.
[00:03:32.423 --> 00:03:37.424]  I mean, you know, we see the Secret Service and Dick Cheney's ambulance that follows him around.
[00:03:37.984 --> 00:03:39.865]  And so we want to know, are they really here?
[00:03:40.585 --> 00:03:46.506]  And then later I noticed that they, oh, actually, Richard, it's laying over there by that lamp bud.
[00:03:46.526 --> 00:03:47.726]  And then go get yourself some lunch.
[00:03:47.746 --> 00:03:49.387]  Good job hooking up all this equipment.
[00:03:49.427 --> 00:03:53.208]  Richard Reeves on the road with us here, because even when I go on vacation for two or three days, I work.
[00:03:54.628 --> 00:03:56.928]  Over there is that list that I found in the bar.
[00:03:58.929 --> 00:03:59.829]  Yeah, yeah, bring that to me.
[00:04:01.155 --> 00:04:03.061]  I don't want to show the whole list because it'll say where we're at.
[00:04:03.102 --> 00:04:03.423]  Thank you.
[00:04:06.843 --> 00:04:12.167]  Here in my little hand is the list of who was at the private party last night.
[00:04:12.487 --> 00:04:19.733]  Carl Rove, along with Mr. Ray Hunt of Hunt Oil, will be throwing an event after the rest of the Bush Library dedication events.
[00:04:20.313 --> 00:04:23.936]  This has been described as our personal event and reunion for most of the people attending.
[00:04:23.976 --> 00:04:27.919]  Attendees are friends of former staff associated with George W. Bush administration.
[00:04:28.359 --> 00:04:30.061]  And again, Carl was here to cover it.
[00:04:30.081 --> 00:04:34.104]  He has an article up at DrudgeReport.com about Bush, the Washington Times writer.
[00:04:34.344 --> 00:04:35.165]  He was here to cover it.
[00:04:35.725 --> 00:04:37.773]  And we ran into each other in the bar.
[00:04:41.368 --> 00:04:44.329]  I said, no, Bush and Cheney and all of them are upstairs.
[00:04:44.369 --> 00:04:48.410]  He goes, well, the big party, you know, I was invited to that.
[00:04:48.430 --> 00:04:50.270]  He said, but you know, that's at this other hotel.
[00:04:50.290 --> 00:04:51.430]  And I said, look, they're up there.
[00:04:51.811 --> 00:04:52.811]  And sure enough, they were.
[00:04:53.891 --> 00:04:55.672]  So, just crazy.
[00:04:55.892 --> 00:04:58.032]  We've got all the big bullet news, the latest bombing news.
[00:04:58.092 --> 00:05:00.233]  It's all coming out that it was clearly a provocateur action.
[00:05:01.333 --> 00:05:04.154]  At least setting up real terrorists, a lot of them attack bare minimum.
[00:05:04.614 --> 00:05:05.954]  And just a bunch of other news.
[00:05:06.414 --> 00:05:07.654]  It's all off the chart today.
[00:05:07.694 --> 00:05:09.075]  And we're on the road.
[00:05:10.782 --> 00:05:22.088]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[00:05:22.388 --> 00:05:35.296]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family.
[00:05:35.616 --> 00:05:39.598]  Supernatural Silver is scientifically supported, highly effective,
[00:05:39.838 --> 00:05:43.180]  And perfect for everyday use inside the body as well as out.
[00:05:43.320 --> 00:05:44.961]  The Science Digest Journal says,
[00:06:14.164 --> 00:06:15.105]  Tyranny is here.
[00:06:15.425 --> 00:06:18.947]  The grim future foretold in 1984 has become reality.
[00:06:18.967 --> 00:06:21.569]  It really says that the state is God.
[00:06:21.769 --> 00:06:27.053]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:06:27.453 --> 00:06:33.738]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:06:34.138 --> 00:06:39.682]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:06:40.122 --> 00:06:43.785]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:06:44.285 --> 00:06:48.266]  Prepare to enter the secretive world of emergency dictatorship.
[00:06:48.566 --> 00:06:54.027]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:06:54.507 --> 00:06:57.488]  It's only the beginning of the New World Order's hellish plan.
[00:06:58.068 --> 00:06:59.468]  The police state isn't coming.
[00:07:00.028 --> 00:07:00.548]  It's here.
[00:07:01.169 --> 00:07:07.950]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:07:09.833 --> 00:07:11.474]  Introducing Pro-1.
[00:07:11.714 --> 00:07:15.237]  All of your filtration in one system, portable, on-the-go.
[00:07:15.377 --> 00:07:19.780]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:19.900 --> 00:07:25.904]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
