[00:00:02.768 --> 00:00:04.790]  You're listening to GCN.
[00:00:05.151 --> 00:00:06.853]  Great Talk Radio starts here.
[00:00:14.281 --> 00:00:18.464]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.104 --> 00:00:19.924]  You want answers?
[00:00:20.705 --> 00:00:21.605]  Well, so does he.
[00:00:22.246 --> 00:00:25.868]  He's Alex Jones on the GCN Radio Network.
[00:00:26.428 --> 00:00:30.511]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.055 --> 00:00:48.037]  Ladies and gentlemen, thank you so much for joining us on this Thursday, the 17th day of October 2013.
[00:00:48.257 --> 00:01:01.443]  Top link, the top mega link at DrudgeReport.com, just above the fold, says Chase Fees on Cash Limits Withdrawals
[00:01:05.034 --> 00:01:08.077]  Bans International Wire Transfers.
[00:01:08.838 --> 00:01:18.509]  Again, if you go to DrugsReport.com and see the headline up there, Chase Fees on Cash Limits Withdrawals on Some Accounts.
[00:01:20.211 --> 00:01:26.438]  And this is the beginning of currency controls and so much more.
[00:01:29.209 --> 00:01:46.790]  We're going to be breaking this down today because it ties into a larger group of issues that really show us that we're in dire straits in this republic, but also worldwide and are under the clutches of the kleptocratic Big Six megabanks, led by the ringleader.
[00:01:48.234 --> 00:01:58.362]  If the banking cartel could be likened to a satanic conspiracy in hell, JPMorgan Chase would be Satan, the devil, the old serpent himself.
[00:01:59.182 --> 00:02:06.388]  They are the kingpin, the leader, the master, the energy force in the entire system.
[00:02:06.828 --> 00:02:09.430]  They are the Sauron of Mordor.
[00:02:10.351 --> 00:02:15.675]  They are the all-seeing eye, lidless and wreathed in flame.
[00:02:18.660 --> 00:02:22.131]  Who are bringing in a global anti-human corporate world government.
[00:02:23.117 --> 00:02:34.501]  And we're going to be breaking it down and read my update to the Paul Joseph Watson article that DrudgeReport.com, the only news site in the country, yesterday, to link to our story.
[00:02:34.601 --> 00:02:41.004]  And today, it's German, British, Iranian, Japanese, Russian news covering it.
[00:02:41.484 --> 00:02:47.026]  As of an hour ago, and I checked this, we need to check again on Google News, no one in the U.S.
[00:02:47.046 --> 00:02:49.967]  dare talk about the Dark Lord, Sauron.
[00:02:50.427 --> 00:02:51.668]  No one dare talk about
[00:02:52.981 --> 00:02:54.001]  JPMorgan Chase.
[00:02:54.161 --> 00:02:58.943]  No one dare talk about the biggest private shareholder in the private run-for-profit Federal Reserve.
[00:02:59.343 --> 00:03:04.045]  No one talk about the hundred years, now coming up in December, that we've been under their control.
[00:03:04.065 --> 00:03:12.268]  That they've captured the country and have been converting us to a total tyranny while using our energy and our funds to build the planetary dictatorship.
[00:03:14.228 --> 00:03:20.911]  This is a big, big deal and I basically broke it down in an article update that I added to the top of Watson's article this morning.
[00:03:22.563 --> 00:03:24.125]  And we're gonna read this when we come back.
[00:03:24.266 --> 00:03:26.769]  Then separately, I had another epiphany today.
[00:03:26.790 --> 00:03:31.737]  I was jogging on the hike and bike trail with my father.
[00:03:31.757 --> 00:03:36.544]  As I hang out more and more, the older I get, the more I hang out with my dad.
[00:03:38.083 --> 00:03:39.444]  I tend to hang out with older people.
[00:03:39.524 --> 00:03:41.845]  I feel old.
[00:03:42.085 --> 00:03:46.548]  My dad's not that old, but I just like hanging around with him and my mom, but also other folks.
[00:03:47.969 --> 00:03:49.589]  And so we went for a little jog.
