[00:00:00.089 --> 00:00:01.309]  Network.
[00:00:06.630 --> 00:00:07.270]  Big Brother.
[00:00:07.931 --> 00:00:08.991]  Mainstream media.
[00:00:09.711 --> 00:00:10.831]  Government cover-ups.
[00:00:11.451 --> 00:00:12.272]  You want answers?
[00:00:13.052 --> 00:00:14.012]  Well, so does he.
[00:00:14.592 --> 00:00:18.173]  He's Alex Jones on the GCN Radio Network.
[00:00:18.773 --> 00:00:22.874]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.840 --> 00:00:46.863]  I spent some of the morning watching C-SPAN and Rand Paul grilling Hillary Clinton, pointing out that if he was the president, he would have relieved her of her position.
[00:00:47.323 --> 00:00:48.624]  We have that clip coming up.
[00:00:50.204 --> 00:00:51.064]  And that's the point.
[00:00:51.164 --> 00:01:00.727]  You know, when, quote, government screwed up in the past, or in any other country for that matter, the people responsible for it resign or go to jail.
[00:01:02.813 --> 00:01:05.355]  But nowadays, the answer is, give us more funding.
[00:01:05.595 --> 00:01:06.976]  And that's what Hillary Clinton said.
[00:01:07.796 --> 00:01:16.881]  That's why whenever FEMA ordered the police to stand down during Katrina, on Bush's watch, FEMA then got even more funding, saying, we need more power!
[00:01:18.402 --> 00:01:20.564]  They've engineered that into the system.
[00:01:21.624 --> 00:01:24.226]  It's just an amazing level of corruption.
[00:01:24.786 --> 00:01:32.431]  But you see, watching the Senate hearings with Hillary, only part of it is being covered.
[00:01:34.059 --> 00:01:47.163]  Because our government armed the Libyan Al-Qaeda rebels out of Saudi Arabia, who first came from Saudi Arabia and other countries, into Benghazi two years ago to destabilize and take down Libya.
[00:01:48.124 --> 00:01:51.665]  They were on the BBC saying, next stop, Damascus, Syria.
[00:01:52.785 --> 00:01:53.706]  They've been there.
[00:01:53.746 --> 00:01:55.726]  They've been given heat-seeking missiles.
[00:01:56.607 --> 00:01:58.387]  Some numbers are as high as 15,000.
[00:01:58.587 --> 00:01:59.368]  Most numbers are around 12,000.
[00:02:01.275 --> 00:02:03.736]  10,000 of those heat-seekers, pretty high-tech.
[00:02:04.936 --> 00:02:06.477]  Take down any jet airliner you want.
[00:02:06.497 --> 00:02:08.718]  They've been attacking jet airliners, shooting them up.
[00:02:10.178 --> 00:02:10.999]  Passenger liners.
[00:02:12.039 --> 00:02:22.083]  And then the media thinks you're so stupid they go, we have to give our rights up and invade all over Africa and Algeria and Mali because Al-Qaeda's there.
[00:02:25.700 --> 00:02:34.225]  And then our criminal, occupied government uses that as a pretext with NATO and France to invade Mali and Algeria and other areas.
[00:02:34.265 --> 00:02:35.066]  I mean, it's amazing.
[00:02:35.126 --> 00:02:41.950]  We predicted four years ago, in the Obama deception, they would use Al-Qaeda that they control to invade all over Africa.
[00:02:42.150 --> 00:02:45.312]  Because we know how they operate, and we saw the build-up of AFRICAN.
[00:02:47.563 --> 00:02:55.290]  The truth is 100% in plain view, but it's so over the top, everyone would have to say, you're right Alex, we apologize.
[00:02:55.350 --> 00:02:57.933]  The globalists have hijacked our country around Al Qaeda.
[00:02:58.173 --> 00:03:03.018]  And the media spins that and says, you're saying George W. Bush had a plunger at the World Trade Center.
[00:03:03.298 --> 00:03:09.143]  You're saying everybody in the government, the guy that delivers letters to your post office box, he's behind it.
[00:03:09.944 --> 00:03:11.145]  That's the games they play.
[00:03:11.185 --> 00:03:11.366]  No.
[00:03:11.686 --> 00:03:19.515]  Criminal, globalist, cartel elements infiltrating the CIA, FBI, NSA, the National Security Council.
[00:03:20.175 --> 00:03:22.918]  They finance the politicians that get into power, the foreign banks.
[00:03:23.379 --> 00:03:26.943]  They have put their people in and they're using Al-Qaeda.
[00:03:27.463 --> 00:03:34.970]  To destabilize and overthrow governments or attack Western governments as a pretext for the Western government to then crack down on the general population.
[00:03:35.410 --> 00:03:38.353]  I've been saying that for 11 years and now it's all public.
[00:03:38.693 --> 00:03:39.954]  Oh, don't worry about Al Qaeda.
[00:03:40.355 --> 00:03:43.117]  This is now for the general public.
[00:03:45.839 --> 00:03:48.462]  So we're going to be breaking all of that down today.
[00:03:48.502 --> 00:03:50.664]  And then there's articles like this out of CNS News.
[00:03:52.349 --> 00:03:55.631]  Former special forces commander, top general, was U.S.
[00:03:55.691 --> 00:03:57.812]  running guns to Syrian rebels via Benghazi?
[00:03:58.173 --> 00:03:59.153]  CIA says no.
[00:04:00.014 --> 00:04:06.018]  General Boykin goes on to say that the evidence points towards them doing this.
[00:04:08.379 --> 00:04:11.081]  Well, the evidence doesn't point towards it, it's on record.
[00:04:11.854 --> 00:04:36.168]  That our government, NATO, all run by the megabanks, on record, brought Al-Qaeda into Libya, then brought them into Syria, invaded from three different countries, and have had Turkish artillery backing them up, and CIA commandos, and British commandos, and Saudi Arabian commandos, in there, helping attack, over the last 20 plus months, Syria.
[00:04:38.325 --> 00:04:47.768]  The Turkish ambassador was there, the missile cache was there, there was some double-cross, or they wanted to get rid of the witness to it, and they killed the ambassador in order to stand down for eight hours.
[00:04:48.148 --> 00:04:55.470]  And the people they used to kill him, the Al-Qaeda forces, were the U.S.-certified, NATO-certified security for Benghazi.
[00:04:55.730 --> 00:04:55.870]  Okay?
[00:04:56.110 --> 00:04:56.790]  That's what happened.
[00:04:57.070 --> 00:04:57.690]  Open and shut.
[00:04:57.950 --> 00:04:58.390]  Period.
[00:04:58.690 --> 00:04:59.031]  Done.
[00:04:59.411 --> 00:05:00.531]  And the whole government knows it.
[00:05:01.943 --> 00:05:05.966]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:05:06.046 --> 00:05:07.166]  Don't be one of them!
[00:05:07.266 --> 00:05:12.830]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:05:12.970 --> 00:05:22.596]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:05:22.776 --> 00:05:29.460]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:05:29.560 --> 00:05:33.684]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:05:33.904 --> 00:05:42.873]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:05:43.014 --> 00:05:46.457]  The Science Digest Journal says silver is our mightiest germ fighter.
[00:05:46.677 --> 00:05:50.301]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:05:50.501 --> 00:05:56.765]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:05:56.885 --> 00:06:00.348]  That's SupernaturalSilver.com and like us on Facebook.
[00:06:01.653 --> 00:06:06.897]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:06:07.157 --> 00:06:09.339]  Start purifying your water with ProPure.
[00:06:09.559 --> 00:06:18.506]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:06:18.666 --> 00:06:21.848]  Its filters are silver impregnated to prevent bacterial growth.
[00:06:22.088 --> 00:06:23.530]  There's no priming required.
[00:06:23.790 --> 00:06:25.831]  It's NSF-42 certified.
[00:06:26.071 --> 00:06:28.553]  Optional fluoride filters can reduce fluoride up to 95%.
[00:06:29.634 --> 00:06:30.975]  Easy to set up and use.
[00:06:31.155 --> 00:06:32.456]  Doesn't require electricity.
[00:06:32.577 --> 00:06:35.439]  Purify water from lakes, streams, ponds, and wells.
[00:06:35.759 --> 00:06:38.902]  This filter system leaves in beneficial minerals, which is key.
[00:06:39.122 --> 00:06:40.904]  Save money by not buying bottled water.
[00:06:41.024 --> 00:06:43.105]  And avoid BPA that leaches from the plastic.
[00:06:43.266 --> 00:06:45.868]  ProPure is the best gravity-fed filter out there.
[00:06:46.008 --> 00:06:47.309]  It's what my family uses.
[00:06:47.569 --> 00:06:50.792]  Infowars.com already has the lowest price on ProPure.
[00:06:50.892 --> 00:06:56.517]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:06:56.737 --> 00:06:57.878]  You can also call to order.
[00:06:59.919 --> 00:07:00.899]  888-253-3139.
[00:07:03.760 --> 00:07:11.423]  If you want an American company with American products made by Americans, here is the Cal Bend Soap Company.
[00:07:11.863 --> 00:07:15.485]  Alex and his staff have used these pure soap products for years.
[00:07:15.945 --> 00:07:22.748]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:07:23.228 --> 00:07:26.049]  See them on the web at 5starsoap.com.
[00:07:26.269 --> 00:07:30.752]  Or call 800-340-7091 for a free catalog.
[00:07:31.092 --> 00:07:36.756]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:07:37.036 --> 00:07:42.139]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:07:42.440 --> 00:07:44.061]  This is an amazing deal.
[00:07:44.441 --> 00:07:49.044]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:07:49.664 --> 00:07:51.826]  See them on the web at 5starsoap.com.
[00:07:52.706 --> 00:07:57.309]  Or call 800-340-7091 for a free catalog.
[00:08:08.854 --> 00:08:13.337]  We now take you live to the Central Texas Command Center.
[00:08:14.437 --> 00:08:16.278]  In the heart of the resistance.
[00:08:17.599 --> 00:08:19.760]  Rallying patriots worldwide.
[00:08:23.948 --> 00:08:26.650]  You're listening to the Alex Jones Show.
[00:08:31.052 --> 00:08:32.333]  Welcome, ladies and gentlemen.
[00:08:32.353 --> 00:08:34.294]  It is the 23rd day of January 2013 on this Wednesday edition.
[00:08:39.403 --> 00:08:48.287]  Coming up at the bottom of the hour, because we're tracking it live right now, we'll give you the latest on Hillary Clinton's testimony to the Senate committee.
[00:08:48.627 --> 00:08:50.048]  Rand Paul to Hillary Clinton.
[00:08:50.428 --> 00:08:53.109]  If I were a president, I would have relieved you of your post.
[00:08:53.709 --> 00:08:55.130]  We're going to be going over that.
[00:08:55.230 --> 00:08:56.991]  Former Special Forces Commander.
[00:08:58.151 --> 00:09:15.405]  Retired General William G. Boykin, who literally was at the heart of the CIA and black operations, is saying that he believes that they were funding and giving missiles and weapons to al-Qaeda based Syrian rebels.
[00:09:16.613 --> 00:09:18.114]  Well, I mean, that's not even debatable.
[00:09:18.134 --> 00:09:21.055]  That's like saying, I believe the sun came up this morning.
[00:09:21.095 --> 00:09:24.456]  I mean, it's New York Times, Associated Press, L.A.
[00:09:24.516 --> 00:09:27.898]  Times, in the last six months, Council on Foreign Relations.
