[00:00:00.349 --> 00:00:01.570]  Well, so does he.
[00:00:08.135 --> 00:00:10.216]  Waging war on corruption.
[00:00:12.538 --> 00:00:18.101]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:18.121 --> 00:00:21.344]  It is March 10th, 2013.
[00:00:21.404 --> 00:00:22.865]  I'm Alex Jones, your host.
[00:00:29.471 --> 00:00:32.614]  I've been chomping at the bit to be back on the air the last four or five days.
[00:00:32.634 --> 00:00:40.463]  I have not taken off seven shows in a row in about five years, best we can tell.
[00:00:41.564 --> 00:00:45.849]  But I took off Friday before last, right through to today.
[00:00:49.093 --> 00:01:09.883]  Now, I was obviously working while I was on the road with my family, and I probably filed, I don't know, something like eight or nine video reports on the road, wrote a news article with Paul Watson as well, and worked on some other things behind the scenes, but I have not been here in the last seven broadcasts.
[00:01:12.467 --> 00:01:21.154]  And I've had a really good chance to have some retrospective time to sit back and look at the state of the world, but also the state of this broadcast.
[00:01:23.205 --> 00:01:25.946]  And it's always restive and important to take off.
[00:01:25.986 --> 00:01:27.447]  So again, thank you for joining us.
[00:01:27.867 --> 00:01:44.392]  I'd like to thank the crew for doing a great job while I was gone, and Mike Adams sitting in, Aaron Dykes, the rest of the reporters who also filled in with him on, what was it, Thursday, and Katherine Albrecht, Dr. Katherine Albrecht, who did three of the broadcasts while I was gone, and Chris Alanese that did that best of for you last Sunday.
[00:01:44.412 --> 00:01:49.594]  And again, just the entire crew, John Bowne, CJ, everybody.
[00:01:50.474 --> 00:01:52.895]  Okay, that said, wow!
[00:01:54.176 --> 00:02:01.239]  There are just some huge news items that are hiding in plain view that we're going to be covering.
[00:02:02.519 --> 00:02:14.244]  And after I get into the latest attacks on the Second Amendment, the latest attacks on our economy to consolidate things for the globalist, a lot of really important tech news, some important TSA news,
[00:02:15.661 --> 00:02:32.393]  Some extremely important geopolitical news as well, with riots going on all over the world, being funded and controlled by the globalists, mainly in Muslim-controlled areas.
[00:02:34.155 --> 00:02:35.376]  After I get into all that,
[00:02:36.448 --> 00:02:38.189]  I'm going to break down in the second hour.
[00:02:38.209 --> 00:02:46.452]  I think it's important to cover our biggest news story in the second hour, because I always tend to put a lot of the most important news right up front, but then not cover it in detail.
[00:02:47.533 --> 00:02:51.675]  So I'm going to switch things around today and cover our top story.
[00:02:53.042 --> 00:02:58.526]  That intersects, though, everything intersects to understand how the globalists operate.
[00:02:59.166 --> 00:03:07.392]  Everything has a linkage in the philosophy, in the mindset, and if you really want to know how these people operate, this is going to be the broadcast for you.
[00:03:08.553 --> 00:03:34.481]  And I know I move quick because even the English language, though it's the most widely used and also probably the deepest language out there, because it adopts other languages, it falls short when my little humble brain is trying to assemble a very complex situation.
[00:03:36.007 --> 00:03:38.908]  And I've likened it many times to describing a beautiful woman.
[00:03:38.988 --> 00:03:40.249]  Somebody says, well, what does she look like?
[00:03:40.369 --> 00:03:41.950]  Oh, she had electricity in her eyes.
[00:03:42.010 --> 00:03:50.133]  Her hair was, you know, dark black and flowing and just her curves and her spirit and the smell.
[00:03:50.413 --> 00:03:51.394]  Well, tell me more.
[00:03:51.534 --> 00:03:53.095]  You know, show me a picture.
[00:03:54.455 --> 00:03:57.377]  Be like someone trying to describe the Grand Canyon who's never seen it.
[00:03:58.117 --> 00:04:00.178]  Or seeing a photo of it versus being there.
[00:04:01.249 --> 00:04:09.716]  Okay, it's a big wide canyon with scrub brush and trees growing on its edge and miles across and it makes you catch your breath.
[00:04:10.096 --> 00:04:11.337]  Well, describe more.
[00:04:12.358 --> 00:04:15.000]  Now those are good things we're trying to describe.
[00:04:17.042 --> 00:04:29.873]  Bad things, wicked things that have built up over thousands of years and been honed and been turned into scientific algorithms.
[00:04:32.541 --> 00:04:39.988]  One can grasp it, just as you can grasp the first time you fell in love.
[00:04:40.748 --> 00:04:42.550]  You know what it was like, other people don't.
[00:04:43.551 --> 00:04:46.313]  You have to experience the Matrix to know what it's like.
[00:04:46.654 --> 00:04:52.759]  But there's been some major cracks in the Matrix, and we're going to break those down when we come back.
[00:04:53.700 --> 00:04:57.243]  It's now coming out that Al Qaeda publicly works for the government.
[00:05:02.040 --> 00:05:09.727]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:10.147 --> 00:05:13.791]  Alex and his staff have used these pure soap products for years.
[00:05:14.231 --> 00:05:21.057]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:21.537 --> 00:05:24.360]  See them on the web at 5starsoap.com.
[00:05:24.560 --> 00:05:29.062]  Or call 800-340-7091 for a free catalog.
[00:05:29.383 --> 00:05:35.046]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:35.326 --> 00:05:40.428]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:40.728 --> 00:05:42.369]  This is an amazing deal.
[00:05:42.730 --> 00:05:47.332]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:47.952 --> 00:05:51.094]  See them on the web at 5starsoap.com or call
[00:06:03.017 --> 00:06:11.758]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:06:12.519 --> 00:06:13.539]  Thomas Jefferson.
[00:06:14.099 --> 00:06:17.760]  It's Alex Jones on the GCN Radio Network.
[00:06:25.504 --> 00:06:28.065]  Ladies and gentlemen, we are live!
[00:06:28.165 --> 00:06:36.968]  Thank you so much for joining us on this live 10th of March 2013 worldwide broadcast.
[00:06:37.208 --> 00:06:44.331]  I am your host, Alex Jones, and we are here every Sunday 4 to 6 p.m.
[00:06:44.851 --> 00:06:47.192]  Central, back weekdays.
[00:06:48.332 --> 00:06:48.713]  11 a.m.
[00:06:48.753 --> 00:06:49.313]  to 2 p.m.
[00:06:49.353 --> 00:06:49.834]  Central.
[00:06:50.294 --> 00:06:53.076]  Blasting out on over 150 AM and FM affiliates.
[00:06:53.417 --> 00:06:56.179]  Shymalcast on XM166 on the weekday show.
[00:06:56.479 --> 00:06:57.900]  They have not yet picked up the Sunday.
[00:06:58.081 --> 00:06:58.701]  Give them a call.
[00:06:58.741 --> 00:06:59.482]  Tell them you want to hear it.
[00:07:00.142 --> 00:07:02.684]  Okay, ladies and gentlemen, where to start here?
[00:07:03.125 --> 00:07:14.794]  I've been gone for the last week, but working a lot from the road, filing video reports and writing news articles for InfoWars.com and PrisonPlanet.com, and I was planning to come back this morning
[00:07:16.089 --> 00:07:19.402]  Too often, Texas, but I came back yesterday instead.
[00:07:21.229 --> 00:07:29.396]  And the story I'm going to tell, a little bit later in the hour, is a personal story, but it also affects those of you that support the First Amendment.
[00:07:29.957 --> 00:07:47.453]  But it's a window to the mindset of thuggery, and bullies, and government, and oppression, and corporate oppression, and how laying down to corruption is the road to serfdom, the road to enslavement, the road to feudalism.
[00:07:49.068 --> 00:08:00.955]  And just briefly, I'll tell you, I got a call Friday evening by Max Cabrera, who heads up PlanetInfoWars.com, our popular social network for people that love freedom worldwide.
[00:08:02.236 --> 00:08:04.458]  From dating to firearms, it's all on there.
[00:08:04.498 --> 00:08:05.278]  PlanetInfoWars.com.
[00:08:05.298 --> 00:08:08.080]  You can set up your own profile if you'd like.
[00:08:09.121 --> 00:08:12.783]  And he had an idea to hand out 10,000 free copies of InfoWars magazine.
[00:08:14.566 --> 00:08:18.069]  Uh, during South by Southwest, one of the biggest film interactive deals in the country.
[00:08:18.670 --> 00:08:20.391]  And I've been a speaker at South by Southwest.
[00:08:20.471 --> 00:08:22.012]  I've, you know, been involved with it some.
[00:08:22.052 --> 00:08:23.554]  I think overall it's a good event.
[00:08:23.574 --> 00:08:29.959]  Uh, it's a little bit exploitive of some of the yuppies and want to be, you know, stars and media people that are coming there actually looking for a job.
[00:08:29.979 --> 00:08:34.543]  Uh, but the point is, so I mean, nothing against South by Southwest overall.
[00:08:35.123 --> 00:08:43.338]  But he called me and said, the police are writing us tickets handing out your magazines on city streets and they're saying they were ordered to by the conference.
[00:08:43.358 --> 00:08:44.781]  And I said, well the conference isn't God.
[00:08:46.732 --> 00:08:48.213]  I mean, they don't own the sidewalks.
[00:08:49.254 --> 00:08:51.536]  And then the police started refusing to do it.
[00:08:52.016 --> 00:08:55.198]  I actually had a chance to talk to them and talk to local CBS KI.
[00:08:55.238 --> 00:09:04.825]  They interviewed the police who said, yeah, we're not going to follow this directive from the code enforcement who told them don't let InfoWars hand out magazines when everybody else was handing out stuff.
[00:09:04.845 --> 00:09:10.268]  I mean, my God, they have women out there handing out massage parlor cards, you know, basically prostitution cards and stuff.
[00:09:10.649 --> 00:09:13.130]  Or, you know, come to our bar, come to our topless bar, whatever.
[00:09:14.191 --> 00:09:16.252]  All that was okay, but InfoWars wasn't okay.
[00:09:17.292 --> 00:09:23.514]  And so I went ahead and drove in yesterday morning instead of driving back in from Galveston where I was down with my family before spring break.
[00:09:23.714 --> 00:09:28.195]  I like to take off when everybody else is actually at work so that there's nobody around.
[00:09:28.915 --> 00:09:29.835]  That's just how I work.
[00:09:30.316 --> 00:09:31.736]  I tend to zig when people zag.
[00:09:32.256 --> 00:09:35.577]  So I came back in early and I talked to the code enforcer.
[00:09:35.597 --> 00:09:36.397]  People got their name.
[00:09:36.417 --> 00:09:42.359]  They said, yeah, we're ordered that you're not even allowed to have InfoWars bumper stickers on your car and park in a parking meter downtown.
[00:09:43.732 --> 00:09:46.754]  I mean, I actually talked to the guy, got his name, filed a report yesterday on it.
[00:09:47.355 --> 00:09:48.276]  It was so bizarre.
[00:09:48.736 --> 00:09:56.462]  But then when I got down there, it was quite an experience to watch the intimidation fold in on itself.
[00:09:56.502 --> 00:10:03.868]  Because before I ever came down here, within hours of the police first following orders, they revolted and said, we're not going to do this.
[00:10:04.328 --> 00:10:05.068]  There's no law.
[00:10:05.088 --> 00:10:07.470]  This is a misappropriation of a U.S.
[00:10:09.272 --> 00:10:12.935]  Constitution via the state constitution and an awesome municipal code.
[00:10:13.983 --> 00:10:15.524]  Uh, so I learned from K.I.
[00:10:15.544 --> 00:10:18.745]  who actually did the interview and had the text of what the cops had said when I pulled up.
[00:10:19.105 --> 00:10:19.465]  K.I.
[00:10:19.525 --> 00:10:21.406]  ran over and said, well, it's too late to have you on now.
[00:10:21.466 --> 00:10:24.528]  You're supposed to be here 20 minutes ago, but we talked to the cops confirming your story.
[00:10:24.748 --> 00:10:28.569]  They've already refused to, uh, give tickets or arrest, you know, your crew.
[00:10:28.769 --> 00:10:30.010]  You have a First Amendment, obviously.
[00:10:31.431 --> 00:10:32.671]  Yes, I'm already telling the story.
