[00:00:00.109 --> 00:00:00.469]  Brother.
[00:00:01.149 --> 00:00:02.190]  Mainstream media.
[00:00:02.910 --> 00:00:04.010]  Government cover-ups.
[00:00:04.670 --> 00:00:05.470]  You want answers?
[00:00:06.271 --> 00:00:07.191]  Well, so does he.
[00:00:07.811 --> 00:00:11.412]  He's Alex Jones on the GCN Radio Network.
[00:00:12.012 --> 00:00:16.073]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.539 --> 00:00:36.501]  Okay, folks, we have got another obviously incredibly important broadcast as the world just gets crazier and crazier by the minute.
[00:00:36.681 --> 00:00:42.903]  I am your host, Alex Jones, and we are going to be live here, Lord willing, for the next three hours.
[00:00:43.503 --> 00:00:50.805]  The news websites are InfoWars.com and, of course, PrisonPlanet.com streaming video at PrisonPlanet.tv.
[00:00:52.805 --> 00:00:55.366]  I woke up at about 3 a.m.
[00:00:55.426 --> 00:00:55.966]  last night
[00:00:58.973 --> 00:01:02.636]  Just gripped with conviction to warn people.
[00:01:03.636 --> 00:01:06.318]  And I didn't really have an epiphany or what you'd call a vision.
[00:01:06.338 --> 00:01:21.249]  It was more of a crystallization of the technocratic system that's being established and really their entire master plan and what is being established.
[00:01:23.591 --> 00:01:27.174]  And so what I'm going to do here today is
[00:01:29.125 --> 00:01:40.611]  Open the phones up in the first hour on North Korea, the Second Amendment, the state saying your children belong to them and that you're an extremist if you don't believe the state controls the children and owns the children.
[00:01:42.211 --> 00:01:50.896]  I want to have a discussion about the overall authoritarianism that's coming in like a flood in an attempt to overwhelm us and then ridicule us
[00:01:53.174 --> 00:02:03.038]  So that we're off balance and basically accept the destruction of our republic, the destruction of our wealth, and our journey towards slavery being completed.
[00:02:04.519 --> 00:02:20.405]  And I'm going to try to focus my mind today because the reason I don't really get into the Globalist Master Plan completely is that it is such a large compendium of information
[00:02:22.658 --> 00:02:28.622]  That it is hard to describe to people the full depth of it and how the dialectics work.
[00:02:29.543 --> 00:02:31.064]  But, I mean, a lot of it's very, very simple.
[00:02:32.785 --> 00:02:39.169]  There is a scientific elite that's mopping up pockets of resistance nationally, worldwide, taking over countries.
[00:02:39.750 --> 00:02:42.492]  They have them under economic or military or both siege.
[00:02:43.800 --> 00:03:05.349]  They want to end humanity as it's known, and they've already chosen the evolutionary curve of humanity, they believe, towards an end of humanity as we know it, and a new species of limited supermen that have merged with new genetic manifestations and these cybernetic interfaces.
[00:03:06.970 --> 00:03:09.051]  And they openly, I mean, it's everywhere,
[00:03:10.666 --> 00:03:33.472]  Fantasize and popularize and engage in predictive programming to sell the idea that this is a foregone conclusion and that some type of heavenly existence, utopian, anti-dystopia will manifest.
[00:03:34.696 --> 00:03:41.240]  But if you look at what they're really building, it is a complete and total dystopia of the highest magnitude.
[00:03:42.360 --> 00:03:49.605]  So, I'm going to attempt to break it down today.
[00:03:52.306 --> 00:03:56.649]  And this program is so evidenced, it is so 100% on record, that it dizzies my mind.
[00:04:02.950 --> 00:04:04.731]  And we're even having a debate about this.
[00:04:06.673 --> 00:04:14.018]  The establishment is moving forward with an accelerated timetable for several reasons.
[00:04:14.058 --> 00:04:23.085]  They're about 10 years behind in their projections and they've looked forward that if they don't accelerate the program, their operation will fail.
[00:04:24.126 --> 00:04:25.286]  But they have succeeded
[00:04:26.400 --> 00:04:38.544]  In their greatest goal of creating an artificial habitat civilization with government and corporate reservations that are breakaway civilizations several steps above us.
[00:04:41.204 --> 00:04:43.985]  So that's what they've got over us is that we are now in a fishbowl.
[00:04:45.466 --> 00:04:52.648]  But we can build civilizations out of their program if we realize the matrix.
[00:04:55.461 --> 00:04:58.522]  You prepare by purchasing gold, food and firearms.
[00:04:58.862 --> 00:05:04.324]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:05:04.904 --> 00:05:08.106]  When you're sleeping or away from home, who's watching out for intruders?
[00:05:08.786 --> 00:05:10.046]  Check out SimpliSafe.
[00:05:10.386 --> 00:05:14.248]  It's a new do-it-yourself home security system that is completely wireless.
[00:05:14.828 --> 00:05:16.869]  Go to GetSimpliSafe.com.
[00:05:17.549 --> 00:05:19.933]  SimpliSafe is independent and off the grid.
[00:05:20.273 --> 00:05:24.079]  It runs on battery power, so even if the grid goes down, you're protected.
[00:05:24.640 --> 00:05:30.809]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:05:31.310 --> 00:05:32.832]  Get SimpliSafe.com
[00:05:33.613 --> 00:05:37.836]  SimplySafe is also ridiculously easy to install yourself in under 20 minutes.
[00:05:38.296 --> 00:05:40.477]  So there's no need to let a stranger into your home.
[00:05:41.018 --> 00:05:44.580]  If you move or need to relocate, you can take the system with you wherever you go.
[00:05:45.100 --> 00:05:51.544]  You aren't always at home, but SimplySafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[00:05:52.104 --> 00:05:54.266]  Again, that's GetSimplySafe.com
[00:05:55.146 --> 00:05:56.787]  Introducing Pro-1.
[00:05:57.047 --> 00:06:00.548]  All of your filtration in one system, portable, on-the-go.
[00:06:00.688 --> 00:06:05.090]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:05.250 --> 00:06:11.212]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:06:11.332 --> 00:06:22.116]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:06:22.316 --> 00:06:28.622]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:06:28.822 --> 00:06:43.555]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:06:46.118 --> 00:06:51.444]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:06:56.972 --> 00:07:04.659]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:07:05.099 --> 00:07:08.722]  Alex and his staff have used these pure soap products for years.
[00:07:09.162 --> 00:07:15.968]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:07:16.469 --> 00:07:18.951]  See them on the web at 5starsoap.com.
[00:07:19.491 --> 00:07:23.994]  Or call 800-340-7091 for a free catalog.
[00:07:24.334 --> 00:07:29.978]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:07:30.258 --> 00:07:35.362]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:07:35.682 --> 00:07:37.303]  This is an amazing deal.
[00:07:37.664 --> 00:07:42.267]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:07:42.887 --> 00:07:45.069]  See them on the web at 5starsoap.com
[00:07:45.609 --> 00:07:50.553]  Or call 800-340-7091 for a free catalog.
[00:08:02.022 --> 00:08:06.506]  We now take you live to the Central Texas Command Center.
[00:08:07.627 --> 00:08:09.468]  In the heart of the resistance.
[00:08:10.769 --> 00:08:12.931]  Rallying patriots worldwide.
[00:08:17.122 --> 00:08:19.747]  You're listening to The Alex Jones Show.
[00:08:23.641 --> 00:08:28.922]  It is April 11th, 2013, on this Thursday edition.
[00:08:28.942 --> 00:08:31.563]  We've got a very important broadcast lined up.
[00:08:31.583 --> 00:08:38.665]  We're going to have updates from the head of Gun Owners of America, Larry Pratt, at the bottom of the next hour.
[00:08:39.005 --> 00:08:42.426]  Or at the start of the next hour, he's going to be popping in with us.
[00:08:43.346 --> 00:08:47.487]  Then at the bottom of the next hour, I will break down
[00:08:50.307 --> 00:08:55.628]  The most chilling information that we have ever covered here on this broadcast.
[00:08:56.408 --> 00:08:58.509]  And it's all publicly available.
[00:09:00.769 --> 00:09:11.351]  And it deals with the technocrats, the Anglo-American eugenicist elite, and their own statements, their own plans, and what they've done before.
[00:09:13.831 --> 00:09:16.512]  What they do when they have full control of a country.
[00:09:20.512 --> 00:09:25.474]  What they do when they have full control of a country.
[00:09:26.675 --> 00:09:29.196]  What they do when they have full control of children.
[00:09:32.218 --> 00:09:49.566]  Because if you want absolute proof of what their goal is, what their plan is, you don't just have to go read the books they've written admitting they plan to exterminate the majority of us once world government is fully in place and they incrementally cut their resources off while posing as the saviors during the deepening crises.
[00:09:50.765 --> 00:09:53.966]  It's all about crisis management strategies of tension.
[00:09:56.707 --> 00:10:02.608]  I have received out of the National Archives restricted Bilderberg documents.
[00:10:06.429 --> 00:10:09.970]  I've talked to former heads of Special Forces Command.
[00:10:11.931 --> 00:10:13.071]  They all know what's going on.
[00:10:15.600 --> 00:10:35.006]  And the plan is to destroy the family, shut off the resources, and bring in a global medical tyranny, and then if you fight back against the white-coated exterminators, Nazis use them first, Soviets use them first, then they're backed up by paramilitary death squads.
[00:10:37.587 --> 00:10:39.788]  And we know the exact formulae
[00:10:41.587 --> 00:10:42.848]  Not even reverse-engineered.
[00:10:42.948 --> 00:10:49.993]  This is all out in the open as a mosaic of actions, white papers, and statements.
[00:10:50.053 --> 00:10:56.818]  I mean, they just released a bunch of WikiLeaks documents, and Kissinger's not denied them, and the government's said they're real.
[00:10:57.639 --> 00:11:03.683]  And what did Bradley Manning, who was part of releasing them, say?
[00:11:03.863 --> 00:11:10.348]  He said, it's like the establishment is a kid with a magnifying glass burning ants.
[00:11:12.500 --> 00:11:20.386]  Well, that's how HG Wells described in his allegory, War of the Worlds, which he later wrote books about, saying is what the elite's going to do to us.
[00:11:20.826 --> 00:11:22.347]  They are the machines.
[00:11:22.787 --> 00:11:24.028]  They are the Morlocks.
[00:11:24.108 --> 00:11:25.049]  We are the Eloi.
[00:11:26.830 --> 00:11:28.151]  Same allegory over and over again.
[00:11:28.191 --> 00:11:29.372]  Same story over and over again.
[00:11:29.392 --> 00:11:35.916]  Remember the Fabian Socialist, top globalist, part of the inter-eugenics cult, wrote the book, The New World Order.
[00:11:38.638 --> 00:11:39.299]  He said,
[00:11:45.523 --> 00:11:50.265]  That they were going to bring in this world government, and that they were then going to exterminate us.
[00:11:51.906 --> 00:11:53.047]  For our own good, of course.
[00:11:56.668 --> 00:12:10.115]  And there's a new Bilderberg Group report out at Infowars.com right now, where the President of the Italian Supreme Court, very famous individual,
[00:12:13.140 --> 00:12:28.188]  Has now come out and said that the government has all the documentation and Italian intelligence has all the documentation that every time Italy tries to get out from under the EU or the globalist system, terror attacks are staged by the Bilderberg Group.
[00:12:30.910 --> 00:12:34.792]  Document says secretive group was involved in strategy of tension.
[00:12:35.432 --> 00:12:37.974]  And what does Kissinger say in the new WikiLeaks documents?
[00:12:42.458 --> 00:12:47.303]  He says, the illegal stuff we do now, the unconstitutional we have to do later.
[00:12:56.333 --> 00:12:57.113]  Absolutely.
[00:12:58.502 --> 00:12:59.143]  Devastating.
[00:12:59.163 --> 00:13:00.183]  And going back to H.G.
[00:13:00.224 --> 00:13:15.617]  Wells, he described how the establishment sees us as amoebas in a petri dish, and they're coldly and scientifically studying us, watching with a cold gaze with what they plan to do to us.
[00:13:16.457 --> 00:13:21.742]  And they do it with the so-called water you drink, with all the poisons and pharmaceuticals in it.
[00:13:23.112 --> 00:13:30.583]  And the hydrofluorosilicic acid, that's an adjuvant, hyper-turbocharging all the other poisons.
[00:13:31.835 --> 00:13:48.428]  And it's in State Department Morandum 200, it's in John P. Holdren's book, Ecoscience, it's in hundreds of publications, Club of Rome, all in my film Endgame, screenshots of their newspaper that they send to members, how they're doing this to us, and it's funny to them.
[00:13:49.149 --> 00:13:53.833]  And I'm supposed to just sit here while they're doing this to us and think it's funny.
[00:13:57.640 --> 00:14:02.801]  Or go join the establishment and play the part of a mainline Republican like Rush Limbaugh or Glenn Beck.
[00:14:05.881 --> 00:14:15.403]  And just... have a... extended last meal, I guess, over the next decade or so.
[00:14:16.543 --> 00:14:26.685]  And just... watch society rot and I'll just sit back in a genteel way and watch my children's entire future destroyed by madmen.
[00:14:27.964 --> 00:14:29.064]  I'm going to explain this again.
[00:14:29.084 --> 00:14:38.548]  The people that run the New World Order are the people that created the Soviets and the Nazis and the Maoists.
[00:14:40.229 --> 00:14:44.430]  And Pol Pot, who was, again, quote, fighting the Communists.
[00:14:44.791 --> 00:14:53.554]  They don't care as long as humanity is attacked and destroyed and butchered and defaced.
[00:14:56.840 --> 00:15:00.504]  These globalists compete with each other over who is the most vicious.
[00:15:02.566 --> 00:15:06.130]  And there are real torture camps by the hundreds.
[00:15:06.170 --> 00:15:07.652]  This has now been released by WikiLeaks.
[00:15:07.672 --> 00:15:08.413]  We already knew this.
[00:15:08.753 --> 00:15:09.554]  This had already come out.
[00:15:10.215 --> 00:15:15.420]  But it just further confirms that the Army's own report from 2007, the Togumbo report, General Togumbo,
[00:15:23.075 --> 00:15:39.333]  Is a rare moment of the schizophrenic Pentagon going, this program resulted in children being raped in front of their parents with battery acid and large objects.
[00:15:41.255 --> 00:15:41.675]  Go read it.
[00:15:42.877 --> 00:15:44.038]  That's just one footnote.
[00:15:45.543 --> 00:15:48.265]  And the Pentagon's like, we shouldn't do this.
[00:15:48.365 --> 00:15:53.068]  And then they pull back with the program because there's a moment of, whoa, we're really super evil.
[00:15:53.308 --> 00:15:55.109]  Whoa, Dr. Mingala.
[00:15:56.910 --> 00:15:59.072]  And by the way, these weren't even real Al Qaeda terrorists.
[00:15:59.352 --> 00:16:00.913]  They publicly work for the Globalist.
[00:16:01.333 --> 00:16:08.938]  I have a stack of news I'm going to get to after Larry Pratt leaves us at the bottom of the next hour to just show you what the technocrats are doing.
[00:16:08.958 --> 00:16:11.039]  They're seeing what military will follow orders.
[00:16:11.340 --> 00:16:13.501]  They're seeing what contractors will follow orders.
[00:16:13.781 --> 00:16:14.842]  These are all tests.
[00:16:16.084 --> 00:16:17.264]  Because the devil mimics God.
[00:16:17.284 --> 00:16:21.906]  This whole world's a test for God or his people, but the devil tests his people.
[00:16:24.427 --> 00:16:29.049]  And if you don't believe in the devil, I mean, what is the good guys torturing people's kids?
[00:16:30.550 --> 00:16:37.152]  And then they have, I mean, I picked up a law enforcement magazine in a 7-Eleven 13 years ago, back in 99.
[00:16:37.212 --> 00:16:37.793]  I read it on air.
[00:16:38.789 --> 00:16:46.779]  And it was a whole scenario for police about do you torture a terrorist's son to find out where the anthrax bombs are that are going to go off in New York.
[00:16:47.220 --> 00:16:50.925]  And the intelligence operative teaches the SWAT team guys.
[00:16:52.202 --> 00:16:58.543]  SWAT team magazine teaches them, yes you do, the end justifies the means.
[00:16:59.224 --> 00:17:14.947]  I mean just pure twist your mind and cops out there all listening going, yeah I've seen that, I've heard that, because I see that about a third of the time I just randomly pick up a law enforcement magazine and just open it and it's just pure evil.
[00:17:15.347 --> 00:17:18.028]  Page after page of just absolute evil.
[00:17:23.106 --> 00:17:33.513]  Last time I picked one up a few years ago, I opened it up and it was an article written talking about Dallas saying, you know, if you see somebody with a get out of the UN sticker on their car, go ahead and bring them in.
[00:17:33.913 --> 00:17:36.155]  And police chiefs, go ahead and back your officers.
[00:17:36.275 --> 00:17:41.118]  Find some reason to charge them with something, because these are extremists that want to kill cops.
[00:17:42.359 --> 00:17:46.002]  And then you go out and treat patriots like they're bad guys.
[00:17:46.082 --> 00:17:47.743]  They go, oh, you're a bad guy.
[00:17:47.983 --> 00:17:50.205]  See how you're like two fighting fish put in the same tank?
[00:17:50.505 --> 00:17:52.166]  And the globalists sit back going, ha!
[00:17:57.381 --> 00:17:59.183]  Full spectrum dominance.
[00:18:01.485 --> 00:18:05.268]  Waylon Jennings' son is going to be in studio with us.
[00:18:05.308 --> 00:18:05.949]  Shooter Jennings.
[00:18:05.989 --> 00:18:06.910]  I've never met him in person.
[00:18:06.950 --> 00:18:08.171]  Talked to him on the phone quite a bit.
[00:18:08.551 --> 00:18:09.552]  He's a big fan and listener.
[00:18:09.572 --> 00:18:10.533]  I'm a big fan of his work.
[00:18:11.414 --> 00:18:12.054]  I wouldn't lie to you.
[00:18:12.074 --> 00:18:13.015]  I wasn't a fan of his work.
[00:18:13.195 --> 00:18:16.238]  I wouldn't even care about talking to him just because he's Waylon Jennings' son.
[00:18:16.598 --> 00:18:18.700]  One of my favorite outlaw country singers.
[00:18:18.760 --> 00:18:19.661]  One of my favorite, period.
[00:18:20.302 --> 00:18:21.062]  Johnny Cash.
[00:18:21.863 --> 00:18:22.604]  Waylon Jennings.
[00:18:25.953 --> 00:18:30.176]  Chris Christopherson, Willie Nelson, the Highwaymen, there they are.
[00:18:30.816 --> 00:18:32.657]  His music is just amazing.
[00:18:33.518 --> 00:18:35.899]  And he wrote the Summer of Rage a few years ago.
[00:18:35.940 --> 00:18:40.062]  It's in our film Police State 4, The Rise of FEMA, which we ought to use for bumper music.
[00:18:40.102 --> 00:18:42.564]  I mean, it is a five-star song.
[00:18:44.756 --> 00:18:45.857]  And really powerful.
[00:18:46.258 --> 00:18:52.564]  It's about looking into his child's eyes, realizing that you can't just deny all this is happening.
[00:18:52.584 --> 00:18:53.945]  You've got to say no to it.
[00:18:54.385 --> 00:18:56.628]  The good in the world has to stand up and say no.
[00:18:57.108 --> 00:19:00.231]  He's going to be popping in here in the third hour.
[00:19:00.251 --> 00:19:02.213]  We're going to play some of his new album premiering in here.
[00:19:02.233 --> 00:19:06.737]  His new tour starts, I guess, tonight in New Braunfels, or is it...
[00:19:08.663 --> 00:19:10.685]  Down San Marcos, just north of there, you know.
[00:19:11.265 --> 00:19:14.207]  So he kicks his new tour and album off here today.
[00:19:14.267 --> 00:19:15.448]  Look forward to meeting him in person.
[00:19:19.992 --> 00:19:23.094]  Just some good old boys, never meanin' no harm.
[00:19:23.555 --> 00:19:26.557]  Been in trouble with the law since the day they were born.
[00:19:28.899 --> 00:19:32.042]  I'm just a good old boy, you know my mama loves me.
[00:19:35.196 --> 00:19:38.239]  That's what it's all about, loving your children and your mama loving you.
[00:19:39.040 --> 00:19:40.502]  You know, I'm a good old boy.
[00:19:40.902 --> 00:19:42.564]  You know, my mama loves me.
[00:19:43.144 --> 00:19:44.306]  And that's what's wrong in the world.
[00:19:44.346 --> 00:19:48.050]  Most of these evil people came from evil families where their mama didn't love them.
[00:19:48.770 --> 00:19:49.331]  Well, you know what?
[00:19:49.391 --> 00:19:52.174]  My mama loves me and your mama loves you.
[00:19:52.194 --> 00:19:54.777]  And we're going to stand up for the children.
[00:19:56.445 --> 00:19:58.026]  Time and time again.
[00:19:58.046 --> 00:20:00.887]  You need to come here and help us.
[00:20:00.987 --> 00:20:02.067]  We need assistance.
[00:20:02.407 --> 00:20:02.967]  Please!
[00:20:03.247 --> 00:20:06.549]  Those we should be able to depend on let us down.
[00:20:06.829 --> 00:20:12.911]  Federal and state and local officials saying help is on the way, while the folks here in Bell Harbor say show me.
[00:20:13.211 --> 00:20:15.573]  Don't depend on the government to save you.
[00:20:15.753 --> 00:20:22.117]  Take action now so that you're prepared for the next disaster with MyPatriotsupply.com.
[00:20:22.398 --> 00:20:34.706]  Get the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more at MyPatriotsupply.com.
