[00:00:02.304 --> 00:00:04.326]  You're listening to GCN.
[00:00:04.687 --> 00:00:06.389]  Great Talk Radio starts here.
[00:00:13.871 --> 00:00:18.054]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.714 --> 00:00:19.515]  You want answers?
[00:00:20.295 --> 00:00:21.216]  Well, so does he.
[00:00:21.836 --> 00:00:25.459]  He's Alex Jones on the GCN Radio Network.
[00:00:26.039 --> 00:00:30.102]  And now, live from Austin, Texas, Alex Jones.
[00:00:46.880 --> 00:00:58.546]  We are watching the organized degeneration and collapse of the human community as it has existed for thousands of years upon this small planet.
[00:01:01.076 --> 00:01:25.405]  And the social engineers believe they have a method to their madness that they're going to channel the collapse of society and even augment it so that they can consolidate control, but it's clear that they are not escaping the blowback from their intensification of worldwide problems.
[00:01:27.773 --> 00:01:32.134]  We're going to be live here for the next three hours on this live Monday edition.
[00:01:34.574 --> 00:01:50.617]  When Max Keiser was in studio with us a week and a half ago in London, there in my hotel room from our makeshift studio, he said, see, this is the collapse that I was talking about, but it's coming a month and a half after I said it would.
[00:01:50.897 --> 00:01:53.298]  He said late April, now it's mid-June.
[00:01:53.958 --> 00:01:55.258]  And he said that in early June.
[00:01:56.533 --> 00:01:58.815]  Back the day Bilderberg kicked off, June 6th.
[00:02:00.136 --> 00:02:07.982]  And then I was sitting there for about an hour this morning watching CNBC just to see what they were telegraphing to the public.
[00:02:08.543 --> 00:02:13.046]  They always tell you things a long time after it's basically already been set up.
[00:02:13.226 --> 00:02:19.191]  And they were saying that the Fed will slowly start cutting off QE infinity.
[00:02:20.472 --> 00:02:22.234]  So I guess that takes the infinity out of it.
[00:02:24.102 --> 00:02:28.445]  And that that's why the stock market's down the last few weeks, and why the dollar and other currencies have been dropping.
[00:02:29.646 --> 00:02:31.967]  And inflation is marked everywhere.
[00:02:32.348 --> 00:02:39.232]  I don't care what fake inflation numbers they put out, you know, in the newspaper, we all know inflation's up everywhere.
[00:02:42.435 --> 00:02:49.079]  And so we're going to be breaking that down with Max Keiser when he joins us from London, that's where he lives, in the second hour.
[00:02:52.181 --> 00:02:52.962]  In the meantime,
[00:02:55.765 --> 00:02:59.127]  Here's some of the other headlines up on Infowars.com.
[00:03:00.228 --> 00:03:03.149]  Journalist, TSA shamed my teenage daughter.
[00:03:04.310 --> 00:03:05.011]  That's the plan.
[00:03:05.091 --> 00:03:05.791]  Break your will.
[00:03:06.271 --> 00:03:07.412]  Train you that you're a slave.
[00:03:07.432 --> 00:03:08.172]  Set the precedent.
[00:03:08.693 --> 00:03:10.474]  Russian tycoon predicts
[00:03:12.270 --> 00:03:15.251]  Immortality within 25 years.
[00:03:15.431 --> 00:03:16.891]  That's what they're going for.
[00:03:17.491 --> 00:03:20.112]  Doesn't mean they're going to get it.
[00:03:20.132 --> 00:03:23.413]  14-year-old faces year in jail over pro-gun t-shirt.
[00:03:23.853 --> 00:03:25.533]  They say the shirt is terroristic threat.
[00:03:25.573 --> 00:03:28.614]  It's an NRA, defend your rights is what the shirt says.
[00:03:29.494 --> 00:03:31.815]  How evil, how un-American then to defend your rights.
