[00:00:07.383 --> 00:00:07.724]  Oh, no.
[00:00:43.871 --> 00:00:45.673]  Welcome to the Info Wars Nightly News.
[00:00:45.793 --> 00:00:47.095]  I'm your host, Jakari Jackson.
[00:00:47.415 --> 00:00:49.658]  This is what we have in store for you for this March 18, 2013 edition.
[00:00:53.993 --> 00:01:04.218]  Tonight on the InfoWars Nightly News, a run on Cyprus banks as the EU and European Central Bank loot people's accounts, shutting down the nation's banking system.
[00:01:04.678 --> 00:01:05.879]  Will Italy be next?
[00:01:06.319 --> 00:01:10.341]  Then, a TSA goon squad swarms Chicago's metro train.
[00:01:11.061 --> 00:01:13.905]  Claiming a man's medical test was a nuclear threat.
[00:01:14.205 --> 00:01:23.618]  Plus, behind Al Gore's green lie, hard-proof global warming forecasts costing everyone billions are, and have always been, wrong.
[00:01:24.379 --> 00:01:27.103]  All that and more on the InfoWars Nightly News.
[00:01:31.744 --> 00:01:32.484]  And welcome back.
[00:01:32.965 --> 00:01:38.288]  Top story headline, the rape of Cyprus by the European Union and the IMF.
[00:01:38.748 --> 00:01:53.397]  Just for a little background information on Cyprus, it's a little island that joined the Eurozone back in 2008, and the people there in Cyprus are having some difficulties by fraudulent taxes on their bank investments, where people are just being ripped off
[00:01:54.057 --> 00:01:58.900]  We're not even bank investments, just their bank accounts are being ripped off by the government there.
[00:01:59.360 --> 00:02:04.122]  And also they're experiencing a bank holiday, meaning that they cannot withdraw any of their funds.
[00:02:04.142 --> 00:02:05.083]  Let's take a look at the article.
[00:02:05.463 --> 00:02:07.184]  We'll just slide through a few points here.
[00:02:07.684 --> 00:02:10.125]  There was no tax on the bank accounts in Cyprus.
[00:02:10.145 --> 00:02:10.926]  That's one point.
[00:02:11.386 --> 00:02:15.828]  A bank account is not a bond or a stock or any sort of investment.
[00:02:16.329 --> 00:02:22.532]  A bank account is the private property of a citizen or a corporation and does not belong to the government.
[00:02:23.212 --> 00:02:26.214]  There is a deposit insurance in Europe.
[00:02:26.694 --> 00:02:31.497]  It guaranteed that the bank accounts of citizens would be insured up to 100,000 euros.
[00:02:32.478 --> 00:02:35.500]  And there are many other points, great points to point out, matter of fact.
