[00:00:02.782 --> 00:00:04.806]  You're listening to GCN.
[00:00:05.186 --> 00:00:06.789]  Great Talk Radio starts here.
[00:00:14.298 --> 00:00:18.481]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.122 --> 00:00:19.922]  You want answers?
[00:00:20.723 --> 00:00:21.583]  Well, so does he.
[00:00:22.264 --> 00:00:25.886]  He's Alex Jones on the GCN Radio Network.
[00:00:26.447 --> 00:00:30.530]  And now, live from Austin, Texas, Alex Jones.
[00:00:38.837 --> 00:01:04.443]  Well, now that oh vomit, excuse me, oh bozo, oh traitor, oh globalist, oh banker frontman, oh foreign new world order occupier puppeteer, and puppet himself, Obama, now that he has been forced to cover healthcare.gov instead of distracting people with the so-called partial government shutdown,
[00:01:05.779 --> 00:01:17.645]  Folks are freaking out as they learn that nobody can sign up, that it's doubling premiums bare minimum, and even Consumer Reports has come out and said, stay away from healthcare.gov.
[00:01:19.666 --> 00:01:22.287]  Because it's a giant scam and basically steals your data.
[00:01:22.868 --> 00:01:25.309]  We told you this two weeks ago when it launched.
[00:01:26.886 --> 00:01:28.988]  Any computer programmer could go and see that.
[00:01:29.368 --> 00:01:31.330]  That it wasn't just broken, it was a fraud.
[00:01:31.931 --> 00:01:37.616]  The truth is, they don't want to implement the so-called freebie parts of it, and they never will.
[00:01:38.393 --> 00:01:45.974]  They're only going to implement the tax part, where you get $5,000 fines and more, when you can't sign up for it.
[00:01:46.755 --> 00:01:53.816]  So the goal is that you not be able to sign up for it, and then it just becomes something like the Israeli-Palestinian peace process.
[00:01:54.356 --> 00:02:01.637]  It just turns into this new system of where healthcare is all screwed up and costs more, and the insurance companies can do whatever they want.
[00:02:02.797 --> 00:02:04.638]  They're the same ones that screwed up healthcare.
[00:02:04.898 --> 00:02:05.438]  The big ones.
[00:02:06.263 --> 00:02:08.204]  And who wrote it to shut down their competition?
[00:02:08.644 --> 00:02:10.465]  And who wrote it to lower the quality of care?
[00:02:10.485 --> 00:02:12.065]  It doesn't matter.
[00:02:12.285 --> 00:02:16.007]  The lottery ticket crowd, and I'm not saying you're a bad person.
[00:02:16.027 --> 00:02:31.273]  We buy a lottery ticket for fun and it's something you like to do for the suspense or whatever that, you know, you might be struck by a meteorite when you sit there and tune in and watch the show because you've got about as good a chance of winning a big lottery as being, you know, hit by a meteorite or struck by lightning three times in one year.
[00:02:32.619 --> 00:02:36.121]  In fact, the only thing that's more rare than winning a major lottery is being struck by a meteorite.
[00:02:36.161 --> 00:02:38.422]  So you actually have a better chance of winning the lottery.
[00:02:38.463 --> 00:02:38.803]  It's true.
[00:02:39.803 --> 00:02:46.627]  But it's that same mentality of folks that really think, well, it doesn't matter if I got big bills and I'm going bankrupt.
[00:02:47.048 --> 00:02:56.333]  I'm going to go take my entire welfare check and I'm going to go fence it for cash so I can go buy $500 worth of lottery tickets.
[00:02:58.865 --> 00:03:04.740]  And then you go buy your $500 worth of lottery tickets and you sit there desperately and you don't win anything.
[00:03:06.713 --> 00:03:10.814]  Or you go buy the other type of scratch-off stuff and you spend $500 and you win $300.
[00:03:11.974 --> 00:03:14.255]  But still feel like you won $300, even though you lost $200.
[00:03:14.295 --> 00:03:17.375]  That mindset is what they're counting on.
[00:03:17.675 --> 00:03:22.217]  People are just going to clamor, and they're not going to get mad and say, we don't want Obamacare now.
[00:03:22.737 --> 00:03:25.377]  They're going to say, do whatever you got to do to make it work.
[00:03:25.877 --> 00:03:29.638]  And anybody that's against Obamacare, you're the ones now messing it up.
[00:03:30.198 --> 00:03:33.019]  And I told you this was coming.
[00:03:34.286 --> 00:03:36.207]  Obama says that it's been a big success.
[00:03:36.227 --> 00:03:39.269]  We've got his Rose Garden speech coming up.
[00:03:40.409 --> 00:03:47.253]  He's saying it's been a big success and he's blamed the problems with it on the government shutdown.
[00:03:47.333 --> 00:03:49.454]  I told you that was coming.
[00:03:49.474 --> 00:03:51.095]  I just don't know how their brain works.
[00:03:51.695 --> 00:03:55.677]  In fact, before they were even saying any of this, I said last week, I said, you watch.
[00:03:56.978 --> 00:04:03.381]  They are going to blame this on the government shutdown, even though healthcare.gov came out right before it.
[00:04:06.013 --> 00:04:09.458]  Up on DrugsReport.com, emergency surgery.
[00:04:10.138 --> 00:04:12.021]  Obama calls in techies for the fix.
[00:04:12.722 --> 00:04:14.003]  Best and brightest drafted.
[00:04:14.604 --> 00:04:15.906]  Like a Manhattan Project.
[00:04:16.126 --> 00:04:16.587]  SOS.
[00:04:16.647 --> 00:04:17.948]  Hospitals face whole new world.
[00:04:18.489 --> 00:04:19.691]  Sebelius is on the run.
[00:04:19.751 --> 00:04:20.892]  Won't go to Congress to testify.
[00:04:22.113 --> 00:04:25.055]  Five million lines of software code need to be rewritten?
[00:04:25.455 --> 00:04:30.879]  Yeah, it's literally like they had monkeys on PCP at typewriters and they're writing the code.
[00:04:30.899 --> 00:04:34.621]  I mean, we've gone and done articles about it showing the code.
[00:04:35.121 --> 00:04:41.786]  It's like that weird computer speak that doesn't mean anything, just random, just, here, yeah, pay me for the job, here it is.
[00:04:43.707 --> 00:04:46.509]  A monkey with a typewriter could do a better job, literally.
[00:04:48.660 --> 00:04:49.600]  Because you wouldn't laugh.
[00:04:50.080 --> 00:04:53.081]  Five million lines of software code need to be rewritten.
[00:04:53.361 --> 00:04:54.982]  Credibility death spiral.
[00:04:55.562 --> 00:04:58.063]  Consumer reports stay away from healthcare.gov.
[00:04:58.463 --> 00:05:00.844]  Enrollees pose with President Rosegarden.
[00:05:00.864 --> 00:05:01.744]  Some lady fell over.
[00:05:02.344 --> 00:05:04.785]  Obama late to his own presser on Obama glitches.
[00:05:04.845 --> 00:05:06.045]  Blames it on shutdown.
[00:05:06.065 --> 00:05:07.566]  Says it's a good deal.
[00:05:09.448 --> 00:05:20.597]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[00:05:21.238 --> 00:05:32.387]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
