[00:00:08.116 --> 00:00:10.365]  Oh, yeah.
[00:00:43.849 --> 00:00:44.990]  It's Friday, March 29th.
[00:00:45.110 --> 00:00:46.672]  I'm your host, Paul Joseph Watson.
[00:00:46.772 --> 00:00:48.753]  This is InfoWars Nightly News.
[00:00:51.636 --> 00:00:55.479]  Tonight, propaganda pushes liberty lovers as terrorists?
[00:00:56.618 --> 00:00:59.482]  Veterans evicted by the very government they fought for.
[00:01:00.503 --> 00:01:02.906]  And the Cyprus haircut with Gerald Cilente.
[00:01:03.506 --> 00:01:06.130]  All this and more on the InfoWars Nightly News.
[00:01:10.575 --> 00:01:12.615]  Top story tonight, Fox drama.
[00:01:12.795 --> 00:01:17.516]  Constitutionalists work for terrorist serial murderers by Kurt Nimmo.
[00:01:17.936 --> 00:01:31.859]  Fox, the entertainment network founded by Rupert Murdoch and Barry Diller, is working with the federal government and the Southern Poverty Law Center in a concerted effort to demonize Americans identifying themselves as constitutionalists.
[00:01:32.559 --> 00:01:37.420]  And this is a new program that follows in the vein, of course, as we documented over the years,
[00:01:38.709 --> 00:01:47.876]  Repeated, sustained attempts to demonize anybody who believes in the Constitution, Libertarians, Conservatives, across the political spectrum, you name it.
[00:01:48.357 --> 00:01:59.986]  Of course, 2011 we had the DHS-funded study which came out and said that Americans who were quote, reverential of liberty, were likely terrorists.
[00:02:00.426 --> 00:02:07.652]  And of course before that we had the 2009 MIAC report which demonized Constitutionalists, Ron Paul supporters,
[00:02:08.192 --> 00:02:16.514]  Gold owners, people who flew the Gadsden flag as terrorists, and it's been a sustained attack over the past several years.
[00:02:17.035 --> 00:02:25.377]  And here to talk more about that, how the entertainment industry is characterizing liberty lovers as extremists, is Jakari Jackson.
[00:02:32.125 --> 00:02:35.989]  The cell tower linked to your wife is near a roadside motel on Highway 31.
[00:02:36.189 --> 00:02:41.333]  Typically, there's five to six agents per safe house in a designated area away from the other guests.
[00:02:41.594 --> 00:02:44.716]  I'm thinking an M-17 or my micro-Uzi with a silencer.
[00:02:47.339 --> 00:02:48.199]  UX military?
[00:02:48.800 --> 00:02:49.240]  I don't know.
[00:02:49.601 --> 00:02:50.381]  We're better than that.
[00:02:50.942 --> 00:02:52.383]  They were both raised by militia.
[00:02:52.723 --> 00:02:54.105]  Well, constitutional extremists.
[00:02:55.888 --> 00:02:56.248]  To be accurate.
[00:02:56.728 --> 00:03:02.811]  The following, a Fox TV series starring Kevin Bacon, is the latest television program to demonize the militia.
[00:03:02.831 --> 00:03:05.952]  I'm Jakari Jackson with an InfoWars News Bulletin.
[00:03:06.452 --> 00:03:13.955]  Even though the Constitution guarantees the rights of a well-regulated militia, that has not stopped the mass media from portraying the militia in a negative light.
[00:03:14.415 --> 00:03:17.937]  Let's take a look at these clips where the hero fights militia antagonist.
[00:03:18.157 --> 00:03:21.998]  Next Thursday, to save a young boy's life, Michael Weston takes on a militia.
[00:03:22.018 --> 00:03:23.239]  They are locked down tight.
[00:03:23.539 --> 00:03:26.802]  An unknown number of heavily armed militiamen have taken over the mine.
[00:03:27.082 --> 00:03:33.068]  They plan to use the salt mine as their base during the Second American Revolution, which is, they claim, imminent.
[00:03:40.632 --> 00:03:45.594]  More shows still, such as the in-development We Hate Paul Revere and Founding Fathers.
[00:03:45.894 --> 00:03:53.256]  The real programming is happening with these shows like Founding Fathers, where the guy that's pro-gun in Texas and leading the militia, he's really Al-Qaeda.
[00:03:53.636 --> 00:03:58.658]  Which fits into the whole narrative that, oh, it's white Al-Qaeda, or gun owners are really Al-Qaeda.
[00:03:59.118 --> 00:04:04.780]  InfoWars has also documented subliminal propaganda in television shows such as AMC's Breaking Bad.
[00:04:05.700 --> 00:04:13.286]  One example is AMC's Breaking Bad television series as it depicts a meth villain as a Ron Paul supporter.
[00:04:13.606 --> 00:04:18.389]  And we'll end with a clip of Alex Jones warning of such propaganda in his film Road to Tyranny.
[00:04:18.850 --> 00:04:21.392]  I'm Jakari Jackson with an InfoWars News Bulletin.
[00:04:22.172 --> 00:04:24.434]  Who was the first terrorist organization in the United States?
[00:04:27.128 --> 00:04:27.348]  Who?
[00:04:27.588 --> 00:04:28.209]  Founding Fathers.
[00:04:28.409 --> 00:04:29.530]  Founding Fathers.
[00:04:29.550 --> 00:04:31.512]  You mean Thomas Jefferson?
[00:04:31.853 --> 00:04:32.433]  Look at this guy.
[00:04:33.054 --> 00:04:36.317]  He's talking about the Founding Fathers and people that are committed.
[00:04:36.337 --> 00:04:38.059]  He's talking about constitutional terrorists before that.
[00:04:38.399 --> 00:04:40.942]  The cops are so conditioned, they say, who are the terrorists?
[00:04:41.222 --> 00:04:42.003]  Who were the first terrorists?
[00:04:42.023 --> 00:04:42.783]  The Founding Fathers.
[00:04:42.803 --> 00:04:43.324]  They all know.
[00:04:43.344 --> 00:04:44.225]  They all say Founding Fathers.
[00:04:45.894 --> 00:04:50.197]  Next story tonight, Obama artist equates gun owners with Satan.
[00:04:50.777 --> 00:05:01.805]  Shepard Fairey, the graphic artist synonymous with the Obama Change and Hope images, has taken aim at the Second Amendment by releasing new works that equate gun owners with Satan.
[00:05:02.366 --> 00:05:06.729]  Fairey has released a new print titled God Saves and Satan Invests.
[00:05:07.389 --> 00:05:09.290]  We've got this image up on the screen now.
[00:05:09.310 --> 00:05:11.592]  You can see it in the article on InfoWars.com.
[00:05:22.820 --> 00:05:39.698]  And on his blog, to go with this new poster, which he's selling, all the proceeds go to gun control advocacy groups, Fairey mentions the recent mass shootings and tries to basically blame them on, you guessed it, the traditional scapegoat, Christianity.
[00:05:40.828 --> 00:05:51.275]  Stating that the print was, quote, inspired by the multiple school of mass shootings, that's inspired by mass shootings, strange word to use, that have occurred in recent months.
[00:05:52.096 --> 00:05:56.819]  Ferry says, quote, I'm not a big fan of the absurd abundance of guns in the US.
[00:05:56.859 --> 00:06:01.622]  I'm also perplexed by the claim that much of the nation to have Christian values.
[00:06:02.042 --> 00:06:10.628]  If God tells us to love our neighbor and not to take another human life, where do the assault weapons and piles of ammo fit into these Christian values?
[00:06:11.288 --> 00:06:19.174]  So, no mention of the piles of ammo that the federal government, the Obama administration, is stockpiling with the Department of Homeland Security.
[00:06:20.134 --> 00:06:28.160]  But he's basically blaming the mass shootings not only on guns, not only on the Second Amendment, but also on the Christian faith.
[00:06:29.315 --> 00:06:34.640]  Which is kind of odd, because the search warrant of Adam Lanza's home has just come out yesterday.
[00:06:34.660 --> 00:06:41.826]  There was no Bible there, there was no evidence that Lanza's massacre was fuelled by his Christian faith.
[00:06:42.146 --> 00:06:44.028]  He wasn't even a practicing Christian.
[00:06:44.548 --> 00:06:51.495]  Before him, James Holmes, the Batman shooter, there was no evidence his rampage was fuelled by his Christian faith.
[00:06:52.075 --> 00:06:56.119]  And then of course before him, with the Giffords shooting, Jared Lee Loughner,
[00:06:57.358 --> 00:07:04.106]  No evidence to suggest his rampage was prompted or motivated by his Christian faith.
[00:07:05.107 --> 00:07:06.889]  Loeffner was actually a pagan.
[00:07:07.350 --> 00:07:12.896]  He had occult shrines surrounded by skulls at which he performed little rituals.
[00:07:13.436 --> 00:07:16.740]  So far from being a Christian, Loeffner was
[00:07:17.461 --> 00:07:18.682]  Basically a Satanist.
[00:07:18.782 --> 00:07:19.663]  It was the opposite.
[00:07:20.064 --> 00:07:26.229]  There's no evidence that Christianity or faith had any motivation in recent mass shootings.
[00:07:26.610 --> 00:07:28.752]  So that's complete BS to start off with.
[00:07:29.983 --> 00:07:49.572]  So, Ferry, and this is a guy, remember, whose posters helped create this contrived cult of messianic personality cult that got Obama elected back in 2008, is now backing the Obama administration's gun control agenda by labelling firearms, tools of Satan.
[00:07:50.092 --> 00:07:51.393]  And this is what the poster says.
[00:07:52.443 --> 00:08:00.518]  So, again, while the government arms itself to the teeth, Americans who own guns are being accused of being in league with Beelzebub.
[00:08:01.371 --> 00:08:07.195]  And perhaps the best response to this was a comment somebody wrote in response to this poster that's just been released.
[00:08:07.275 --> 00:08:10.617]  And again, all the proceeds go into pushing gun control politically.
[00:08:11.238 --> 00:08:12.498]  This is what the commenter said.
[00:08:31.611 --> 00:08:34.272]  And their order of no hesitation targets.
[00:08:35.172 --> 00:08:36.812]  No, it doesn't apply to that.
[00:08:37.353 --> 00:08:39.873]  The government can stockpile weapons en masse.
[00:08:40.033 --> 00:08:41.194]  The American people do it.
[00:08:41.494 --> 00:08:49.456]  They're in league with the devil, according to Shepard Fairey, the creator of the infamous Hope and Change Obama posters.
[00:08:49.976 --> 00:08:51.716]  And this leads us on to our next article.
[00:08:52.517 --> 00:08:55.157]  Pat Robertson on DHS arms build-up.
[00:08:55.317 --> 00:08:56.638]  Who are they going to shoot?
[00:08:56.958 --> 00:08:57.118]  Us?
[00:08:58.118 --> 00:09:13.568]  Televangelist Pat Robertson has become the latest prominent conservative to question why the Department of Homeland Security is engaged in an apparent arms build-up, asking if the 1.6 billion bullets purchased by the federal agency will be used against the American people.
[00:09:13.608 --> 00:09:14.329]  And here's a clip.
[00:09:15.189 --> 00:09:16.110]  What are they for?
[00:09:16.270 --> 00:09:19.092]  The army going into battle against the enemy?
[00:09:19.792 --> 00:09:23.254]  They're used by Homeland Security against us.
[00:09:24.867 --> 00:09:32.073]  Ronald Reagan said the most fearful statement in the English language is, I'm from the government and I'm here to help you.
[00:09:32.173 --> 00:09:34.275]  Oh boy, I totally agree.
[00:09:34.335 --> 00:09:37.658]  Imagine what Homeland Security is doing, it's just awful.
[00:09:37.979 --> 00:09:41.842]  But we're going to talk about how much ammunition they're stockpiling.
[00:09:41.882 --> 00:09:42.883]  Who are they going to shoot?
[00:09:43.223 --> 00:09:43.403]  Us?
[00:09:43.804 --> 00:09:44.785]  And of course this was...
[00:09:46.187 --> 00:10:00.973]  Instantly leapt upon by the leftist media who instead of actually investigating the issue of DHS bullet buyers have taken pot shots at these right-wing demagogues like Pat Robertson and Sarah Palin.
[00:10:01.793 --> 00:10:12.217]  Because it's easier to do that and dismiss the issue by labelling it a kook right-wing paranoid fantasy than actually investigating the reality of the matter.
[00:10:13.775 --> 00:10:27.700]  So the latest to do this was in fact the website that posted the Pat Robertson clip, Right Wing Watch, who used it to claim, quote, the conspiracy about secretive ammo stockpiling is completely unfounded.
[00:10:28.723 --> 00:10:31.546]  And what was their source for making that claim?
[00:10:32.366 --> 00:10:39.173]  Again, just as with all the other liberal blogs, it was a single quote by a DHS official.
[00:10:39.933 --> 00:10:45.439]  Because the leftist media somehow thinks that an entire issue can be debunked.
[00:10:46.019 --> 00:10:55.524]  Not by any kind of real investigation, but by merely trusting the veracity of a glib statement made by a single government official.
[00:10:55.905 --> 00:11:00.948]  That's now their standard template for dismissing anything as a conspiracy theory.
[00:11:01.248 --> 00:11:03.949]  The government says it's nothing, move along, nothing to see here.
