[00:00:12.599 --> 00:00:13.625]  Yeah.
[00:00:42.534 --> 00:00:44.495]  We're playing a little guessing game right now.
[00:00:45.516 --> 00:00:47.797]  Where am I in the United States?
[00:00:48.758 --> 00:01:02.507]  Well, I'm on the East Coast and I'm in the state of Connecticut in a college town of New Haven at a very important historical site to any American that wants to understand the true elites that run this country and much of the world.
[00:01:03.988 --> 00:01:11.993]  So what we have is a secret society which over the last 150 years has accumulated
[00:01:13.329 --> 00:01:18.993]  About 2,500 members, of whom perhaps 500 are alive today.
[00:01:20.834 --> 00:01:27.538]  Of this 500, perhaps 100 are actively in pursuit of the objectives of the Order.
[00:01:29.919 --> 00:01:33.961]  It's not another college fraternal society.
[00:01:36.083 --> 00:01:39.565]  You have been chosen to become members of America's most secret society.
[00:01:42.455 --> 00:01:59.158]  For over a hundred years, Skull & Bones members included a president, vice presidents, Supreme Court justices, congressmen and senators, captains of science and industry, the very best of America.
[00:02:09.775 --> 00:02:10.736]  And there she blows.
[00:02:11.057 --> 00:02:14.061]  One of the most famous secret societies in the world.
[00:02:14.141 --> 00:02:16.605]  The most famous here in the United States.
[00:02:16.665 --> 00:02:17.806]  That's the Order of Death.
[00:02:18.786 --> 00:02:23.969]  Lodge 322 of Skull and Bones set up in 1832 by the Russell Trust out of Germany.
[00:02:24.629 --> 00:02:27.350]  That was the trust that controlled the major global opium trade.
[00:02:27.911 --> 00:02:35.615]  And out of this has come at least three presidents, a bunch of Supreme Court justices, you name it, out of this organization right here, the Order of Death.
[00:02:35.635 --> 00:02:39.597]  And it's not the only secret society here in New Haven, Connecticut at Yale.
[00:02:39.677 --> 00:02:45.640]  Yale University is 300 years old this year, and were you to visit its campus, you would see that it still has exotic clubhouses.
[00:02:46.280 --> 00:02:50.684]  Which look like tombs where Yale's legendary secret societies meet.
[00:02:51.845 --> 00:02:56.870]  Their prestige and importance have largely evaporated, but the rituals are still a secret.
[00:02:57.670 --> 00:03:02.475]  So here we are at Skull & Bones, in amongst all this classic Gothic architecture.
[00:03:02.715 --> 00:03:04.417]  That's really the ruins of the Old Republic.
[00:03:05.778 --> 00:03:06.779]  We have another entrance.
[00:03:08.103 --> 00:03:09.004]  Two skull and bones.
[00:03:09.145 --> 00:03:18.318]  And back over that wall, in that courtyard, is where ABC News caught the footage of them doing a satanic ritual dedicated to Satan.
[00:03:19.111 --> 00:03:23.975]  You have the doorway here, then to the right you have a hedge, and then you have an evergreen tree.
[00:03:24.015 --> 00:03:28.118]  If you follow that line straight back, the courtyard's in there.
[00:03:28.218 --> 00:03:29.659]  So that's where they have the ceremonies?
[00:03:29.759 --> 00:03:30.880]  The outdoor part of it.
[00:03:31.080 --> 00:03:31.901]  Part of it was indoors.
[00:03:31.921 --> 00:03:33.242]  So we only got to see the outdoor part.
[00:03:33.562 --> 00:03:33.883]  Right.
[00:03:34.063 --> 00:03:36.084]  We only got to listen to the outdoor part.
[00:03:36.164 --> 00:03:37.525]  God only knows what went on indoors.
[00:03:37.746 --> 00:03:38.626]  And what did you hear?
[00:03:38.646 --> 00:03:39.567]  What was it you knew?
[00:03:39.587 --> 00:03:41.689]  You managed to get this unique accent to it.
[00:03:41.789 --> 00:03:42.890]  Oh, it was disgusting.
[00:03:43.330 --> 00:03:43.970]  It was gross.
[00:03:44.151 --> 00:03:46.773]  I mean, they were pretending to murder people,
