[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[00:00:10.808 --> 00:00:11.809]  October 5th, Tuesday.
[00:00:12.309 --> 00:00:13.850]  Emergency Tuesday broadcast.
[00:00:13.890 --> 00:00:23.277]  Fauci talks about staging health scare with new virus in 2019 video.
[00:00:23.898 --> 00:00:29.122]  It is just unbelievably open and shut that they did this.
[00:00:31.132 --> 00:00:33.593]  It is stunning and it makes me very, very angry.
[00:00:33.974 --> 00:00:35.334]  Not just all the people they've killed.
[00:00:35.815 --> 00:00:37.255]  Not just the corporate media going along with it.
[00:00:37.295 --> 00:00:42.678]  Not just the censorship of the truth and of treatments to try to block this engineered new virus.
[00:00:42.738 --> 00:00:43.358]  It's a new virus.
[00:00:43.419 --> 00:00:44.239]  It's not the flu.
[00:00:44.279 --> 00:00:44.979]  It's not a cold.
[00:00:45.340 --> 00:00:45.760]  It's a mix.
[00:00:47.739 --> 00:00:51.800]  With HIV delivery system and they did it and they're all on video bragging.
[00:00:51.920 --> 00:01:02.764]  So we really do have a problem of how the world perceives influenza and it's going to be very difficult to change that unless you do it from within and say...
[00:01:03.940 --> 00:01:11.123]  I don't care what your perception is, we're going to address the problem in a disruptive way and in an iterative way, because you do need both.
[00:01:11.403 --> 00:01:19.406]  But it is not too crazy to think that an outbreak of a novel avian virus could occur in China somewhere.
[00:01:19.826 --> 00:01:32.991]  We could get the RNA sequence from that, beam it to a number of regional centers, if not local, if not even in your home at some point, and print those vaccines on a patch and self-administer.
[00:01:33.251 --> 00:01:50.276]  Is that there is no question that there will be a challenge to the coming administration in the arena of infectious diseases, both chronic infectious diseases in the sense of already ongoing disease, and we have certainly a large burden of that, but also there will be a surprise outbreak.
[00:01:50.115 --> 00:01:57.115]   From the front lines of the information war, it's Alex Jones.
[00:01:58.115 --> 00:02:04.115]   And it's time for humanity to stand up in the info war and say, "I don't know what's
[00:02:04.115 --> 00:02:11.115]  going to happen at the end of this, but you ought to fight!"
[00:02:11.881 --> 00:02:13.882]  You better believe you got one!
[00:02:13.762 --> 00:02:42.841]   From the front lines of the information war, it's Alex Jones.
[00:02:42.841 --> 00:02:46.282]  Biden is gonna manage to even ruin the holidays.
[00:02:46.171 --> 00:02:53.218]  The economy, much like the global supply chain, is showing signs that it may be about to come to a grinding halt.
[00:02:53.378 --> 00:02:58.283]  The normal number of container ships at anchor is zero to one.
[00:02:58.763 --> 00:03:01.685]  Billions of dollars of goods floating in limbo.
[00:03:02.085 --> 00:03:08.890]  Dozens of cargo ships now stuck off the ports in Los Angeles and New York with wait times to dock stretching up to three weeks.
[00:03:09.190 --> 00:03:14.514]  China ran out of coal and is now rationing power to a grid that is on the verge of collapse.
[00:03:14.674 --> 00:03:22.459]  And what does this tell us about that central planning ability of the Chinese government if it can't foresee some of the problems around Evergrande, if it can't foresee some of the problems around coal supplies?
[00:03:22.799 --> 00:03:27.611]  We've got to get beyond this idea that Chinese leaders are some sort of fabled, you know, economic wizards.
[00:03:27.992 --> 00:03:28.493]  They're not.
[00:03:28.513 --> 00:03:31.781]  They make lots of mistakes, and they're forever having to clean up messes.
[00:03:32.296 --> 00:03:38.359]  Auto industries worldwide are waiting on semiconductors, causing production to come to a stop.
[00:03:38.499 --> 00:03:43.402]  This is the most severe shortage of semiconductors in years.
[00:03:43.542 --> 00:03:46.483]  Hollywood is about to get hit by a massive strike.
[00:03:46.663 --> 00:03:47.984]  Hollywood's been here before.
[00:03:48.044 --> 00:03:53.487]  The writers' strike 14 years ago lasted months and cost the industry hundreds of millions of dollars.
[00:03:53.967 --> 00:04:01.672]   Back then, streaming services were just starting, but the discounted pay rates they agreed then ...are often still in force today.
[00:04:01.852 --> 00:04:05.275]  And the real estate sector is telegraphing a collapse.
[00:04:05.475 --> 00:04:13.603]  The last 18 to 24 months, Jim, we've had $60 billion of capital announced that's coming into the space, but they're all going to the same markets.
[00:04:13.843 --> 00:04:24.633]  And so I think there's concentration risk on top of the land grab that the public companies and the private builders are buying so much land, both through options and owned, and land inflation is up over 30%.
[00:04:26.314 --> 00:04:32.496]  While millions of businesses struggle to bring back an employment sector that doesn't want to come back.
[00:04:32.756 --> 00:04:37.177]  As businesses try to bounce back from the pandemic, many are struggling to find workers.
[00:04:37.477 --> 00:04:38.997]  Have you ever seen anything like this before?
[00:04:39.478 --> 00:04:40.778]  It is the worst it's ever been.
[00:04:40.998 --> 00:04:43.199]  But it's happening across the retail landscape.
[00:04:43.359 --> 00:04:48.100]  This Ace Hardware recently launched a marketing blitz after no one applied for its open jobs.
[00:04:48.200 --> 00:04:53.262]  And very soon, your Christmas tree and Thanksgiving turkey will be in short supply.
[00:04:53.462 --> 00:04:56.342]  As Fauci says, Christmas may be cancelled.
[00:04:56.442 --> 00:04:58.843]  We can gather for Christmas or it's just too soon to tell?
[00:04:59.223 --> 00:05:01.504]  You know, Margaret, it's just too soon to tell.
[00:05:01.564 --> 00:05:11.347]  We've just got to concentrate on continuing to get those numbers down and not try to jump ahead by weeks or months and say what we're going to do at a particular time.
[00:05:11.647 --> 00:05:17.750]  Biden's 1.9 trillion dollar American rescue plan has done little to build back better.
[00:05:17.830 --> 00:05:23.834]  In fact, his tyrannical mandates are fueling the greatest shortage of healthcare workers in U.S.
[00:05:23.874 --> 00:05:24.314]  history.
[00:05:24.634 --> 00:05:26.595]  Please get vaccinated now.
[00:05:26.855 --> 00:05:37.761]  And it won't be long before the quantitative easing machine is kicked back on to keep the stock market churning, as two federal reserve chairmen conspicuously quit at the same time.
[00:05:38.089 --> 00:05:39.910]  And I want to give people the big picture.
[00:05:39.950 --> 00:05:44.912]  The reason I don't care for Yellen or Powell, because they're both Marxist.
[00:05:45.833 --> 00:05:47.634]  And when I say that, I get nailed.
[00:05:49.074 --> 00:05:51.315]  But I will read you a quote from Lenin.
[00:05:51.836 --> 00:05:53.136]  This is Vladimir.
[00:05:53.657 --> 00:06:02.781]  He says, the establishment of a central bank, this is a direct quote, is 90% of a communizing of a nation.
[00:06:03.737 --> 00:06:05.378]  That's Yellen and Powell.
[00:06:05.959 --> 00:06:20.610]  According to Michael Snyder of the Economic Blog, the mainstream media keeps trying to put a happy face on the temporary shortages, but an industry insider has let me know what is really going on behind the scenes.
[00:06:20.910 --> 00:06:28.276]  This particular insider runs a grocery store in Maine, and he says that things are as bad as he has ever seen.
[00:06:28.356 --> 00:06:33.460]  In fact, he says that he has never seen anything close to what is happening now.
[00:06:33.800 --> 00:06:35.761]  Ladies and gentlemen, it's Tuesday, October 5th.
[00:06:35.821 --> 00:06:36.021]  Get ready.
[00:06:35.841 --> 00:06:41.180]   of common items from Gatorade and gallons of water to deli and bakery items.
[00:06:41.180 --> 00:06:49.360]   Something wicked this way comes. Get prepared now. John Bowne reporting.
[00:06:49.360 --> 00:06:54.670]  Ladies and gentlemen it's Tuesday October 5th. Get ready.
[00:06:54.670 --> 00:06:57.281]  We'll be back in 60 seconds.
[00:06:57.281 --> 00:07:01.600]  Emergency Tuesday broadcast.
[00:06:59.935 --> 00:07:07.103]  Fauci talks about staging health scare with new virus in 2019 C-SPAN video.
[00:07:08.084 --> 00:07:08.405]  Wow!
[00:07:08.465 --> 00:07:14.291]  Thank you so much for joining us on this live Tuesday, October 5th, worldwide transmission.
[00:07:15.663 --> 00:07:17.284]  And everything's out in the open now.
[00:07:17.344 --> 00:07:32.715]  Project Veritas got Pfizer executives on video admitting that they know that the vaccine is destroying people's immune system, that it's a higher rate of people that are sick that are taking the vaccine, and that it's causing ADE.
[00:07:34.957 --> 00:07:37.018]  Antibody Dependent Enhancement.
[00:07:37.944 --> 00:07:45.531]  It's a 11 minute report, it's on Infowars.com, it's on Project Veritas, and normally that would be a top story.
[00:07:46.432 --> 00:07:54.579]  That they're confirming everything that we said 20 months ago, and everything we said 10 months ago, and everything we said Sunday night with Mike Adams, word for word.
[00:07:56.321 --> 00:07:58.223]  But that's our second biggest story.
[00:07:58.683 --> 00:08:21.628]   Ladies and gentlemen, you saw, you heard, The broadcast title today of the Alex Jones Show, October 5th, Tuesday, Emergency Tuesday Broadcast, Fauci talks about staging health scare with new virus in 2019 video.
[00:08:22.989 --> 00:08:28.631]  Now our amazing crew ended up staying up here until past 8 o'clock last night.
[00:08:30.165 --> 00:08:32.467]  To bring you an Emergency Monday Transmission.
[00:08:32.767 --> 00:08:34.609]  And believe me, I didn't just come up here for fun.
[00:08:34.689 --> 00:08:35.870]  This is an emergency.
[00:08:36.190 --> 00:08:40.633]  So is today's broadcast because this confirms they premeditatedly done this to us.
[00:08:41.314 --> 00:08:46.158]  And Fauci on the video with the head of Health and Human Services.
[00:08:48.010 --> 00:08:57.179]  Saying we need a new virus out of China, an avian bird flu, a SARS-CoV-2 bird flu, to scare everyone into accepting the new mRNA technology.
[00:08:57.759 --> 00:09:04.786]  To quote, blow up the existing order and system and bring in the new order where it doesn't take 10 years to get things approved.
[00:09:06.387 --> 00:09:06.748]  It is.
[00:09:08.905 --> 00:09:11.387]  The smoking gun of smoking guns of smoking guns.
[00:09:11.407 --> 00:09:29.919]  And when you add it to Peter Daszak and the Wuhan Lab and Fauci and in the thousands of emails now saying gain of function, merge four viruses, then add the HIV spike protein, which is the COVID-19 virus, it is just unbelievably open and shut that they did this.
[00:09:31.932 --> 00:09:34.414]  It is stunning, and it makes me very, very angry.
[00:09:34.774 --> 00:09:43.499]  Not just all the people they've killed, not just the corporate media going along with it, not just the censorship of the truth and of treatments to try to block this engineered new virus.
[00:09:43.539 --> 00:09:44.160]  It's a new virus.
[00:09:44.220 --> 00:09:45.040]  It's not the flu.
[00:09:45.080 --> 00:09:45.801]  It's not a cold.
[00:09:46.141 --> 00:09:46.641]  It's a mix.
[00:09:48.562 --> 00:09:55.427]  With HIV delivery system, and they did it, and they're all on video bragging from Peter Daszak to Fauci how they built it, how they made it.
[00:09:56.468 --> 00:10:04.231]  And I played three of the videos last night, and then as I was leaving, Rob Dew was showing me more videos I never saw of them bragging on other shows.
[00:10:04.911 --> 00:10:08.572]  He was up here until 9 o'clock last night.
[00:10:10.513 --> 00:10:11.933]  Absolutely insane.
[00:10:14.694 --> 00:10:19.816]  And so, this is just the point we've gotten to here, ladies and gentlemen.
[00:10:20.950 --> 00:10:24.233]  That used to, I might come in at night and do an emergency broadcast once a year.
[00:10:24.293 --> 00:10:28.357]  I'm doing it two or three days a week now because these stories are bigger than anything I ever covered.
[00:10:28.577 --> 00:10:33.501]  I mean, this is, this is end of the world type stuff that they've already begun and gotten away with.
[00:10:35.483 --> 00:10:40.147]  You understand the antibody crisis they've created?
[00:10:41.101 --> 00:10:48.105]  With the ADE, antibody-dependent enhancement, is fatal in a large percentage of people that get it.
[00:10:48.585 --> 00:10:51.927]  Because you just keep coming in contact with a cold virus that's similar.
[00:10:53.513 --> 00:10:56.976]  To the one that they injected you for.
[00:10:57.877 --> 00:11:09.547]  And so your body, because it's attacking the whole spike protein and not the RNA, sees everything as the same virus and freaks out because it can't get rid of it.
[00:11:09.948 --> 00:11:15.272]  And the spike protein is in your ovaries, your testicles, your uterus, your heart, your lungs, your brain.
[00:11:16.033 --> 00:11:17.654]  So your body then also attacks that.
[00:11:17.754 --> 00:11:18.575]  And they knew it!
[00:11:19.096 --> 00:11:19.976]  They did it!
[00:11:20.757 --> 00:11:22.178]  And they hit their primary targets.
[00:11:22.878 --> 00:11:26.101]  Australia, New Zealand, Canada, Europe, the UK, the US.
[00:11:26.521 --> 00:11:34.946]  Because we have a background of free market and right to self-defense and Christianity and individualism that is against the globalist system.
[00:11:35.247 --> 00:11:40.890]  So we've been targeted with propaganda and abortion and Satanism and multiculturalism and everything else to divide us.
[00:11:41.271 --> 00:11:44.873]  And now they're hitting us with the actual bio-weapon.
[00:11:44.993 --> 00:11:46.154]  No one else is taking it.
[00:11:48.885 --> 00:11:54.367]  Which if you sit around and imagine them sit around inside their big councils, which they've leaked documents out of.
[00:11:54.768 --> 00:11:58.269]  Headline, Wall Street Journal, Billionaires Meet in Secret to Discuss Overpopulation, 2009.
[00:12:00.570 --> 00:12:03.511]  They said, well, let's do it to the West.
[00:12:04.012 --> 00:12:04.712]  This is Bill Gates.
[00:12:04.932 --> 00:12:12.215]  If we... The West is only 10% of the population and we're 70% of the...
[00:12:14.261 --> 00:12:18.684]  Consumption, I guess it's right to kill the West first.
[00:12:21.166 --> 00:12:26.910]  That's why when he released those mosquitoes at a TED Talk, he said, no reason the Africans should be the only ones getting malaria.
[00:12:26.930 --> 00:12:27.390]  Remember that?
[00:12:29.972 --> 00:12:36.537]  So, Jack Sprat could eat no fat, his wife could eat no lean, because between them, they licked the platter clean.
[00:12:38.700 --> 00:12:39.340]  I butchered that.
[00:12:39.420 --> 00:12:40.801]  Jack Spratt can eat no fat.
[00:12:40.841 --> 00:12:42.001]  His wife can eat no lean.
[00:12:42.521 --> 00:12:44.602]  So between the two of them, they lick the platter clean.
[00:12:45.322 --> 00:12:46.302]  They're killing everybody.
[00:12:48.823 --> 00:12:55.525]  And again, Europe, the United States, Canada, New Zealand, the UK are seen as Anglo-Saxon.
[00:12:56.425 --> 00:12:59.126]  That's been rebelling against different establishments for a long time.
[00:12:59.846 --> 00:13:03.067]  But of course, they're targeting Hispanics and blacks and Asians that live here as well.
[00:13:04.725 --> 00:13:22.500]  And it looks like the spike protein has an even more vicious attack on people that have melanin, because if you have melanin in your skin, it also is a genetic trait that you have more receptor sites for the HIV spike protein.
[00:13:24.021 --> 00:13:25.463]  Oh, remember that about HIV?
[00:13:26.083 --> 00:13:35.574]   That it was much worse in Africans, and oh boy, Sub-Saharan Africans, Equatorial Africans, Congonese Africans.
[00:13:37.176 --> 00:13:39.938]  They can basically walk by an HIV virus and get it.
[00:13:40.678 --> 00:13:42.740]  Because they have the most receptor sites for that.
[00:13:42.760 --> 00:13:46.083]  And that's why so many brown people get HIV.
[00:13:46.143 --> 00:13:46.943]  Whites can get it too.
[00:13:47.324 --> 00:13:50.046]  But mainly white male homosexuals.
[00:13:50.706 --> 00:13:58.993]  Because it takes repeated blood product insults or massive amounts of sperm in the rectum for an Anglo to get it.
[00:13:59.253 --> 00:14:01.275]  Or an Anglo has to get it through blood transfusion.
[00:14:02.196 --> 00:14:03.457]  Northern European Anglos.
[00:14:05.151 --> 00:14:13.617]  If you are a Sephardic Jew and have some African in you, that's Jews out of Spain, well then you can also get HIV very easily.
[00:14:14.097 --> 00:14:15.198]  And that's why the numbers show that.
[00:14:15.278 --> 00:14:29.188]  So, this is a bio-attack, ladies and gentlemen, and they're targeting the West because they want to collapse it, but it particularly, and I have the Pentagon's own reports, we covered them again last night, targets brown people.
[00:14:30.618 --> 00:14:41.103]  And while they're, that's why you're twice as likely if you're black, not just because of the vitamin D problem, but even if you have proper vitamin D, they have studies out, and you're black, that the vaccine is even more deadly for you.
[00:14:41.123 --> 00:14:45.326]  That's why so many black people have died statistically compared to whites from this.
[00:14:45.366 --> 00:14:55.331]  So yes, it's a bioweapon targeting brown people, but the main target point is the West to collapse it, because it kills plenty of white people too.
[00:14:57.205 --> 00:15:00.450]  So it's on ladies and gentlemen and I don't even know what to say to you.
[00:15:00.550 --> 00:15:05.637]  I'm trying to hold it together and not crack up under this and I appreciate the crew and I appreciate all you praying for me.
[00:15:05.957 --> 00:15:06.718]  I need your prayers.
[00:15:09.261 --> 00:15:14.346]  They want us off the air, they're lying about us, they are demonizing us, because we're telling the truth about their agenda.
[00:15:14.927 --> 00:15:33.204]  And that's why the information we cover here is so life and death, and it's why, however you're listening right now, tell everybody to tune into those local radio stations and TV stations, and also take the live feeds from InfoWars.com and Band.Video and FreeWorldNews.tv and share them to your email, share them to your text message, that's where they have the biggest trouble censoring them.
[00:15:34.085 --> 00:15:37.812]  FreeWorldNews.tv is not being blocked on Facebook, Instagram, or Twitter right now.
[00:15:38.092 --> 00:15:41.077]  I'm sure once I talk about it, the Globalist will ban that URL too.
[00:15:41.097 --> 00:15:43.822]  But right now, FreeWorldNews.tv is when we come back!
[00:15:44.909 --> 00:15:53.057]  I'm going to try to summon my calm and my intellect to properly cover the smoking guns of smoking guns that fits into the last piece of the puzzle.
[00:15:53.458 --> 00:15:59.264]  I mean, we already had the puzzle put together, but this is the final piece confirming what the whole thing is in their own words.
[00:15:59.604 --> 00:16:04.869]  Emergency Tuesday broadcast, Fauci talks about staging health scare with new virus in 2019 video.
[00:16:04.929 --> 00:16:10.999]   I mean, holy Jesus, save us.
[00:16:11.159 --> 00:16:12.420]  And that's not taking the Lord's name to vain.
[00:16:12.500 --> 00:16:13.220]  Jesus, save us.
[00:16:13.460 --> 00:16:16.281]  I mean, this is just, call to the name of Christ on this one.
[00:16:16.681 --> 00:16:18.662]  They've done it, and that means they're going for broke.
[00:16:19.162 --> 00:16:20.503]  They really did it.
[00:16:21.323 --> 00:16:23.804]  We already know that, but my God, it's now official.
[00:16:24.364 --> 00:16:26.065]  We'll tell you about it and play the clips when we come back.
[00:16:26.105 --> 00:16:26.525]  Stay with us.
[00:16:28.005 --> 00:16:33.027]  All right, my friends, thank you for joining us on this live October 5th, Tuesday transmission.
[00:16:35.128 --> 00:16:37.689]  And I come to you from the war zone that is planet Earth.
[00:16:39.821 --> 00:16:51.203]  Now I'm about to cover the depopulation-ish, and the admissions, the facts, the public statements of Fauci, the arrogance of these criminals, hiding in plain view.
[00:16:52.503 --> 00:16:55.284]  Because remember, art imitates life.
[00:16:55.344 --> 00:17:04.306]  So why in so many movies with villains, or sci-fi films, or dystopic films, does the villain brag about what they do?
[00:17:05.346 --> 00:17:06.586]  Because that happens in history.
[00:17:08.012 --> 00:17:16.959]  They love to monologue about what they're planning very thinly veiled in front of you before they do it.
[00:17:18.580 --> 00:17:44.171]   Just like the Riddler or the Joker will break in on TV or radio and tell you he's sending you a treat that'll come knocking in the night in the form of so that it makes it more fun like the Zodiac Killer taunting Taunting the police, and then while we all kill each other, they wait till one of us is dead, the other's hurt.
[00:17:44.271 --> 00:17:54.123]  The two groups, they play off against each other, and then in comes the Siamese fighting fish to kill his exhausted foe that he couldn't have beaten before.
[00:17:57.560 --> 00:17:59.421]  So let's lay it out.
[00:17:59.481 --> 00:18:00.762]  What is this all really about?
[00:18:01.502 --> 00:18:11.327]  The global private central banks of the world control Big Pharma, they control the defense establishment, they control energy, they control the media, they control everything but the church.
[00:18:12.987 --> 00:18:15.749]  They now control academia, and they control most of the church.
[00:18:16.829 --> 00:18:20.291]  And now they want the family, now they want you individually, now they want your mind.
[00:18:21.394 --> 00:18:27.776]  And the Bretton Woods Agreement that was set up to make America the new British Empire at the end of World War II is coming to an end.
