[00:00:00.149 --> 00:00:02.290]  We're live, October 31st.
[00:00:04.790 --> 00:00:11.472]  And it's time for humanity to stand up in the Info War and say, I don't know what's gonna happen at the end of this, but you wanna fight?
[00:00:11.612 --> 00:00:13.852]  You better believe you got one!
[00:00:15.993 --> 00:00:20.894]  From the front lines of the Information War, it's Alex Jones.
[00:00:25.129 --> 00:00:33.673]  Dr. Fauci is all over the place now, for one of the very first times in our last year and a half, with some negative publicity.
[00:00:33.873 --> 00:00:37.115]  Negative publicity that's going viral, whether the mainstream media like it or not.
[00:00:37.295 --> 00:00:57.173]   He was taking scalps from fetuses, from fully developed fetuses, and removing the scalps, the skin from the top of the heads of fetuses, and Transplanting and planting it upon dehumanized rats.
[00:00:57.573 --> 00:01:00.794]  If you don't protect yourself, you really do deserve to die.
[00:01:01.255 --> 00:01:03.455]  But, but, but, the children.
[00:01:04.256 --> 00:01:06.556]  They don't deserve this, and that's why it's the Rubicon.
[00:01:07.237 --> 00:01:09.317]  And see, evil can't help it, it's gotta go for the children.
[00:01:09.337 --> 00:01:15.380]  So don't think this is the authority, don't think it's gonna succeed, don't think any of that, because it will fail, but probably in a giant war.
[00:01:15.520 --> 00:01:21.762]  And we were all of a consensus that this is gonna end in this gigantic, massive war.
[00:01:22.489 --> 00:01:23.930]  And Billions dead.
[00:01:24.170 --> 00:01:26.892]  There's no argument over the choice between peace and war.
[00:01:28.313 --> 00:01:32.095]  But there's only one guaranteed way you can have peace, and you can have it in the next second.
[00:01:33.656 --> 00:01:34.077]  Surrender.
[00:01:34.637 --> 00:01:38.940]  But every lesson in history tells us that the greater risk lies in appeasement.
[00:01:39.500 --> 00:01:43.102]  And this is the specter our well-meaning Christian liberal friends refuse to face.
[00:01:43.663 --> 00:01:46.805]  Our priests, our pastors, and now, sadly, even our Pope.
[00:01:47.485 --> 00:01:50.187]  That his policy of accommodation is appeasement.
[00:01:50.914 --> 00:01:56.057]  And it gives us no choice between peace and war, only between fight and surrender.
[00:01:56.397 --> 00:02:03.541]  If we continue to accommodate, continue to back and retreat, eventually we will have to face the final demand, the final ultimatum.
[00:02:03.581 --> 00:02:04.121]  And what then?
[00:02:05.062 --> 00:02:09.144]  When Satan has told his own, he knows what our answer is going to be.
[00:02:09.164 --> 00:02:13.006]  He has told them that we're retreating under the pressure of his cold war.
[00:02:13.046 --> 00:02:22.551]   And someday when the time is right to deliver his final ultimatum, Our surrender will be voluntary because you see by then we will have been so weakened from within.
[00:02:23.472 --> 00:02:25.373]  Spiritually, morally, economically.
[00:02:25.413 --> 00:02:30.495]  He believes this because from our side he's heard voices pleading for peace at any price.
[00:02:31.736 --> 00:02:37.218]  Or better red than dead, or as one commentator put it, he'd rather live on his knees with his mask on than die on his feet.
[00:02:37.478 --> 00:02:39.179]  And therein lies the road to war.
[00:02:39.960 --> 00:02:42.341]  Because those voices don't speak for the rest of us.
[00:02:42.861 --> 00:02:46.523]  If nothing in life is worth dying for, well when did this begin?
[00:02:47.262 --> 00:02:48.543]  Just in the face of this enemy?
[00:02:48.603 --> 00:02:53.905]  Or should Moses have told the children of Israel to live in slavery under the pharaohs?
[00:02:54.906 --> 00:02:56.486]  Should Christ have refused the cross?
[00:02:57.287 --> 00:03:02.029]  Should the patriots at Concord Bridge have thrown down their guns and refused to fire the shot heard around the world?
