[00:00:00.089 --> 00:00:00.889]  Come on!
[00:00:28.399 --> 00:00:29.599]  Oh my God!
[00:01:00.291 --> 00:01:00.391]  Hey!
[00:01:00.431 --> 00:01:02.692]  What are you doing?
[00:01:02.752 --> 00:01:04.353]  What are you doing?
[00:01:04.473 --> 00:01:05.133]  No!
[00:01:05.213 --> 00:01:06.454]  What are you doing?
[00:01:06.534 --> 00:01:07.374]  Stay back!
[00:01:07.514 --> 00:01:07.974]  Stay back!
[00:01:08.054 --> 00:01:08.735]  Stay back!
[00:01:08.895 --> 00:01:09.595]  Stay back!
[00:01:09.795 --> 00:01:10.335]  Stay back!
[00:01:10.355 --> 00:01:11.136]  Stay back!
[00:01:11.376 --> 00:01:12.036]  Stay back!
[00:01:12.096 --> 00:01:12.797]  Stay back!
[00:01:12.937 --> 00:01:13.417]  Stay back!
[00:01:13.437 --> 00:01:14.017]  Stay back!
[00:01:14.037 --> 00:01:14.797]  Stay back!
[00:01:14.817 --> 00:01:15.378]  Stay back!
[00:01:15.398 --> 00:01:15.818]  Stay back!
[00:01:15.838 --> 00:01:16.318]  Stay back!
[00:01:16.418 --> 00:01:16.858]  Stay back!
[00:01:17.018 --> 00:01:17.659]  Stay back!
[00:01:17.679 --> 00:01:18.099]  Stay back!
[00:01:38.592 --> 00:01:45.814]  Thank you for joining us on this Saturday, September 4th, 2021 emergency Saturday transmission.
[00:01:47.174 --> 00:01:59.258]  I am hoping that you will take notes and research every claim we make here and see the horrifying truth for yourself that the globalists are publicly declaring a
[00:02:00.373 --> 00:02:06.517]  Declaration of War Against Open Free Societies, Against Prosperity, and Against Human Life Itself.
[00:02:06.597 --> 00:02:12.641]  And I'm going to go over that in great detail in this most important transmission I've ever done.
[00:02:12.661 --> 00:02:20.386]  And as the days and weeks and months go forward and years, if we're still on air, I would imagine those shows will become even more important than this one.
[00:02:20.426 --> 00:02:23.488]  But we are in very, very dangerous waters right now.
[00:02:24.149 --> 00:02:26.770]  We are under directed post-human
[00:02:28.303 --> 00:02:29.543]  Eugenics operations.
[00:02:30.164 --> 00:02:31.804]  We are in agenda 2030 right now.
[00:02:33.144 --> 00:02:52.330]  Now you just saw hundreds and hundreds of thousands outside of angry parents and citizens in the UK breaking into the government policy center that was setting policy to forcibly inject under 16 year olds with the deadly gene therapy toxins.
[00:02:54.290 --> 00:02:56.391]  And this is humanity fighting for its life.
[00:02:56.451 --> 00:02:57.131]  These are the people
[00:02:57.978 --> 00:03:09.203]  Understand how serious the stakes are in that big pharma and the big banks own and control big tech and with governments are suppressing the fact that this is a Depopulation operation that's been launched in their own words.
[00:03:09.263 --> 00:03:21.009]  I'm going to show you those documents in the moment I'm going to show you just the last few days in some places hundreds of thousands other areas millions tens of thousands hitting the streets and protesting the global ID
[00:03:22.416 --> 00:03:28.278]  And they echo what Klaus Schwab said in the Great Reset and what the UN has said, that the world's never going back
[00:03:51.581 --> 00:04:03.666]  And that they're going to have carbon lockdowns now through your vaccine passport app that are going to track and trace where you go and tax you to use a car, to eat meat, to have air conditioning, you name it.
[00:04:03.826 --> 00:04:11.549]  With total surveillance, no internet privacy, internet ID, it's all being announced.
[00:04:11.870 --> 00:04:14.911]  And the beta test is the UK, Australia, and Canada.
[00:04:14.951 --> 00:04:20.093]  And they admit it's being rolled out in Los Angeles, Chicago, New York, Miami, and other areas.
[00:04:20.649 --> 00:04:25.211]  So let's just read here at the end of this, the fight for climate after COVID-19.
[00:04:25.672 --> 00:04:31.114]  They said, oh, this is really about saving the earth and shutting down human civilization.
[00:04:31.575 --> 00:04:34.856]  COVID-19 exposed the world's failure to prepare for the worst.
[00:04:35.857 --> 00:04:37.878]  Can we learn to build back better?
[00:04:38.638 --> 00:04:45.382]  We had Nancy Pelosi here with that UN statement about build back better means tear everything down and starve you to death.
[00:04:49.294 --> 00:05:03.280]  Unapologetic and clear-eyed, the fight for climate after COVID-19 helps us understand why the time has come to prepare for the world as it will be rather than it once was.
[00:05:04.221 --> 00:05:08.963]  And I've got the actual document they're talking about right here.
[00:05:08.983 --> 00:05:10.864]  We'll be getting to it where it talks about
[00:05:11.823 --> 00:05:14.124]  The full extinction of humanity is the goal.
[00:05:14.465 --> 00:05:16.666]  That's Wall Street Journal, NBC News.
[00:05:18.167 --> 00:05:22.389]  That'll probably be about 30 minutes that we'll be getting to this stack right here.
[00:05:23.190 --> 00:05:24.571]  You can go see this or read this for yourself.
[00:05:26.172 --> 00:05:33.216]  But first, let's show humanity, as we chronicle this day-to-day, I'm on air seven days a week now, let's show humanity
[00:05:34.844 --> 00:05:44.975]  What we need to do as the vanguard stands up against this post-industrial takeover that the Rockefeller Foundation, the UN admitted 11 years ago, they would be executing.
[00:05:45.515 --> 00:05:53.924]  They said by the year 2020, they would launch agenda 2030, which is the plan to destroy civilization as we know it and reduce population by 90%.
[00:05:54.805 --> 00:05:56.407]  So here is humanity fighting back.
[00:06:06.423 --> 00:06:07.784]  Thank you everybody.
[00:06:07.884 --> 00:06:10.727]  I live in Lebanon and I'm a licensed practical nurse.
[00:06:10.807 --> 00:06:13.410]  I moved to Canada in my teens.
[00:06:13.530 --> 00:06:14.470]  I emigrated from Poland.
[00:06:14.511 --> 00:06:19.055]  Growing up in Poland during Communism was a daily struggle.
