[00:00:00.449 --> 00:00:01.751]  Texas is under attack.
[00:00:02.312 --> 00:00:03.753]  America is under attack.
[00:00:04.334 --> 00:00:05.455]  It's a modern war.
[00:00:05.735 --> 00:00:06.837]  A war against our children.
[00:00:07.117 --> 00:00:08.238]  A war against our economy.
[00:00:08.539 --> 00:00:11.342]  A war against our communications using censorship.
[00:00:11.702 --> 00:00:16.728]  A war to create a post-industrial world for the once wealthy nations of the West.
[00:00:17.268 --> 00:00:17.869]  We're good to go.
[00:00:41.887 --> 00:00:46.890]  Under the directives of the United Nations shutting down our power plants in the last few years.
[00:00:47.250 --> 00:00:49.231]  We're going to lay it all out here today.
[00:00:49.251 --> 00:01:09.062]  InfoWars, the most banned network in the world.
[00:01:13.891 --> 00:01:15.031]  I'm under the Great Reset.
[00:01:15.932 --> 00:01:17.633]  Our power has been turned off.
[00:01:17.933 --> 00:01:19.313]  40% of the state without power this morning.
[00:01:20.154 --> 00:01:20.994]  All the Great Reset.
[00:01:21.714 --> 00:01:22.995]  I told my wife that this morning.
[00:01:23.415 --> 00:01:24.595]  I told my security people that.
[00:01:25.416 --> 00:01:38.121]  And then my head security guy walks up and goes, here's the Austin American statesman admitting that since they shut down the coal plants in Texas under Obama, the windmills in West Texas failed and the power may be off for a week or longer.
[00:01:39.699 --> 00:01:43.801]  Rolling blackouts because coal is evil.
[00:01:44.061 --> 00:01:48.303]  So here we are at InfoWars and we have to open the windows up to have light.
[00:01:49.503 --> 00:01:50.804]  Here, let me give you a tour real quick.
[00:01:51.484 --> 00:01:55.006]  Here's Michael Zimmerman stringing stuff in with generators to even be able to run things.
[00:01:56.626 --> 00:02:00.088]  We have backup batteries, but those go out in like five hours, which they have.
[00:02:00.128 --> 00:02:00.808]  Now we're on backup.
[00:02:01.309 --> 00:02:01.729]  Oh, look!
[00:02:02.549 --> 00:02:03.449]  The new Dark Age!
[00:02:04.590 --> 00:02:05.530]  I'm in my main studio.
[00:02:05.570 --> 00:02:06.511]  I can't talk to you!
[00:02:07.816 --> 00:02:10.217]  I can't be on air because I'm non-essential.
[00:02:10.677 --> 00:02:11.858]  The economy's shut down.
[00:02:12.739 --> 00:02:14.479]  Hundreds of thousands of businesses have closed.
[00:02:14.519 --> 00:02:15.880]  Tens of millions of people are going bankrupt.
[00:02:16.200 --> 00:02:25.905]  And here we are, watching the most high-tech, clean-burning coal plants in the world, that nothing comes out of them but carbon dioxide and water vapor, and they've shut them down.
[00:02:26.666 --> 00:02:31.088]  Trump stopped the shutdowns, but Obama had already shut down thousands, over 100 in Texas.
[00:02:31.808 --> 00:02:33.349]  And then I'm reading the Austin American Statesman.
[00:02:34.335 --> 00:02:39.676]  And they admit the whole thing and say, this is green energy, but it's worth it.
[00:02:40.456 --> 00:02:41.956]  Folks, this is the new dark age.
[00:02:42.696 --> 00:02:44.737]  Bill Gates is on the cover of Wired.
[00:02:45.317 --> 00:02:46.717]  This man could save the world.
[00:02:46.777 --> 00:02:50.138]  He wants to block the sun out so that we're not too hot.
[00:02:50.878 --> 00:02:52.698]  He controls our medical system.
[00:02:53.758 --> 00:02:55.599]  He controls every facet of our lives.
[00:02:55.619 --> 00:02:57.499]  He says, oh sorry, we're never going to reopen.
[00:02:57.799 --> 00:02:58.739]  And then smiles about it.
[00:02:59.259 --> 00:03:00.920]  It just so happens he wants depopulation.
[00:03:00.940 --> 00:03:02.560]  It just so happens he flies around in his
[00:03:03.663 --> 00:03:08.545]  Private jet all over the world that says you shouldn't be able to have a car or air conditioning and so did Obama.
[00:03:09.865 --> 00:03:10.285]  They have a name.
[00:03:10.325 --> 00:03:11.246]  It's called feudalism.
[00:03:11.566 --> 00:03:12.306]  It's called serfdom.
[00:03:12.326 --> 00:03:17.828]  It's called controlling populations by keeping them poor and ending the capitalist idea of upper mobility.
[00:03:18.834 --> 00:03:20.155]  And they get the left on board with it.
[00:03:20.315 --> 00:03:22.237]  Oh, we're just shutting the economy down to get rid of Trump.
[00:03:22.297 --> 00:03:24.579]  Now it's like, oh, 100 days of the mask, Biden said.
[00:03:24.819 --> 00:03:26.221]  Now Biden says, it's forever.
[00:03:27.001 --> 00:03:35.729]  So, we're going to shoot these reports for you here, live on the scene, and stream them out over our systems that aren't in Texas, that aren't completely shut down.
[00:03:36.410 --> 00:03:39.613]  And then, we're going to lay out the globalist master plan here.
[00:03:40.193 --> 00:03:41.614]  And we're going to post this to Bandai Video.
[00:03:42.975 --> 00:03:44.596]  Almost all of Austin is without power.
[00:03:44.917 --> 00:03:58.807]  There's no businesses open, no police services, no way to clean the roads, no way to do anything under this ice storm, and no power because people's power usage went up, wanting to heat their homes.
[00:03:59.348 --> 00:04:04.151]  And remember what just came out with the Green Czar in Massachusetts last week?
[00:04:04.792 --> 00:04:06.413]  He said, the enemy is us.
[00:04:06.573 --> 00:04:06.934]  We must
[00:04:08.035 --> 00:04:10.957]  We must break the will of the American people, the retiree down the street.
[00:04:10.977 --> 00:04:20.822]  60% of our emissions that need to be reduced come from you, the person on the street, the senior on fixed income, right?
[00:04:21.302 --> 00:04:26.865]  There is no bad guy left, at least in Massachusetts, to point the finger at, turn the screws on.
[00:04:27.663 --> 00:04:30.365]  And, you know, break their will so they stop emitting.
[00:04:30.605 --> 00:04:31.106]  That's you.
[00:04:31.166 --> 00:04:32.207]  We have to break your will.
[00:04:33.788 --> 00:04:34.909]  I can't even say that publicly.
[00:04:34.949 --> 00:04:36.030]  Because of greenhouse gases.
[00:04:36.070 --> 00:04:37.751]  Greenhouse gases were made on this earth.
[00:04:37.971 --> 00:04:40.193]  Greenhouse gases used to be much higher than they are now.
[00:04:40.733 --> 00:04:44.076]  Oxygen and carbon dioxide are trace gases.
[00:04:45.557 --> 00:04:46.418]  Trace gases.
[00:04:47.796 --> 00:04:55.461]  If you look at the graph of the Earth, it was a lot hotter in the last few hundred thousand years, and then was going down, and now it's gone up a tiny bit.
[00:04:55.501 --> 00:04:58.203]  Yes, we've raised the temperature, like, maybe half a degree.
[00:04:58.564 --> 00:05:02.226]  And thank God, that's us terraforming it in a good way, unknowingly.
[00:05:02.967 --> 00:05:08.631]  Geoengineering, but O'Gates says, spray aluminum dioxide and barium salt to block the sun to cool the Earth.
[00:05:10.205 --> 00:05:13.827]  And now that little bit of heat increase we've seen in the last 100 years is starting to already go down.
[00:05:14.247 --> 00:05:14.948]  This is insane.
[00:05:15.308 --> 00:05:17.429]  By the way, we're due for another ice age every 12,000 years.
[00:05:17.789 --> 00:05:19.270]  We're entering that period right now.
[00:05:19.930 --> 00:05:33.778]  So let's go outside and show you the new ice age that if the graphs are correct, if the scientists are right, it's not disputed, we're on a 12,000 year sun cycle, 11,500 year sun cycle, then the new ice age is basically starting up right now.
[00:05:35.100 --> 00:05:39.083]  Which is what the environmentalists at Club of Rome thought in the 60s and 70s, which was probably more probable.
[00:05:39.403 --> 00:05:42.126]  But then they had a little bit of a heat spike and said, let's just say it's global warming.
