[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[00:00:01.091 --> 00:00:02.834]  Globalism is the disease.
[00:00:03.054 --> 00:00:04.636]  Everything else is a symptom.
[00:00:07.429 --> 00:00:08.049]  And that's true.
[00:00:08.629 --> 00:00:11.250]  I mean, they run the show.
[00:00:11.610 --> 00:00:12.690]  They've got the power.
[00:00:12.810 --> 00:00:14.311]  They stole control of the banks.
[00:00:14.731 --> 00:00:16.591]  They control the issuance of currency and credit.
[00:00:16.831 --> 00:00:18.472]  And they don't need to fix anything.
[00:00:18.772 --> 00:00:32.735]  They don't need to try to make everything work well, because they are organizing the collapse of civilization to get rid of us and hand themselves all the power and the future destiny of our species, which they say they're going to end and that we're a failed species.
[00:00:33.035 --> 00:00:35.396]  They talk like an enemy alien race.
[00:00:37.162 --> 00:00:40.806]  I don't know if they're aliens, but they sure as hell might as well be aliens.
[00:00:41.787 --> 00:00:46.352]  They're saying they're about to end us and this new species is going to rise of silicon.
[00:00:46.872 --> 00:00:53.872]   From the front lines of the information war, it's Alex Jones.
[00:01:10.872 --> 00:01:17.872]  InfoWars, the most banned network in the world.
[00:01:18.872 --> 00:01:25.872]  [Music]
[00:01:25.872 --> 00:01:28.632]  (dramatic music)
[00:01:28.632 --> 00:01:30.632]  (music)
[00:01:30.023 --> 00:01:33.465]  Resident Joe Biden is a foul stench of a human being.
[00:01:33.685 --> 00:01:44.352]  Not only has the puppet-in-chief of the free world reportedly defecated on himself on numerous occasions, his raucous flatulence has become an epic global embarrassment.
[00:01:44.652 --> 00:01:48.374]  Cut critical healthcare programs, or stop work on roads and bridges.
[00:01:48.454 --> 00:01:50.756]  So, what does a human cost?
[00:01:51.596 --> 00:02:01.388]  No one batted an eye when eight women alleged that Biden either touched them inappropriately or violated their personal space in ways that made them uncomfortable.
[00:02:02.028 --> 00:02:03.190]  I hear what they're saying.
[00:02:03.490 --> 00:02:04.351]  I understand it.
[00:02:04.952 --> 00:02:09.357]  And I'll be much more mindful, but I'll always believe governing, quite frankly.
[00:02:11.750 --> 00:02:12.911]  About connecting.
[00:02:12.931 --> 00:02:13.732]  About connecting with people.
[00:02:14.252 --> 00:02:20.198]  While Tara Reade's recount of Biden's sexual assault would have blindsided any political legacy.
[00:02:20.438 --> 00:02:29.026]  She says in 1993, Mr. Vice President, that you pinned her against the wall and reached under her clothing and penetrated her with your fingers.
[00:02:29.846 --> 00:02:32.349]  Would you please go on the record with the American people?
[00:02:32.849 --> 00:02:34.691]  Did you sexually assault Tara Reade?
[00:02:36.118 --> 00:02:37.499]  No, it is not true.
[00:02:38.220 --> 00:02:39.401]  I'm saying unequivocally.
[00:02:39.521 --> 00:02:41.402]  It never, never happened.
[00:02:41.742 --> 00:02:42.323]  And it didn't.
[00:02:42.663 --> 00:02:43.524]  It never happened.
[00:02:43.904 --> 00:02:47.047]  So we were alone in this corridor, and he said my name.
[00:02:47.387 --> 00:02:50.189]  And then the next thing I knew, he pushed me.
[00:02:50.509 --> 00:02:54.853]  And up against the wall, he kind of pushed, moved towards, moved his body towards me.
[00:02:55.233 --> 00:03:01.398]  And then he used his knee to separate my legs.
[00:03:02.198 --> 00:03:04.921]  He said, he said, I want to fuck you.
[00:03:06.059 --> 00:03:09.283]  And he was whispering in my ear and he was kissing me and I was trying to get away from him.
[00:03:10.224 --> 00:03:28.732]   And then when I pulled away, he had taken his hands and put them down my skirt and Taken one hand and penetrated me with his fingers.
[00:03:28.932 --> 00:03:34.135]  But we now live in an era of total mind control where Biden can get away with anything.
[00:03:34.496 --> 00:03:37.377]  Even the allegations of molesting his own daughter.
[00:03:37.678 --> 00:03:44.542]  A year ago, a diary of Ashley Biden surfaced and was confirmed as authentic by the New York Times and the FBI.
[00:03:44.782 --> 00:03:52.027]  In it, Ashley describes drug abuse and affairs as well as inappropriate showers with her father, Joe Biden.
[00:03:52.247 --> 00:03:55.629]   She also asks herself the question, Have I been abused?
[00:03:55.809 --> 00:03:57.831]  And replies with, I think so.
[00:03:58.031 --> 00:04:03.475]  When you look at these photographs that are disgusting and horrible, the Chinese have every single one of them.
[00:04:04.455 --> 00:04:07.338]  The Chinese have every single one of them, probably 10 times more.
[00:04:08.518 --> 00:04:15.424]  Because what the Chinese government has been doing, and a country was totally undefended against this, is setting Biden up.
[00:04:16.504 --> 00:04:18.546]  Putting him in a position where he's totally compromised.
[00:04:20.029 --> 00:04:22.552]  They've now given him so much money, he's totally compromised.
[00:04:22.992 --> 00:04:25.456]  They now have pictures of his son doing things that, uh...
[00:04:27.284 --> 00:04:30.045]  Doing things that I can't describe, some of which are illegal.
[00:04:30.125 --> 00:04:40.008]  Apparently this dark family secret isn't just relegated to Joe, as was evident in text messages from Hunter Biden over alleged family child abuse.
[00:04:40.288 --> 00:04:41.728]  The FBI and the U.S.
[00:04:41.748 --> 00:04:46.049]  Department of Justice for the Southern District of New York City will now cover it all up.
[00:04:46.109 --> 00:04:49.670]  I woke up to a pre-dawn raid, banging on my door.
[00:04:49.690 --> 00:04:58.891]   I went to the door to answer the door, and there were 10 FBI agents with a battering ram white blinding lights, they turned me around, handcuffed me,
[00:04:58.891 --> 00:05:00.891]  and threw me against the hallway.
[00:05:00.891 --> 00:05:03.391]  I was partially clothed in front of my neighbors.
[00:05:03.391 --> 00:05:06.891]  They confiscated my phone, they raided my apartment.
[00:05:06.891 --> 00:05:11.891]   On my phone were many of my reporter's notes, a lot of my sources unrelated to this story,
[00:05:11.891 --> 00:05:16.391]   and a lot of confidential donor information to our news organization.
[00:05:16.391 --> 00:05:23.891]   The search warrant has misprisoned of a felony, accessory after the fact,
[00:05:23.891 --> 00:05:30.391]   and transporting material across state lines as the basis for raiding the home of a journalist
[00:05:30.391 --> 00:05:33.391]  and seizing his work papers and journalist's notes.
[00:05:33.860 --> 00:05:38.142]  But journalists everywhere have to rise up because we broke no laws here.
[00:05:38.703 --> 00:05:40.844]  They could do it to me, they'll do it to anybody.
[00:05:41.244 --> 00:05:53.761]  More recently, when Donald Trump's tax returns were stolen, did the DOJ and the FBI go barging through the doors of journalists at the New York Times?
[00:05:53.621 --> 00:05:54.621]  of course they didn't.
[00:05:54.621 --> 00:05:56.621]  John Bowne reporting.
[00:05:56.621 --> 00:06:03.621]  [Music]
[00:06:03.621 --> 00:06:09.621]   Healthy society is built upon the balance between competition and cooperation.
[00:06:09.621 --> 00:06:14.621]  Where cooperation is often simply not harming each other.
[00:06:14.644 --> 00:06:21.589]  Today's laws, based on Christian ideology, compel us to restrain our animal selves.
[00:06:22.770 --> 00:06:25.632]  Satanism is the opposition to this balance.
[00:06:26.915 --> 00:06:32.797]  It seeks to destroy Christian ideology so that the law is written by the ruthless.
[00:06:33.638 --> 00:06:36.659]  Because ruthlessness is their only advantage.
[00:06:37.859 --> 00:06:43.601]  In a healthy society, those who seek to feed off of others are forced into hiding.
[00:06:44.402 --> 00:06:46.542]  But today, they are hiding no more.
[00:06:47.243 --> 00:06:57.107]   After decades of it being injected into pop culture media, We are becoming all too familiar with the satanic rituals these miscreants love to celebrate.
[00:06:58.548 --> 00:07:06.011]  Whatever actually happened at Travis Scott's Astroworld Festival, it was clearly designed as a satanic ritual.
[00:07:07.774 --> 00:07:11.135]  There are different names of gods who demand human sacrifice.
[00:07:11.875 --> 00:07:14.175]  But Moloch has been the most popular.
[00:07:14.915 --> 00:07:24.798]  And we can see the obvious depiction at Astroworld, where people could symbolically volunteer to ritually sacrifice themselves into the mouth of Moloch.
[00:07:27.138 --> 00:07:29.999]  But the real symbolism can be seen on stage.
[00:07:31.059 --> 00:07:36.500]  The spiraling portal, with non-human entities and flames emerging from it.
[00:07:37.988 --> 00:07:48.159]  The same ritual we've seen at the Gothard Base Tunnel Opening Ceremony in 2016, where a portal was opened and demonic entities were unleashed.
[00:07:49.120 --> 00:07:52.023]  The same ritual made famous by Aleister Crowley.
[00:07:52.783 --> 00:07:54.265]  The birth of the Antichrist.
[00:07:55.266 --> 00:07:56.647]  The Amalantra working.
[00:07:57.749 --> 00:08:00.331]  The cross being fed into the portal of hell.
[00:08:01.815 --> 00:08:06.220]  In other words, the death and destruction of humanity as we know it.
[00:08:07.080 --> 00:08:07.601]  The cull.
[00:08:08.462 --> 00:08:09.283]  Depopulation.
[00:08:10.063 --> 00:08:13.327]  Eight people died and dozens were rushed to the hospital.
[00:08:14.488 --> 00:08:17.071]  With at least 11 suffering from heart attacks.
[00:08:18.652 --> 00:08:20.674]  Victims as young as nine years old.
[00:08:21.936 --> 00:08:24.638]  Videos show several people having seizures.
[00:08:25.723 --> 00:08:34.571]  A security guard claims that someone stuck him with a syringe, and rumors have resulted that people were drugged.
[00:08:35.491 --> 00:08:43.178]  But isn't it more likely, given that these are the same reactions we have been seeing from the experimental jabs, that they are one and the same?
[00:08:44.339 --> 00:08:50.464]  Statistically speaking, if you get enough of the vaxxed in one place, injuries like this will occur.
[00:08:51.665 --> 00:08:54.768]  The entire world has become rife with human sacrifice.
[00:08:55.529 --> 00:09:00.053]  And these rituals are likely meant to give themselves the illusion of legitimacy.
[00:09:00.794 --> 00:09:05.378]  But they are merely the rotten parasites in an otherwise humane world.
[00:09:07.100 --> 00:09:12.004]  The real concern is that their anti-human culture is going mainstream.
[00:09:13.665 --> 00:09:33.665]  For InfoWars.com, this is Greg Reis.
[00:09:33.788 --> 00:09:37.009]  It's at band.video and freeworldnews.tv.
[00:09:37.469 --> 00:09:42.850]  Satanic Rituals and Human Sacrifice at Travis Scott's Astroworld Festival.
[00:09:42.990 --> 00:09:46.091]  A very important report that needs to go viral.
[00:09:48.092 --> 00:09:48.852]  Okay, wow.
[00:09:49.672 --> 00:09:53.113]  Listen, I could get sucked into the whole Kyle Rittenhouse trial.
[00:09:54.413 --> 00:09:58.054]  And I've been following it and it's incredibly evil what's happening.
[00:09:59.012 --> 00:10:09.759]  We have learned that the prosecutors, according to four witnesses now, told them to lie on police reports and more because this was a political hit job.
[00:10:11.020 --> 00:10:20.446]  And now we have James O'Keefe speaking on Sean Hannity, Monday night, but it just started getting picked up yesterday and I had a chance to watch it.
[00:10:21.504 --> 00:10:27.904]   10 FBI agents raiding, they grab all his notes, all his information, two of his phones
[00:10:27.904 --> 00:10:32.304]   with donor information, all his journalistic material, total violation of the First Amendment.
[00:10:32.304 --> 00:10:44.364]   So, it's very, very painful for.
[00:10:44.364 --> 00:10:54.364]  [BLANK_AUDIO]
[00:10:47.822 --> 00:10:58.333]  To see the country go from being corrupt and out of control to the Democratic Party from the top down being a legion of lying criminals.
[00:10:59.875 --> 00:11:12.347]   People ask, how do I take it when the courts engage in behavior that would make Again, a third-world dictatorship blush, and I explain, hey, it's happened to everybody.
[00:11:12.948 --> 00:11:14.569]  This is a movement of tyranny.
[00:11:14.589 --> 00:11:17.331]  This is a movement of abject total corruption.
[00:11:17.371 --> 00:11:18.412]  They have decided to do it.
[00:11:19.453 --> 00:11:35.226]  And so I've got clip after clip of the prosecution's witnesses, when they get on stand, like something out of a Perry Mason TV episode, and saying, I was told a lie, I've been threatened that I need a lie, but I'm not gonna lie.
[00:11:36.874 --> 00:11:37.234]  Wow!
[00:11:39.255 --> 00:11:39.615]  Wow!
[00:11:41.055 --> 00:11:58.759]  I mean, I've never in all my years of watching court stuff, and I've been into it since I was a little kid, I know most of you have as well, on court TV, all of it, never seen four witnesses in two days put on the stand by the prosecutor say, the prosecutor told me to lie!
[00:11:59.559 --> 00:12:00.299]  Pointing at him!
[00:12:04.320 --> 00:12:17.954]   I mean, ladies and gentlemen, In my Sandy Hook cases, they literally get up on the stand, the judges do, from the bench and they just say things that have no representation to reality.
[00:12:18.173 --> 00:12:23.774]   It's the same thing and you're sitting there watching it and they think it's funny. They're enjoying it.
[00:12:23.774 --> 00:12:33.293]   It's like they've been given a permission slip from the devil.
[00:12:33.490 --> 00:12:37.252]  To just do whatever they want, however they want, whenever they want.
[00:12:38.012 --> 00:12:39.553]  And it's just a wall of lies.
[00:12:39.613 --> 00:12:43.535]  The media, the lawyers, the judges, the system.
[00:12:44.796 --> 00:12:49.979]  In Rittenhouse, they got a judge that's actually following the law, and it sounds sane.
[00:12:51.700 --> 00:12:58.903]  And now even the Young Turks have come out and said, okay, we've been watching the Rittenhouse trial, and it looks like he was defending himself, and we were wrong.
[00:12:59.184 --> 00:13:01.785]  Because they know they're about to get massive egg on their face.
[00:13:02.970 --> 00:13:09.394]  But there have been a lot of famous cases where you hear about prosecutors and they know that somebody's innocent and they know who actually did it and they don't care.
[00:13:10.215 --> 00:13:18.100]  A lot of sick, sick evil people become prosecutors, but a lot of sick evil people also just are Democrats in general.
[00:13:18.321 --> 00:13:23.464]  I mean, there are some bad Republicans too, don't get me wrong, but they're usually just cowards or stupid.
[00:13:24.265 --> 00:13:28.608]  With Democrats, it's next level.
[00:13:28.748 --> 00:13:31.730]  Yeah, the headlines are all on InfoWars.com and Gateway Pundits have got it.
[00:13:34.229 --> 00:13:35.690]  And it just goes on from there.
[00:13:35.810 --> 00:13:37.051]  It's simply incredible.
