[00:00:00.000 --> 00:00:12.000]  [outro]
[00:00:12.054 --> 00:00:14.337]  You better believe you've got one!
[00:00:16.280 --> 00:00:21.280]   From the front lines of the information war, it's Alex Jones.
[00:00:21.280 --> 00:00:26.280]  [MUSIC]
[00:00:26.280 --> 00:00:30.280]  [MUSIC]
[00:00:30.280 --> 00:00:35.280]   While George Soros has riddled the American justice system with open society
[00:00:35.280 --> 00:00:38.280]  funded district attorney anarchy.
[00:00:38.280 --> 00:00:43.280]   There's almost no reform you want that prosecutors couldn't implement today
[00:00:43.280 --> 00:00:45.280]  using their own discretion.
[00:00:45.562 --> 00:00:49.043]  If you want bail reform, then prosecutors can simply stop asking for bail.
[00:00:49.203 --> 00:00:53.104]  More than $340,000 in merchandise stolen in L.A.
[00:00:53.124 --> 00:00:54.165]  smash-and-grab thefts.
[00:00:54.525 --> 00:00:57.986]  Fourteen arrested, but have bailed out or met the no-bail criteria.
[00:00:58.366 --> 00:01:01.287]  And LAPD Chief Moore couldn't hide his frustration.
[00:01:01.926 --> 00:01:18.319]  You could be arrested for a crime such as burglary, serious felony, a person coming into your home or business during hours of darkness or otherwise, and that that's a zero bail, meaning that we book and process identify you, and then your arraignment date is three to four months from now.
[00:01:18.439 --> 00:01:27.746]  Klaus Schwab trained and strategically placed the minions of the Great Reset Cancer within the policy machine of democracies worldwide.
[00:01:28.606 --> 00:01:52.856]  It's really an incredible opportunity to join a community of 800 leaders from over 80 countries all over the world who work in a number of different situations, whether it's in the news or in the media or with large corporates or entrepreneurs and startups who focus on public policy, but really going a lot deeper, understanding the key issues that plague society today, the real potential for reform.
[00:01:53.596 --> 00:02:01.003]  The World Economic Forum's Young Global Leaders Program graduates include, among them, French President Emmanuel Macron.
[00:02:01.023 --> 00:02:11.654]  The economy of tomorrow is going to have to be an economy that thinks about innovation and humanity, and it's going to have to build competitiveness.
[00:02:12.354 --> 00:02:35.336]  With the climate challenge, reducing CO2 emissions, adapting our societies, the biodiversity agenda, so it's an economy that will have to be more resilient, that will be better organized, and will have to be including these elements of resistance in the supply chains.
[00:02:35.476 --> 00:02:38.879]   New Zealand Prime Minister Jacinda Ardern That's why I've said this.
[00:02:38.899 --> 00:02:41.400]  There's not going to be an end point to this vaccination program.
[00:02:41.700 --> 00:02:42.241]  And U.S.
[00:02:42.301 --> 00:02:45.122]  Secretary of Transportation Pete Buttigieg.
[00:02:45.303 --> 00:02:46.663]  I think that shows a lot of promise.
[00:02:46.743 --> 00:02:53.027]  If we believe in that so-called user pays principle, the idea that part of how we pay for roads is you pay based on how much you drive.
[00:02:53.508 --> 00:02:55.509]  The gas tax used to be the obvious way to do it.
[00:02:55.589 --> 00:02:56.429]  It's not anymore.
[00:02:56.509 --> 00:03:01.873]  So a so-called vehicle miles traveled tax or mileage tax, whatever you want to call it, could be a way to do it.
[00:03:02.313 --> 00:03:04.895]  This tax would be on top of what you already pay.
[00:03:05.456 --> 00:03:11.821]  Plus, you know, for every Joe bag of donuts that wants to take a road trip across America, they're now paying for that road trip.
[00:03:12.462 --> 00:03:14.544]  Does this pay for the infrastructure?
[00:03:14.704 --> 00:03:18.247]  And how is this fair for someone in your line of work?
[00:03:18.607 --> 00:03:19.608]  I don't think it's fair at all.
[00:03:19.808 --> 00:03:22.351]  I mean, we're the ones out here delivering goods and supplying America.
[00:03:23.011 --> 00:03:24.873]  Like I said, we pay enough tax already.
[00:03:25.333 --> 00:03:26.975]  Thousands of dollars a year per truck.
[00:03:27.515 --> 00:03:36.862]  All of them implementing the directives of the Great Reset over the legislative will of their populace and their respective constitutional frameworks.
[00:03:37.283 --> 00:03:44.448]  I think there's this debate going on right now, raging over whether you can be both patriotic and a global citizen.
[00:03:44.849 --> 00:03:55.397]  So yes, I believe that you can be both proud of who you are and where you're from, but some of that pride can come from what you do as an international citizen.
[00:03:55.717 --> 00:04:12.422]  Klaus Schwab's Young Global Leaders Mission Statement reads, Klaus Schwab, founder and executive chairman of the World Economic Forum, created the Forum of Young Global Leaders in 2004 to help the world meet increasingly complex and interdependent problems.
[00:04:12.682 --> 00:04:24.945]  His vision was to create a proactive multi-stakeholder community of the world's next-generation leaders to inform and influence decision-making and mobilize transformation.
[00:04:25.165 --> 00:04:51.606]  Whether anyone asked for it or not, Schwab's megalomaniacal Fourth Industrial Revolution nightmarish vision is well underway, inhabiting positions within the democracies that were once duly elected seats of power, undermining national sovereignty and the future of individual freedom, a quiet declaration of war carried out by the infiltration of his forum of young global leaders.
[00:04:52.046 --> 00:04:53.227]  John Bowne reporting.
[00:04:53.974 --> 00:04:54.754]  Folks, we're live.
[00:04:54.574 --> 00:04:56.574]  get ready for one hell of a transmission.
[00:04:56.574 --> 00:05:05.574]  It's Sunday, December 12th.
[00:05:05.897 --> 00:05:06.637]  The year is 2021.
[00:05:08.558 --> 00:05:13.359]  And we're always covering huge, epic, frontline information.
[00:05:13.419 --> 00:05:22.601]  But today, there has just been a crescendo, a cascade, a landslide of truth against our enemies.
[00:05:23.246 --> 00:05:36.514]  We have had victory after victory after victory in the last week against their race crime hoaxes, against their poison injections, against their pedophile rings, and so much more.
[00:05:37.714 --> 00:05:45.239]  Again, thank you, ladies and gentlemen, for joining us on this live Sunday broadcast.
[00:05:47.720 --> 00:05:51.362]  We're going to destroy the whole COVID-19 martial law medical attorney takeover.
[00:05:51.402 --> 00:05:52.903]  That's coming up next hour.
[00:05:56.653 --> 00:06:08.784]  We're going to get to the latest coming up at the bottom of the hour on Biden blaming tornadoes that have always hit states and always caused carnage at this level.
[00:06:09.204 --> 00:06:09.885]  Hundreds of times.
[00:06:09.905 --> 00:06:10.585]  It's still terrible.
[00:06:11.526 --> 00:06:16.150]  And blaming it on global warming, which again, they admit now is a global warming.
[00:06:16.190 --> 00:06:17.732]  It's just climate change.
[00:06:18.670 --> 00:06:30.699]  And notice, when we talk about government weather systems that don't completely control the weather, but they admit can cause floods, cause tornadoes, cause hurricanes, cause... I mean, that was certified, declassified in the late 90s by the Pentagon.
[00:06:31.900 --> 00:06:40.326]  They go, oh no, that doesn't exist, even though it does, but then they blame you and your car, or a coal mine for what happened, with no proof.
[00:06:40.806 --> 00:06:44.089]  Whereas we actually have weather weapon programs and things going on.
[00:06:45.017 --> 00:06:50.919]  So we'll hear from the former director of the CIA admitting they have weather weapons coming up at the bottom of the hour.
[00:06:51.359 --> 00:07:05.605]  But before I hit all of that, ladies and gentlemen, you talk about the wheels coming off the globalist operation, you talk about the engine blowing up, you talk about the house burning down.
[00:07:06.905 --> 00:07:11.347]  The globalists know their corrupt system is coming to an end.
[00:07:13.834 --> 00:07:24.238]  And they're trying to take capitalism with it, when it's not capitalism that caused this, but crony capitalism and corrupt financiers working with authoritarian regimes to create monopolies.
