[00:00:00.134 --> 00:00:00.955]  This is our chance
[00:00:20.636 --> 00:00:21.877]  By the way, I totally agree with you.
[00:00:21.897 --> 00:00:23.038]  I meant to start the show today.
[00:00:43.857 --> 00:00:44.698]  Just be safe when you go out there.
[00:00:44.718 --> 00:00:44.978]  Do show up.
[00:00:44.998 --> 00:00:45.579]  Show up in large numbers.
[00:00:45.599 --> 00:00:47.160]  We gotta show that we have the numbers.
[00:00:47.180 --> 00:00:48.081]  Cause we do have the numbers.
[00:01:04.590 --> 00:01:09.775]  This election is completely fraudulent and people need to know how we feel about that.
[00:01:10.195 --> 00:01:17.901]  From the front lines of the Information War, it's Alex Jones.
[00:01:23.606 --> 00:01:30.331]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:01:30.551 --> 00:01:32.633]  You better believe you've got one!
[00:01:34.827 --> 00:01:39.924]  From the front lines of the Information War, it's Alex Jones.
[00:01:58.317 --> 00:02:06.608]  Number one on Karl Marx's ten planks is the abolition of property and land and application of all rents of land to public purpose.
[00:02:07.008 --> 00:02:12.496]  The Antifa BLM autonomous zone known as CHAZ or CHOP was just the beginning.
[00:02:13.101 --> 00:02:17.103]  Autonomous zones have been used as a protest tactic throughout history.
[00:02:18.083 --> 00:02:26.386]  More than a century ago, in 1871, the Paris Commune took place in protest of Napoleon's unpopular leadership in France.
[00:02:26.907 --> 00:02:39.352]  The people of Free Derry in Northern Ireland also used this method in 1969 when they banded together with demands of ending discrimination against the Irish Catholic community.
[00:02:40.032 --> 00:02:46.454]  Recently in Portland, Oregon, Antifa occupied a house that had fallen behind on its mortgage and had been sold.
[00:02:46.674 --> 00:02:59.237]  Antifa argued that the black family would now be homeless and proceeded to occupy the house and the surrounding area, disregarding the fact, in order to protect the narrative, that the family owned a second home.
[00:02:59.465 --> 00:03:08.495]  We reported on Tuesday when Mayor Ted Wheeler called the ordeal an illegal occupation and authorized police to use all lawful means to end it.
[00:03:08.975 --> 00:03:17.024]  However, Wheeler said today the city acted as a liaison between the Kenney family and the current property owner to reach an agreement.
[00:03:17.304 --> 00:03:31.431]  This disregard of property rights and the weak politicians and police allowing it to happen has opened the door for a sect known as the Moorish Nationals, who claim to have discovered America before Christopher Columbus.
[00:03:31.731 --> 00:03:33.612]  Lamont Butler, a.k.a.
[00:03:33.772 --> 00:03:37.174]  Lamont Maurice L., claimed the mansion for himself.
[00:03:37.694 --> 00:03:43.037]  He even provided documents issued by the so-called Moorish National Republic to back it up.
[00:03:43.177 --> 00:03:53.546]  In North Carolina, a couple who identified with the group moved into a multi-million dollar home for sale, holding a quitclaim deed and barricaded themselves inside.
[00:03:53.906 --> 00:03:57.289]  Their contentious arrest for trespassing rattled neighbors.
[00:03:57.669 --> 00:04:01.412]  It's a pretty bold move to just move in and pretend you're living there.
[00:04:01.572 --> 00:04:10.659]  Outside of Tacoma, Washington, a group known as the Tacoma Housing Now occupied a struggling family-owned travel lodge and refused to pay.
[00:04:11.480 --> 00:04:16.945]  Under the law, the occupation of 16 rooms at this motel in Fife is considered trespassing.
[00:04:17.686 --> 00:04:25.112]  Activists with Tacoma Housing Now say the bigger crime would be forcing these people, many of whom have chronic conditions, back on the street.
[00:04:25.693 --> 00:04:33.520]  One single night in freezing temperatures could potentially kill numerous members that we have living here.
[00:04:34.000 --> 00:04:39.746]  Activists got their first chance to talk face-to-face with the city manager, who says he wants to keep the dialogue going.
[00:04:39.986 --> 00:04:49.274]  We have meetings in the coming days and hours to discuss what can we do to get these folks that are staying here, that have come off the streets, the help they need.
[00:04:49.374 --> 00:04:57.462]  The operator says he may have to shut down and lay off 10 workers, adding that repeated protests in the parking lot have driven away other paying customers.
[00:04:57.622 --> 00:05:00.665]  We want to work within the system if the system wants to work with us.
[00:05:01.086 --> 00:05:03.729]  But it has to be in advancing their conditions.
[00:05:04.249 --> 00:05:07.413]  And business as usual is not going to cut it.
[00:05:08.118 --> 00:05:18.066]  After the family begged for help from the authorities and saw no other option than to shut down, the police finally busted in on the squatters and hauled them away in zip ties.
[00:05:18.366 --> 00:05:32.958]  And as the liberal Northwest burns with the cries of anti-American lunacy, Portland Mayor Ted Wheeler attempts to grow a pair, calling on a depleted police force to fight back after months of caving to the mob's demands.
[00:05:33.379 --> 00:05:35.541]  Lawlessness and anarchy.
[00:05:36.380 --> 00:05:41.805]  Come at great expense and with great risk to the future of our community.
[00:05:41.885 --> 00:05:51.773]  It's time to push back harder against those who are set on destroying our community and to take more risks in fighting lawlessness.
[00:05:52.453 --> 00:06:00.760]  Legislatures nationwide need to innovate with laws protecting the rights of property owners because America is under attack.
[00:06:01.141 --> 00:06:02.382]  John Bowne reporting.
[00:06:03.624 --> 00:06:05.985]  Ladies and gentlemen, it's January 4th, 2021.
[00:06:06.825 --> 00:06:07.505]  Stay with us.
[00:06:08.185 --> 00:06:09.486]  You are non-essential.
[00:06:10.086 --> 00:06:12.967]  You will own nothing, you will have nothing, and you will submit.
[00:06:13.967 --> 00:06:19.069]  The classic maxim of authoritarians is now here.
[00:06:21.029 --> 00:06:21.789]  On steroids.
[00:06:22.089 --> 00:06:22.670]  In your face.
[00:06:22.890 --> 00:06:23.490]  It is the year 2021.
[00:06:23.530 --> 00:06:23.870]  January 4th.
[00:06:23.910 --> 00:06:25.330]  The calm before the storm.
[00:06:31.656 --> 00:06:33.838]  You walk into this room at your own risk.
[00:06:34.618 --> 00:06:35.979]  Because it leads to the future.
[00:06:36.780 --> 00:06:39.061]  Not a future that will be, but one that might be.
[00:06:40.222 --> 00:06:41.303]  This is not a new world.
[00:06:42.464 --> 00:06:45.766]  It is simply an extension of what began in the old one.
[00:06:46.887 --> 00:06:54.333]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:06:55.296 --> 00:07:02.218]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:07:03.338 --> 00:07:07.980]  But like every one of the super states that preceded it, it has one iron rule.
[00:07:09.060 --> 00:07:11.341]  Logic is an enemy and truth is a menace.
[00:07:16.663 --> 00:07:18.503]  This is Mr. Romney Wordsworth.
[00:07:19.403 --> 00:07:20.404]  In his last 48 hours on Earth,
[00:07:22.099 --> 00:07:25.041]  He's a citizen of the state, but will soon have to be eliminated.
[00:07:26.062 --> 00:07:27.603]  Because he is built out of flesh.
[00:07:28.524 --> 00:07:29.625]  And because he has a mind.
[00:07:30.826 --> 00:07:35.490]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[00:07:54.324 --> 00:07:57.565]  I just want to say this up front because I don't get a chance to say it enough.
[00:07:58.546 --> 00:08:01.127]  It's like that Elvis song, you were always on my mind.
[00:08:04.948 --> 00:08:05.988]  I love you guys so much.
[00:08:06.749 --> 00:08:07.049]  All of you.
[00:08:07.089 --> 00:08:08.169]  We've come so far together.
[00:08:08.589 --> 00:08:10.050]  We've been proven right about world government.
[00:08:10.730 --> 00:08:15.912]  We've been proven right about its aim of population annihilation.
[00:08:18.192 --> 00:08:24.257]  And to fight together against this evil has been a real honor and a real pleasure, and I intend to live another 100 years, hopefully.
[00:08:24.417 --> 00:08:25.138]  Another 50 years.
[00:08:27.119 --> 00:08:28.840]  With life extension, who knows?
[00:08:30.462 --> 00:08:31.122]  But I know this.
[00:08:33.064 --> 00:08:37.987]  We've put up a hell of a fight so far, and we've only begun to fight, quote, the founder of the U.S.
[00:08:38.028 --> 00:08:39.028]  Navy, John Paul Jones.
[00:08:40.630 --> 00:08:46.014]  And when I look at the evil and the corruption and the absolute weakness of our enemies,
[00:08:47.742 --> 00:08:48.823]  We've sold out to Satan.
[00:08:49.783 --> 00:09:02.651]  I just thank God every millisecond in my heart and my soul and my mind that because of my parents and because of where I was born and because of the events that happened in my life that the devil didn't get me and that I'm with Christ.
[00:09:03.132 --> 00:09:06.974]  That's really what matters at the end of the day is where our soul is pointed.
[00:09:08.755 --> 00:09:14.359]  Now we're going into judgment and things are gonna be spectacularly horrible in many ways here on out.
[00:09:15.839 --> 00:09:22.784]  Even if we fight back and try to reverse it, that will lessen how bad things get, but it's still a terrible road we're going down.
[00:09:23.264 --> 00:09:24.665]  It does go from bad to worse.
[00:09:25.466 --> 00:09:27.047]  And I don't say that to demoralize you.
[00:09:27.087 --> 00:09:30.429]  I say that so you can get ready and understand the facts of the matter.
[00:09:32.070 --> 00:09:35.873]  The secret technologies are at least 50 years advanced what we even know about.
[00:09:36.693 --> 00:09:41.697]  I've been able to project through their different propaganda and programming and their own preconditioning
[00:09:44.482 --> 00:09:48.625]  Predictive programming systems to know about where they're at and what they've been able to do.
[00:09:51.587 --> 00:09:52.668]  And the bottom line is this.
[00:09:53.749 --> 00:10:04.977]  They've got life extension technology now where they can cure any cancer, where they can regenerate brain cells, where they can basically make it where you never die.
[00:10:07.238 --> 00:10:09.260]  Now you're technically not the same person.
[00:10:11.087 --> 00:10:18.972]  You're an augmented fusion of what you were and what's been added to you, and you really do lose your connection to God and your soul in that process.
[00:10:19.352 --> 00:10:26.977]  But that is going to be the mark of the beast, is people selling out to the system and selling out their humanity for life extension.
[00:10:28.178 --> 00:10:32.321]  And when they have the rise of the new transhuman, super homo sapien sapien,
[00:10:33.257 --> 00:10:55.650]  When we criticize that they're using clone body parts, when we criticize that they are giving rise to all sorts of mutations and all sorts of diseases for the rest of us, that will be the ultimate sin, the ultimate crime, is criticizing the beast system that is going to have all these wonders and all this incredible technology for those that sell out to it.
[00:10:56.937 --> 00:11:04.421]  But all of it comes with back doors, all of it comes with losing your humanity, all of it comes with the price of spiritual and genetic bondage.
[00:11:06.982 --> 00:11:08.763]  Now, I'm not going to talk big picture here today.
[00:11:08.783 --> 00:11:10.484]  I just wanted to get this out of the way up front.
[00:11:11.244 --> 00:11:21.610]  And then I really wanted to set the table here because what I'm going to cover was already in John Hopkins' report on big studies in September.
[00:11:23.031 --> 00:11:24.431]  That guy's reprinting those studies, please.
[00:11:24.451 --> 00:11:25.272]  I forgot to have them in the stack.
[00:11:26.596 --> 00:11:34.144]  The article about several studies that year-to-date by mid-September, there were about the same amount of deaths in 2020 as there were in 2019.
[00:11:34.644 --> 00:11:36.986]  The media came out with snubs and says, well, that's discredited.
[00:11:37.287 --> 00:11:39.149]  It doesn't have the last three months of the year.
[00:11:41.111 --> 00:11:43.473]  And so they pulled the study.
[00:11:43.553 --> 00:11:45.995]  Well, I went to the CDC's own website this morning.
[00:11:46.792 --> 00:11:53.294]  And the crew did, and because we saw articles going around online saying that we had about the same number as we did last year.
[00:11:53.654 --> 00:11:59.515]  And lo and behold, actually, it's just about the exact same number with updated numbers that just came in.
[00:12:00.676 --> 00:12:07.077]  Now, how big a deal is that, that the same amount of people died, roughly, in 2019 as died in 2020?
