[00:00:00.289 --> 00:00:01.090]  Thursday Live!
[00:00:01.270 --> 00:00:05.633]  Alien life forms are secretly being created in labs across the world.
[00:00:08.555 --> 00:00:14.418]  Every time I put a headline out like that, the media bites and they make a joke.
[00:00:14.459 --> 00:00:16.220]  They go, Jones claims there's aliens.
[00:00:16.920 --> 00:00:17.481]  Here's the deal.
[00:00:17.721 --> 00:00:20.923]  I don't know if they're getting advised by aliens, the devil, whatever.
[00:00:20.943 --> 00:00:23.985]  That's just a hypothesis because they're destroying humanity.
[00:00:24.005 --> 00:00:24.565]  They're crazy.
[00:00:24.605 --> 00:00:25.746]  They act like they've got a gun to their head.
[00:00:25.926 --> 00:00:26.687]  They're not stopping.
[00:00:27.287 --> 00:00:28.388]  They're very organized.
[00:00:29.736 --> 00:00:33.158]  Or they're just super evil and want to become God, because they say we're going to merge the machines.
[00:00:33.399 --> 00:00:34.319]  We're going to become God.
[00:00:34.339 --> 00:00:35.780]  We're going to rewrite the genetics of the planet.
[00:00:36.280 --> 00:00:37.121]  I am fired up.
[00:00:37.521 --> 00:00:38.802]  I am blessed and honored to be here.
[00:00:38.982 --> 00:00:42.605]  I am Alex Emmerich Jones, and I love you all.
[00:00:42.885 --> 00:00:51.991]  And it is destiny that we are here together now in resistance to this anti-charity that, like all other charities, will fail.
[00:00:52.251 --> 00:00:56.634]  But this is the great challenge before we go to the next
[00:00:56.874 --> 00:00:57.915]  LEVEL!
[00:00:58.255 --> 00:01:03.461]  From the front lines of the Information War, it's Alex Jones!
[00:01:22.330 --> 00:01:23.091]  InfoWars.
[00:01:23.451 --> 00:01:25.072]  Tomorrow's news today.
[00:01:25.292 --> 00:01:34.299]  Consider a ship like the USS Theodore Roosevelt hobbled last year when 1,271 crew members tested positive for the coronavirus.
[00:01:35.020 --> 00:01:42.185]  What if everyone on board had their health monitored with this subdermal implant now in late stage testing?
[00:01:42.886 --> 00:01:52.033]  It's not some dreaded government microchip to track your every move, but a tissue like gel engineered to continuously test your blood
[00:01:52.613 --> 00:01:53.774]  It's a sensor.
[00:01:54.074 --> 00:01:55.835]  This tiny green thing in there?
[00:01:55.875 --> 00:01:57.296]  That tiny green thing in there.
[00:01:57.636 --> 00:02:09.323]  You put it underneath your skin and what that tells you is that there are chemical reactions going on inside the body and that signal means you're gonna have symptoms tomorrow.
[00:02:09.723 --> 00:02:09.983]  Wow.
[00:02:10.163 --> 00:02:12.504]  Everything is coming into crystal clear focus now.
[00:02:13.305 --> 00:02:14.866]  The New World Order's designs for us.
[00:02:16.360 --> 00:02:19.382]  Their long-planned war has now gone hot.
[00:02:19.862 --> 00:02:26.766]  But like every science fiction comic book movie you see, how do people become superheroes?
[00:02:26.846 --> 00:02:34.310]  Oh, they fall in toxic waste, or they get bit by a spider that's radioactive, or they get a deadly vaccine, and they mutate and turn into a superhuman.
[00:02:35.451 --> 00:02:37.692]  Most people won't turn into superhumans, they'll die.
[00:02:38.753 --> 00:02:42.455]  But out of this mass manipulation, this mass mutation program,
[00:02:43.854 --> 00:02:51.141]  They know that they get some really bizarre mutations in cows, in pigs, in rats, in guinea pigs, in sheep.
[00:02:52.422 --> 00:02:54.124]  And they've also now done it and shot it at humans.
[00:02:54.184 --> 00:03:06.055]  And so this is a mass experiment on us to cause mass mutations that can then be studied by the globalists to get life extension technologies, to find the Lazarus gene, to find the immortal cell lines.
[00:03:06.095 --> 00:03:07.556]  Those are all real things I just mentioned.
[00:03:08.413 --> 00:03:11.317]  Chinese scientists create GMO super dogs.
[00:03:11.958 --> 00:03:20.310]  A group of Chinese scientists say they are the first researchers to have used a breakthrough gene editing technology to successfully double the muscle mass of dogs.
[00:03:20.831 --> 00:03:24.737]  For this new research, the scientists use 65 beagle dog embryos.
[00:03:25.037 --> 00:03:29.841]  Focusing in on genes encoded for myelstatin, a protein that inhibits muscle growth.
[00:03:30.361 --> 00:03:37.828]  By injecting the enzyme complex CRISPR-Cas9 into the embryos, the objective was to knock out the myelstatin genes in the dog's DNA.
[00:03:38.308 --> 00:03:42.251]  With myelstatin out of the way, the Beagles' muscles can grow to new extremes.
[00:03:42.812 --> 00:03:51.078]  In 2018, Hei Jun-Kui announced the birth of the world's first CRISPR-modified babies, twin girls known only as Lulu and Nana.
[00:03:51.098 --> 00:03:52.640]  I understand the man walked.
[00:03:59.570 --> 00:04:00.411]  There was outrage.
[00:04:01.131 --> 00:04:03.212]  In a chilling op-ed, the U.S.
[00:04:03.392 --> 00:04:09.076]  Intel chief has warned that China could be breeding genetically modified soldiers.
[00:04:09.336 --> 00:04:20.222]  And the fact that they're trying to use gene editing tools to change the nature of human beings is not surprising.
[00:04:20.822 --> 00:04:22.442]  Because this is who they really are.
[00:04:22.662 --> 00:04:24.983]  And we had that similar experience, did we not?
[00:04:26.423 --> 00:04:32.745]  With Nazism and that authoritarian regime trying to conduct human experiments to do the very same thing.
[00:04:33.625 --> 00:04:39.486]  This globalist runaway, breakaway civilization, the sign of a takeover, has been beta testing for decades.
[00:04:39.526 --> 00:04:40.426]  Now they've gone live.
[00:04:41.747 --> 00:04:43.087]  And this is definitely the big one.
[00:04:44.485 --> 00:04:53.010]  I knew they had some plans to release bioweapons, scare us, lock us down for a while, and then incrementally release bioweapons that were more deadly to slowly call our numbers.
[00:04:53.590 --> 00:04:58.693]  They've decided to just go all the way with this, with delayed kill operations.
[00:04:59.654 --> 00:05:06.578]  And now, again, the former chief scientist at Pfizer, head of vaccines, head of allergy development,
