[00:00:00.000 --> 00:00:20.000]  [MUSIC]
[00:00:20.275 --> 00:00:21.716]  It's time for the truth to come out.
[00:00:22.676 --> 00:00:28.720]  It's time for the American people to demand a real January 6th investigation.
[00:00:29.581 --> 00:00:38.526]  Because, if you look into what really happened that day, it was a deep state operation that almost triggered an extremely violent event at the Capitol.
[00:00:39.266 --> 00:00:45.578]   The terrible events of that day, as bad as they were, were microscopic compared to what the deep state was
[00:00:45.578 --> 00:00:47.098]  actually planning.
[00:00:47.098 --> 00:00:53.177]   And that's why they're fighting so hard to run this fake committee, this kangaroo court.
[00:00:53.177 --> 00:00:59.417]   That's why they are making so much noise about the general public being terrorists,
[00:00:59.417 --> 00:01:05.978]   the American people not being trustworthy, and moms at PTA meetings being the number one terror
[00:01:05.978 --> 00:01:10.538]   threat. It's because they know the truth about January 6th comes out, which is coming out
[00:01:10.538 --> 00:01:14.858]   thanks to Tucker Carlson and others. Their entire deep state is going down
[00:01:14.858 --> 00:01:19.418]   because just like Russiagate, January 6th was their operation.
[00:01:19.418 --> 00:01:33.657]   The January 6th witch hunt committee makes Joe McCarthy blush from his grave.
[00:01:33.897 --> 00:01:44.863]  It is a complete and absolute fishing expedition trying to demonize populist Americans that want our country to be sovereign and want to put our nation first.
[00:01:45.664 --> 00:01:49.566]  It is 21st century mass persecution.
[00:01:50.663 --> 00:01:59.327]  Now, as you've probably seen on the news, it was the top story yesterday, not the man that ran over 40-plus people killing five because they were white, in Wisconsin.
[00:01:59.887 --> 00:02:05.410]  No, ladies and gentlemen, the story was Alex Jones and Roger Stone subpoenaed by the January 6th committee.
[00:02:05.930 --> 00:02:06.931]  Here's the problem with that.
[00:02:07.651 --> 00:02:12.793]  They will claim I lie about something to the committee, which isn't even true.
[00:02:13.333 --> 00:02:13.874]  I wouldn't lie.
[00:02:15.060 --> 00:02:20.006]  And then they will have the FBI and the Justice Department indict me for lying to Congress.
[00:02:20.046 --> 00:02:20.666]  I'm not stupid.
[00:02:21.347 --> 00:02:23.609]  So, they've been asking why other people weren't?
[00:02:24.380 --> 00:02:31.605]  I'm 47 years old, don't have any felonies, any of those issues, I'm a good person, a family man, and I don't intend on spending the rest of my life in prison.
[00:02:31.645 --> 00:02:32.445]  No sir!
[00:02:32.325 --> 00:02:35.845]   that have an axe to grind and have been bragging everywhere they want to put me in prison.
[00:02:35.845 --> 00:02:36.845]  Okay?
[00:02:36.845 --> 00:02:41.525]   I'm 47 years old, don't have any felonies, any of those issues, I'm a good person, a
[00:02:41.525 --> 00:02:45.445]   family man, and I don't intend on spending the rest of my life in prison.
[00:02:45.445 --> 00:02:46.445]  No sir.
[00:02:46.445 --> 00:02:48.325]  Don't want to have that happen.
[00:02:48.325 --> 00:02:53.485]   And so, I don't want to testify before them because they will lie and say that I lied.
[00:02:53.720 --> 00:02:55.402]  Here's the other problem though.
[00:02:55.422 --> 00:02:57.583]  I want a January 6th investigation.
[00:02:58.204 --> 00:03:02.843]   I want to know why the National Guard were refused a President Trump when he asked for
[00:03:02.843 --> 00:03:03.843]  him on record.
[00:03:03.843 --> 00:03:07.123]   And then later the head of the National Guard in DC lied and said that Trump hadn't asked
[00:03:07.123 --> 00:03:08.563]  or that he couldn't supply him.
[00:03:08.563 --> 00:03:13.444]   And just last week admitted that Trump indeed did ask for him and was refused.
[00:03:13.444 --> 00:03:17.923]   I want to know why half the Capitol Police were sent for quote traffic control by DC
[00:03:17.923 --> 00:03:19.204]  that controls them that day.
[00:03:19.204 --> 00:03:20.923]  The Capitol had half the police they had.
[00:03:20.923 --> 00:03:25.364]   I want to know who ordered the stand down of the police and let the people in the building.
[00:03:25.364 --> 00:03:30.524]   I want to know about the FBI infiltrating groups and the federal documents that have
