[00:00:00.000 --> 00:00:10.000]  [BLANK_AUDIO]
[00:00:10.000 --> 00:00:12.480]  requiring you guys to be vaccinated.
[00:00:12.487 --> 00:00:14.268]  All the nurses and doctors from FEMA?
[00:00:14.648 --> 00:00:16.109]  She goes, oh, no, no, no, it's a choice.
[00:00:17.930 --> 00:00:19.411]  I said, I'm sorry, I'm confused.
[00:00:20.992 --> 00:00:33.039]  I said, you're going to do the same job in the same building with the same patients treating the same illness.
[00:00:37.973 --> 00:00:46.909]  As the doctors and the nurses who just were employed at this hospital and left because they were being required by their employer to be vaccinated.
[00:00:47.529 --> 00:00:50.713]  Infowars is almost always way ahead of the curve.
[00:00:50.753 --> 00:00:52.555]  We are truly next year's news today.
[00:00:53.416 --> 00:00:55.578]  And we haven't dropped the ball on this one either.
[00:00:55.738 --> 00:00:58.361]  We're amongst the very first to be reporting it.
[00:00:59.122 --> 00:01:08.713]  But the fact that this information has been going on for months and that we are just now discovering it shows just how diabolical this globalist takeover is.
[00:01:09.690 --> 00:01:35.428]  We know, even USA Today admits it, that $53,000 extra is given to every hospital or medical group that intubates the patient, incentivizing them to send people home when they're first sick, to not give them antibiotics, not give them steroids, not give them ivermectin or hydroxychloroquine, so they become deathly ill, they come back, they put them on a ventilator, and then 92% of the time they end up dying.
[00:01:36.229 --> 00:01:38.718]  That's the CDC's, the federal government's own numbers.
[00:01:39.300 --> 00:01:42.771]  You've seen all the incentives to not give care and basically kill people.
[00:01:44.087 --> 00:01:51.952]  Well, why do you think they've been locking up all the hospitals and all of the nursing homes and bringing COVID patients in to get people sick and make them die, but not letting families in?
[00:01:52.512 --> 00:01:55.734]  Because this is all a eugenics depopulation operation.
[00:01:56.234 --> 00:02:01.217]  Well, now one of the last big pieces of the puzzle just fell into place.
[00:02:02.238 --> 00:02:07.181]  And our own Christy Lee interviewed some of the witnesses yesterday who've experienced it personally.
[00:02:07.741 --> 00:02:10.403]  And I looked up the federal guidelines and lo and behold, it's there.
[00:02:11.323 --> 00:02:16.446]  There is not even a regulation or a law making federal employees take the vaccines.
[00:02:17.047 --> 00:02:18.147]  It's all a giant hoax.
[00:02:18.167 --> 00:02:20.068]  There's not a law for the general public as well.
[00:02:20.669 --> 00:02:38.580]  And so when FEMA workers are coming in to take over the hospitals, not because they're overwhelmed with COVID, but because hundreds of thousands of nurses have quit over the illegal mandate, they are telling the nurses and doctors they're replacing that they didn't take the shot and it's their option, their choice.
[00:02:39.540 --> 00:02:41.822]  That is absolutely incredible.
[00:02:41.882 --> 00:02:45.665]  It's right there in the fine print, in the paperwork on the CDC website.
[00:02:46.086 --> 00:02:46.906]  So think about that.
[00:02:46.967 --> 00:03:01.481]   They use the hospital groups, the corporations, to fire everybody outside of law, claiming they're following a federal law, and then the hospital groups Get the billions of dollars of emergency funding when they say that the hospitals are overwhelmed because of COVID patients.
[00:03:01.901 --> 00:03:03.363]  They put that law in place last year.
[00:03:03.683 --> 00:03:05.786]  Over $100 billion is sitting there waiting to be spent.
[00:03:06.366 --> 00:03:14.015]  And then they create the shortfall themselves by running out all the regular nurses and doctors and then bring in FEMA, which again begins to federalize.
[00:03:14.887 --> 00:03:21.592]  Not just what you've seen with the CDC trying to take over housing, but now the CDC taking over the hospital chains themselves.
[00:03:22.132 --> 00:03:24.174]  True fascism, ladies and gentlemen.
[00:03:24.194 --> 00:03:27.536]  So this is massive, massive, massive news.
[00:03:27.936 --> 00:03:32.800]  And the full report and the full interview is in the War Room from Friday, October 15th.
[00:03:34.661 --> 00:03:36.523]  2021 on Band.Video.
[00:03:36.543 --> 00:03:40.087]  We'll put the link in the description here of this emergency transmission.
[00:03:40.387 --> 00:03:44.911]  And here, ladies and gentlemen, is the Saturday evening emergency transmission in full.
[00:03:45.212 --> 00:03:46.153]  Spread this link now.
[00:03:46.213 --> 00:03:59.093]  That's how we fight back.
[00:03:59.995 --> 00:04:11.202]  While the people of Canada ceremoniously came together to condemn the CCP's Uyghur genocide, Trudeau's cabinet sent a single member on a Zoom call to officially abstain.
[00:04:12.202 --> 00:04:27.108]  When the President of Taiwan was set to be honored by the Halifax International Security Forum for standing strong against China's relentless pressure, the Trudeau administration threatened to end their funding if they went through with it.
[00:04:28.044 --> 00:04:37.751]  Trudeau invited the Communist Chinese military to conduct winter training in Canada in 2019, less than 200 miles from the U.S.
[00:04:37.831 --> 00:04:39.332]  border in upstate New York.
[00:04:39.893 --> 00:04:42.795]  The head of the Canadian military caught wind of it from the U.S.
[00:04:42.855 --> 00:04:49.580]  Pentagon and called it off, which upset Trudeau, whose chief concern was offending the CCP.
[00:04:51.320 --> 00:04:55.443]  Under Trudeau, Canada has been a big player in the COVID hoax.
[00:04:56.063 --> 00:05:20.700]  In early 2017, billionaire Barry Sherman, a huge supporter of Trudeau's Liberal Party, was under investigation for shady deals with Trudeau that could have resulted in his company Apotex, the world's largest producer of hydroxychloroquine and Canada's biggest pharmaceutical company, being banned for five years from lobbying the government.
[00:05:21.480 --> 00:05:31.068]  Later that year, Sherman and his wife were found hung from railings around their indoor swimming pool, with markings from being beaten and tied by their wrists.
[00:05:32.156 --> 00:05:37.119]  It was officially ruled a suicide, and along with Sherman, the probe died.
[00:05:37.840 --> 00:05:46.645]  Apotex was able to continue doing business with Trudeau's government, and went on to provide dangerous drugs as part of their ventilator protocol.
[00:05:47.446 --> 00:05:55.431]  And it was at the University of British Columbia where the lipid nanoparticles that make the mRNA shots possible were developed.
[00:05:57.011 --> 00:05:59.133]  Trudeau is a natural-born tyrant.
[00:05:59.933 --> 00:06:17.027]  After less than 30,000 deaths, 0.07% of the population, Justin Trudeau has announced that all federal employees, and everyone 12 or older traveling on planes, trains, and cruise ships, need to be fully vaccinated.
[00:06:17.808 --> 00:06:20.449]  Testing negative will no longer be an option.
[00:06:20.709 --> 00:06:22.889]  Testing will no longer be an option.
[00:06:23.629 --> 00:06:30.371]  These travel measures, along with mandatory vaccination for federal employees, are some of the strongest in the world.
[00:06:31.131 --> 00:06:39.313]  Because when it comes to keeping you and your family safe, when it comes to avoiding lockdowns for everyone, this is no time for half measures.
[00:06:39.713 --> 00:06:43.514]  In Ontario, elected representative Rick Nichols refused.
[00:06:43.774 --> 00:06:53.816]  But under no circumstances will I, nor should any Ontarian, be forced or coerced to do something against their will.
[00:06:54.116 --> 00:06:54.876]  And was fired.
[00:06:56.656 --> 00:07:06.078]  Under new health orders in Saskatchewan, the government may now enter into any building on any land without a warrant and seize property.
[00:07:07.168 --> 00:07:08.968]  And they are building isolation centers.
[00:07:09.989 --> 00:07:24.051]  Trudeau's government, like most governments in the West, is dragging their people into a hellish reality of forced experimental drugs and a social credit score to police every movement they make for the rest of their lives.
[00:07:24.531 --> 00:07:27.292]  The same reality coming to you and your family.
[00:07:27.892 --> 00:07:30.252]  So long as humanity does nothing to stop it.
[00:07:31.413 --> 00:07:33.493]  For InfoWars.com, this is Greg Reese.
[00:07:35.899 --> 00:07:43.743]  People ask me all the time, Alex, the last three months or so you've had explosive energy on top of your already very intense level of energy.
[00:07:44.163 --> 00:07:44.683]  What's happening?
[00:07:45.223 --> 00:07:53.427]  Well, it's the things that are happening in the world right now that's got my blood up, but also I've gotten back in the groove of religiously taking three products every single day.
[00:07:53.847 --> 00:07:55.568]  DNA Force Plus, it's back in stock.
[00:07:56.673 --> 00:08:01.978]  Also, X2 Deep Earth Crystal Iodine that's essential for your immune system, your whole body.
[00:08:02.499 --> 00:08:08.344]  And of course, at night time, Down and Out Sleep Aid that makes me have deeper, cleaner, restful sleep.
[00:08:08.724 --> 00:08:13.269]  That again, boosts my immune system and is good for every cell in my body and great for the spirit.
[00:08:13.849 --> 00:08:15.791]  All three of these products are in stock right now.
