[00:00:15.459 --> 00:00:19.622]  InfoWars, the most banned network in the world.
[00:00:20.143 --> 00:00:41.480]  The InfoWars crew came to Washington DC on September 18th because for months the mainstream media, the former deputy director of the FBI and others had said there was going to be just a huge terrorist attack there and that horrible evil racists were coming who supported the Capitol rioters.
[00:00:42.509 --> 00:00:45.472]  What they really supported was due process.
[00:00:46.133 --> 00:00:53.240]  Of the almost 600 people that have been charged, including our own Owen Troyer, almost all of them are completely innocent.
[00:00:53.540 --> 00:00:56.883]  They were waved into the Capitol by the Capitol Police.
[00:00:56.923 --> 00:00:57.744]  That's all on video.
[00:00:57.784 --> 00:01:01.608]  But Owen Troyer didn't even go into the Capitol.
[00:01:02.188 --> 00:01:07.531]  And because he'd been arrested before protesting Nadler peacefully, he refused to get on the bullhorn.
[00:01:07.791 --> 00:01:10.273]  I remember handing him the bullhorn and saying, I'm tired.
[00:01:10.633 --> 00:01:12.154]  Help me get the people not to enter the building.
[00:01:12.594 --> 00:01:14.435]  And he said, I'm not protesting.
[00:01:14.475 --> 00:01:15.095]  I'm not part of this.
[00:01:15.976 --> 00:01:24.281]  So in the arrest warrant for Owen, they show him down the road hours before on Pennsylvania Avenue.
[00:01:25.700 --> 00:01:26.880]  Telling everybody to be peaceful.
[00:01:27.101 --> 00:01:31.762]  So this is where we are in America where someone has been arrested.
[00:01:31.862 --> 00:01:32.883]  Someone has been charged.
[00:01:32.903 --> 00:01:44.707]  They're trying to put him in jail for years when he gave speeches legally on Pennsylvania Avenue and then marched the Capitol with me and tried to stop people going into the building.
[00:01:45.027 --> 00:01:46.447]  But this is bigger than Ellen Schroeder.
[00:01:46.487 --> 00:01:47.508]  It's bigger than Alex Jones.
[00:01:48.288 --> 00:01:49.929]  It's about all of us.
[00:01:50.829 --> 00:01:53.550]  If the system can grab citizens for misdemeanors,
[00:01:54.577 --> 00:01:54.797]  I think?
[00:02:15.014 --> 00:02:15.414]  I'm wrong.
[00:02:15.574 --> 00:02:17.135]  Like they're a POW in Vietnam.
[00:02:17.155 --> 00:02:28.742]  They would shoot down our pilots famously and then torture them for a year, keep them in solitary confinement, and then roll them out on TV to say America's evil, America's fascistic, communism's good, Ho Chi Minh is good.
[00:02:30.022 --> 00:02:31.683]  That's exactly what's happening here.
[00:02:31.743 --> 00:02:35.145]  Solitary confinement is a very, very serious form of torture.
[00:02:35.965 --> 00:02:42.369]  And it's very important to note that even a federal judge has come out and said almost all these charges are unconstitutional.
[00:02:43.337 --> 00:02:46.379]  Some of these people, like Owen, is being charged with entering the Capitol.
[00:02:46.659 --> 00:02:49.160]  They say breaking into the Capitol, not its grounds.
[00:02:49.200 --> 00:02:51.861]  They say the grounds and with force into the Capitol.
[00:02:52.242 --> 00:02:53.122]  And that's just not true.
[00:02:54.143 --> 00:03:02.467]  So again, this is a complete abolition of our Bill of Rights and Constitution.
[00:03:02.607 --> 00:03:04.768]  And I came here with an open heart.
[00:03:05.828 --> 00:03:11.751]  I predicted on air that it would be basically nonviolent, probably a few provocateurs, maybe a fistfight or two of some leftists.
[00:03:11.791 --> 00:03:12.472]  Andy showed up.
[00:03:13.192 --> 00:03:14.592]  But that didn't even happen.
[00:03:15.293 --> 00:03:21.114]  One person got detained, and I notice MSNBC and CNN are on the headline, armed man arrested by police.
[00:03:21.154 --> 00:03:27.215]  Of course, they never corrected that he was an undercover police officer, that one group didn't know who the other group was.
[00:03:27.856 --> 00:03:33.337]  The right hand didn't know what the left hand was doing, and so they detained him but later admitted he was an undercover cop and released him.
[00:03:34.077 --> 00:03:37.438]  So, we were told that if conservatives or nationalists
[00:03:38.098 --> 00:03:39.139]  Go out and protest.
[00:03:39.159 --> 00:03:41.321]  You're going to see incredible violence.
[00:03:41.341 --> 00:03:48.148]  You're going to see all hell break loose that these people were coming to carry out a quote, new insurrection.
[00:03:48.728 --> 00:03:58.517]  And the media goes on to say that the million people that showed up to see Trump speak at the Ellipse a couple miles down the road, that they all attacked and entered the Capitol.
[00:03:59.238 --> 00:04:07.462]  When it was less than 1% that actually entered the Capitol and less than 20% of those that actually engaged in any violence and that was wrong.
[00:04:08.223 --> 00:04:17.588]  But you see cases all the time where people burn down buildings and attack cops with hatchets and firebomb federal buildings and the charges against them in Kenosha
[00:04:18.717 --> 00:04:23.140]  Wisconsin and in places like Portland, Oregon and Seattle, Washington are dropped.
[00:04:23.860 --> 00:04:30.024]  And you see district attorneys put in by Soros that are admitted Marxist-Leninist that actually say these people are doing a good job.
[00:04:30.384 --> 00:04:35.848]  And you have Cuomo on TV on CNN saying that whoever said protesting had to be peaceful.
[00:04:36.368 --> 00:04:43.953]  And that burning down six, seven-story buildings, public housing, is a mostly peaceful protest.
[00:04:44.473 --> 00:04:45.574]  America sees
[00:04:46.354 --> 00:05:01.107]  This incredible hypocrisy and they see Nancy Pelosi and they see Maxine Waters calling for violence and calling for confrontation and then turning around eight months later while they hold these people Pelosi came out and said what was the exact quote?
[00:05:01.627 --> 00:05:05.491]  It was the people coming to demonstrate
[00:05:07.119 --> 00:05:18.074]  On Saturday, September 18th, she said like a week ago, are coming here to celebrate people that came on January 6th who were coming for murder.
[00:05:19.036 --> 00:05:22.340]  She said they were coming to kill and they're celebrating those that came to kill.
