[00:00:15.524 --> 00:00:18.165]  InfoWars, tomorrow's news, today.
[00:00:31.877 --> 00:00:34.098]  This fella just came over here and they're covering it up.
[00:00:34.098 --> 00:00:37.559]  Yeah, looks like they got a couple people in there trying to cover all of these holes now.
[00:00:37.559 --> 00:00:39.320]  So, this is a massive facility.
[00:00:39.320 --> 00:00:41.561]  Hundreds of people are in there as we speak.
[00:00:41.561 --> 00:00:42.881]  And it's only getting worse.
[00:00:42.881 --> 00:00:45.462]  Is that why you cover it up so the crimes inside can be covered up?
[00:00:45.462 --> 00:00:46.743]  Hey, there's no crimes here, man.
[00:00:46.743 --> 00:00:47.863]  Oh, there's no crimes?
[00:00:47.863 --> 00:00:50.884]  There's no executive order, there's no law to smuggle people and not have them checked.
[00:00:50.884 --> 00:00:54.566]  They have the FBI waive the background checks on people.
[00:00:54.566 --> 00:00:57.747]  And we know these kids and people are being delivered on charter planes around the United States.
[00:00:58.107 --> 00:00:58.407]  737s.
[00:00:58.407 --> 00:01:07.391]  These are big airplanes, like Southwest Airlines style, with three buses at a time pulling up at the airport, loading people on and flying away to who knows where.
[00:01:07.391 --> 00:01:10.792]  And now they're even flying people to South Texas from other parts of the border.
[00:01:10.792 --> 00:01:17.575]  This is now the distribution hub for the entire country.
[00:01:17.575 --> 00:01:21.837]  Thank you for joining us on this special Saturday emergency transmission.
[00:01:21.837 --> 00:01:24.138]  This country, the United States of America and the world
[00:01:28.522 --> 00:01:28.702]  I think?
[00:01:54.076 --> 00:01:54.477]  Lifeblood
[00:02:09.529 --> 00:02:11.449]  I just got down here yesterday evening.
[00:02:11.449 --> 00:02:13.050]  You're about to see some of what happened last night.
[00:02:13.050 --> 00:02:17.230]  We're going to shoot more reports tonight that we'll have out for you at band, not video tomorrow.
[00:02:17.230 --> 00:02:23.232]  But please understand the only way this illegal activity gets exposed is if you expose it.
[00:02:23.232 --> 00:02:26.852]  The national corporate media has done almost nothing to cover this.
[00:02:26.852 --> 00:02:29.533]  Ted Cruz got some coverage when he came here three weeks ago.
[00:02:29.533 --> 00:02:31.653]  We need President Trump to come here.
[00:02:31.653 --> 00:02:35.954]  We need the Border Patrol to speak up and say more about how this is criminal because it is.
[00:02:37.022 --> 00:02:40.927]  There's been no executive order signed bypassing US law, which would be overturned in court.
[00:02:40.927 --> 00:02:42.509]  That's why Biden hadn't done it.
[00:02:42.509 --> 00:02:46.274]  There has been no federal law changed.
[00:02:46.274 --> 00:02:54.565]  And this is the UN on record through the state department, all the way up from Central America, bringing in hundreds of thousands of people a month.
[00:02:58.287 --> 00:02:59.288]  We're good to go.
[00:03:26.308 --> 00:03:30.049]  On an online deal and then we just send these teenage girls to them.
[00:03:30.049 --> 00:03:44.012]  So you see it in the news that Biden's offering four months paid leave, four months paid leave to anybody in the federal government that will quote, take migrant children or young people.
