[00:00:00.000 --> 00:00:01.000]  [BEEP]
[00:00:01.000 --> 00:00:04.000]  [MUSIC PLAYING]
[00:00:04.000 --> 00:00:19.559]  InfoWars.
[00:00:19.378 --> 00:00:21.378]  Tomorrow's News Today.
[00:00:21.378 --> 00:00:46.817]   Ladies and gentlemen, we are live broadcasting worldwide on this December 22nd, Wednesday.
[00:00:47.698 --> 00:00:49.698]  Transmission.
[00:00:50.065 --> 00:00:53.486]  And I've absolutely got to cover all the news today.
[00:00:55.458 --> 00:01:14.448]  The CIA has come out officially and said we're already in a civil war, and that it's going to go hot before the midterms, and that they have to have the Pentagon and the military arrest and imprison millions, and that they have to have a Stalin or Lenin-level purge against 150 million people, you name it.
[00:01:17.125 --> 00:01:19.967]  I mean, we're talking hardcore criminal announcements.
[00:01:20.768 --> 00:01:26.412]  And then they use a bunch of false flag examples, like the Governor Whitmer attempted kidnapping that the FBI was running.
[00:01:26.452 --> 00:01:26.872]  That's come out.
[00:01:26.912 --> 00:01:27.693]  That was totally fake.
[00:01:28.994 --> 00:01:33.597]  As the pretext for this, building towards the midterm in 321 days.
[00:01:33.637 --> 00:01:35.239]  They do not plan to let us get there.
[00:01:36.600 --> 00:01:41.083]  Now, Bill Gates is a master eugenics depopulation general.
[00:01:42.664 --> 00:02:13.275]   He's come out with a cryptic announcement to his forces that they're gonna win their war against humanity and said record numbers of deaths are imminent from the quote new mutations that means they're getting ready to release more deadly bio weapons on us he says the worst part is yet to come so does his top lieutenant Anthony the sickle Fauci so we have all of that insane information I mean they're making their move
[00:02:14.980 --> 00:02:25.990]  But the good news is, the good news is that humanity is waking up on so many levels.
[00:02:29.533 --> 00:02:34.417]  And there are a lot of people in the power structure that don't want to be part of the population and collapse.
[00:02:35.879 --> 00:02:41.504]  And I told you a year and a half ago that Joe Rogan was going to go pure hardcore against the New World Order.
[00:02:43.411 --> 00:02:43.791]  And he did.
[00:02:44.112 --> 00:02:46.933]  People didn't believe me, and you saw him go from being in the middle of the road to where he is now.
[00:02:46.993 --> 00:02:50.175]  He's chosen to fight the Globalists, and he realizes it's all real.
[00:02:50.996 --> 00:02:53.878]  And I told you a lot of other prominent people are going to go hardcore, because I talked to them.
[00:02:54.518 --> 00:02:55.139]  And I'll leave it at that.
[00:02:56.019 --> 00:03:05.145]  And I told you about six months ago that Elon Musk tested the waters about four years ago, coming out against the Globalists, but nobody backed him when he did it.
[00:03:06.147 --> 00:03:07.728]  But now he's getting ready to do it again.
[00:03:07.788 --> 00:03:09.189]  I told you six months ago, get ready.
[00:03:09.249 --> 00:03:10.490]  And now he's come out and done that.
[00:03:11.071 --> 00:03:13.873]  He basically said pedophile rings run the government, run CNN.
[00:03:15.514 --> 00:03:17.635]  He came out and said, wokeness is a mind virus.
[00:03:17.655 --> 00:03:20.918]  They load onto you to destroy you and control you and turn you into a bully.
[00:03:22.098 --> 00:03:23.479]  And part of their authoritarian takeover.
[00:03:23.920 --> 00:03:26.702]  He came out and said, you should have more children or society will collapse.
[00:03:27.471 --> 00:03:29.870]  He came out and said all that. He's also a super libertarian.
[00:03:29.870 --> 00:03:33.450]   He said, yeah, and also, if you voluntarily want wires in your head, people are
[00:03:33.450 --> 00:03:38.640]   going to start getting them, including himself. So he's all into you controlling your
[00:03:38.640 --> 00:03:42.461]   own evolution, which obviously has its major pitfalls, and I'm not endorsing
[00:03:42.461 --> 00:03:42.830]  it.
[00:03:42.830 --> 00:03:48.189]   But I know people that know Musk well, and I'll leave it at that. And when
[00:03:48.189 --> 00:03:56.497]   I had Jack Dorsey unofficially reach out to me one time, I just rebuffed it as, oh, he just wants to co-op me.
[00:03:56.517 --> 00:03:57.378]  No, that wasn't true.
[00:03:58.139 --> 00:03:59.580]  And it's been the same thing.
[00:03:59.600 --> 00:04:01.522]  There's a lot of stuff I haven't been able to reveal right now.
[00:04:01.902 --> 00:04:08.388]  But the reason the left and the media are trying to demonize me everywhere and attack me and desperately doing default judgments and all this is they've got all the phones tapped.
[00:04:09.209 --> 00:04:21.630]   I mean, they know And they've got all their jealous globalist controllers just dialed in listening to Joe Rogan and Elon Musk and Tucker Carlson and then listening to our conversations and all the rest of it and they know what's going on.
[00:04:23.330 --> 00:04:33.535]  And they're totally jealous that we're the new renaissance and they're totally jealous and upset that humanity's breaking with their new world order and that they're not gonna be able to destroy all the children the way they want.
[00:04:34.577 --> 00:04:36.679]  And so it's on, ladies and gentlemen.
[00:04:36.839 --> 00:04:39.722]  It's absolutely going down.
[00:04:40.122 --> 00:04:44.126]  And everybody better decide which side of this fight you're gonna be on.
[00:04:44.647 --> 00:04:49.932]  But we got such a big broadcast, such a huge broadcast, lined up for you today.
[00:04:49.952 --> 00:04:51.073]  I gotta run back to my office.
[00:04:51.093 --> 00:04:52.635]  I just forgot a few of the articles I had there.
[00:04:53.255 --> 00:04:54.396]  We'll be back in 60 seconds.
[00:04:54.216 --> 00:05:07.155]  Stay with us.
[00:05:07.705 --> 00:05:17.969]  And this is a 360 win situation for everybody that loves liberty, that loves health, that loves being informed, and loves being free.
[00:05:18.929 --> 00:05:37.971]  Ladies and gentlemen, when you buy amazing, high quality supplements at InfoWarsTore.com, or you get books, or films, or water filtration, or air filtration, all of that makes you healthier, all of that makes you wiser, and your purchase keeps InfoWars on the air at a time when it's so critical and the world is finally waking up.
[00:05:38.471 --> 00:05:41.792]  Help supercharge the Great Awakening even more into the year 2022.
[00:05:43.193 --> 00:05:54.377]  Please make the resolution to get Vitamin Mineral Fusion, DNA Force Plus, Ultimate Bone Broth, our great Vitamin D3 product, Winter Sun and others, at up to 60% off at infowarestore.com.
[00:05:54.697 --> 00:05:55.998]  It is a 360 win.
[00:05:56.238 --> 00:05:58.319]  The only way to fail is if you don't take action.
[00:05:58.379 --> 00:06:05.379]  please visit InfoWarsTore.com now.
[00:06:05.379 --> 00:06:11.379]  We are on the march.
[00:06:11.720 --> 00:06:15.102]  The globalists are on the run.
[00:06:15.163 --> 00:06:19.085]  Resistance to tyrants is obedience to God.
[00:06:19.246 --> 00:06:21.147]  It's Alex Jones.
[00:06:21.627 --> 00:06:32.155]  All the martial law, all the forced inoculations, all the fear-mongering, all the Great Reset, Build Back Better garbage is nothing but New World Order corporate siege against you and your family.
[00:06:33.467 --> 00:06:40.410]  And the moment you wake up to the Great Reset and the New World Order and the Build Back Better agenda and say no to it, is the sooner you start coming up for air.
[00:06:41.931 --> 00:06:43.891]  You will figure it out at one point or another.
[00:06:44.472 --> 00:06:45.272]  Or you will die.
[00:06:46.612 --> 00:06:49.434]  If we can, can we put the full show headline up on screen for TV viewers?
[00:06:51.094 --> 00:06:58.857]  We have so much good news here, a lot of it from yesterday I didn't get to, and a lot of it from today, that is just spectacularly good.
[00:06:58.877 --> 00:07:02.419]  And that we're going to cover at the bottom of the hour.
[00:07:03.777 --> 00:07:10.302]  I mean, I've been told, and I'm going to leave it at that, that Elon Musk is completely awake and wants to take down the New World Order.
[00:07:10.942 --> 00:07:14.445]  And I was told that watch the next six months, you'll see it happen.
[00:07:14.485 --> 00:07:16.346]  Now he's doing exactly what he said he would do.
[00:07:19.228 --> 00:07:20.049]  And I'm going to leave it at that.
[00:07:21.290 --> 00:07:22.231]  Same thing with Joe Rogan.
[00:07:23.251 --> 00:07:49.127]   And it is some of my most sincere enjoyment and sense of satisfaction in victory that this broadcast has been the imminent Probe firing the truth out that basically helped trigger the red pill awakening in so many of these key people and that's all because of you keeping us on the air and the amazing work you've done as listeners and viewers.
[00:07:49.167 --> 00:08:00.778]  You deserve the credit for staying in the fight and now they're making their big depopulation move and they're killing people en masse and a lot of folks are dying and they're gonna die.
[00:08:02.102 --> 00:08:05.043]  But at least we've got a real fight and chance, and the awakening's here.
[00:08:05.743 --> 00:08:08.124]  The Great Reset is the response to the Great Awakening.
[00:08:10.664 --> 00:08:12.245]  So the good news is at the bottom of the hour.
[00:08:13.765 --> 00:08:18.726]  Elon Musk comes out against the pedophile rings, the depopulation agenda, everything.
[00:08:20.487 --> 00:08:23.388]  You can say, well, he's not perfect, or maybe he's, you know, this or that.
[00:08:23.728 --> 00:08:25.488]  It doesn't matter, the fact that he's doing that.
[00:08:26.308 --> 00:08:28.389]  So maybe he's just an opportunist.
