[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[00:00:01.589 --> 00:00:03.370]  Thursday emergency broadcast.
[00:00:03.430 --> 00:00:04.690]  And it's an emergency broadcast.
[00:00:04.750 --> 00:00:05.450]  Every day is now.
[00:00:05.990 --> 00:00:10.411]  Fauci created thousands of other deadly viruses, Pentagon confirms.
[00:00:11.091 --> 00:00:23.234]  But now as we look closer and the propaganda that came out yesterday to respond to what I was saying on air, you begin to see that it was the globalists trying to play China and the United States off against each other, in my view.
[00:00:23.574 --> 00:00:25.795]  It's a fact Fauci created the weapon with Bill Gates.
[00:00:26.115 --> 00:00:27.415]  It's a fact they released it.
[00:00:28.015 --> 00:00:31.178]  It's a fact it's the exact same virus they described that is COVID-19.
[00:00:31.558 --> 00:00:33.220]  It's a fact they're releasing new variants.
[00:00:33.280 --> 00:00:34.441]  We know all that, I'll go over it.
[00:00:35.241 --> 00:00:38.824]  It's a fact they've released protein crystal simulants that do the same thing.
[00:00:39.505 --> 00:00:46.871]  But this, this information coming out, is incontrovertible.
[00:00:47.492 --> 00:00:59.083]   So when I weigh all this and look at this and the motives and all of it, and knowing the Globalists are the most powerful group, That tells me that they are the ones that got China involved, got China to agree to this stuff.
[00:00:59.123 --> 00:01:00.263]  The Pentagon said no.
[00:01:00.984 --> 00:01:01.844]  DARPA said no.
[00:01:02.245 --> 00:01:07.208]  And then when it was time to embarrass Trump, you saw Fauci come out and say, don't worry, he'll be challenged by a big pandemic.
[00:01:07.508 --> 00:01:08.349]  Then they release it.
[00:01:08.629 --> 00:01:09.290]  They blame Trump.
[00:01:09.330 --> 00:01:10.030]  They blame America.
[00:01:10.070 --> 00:01:11.111]  They say China's good.
[00:01:11.451 --> 00:01:19.297]  But they also had that in their hip pocket to blackmail China that, hey, you worked with us on this, if they didn't go along with what the globalists wanted.
[00:01:20.057 --> 00:01:24.659]  So now you see how that works, and Xi Jinping's calling their bluff and saying, well, let's have a nuclear war.
[00:01:24.999 --> 00:01:30.521]  From the front lines of the information war, it's Alex Jones.
[00:01:33.762 --> 00:01:38.802]   If you are receiving this transmission, you are a target of globalist exterminists.
[00:01:38.802 --> 00:01:50.641]   If you are receiving this transmission, you are the victim of a globalist bioweapon attack.
[00:01:50.883 --> 00:01:53.024]  All the pieces have fallen into the jigsaw puzzle.
[00:01:53.545 --> 00:01:56.827]  We already had 95% of it assembled, but we know exactly what's going on now.
[00:01:57.487 --> 00:02:04.212]  But as evil as the globalists are, we need to realize that we have the power still in our daily lives with what we do and the decisions we make.
[00:02:05.613 --> 00:02:10.276]  And Derren McBreen put together a four-minute report that's at Band.Video that can literally save lives.
[00:02:10.336 --> 00:02:15.083]   Your whole email list, your text list, Your Facebook, your Twitter, save lives.
[00:02:16.005 --> 00:02:18.930]  Save lives with this incredibly important four-minute report.
[00:02:19.351 --> 00:02:25.621]  We're gonna come back with all of this huge broadcast today, but this is life-saving COVID treatment revealed.
[00:02:26.463 --> 00:02:26.964]  Please share it.
[00:02:28.191 --> 00:02:36.034]  My name is Dr. Christy Reisinger and today I'd like to give everyone a piece of my mind about ivermectin, medical misinformation and censorship.
[00:02:36.274 --> 00:02:42.596]  When it comes to treating and preventing people getting COVID-19, we've been told that the only solution is a brand new vaccine.
[00:02:43.317 --> 00:02:43.997]  That's not true.
[00:02:44.537 --> 00:02:56.661]  There are trends in the direction that when used early in the course of a COVID-19 illness, ivermectin can possibly prevent worsening of symptoms, clear viral load, and prevent hospitalization.
[00:02:56.681 --> 00:03:00.002]  Ivermectin is one of the safest drugs ever invented.
[00:03:00.242 --> 00:03:02.924]  Nobel Prize winning for humans!
[00:03:03.104 --> 00:03:03.884]  What, 2005?
[00:03:04.424 --> 00:03:07.906]  Nobel Prize winning for humans!
[00:03:08.326 --> 00:03:19.473]  And there's 23 studies that show that ivermectin is effective, and there is a systematic review, which is the highest level of evidence-based medicine, that says that it works.
[00:03:19.533 --> 00:03:21.294]  It's like going to the Supreme Court and winning.
[00:03:21.434 --> 00:03:25.236]  And yet the NIH will not acknowledge that peer-reviewed systematic review.
[00:03:25.956 --> 00:03:30.938]  There are over 14 medical and scientific papers which hail Ivermectin's success.
[00:03:31.279 --> 00:03:34.020]  You have all the mainstream media demonizing Ivermectin.
[00:03:34.240 --> 00:03:35.661]  They tell you it's only for horses.
[00:03:35.701 --> 00:03:37.502]  They tell you that people are overdosing on it.
[00:03:37.542 --> 00:03:38.302]  That's all lies.
[00:03:39.342 --> 00:03:48.127]  Tom Schnoor says for three weeks now, he's gone from filling 70 prescriptions a day for Ivermectin to 250 a day.
[00:03:48.507 --> 00:03:51.728]  So far this year, that's nearly 2,500 patients.
[00:03:51.988 --> 00:03:55.150]  And none of them have ever had a need to go to the hospital.
[00:03:55.490 --> 00:03:57.612]  Do you think there's hope in Ivermectin?
[00:03:57.652 --> 00:04:00.575]  Is it potentially an effective therapeutic for COVID?
[00:04:00.835 --> 00:04:01.896]  It could be a lifesaver.
[00:04:02.117 --> 00:04:04.819]  We've had over 600,000 Americans lose their lives.
[00:04:05.260 --> 00:04:11.085]  We know that those who have been admitted to the hospital and those who died, the majority died in the hospital, they received no early treatment.
[00:04:11.506 --> 00:04:17.672]  All the people in the hospital today are there because they listened to the CDC advice to stay home.
[00:04:18.152 --> 00:04:21.236]  And if you have really severe symptoms, go to the hospital.
[00:04:21.677 --> 00:04:29.827]  But the one thing that everybody has in common in the hospital, or almost everyone has in the hospital today, is none of them got early treatment.
[00:04:30.227 --> 00:04:34.592]  Why is early, safe, effective treatment not being talked about?
[00:04:34.632 --> 00:04:36.595]  I think that's a very, very important question.
[00:04:36.715 --> 00:04:38.176]  The early treatment is best.
[00:04:38.236 --> 00:04:42.599]  Hydroxychloroquine, ivermectin are safe and effective against SARS-CoV-2 infections.
[00:04:42.859 --> 00:04:48.923]  The earlier outpatient treatments like monoclonal antibody and ivermectin are started, the better the outcomes will be.
[00:04:49.063 --> 00:05:00.331]  And there's been a suppression of early treatment that I think has been very intentional by a whole variety of stakeholders in order to prepare the population to receive the vaccine, in a sense to be saved by the vaccine.
[00:05:00.591 --> 00:05:06.695]  And what they're learning now is the vaccine doesn't work well enough in everyone to prevent hospitalization or death.
[00:05:07.055 --> 00:05:14.526]  And this is why doctors who start these early treatment protocols keep going, because they don't lose any patients to hospitalization or death.
[00:05:14.726 --> 00:05:23.358]  And yet their peers are too afraid to try things like ivermectin or fluvaxamine, even though those drugs will kill virtually nobody.
[00:05:23.618 --> 00:05:30.942]  What America needs to know is we have four major organizations, one of them which has chapters in every state in America, supporting early treatment.
[00:05:31.102 --> 00:05:38.366]  And America should look to these treatment organizations and not be chilled by the messaging that's coming down through major media.
[00:05:38.606 --> 00:05:45.629]  Joe Rogan, he came down with COVID, he says he's been taking the livestock dewormer, ivermectin.
[00:05:45.749 --> 00:05:46.750]  Do I have to sue CNN?
[00:05:47.290 --> 00:05:48.231]  They're making shit up.
[00:05:48.391 --> 00:05:49.992]  They keep saying I'm taking horse dewormer.
[00:05:50.072 --> 00:05:51.633]  I literally got it from a doctor.
[00:05:51.853 --> 00:05:56.256]  What does that represent to you that they don't want people to know about ivermectin?
[00:05:56.496 --> 00:06:12.146]  Number one reason would be is it's an option that's actually been proven in 61 studies around the world to be effective at stopping the disease process of SARS-CoV-2, which they call COVID-19, and within two days it actually reduces transmission of COVID-19 even to loved ones and households.
[00:06:12.366 --> 00:06:13.247]  That's how many studies have been done.
[00:06:13.267 --> 00:06:13.927]  So it stops the spread?
[00:06:14.188 --> 00:06:14.408]  Yes.
[00:06:14.848 --> 00:06:17.430]  And the actual vaccines have never been promoted to even do that.
[00:06:18.151 --> 00:06:19.172]  We've been proven right.
[00:06:19.432 --> 00:06:20.393]  We've been vindicated.
[00:06:20.473 --> 00:06:21.353]  You've been vindicated.
[00:06:21.654 --> 00:06:24.356]  We've got to save lives and get all this information out.
[00:06:26.898 --> 00:06:27.659]  I've been watching.
[00:06:28.219 --> 00:06:30.461]  And I've been waiting for the globalists to make their big move.
[00:06:30.501 --> 00:06:31.302]  And I knew it was coming.
