[00:00:00.229 --> 00:00:02.331]  It's Sunday, August 1st.
[00:00:02.371 --> 00:00:03.271]  The year is 2021.
[00:00:03.431 --> 00:00:06.233]  I'm your host, Alex Jones, back in studio.
[00:00:06.313 --> 00:00:11.597]  Thank you so much for joining us on this special Sunday evening.
[00:00:25.837 --> 00:00:35.321]  If you go to the front page of Infowars.com, you will see today's headline that we have the live show feed posted in, and it's quite a shocking headline.
[00:00:36.062 --> 00:00:49.168]  The British government officially warns that 2.6 billion plus people
[00:00:57.062 --> 00:01:17.607]  That 2.6 billion people may die as a result of the mutations coming from the so-called COVID-19 vaccines that are really just genetically modified injections.
[00:01:19.775 --> 00:01:22.236]  And if you can, crew, put that headline back up there one more time.
[00:01:22.276 --> 00:01:25.617]  I want that headline to sink in because this isn't just fear porn.
[00:01:25.657 --> 00:01:26.678]  This is what they're planning.
[00:01:27.458 --> 00:01:28.298]  Emergency alert.
[00:01:28.338 --> 00:01:34.381]  British government warns COVID vaccine-induced mutations may kill 2.6 billion people.
[00:01:35.841 --> 00:01:38.102]  And that's been the plan all along.
[00:01:38.742 --> 00:01:44.665]  If you just joined us, we have everybody from the Washington Post to CNN to Fox News
[00:01:46.837 --> 00:01:52.681]  To the Wall Street Journal, to Bill Maher, saying the vaccines don't work.
[00:01:54.082 --> 00:02:01.106]  And the majority of people sick, the majority of people in hospital, the majority of people dying, have had their COVID injections.
[00:02:01.446 --> 00:02:11.213]  And I've got the government statistics from Israel, from Singapore, from the UK, from Canada, from the United States, from all the countries around the world.
[00:02:12.193 --> 00:02:15.155]  In fact, the only sick people in Sweden are the vaccinated.
[00:02:17.694 --> 00:02:19.856]  Deaths or illnesses in Sweden from unvaccinated.
[00:02:21.617 --> 00:02:26.722]  So here's the more incredible point, and I'm really wrapping my brain around this war game.
[00:02:26.742 --> 00:02:33.688]  Remember Crimson Contagion that we covered four or five months ago that got millions, 10 million views or so?
[00:02:34.208 --> 00:02:36.550]  General Flynn said it was the best work he'd seen on COVID.
[00:02:37.011 --> 00:02:38.172]  All we were doing was going over.
[00:02:39.500 --> 00:02:51.186]  The war game from three and a half years ago, put out by the Rockefellers and others, saying they would inject people with this vaccine, everybody would get sick, and then out of that would collapse civilization.
[00:02:53.988 --> 00:02:56.669]  Spars pandemic, and then the crimson contagion.
[00:02:58.750 --> 00:03:04.393]  Emergency Saturday broadcast, world shocked by Spars 2025-2028 document.
[00:03:04.513 --> 00:03:07.735]  It's the Spars document, and then that's carried on into crimson contagion.
[00:03:11.141 --> 00:03:11.761]  And there it is.
[00:03:12.022 --> 00:03:15.524]  Again, needs 50 million views, but almost 4 million views on Band.Video.
[00:03:21.408 --> 00:03:29.033]  All right, I'm going to really try to control myself here today, and I'm really going to try to judiciously cover this as best I can.
[00:03:29.273 --> 00:03:39.600]  Chris Sky is a very smart businessman and patriot from Canada who has really been topping Twitter the last week.
[00:03:40.623 --> 00:03:43.544]  With his prediction of the endless lockdown with total precision.
[00:03:44.944 --> 00:03:46.225]  He'll be joining us by the hour.
[00:03:46.285 --> 00:03:59.829]  And then Mike Adams, who was the first person I heard talk about the so-called vaccine triggering this specific type of autoimmune response that now even Fox News is having to admit is real and taking place.
[00:04:00.389 --> 00:04:02.050]  That's coming up today.
[00:04:03.070 --> 00:04:05.711]  So tonight, this is going to be an incredible transmission.
[00:04:06.191 --> 00:04:08.132]  And then I'm going to co-host part of the
[00:04:10.071 --> 00:04:14.473]  Sunday live show that Owen normally hosts with the great Harrison Smith, the host of
[00:04:16.215 --> 00:04:17.515]  American Journal, 8 a.m.
[00:04:17.555 --> 00:04:17.916]  weekdays.
[00:04:18.396 --> 00:04:26.338]  Well, from 6 to 8 tonight, he's going to be hosting, and I'm going to host part of that with him because I've got so much on my plate, I know there's no way I'm going to get done with all of it in the first two hours.
[00:04:26.639 --> 00:04:28.599]  So Chris Sky coming up, Mike Adams coming up.
[00:04:29.179 --> 00:04:30.420]  I'm yours truly, Alex Jones.
[00:04:30.500 --> 00:04:40.943]  And just this information, I studied today like six hours, and when I almost fell down, I got dizzy when I contemplated when I stood up.
[00:04:40.963 --> 00:04:42.384]  I almost had a nervous breakdown.
[00:04:52.196 --> 00:04:56.079]  Antibody Dependent Enhancement.
[00:04:57.180 --> 00:05:05.626]  That's the term you're gonna get to know real, real well when your friends, your family, and you bleed out and die in the near future.
[00:05:10.189 --> 00:05:17.254]  There are treatments that are now being developed and tested that can save some people.
[00:05:19.025 --> 00:05:27.953]  And that's why the UK government just ordered a record amount of anti-blood clotting agents, three billion pounds worth.
[00:05:31.516 --> 00:05:35.840]  That order's much bigger than anyone in their history, obviously, because they know what they've already done to you.
[00:05:39.062 --> 00:05:41.044]  Antibody-dependent enhancement.
[00:05:43.286 --> 00:05:45.087]  Suddenly, they're even talking about it on CNN!
[00:05:48.868 --> 00:06:18.569]  And that's just one of the things in hundreds of studies, many of which were conducted by Dr. Fauci, we discover that almost all of the different types of mammals that they injected with similar vaccines that target spike proteins on coronaviruses, that in almost every case the animals die within a few months of being given the injection.
[00:06:21.923 --> 00:06:26.247]  And it can be extrapolated out that humans in the physiological differences would die in a few years.
[00:06:26.828 --> 00:06:44.325]  That's how Dr. Sherry Tenpenny and so many other respected medical doctors came on this show and said you will see antibody dependent enhancement by the first fall and winter after the injections and now it's already beginning.
[00:06:47.065 --> 00:06:48.466]  All right, I'm Alex Jones, your host.
[00:06:48.626 --> 00:06:52.289]  This is a live Sunday, August 1st, 2021 transmission.
[00:06:53.650 --> 00:06:56.311]  And let me just start right here with the big announcement.
[00:06:57.492 --> 00:07:00.334]  It is not debated by the CDC.
[00:07:00.414 --> 00:07:04.217]  It is not debated by the NIH, National Institute of Health.
[00:07:04.237 --> 00:07:14.464]  It is not debated by the NIH or the British National Health Service or any of the major governments of the world.
