[00:00:00.049 --> 00:00:00.390]  All right.
[00:00:13.507 --> 00:00:14.648]  They're tearing down the stage.
[00:00:14.828 --> 00:00:16.408]  They're tearing down the review stands.
[00:00:17.429 --> 00:00:18.329]  Big things are afoot.
[00:00:18.369 --> 00:00:19.450]  He's not getting his briefings.
[00:00:20.390 --> 00:00:31.876]  And suddenly there's all these senators, all these House members about to challenge the fraudulent five states that violated the law on the face of it and didn't have the legislature pass a law to accept the fraudulent ballots.
[00:00:32.656 --> 00:00:37.999]  But remember, the COVID-19 lockdown, the announcement of COVID camps in blue cities and blue states,
[00:00:39.324 --> 00:00:46.486]  All of it flows out of the UN World Government Great Reset in their own words of Klaus Schwab and Bill Gates.
[00:00:47.126 --> 00:00:50.566]  So here's a very important four-minute report I posted to Bandot Video yesterday.
[00:00:50.586 --> 00:00:52.547]  I hope you'll share on the Great Reset.
[00:00:54.387 --> 00:00:55.407]  The debate is over.
[00:00:57.288 --> 00:01:06.910]  Private, corporate, authoritarian, world government backed up by Communist China is now overthrowing the elected government of the United States of America.
[00:01:08.561 --> 00:01:17.209]  And the goals of this corporate world government are nothing less than a science fiction dystopian nightmare.
[00:01:18.390 --> 00:01:19.331]  The Great Reset.
[00:01:20.872 --> 00:01:21.452]  Agenda 2030.
[00:01:21.512 --> 00:01:28.439]  The planetary plan to end the human system as we know it is here.
[00:01:29.500 --> 00:01:35.165]  Nancy Pelosi has announced today that they are officially going to have house rules
[00:01:36.121 --> 00:01:42.484]  That legislation cannot have the word father, or mother, or family, or boy, or girl.
[00:01:43.364 --> 00:01:44.164]  Let that sink in.
[00:01:45.445 --> 00:01:48.766]  That's how alien this takeover is.
[00:01:48.826 --> 00:01:50.907]  It's telling us we're dirty, we've got to wear a mask.
[00:01:51.367 --> 00:01:52.928]  That fathers and mothers are bad.
[00:01:52.988 --> 00:01:54.488]  That boys and girls are bad.
[00:01:55.969 --> 00:01:58.330]  This is alien any way you look at it.
[00:01:59.830 --> 00:02:03.812]  They've come out and said that in a year and a half they're going to declassify contact with aliens.
[00:02:05.089 --> 00:02:07.430]  Is that being staged to make us not believe in God?
[00:02:08.250 --> 00:02:09.490]  Or to tell us the aliens are God?
[00:02:10.291 --> 00:02:13.312]  Is it part of the partially declassified Plan Project Bluebeam?
[00:02:14.112 --> 00:02:14.552]  I don't know.
[00:02:15.472 --> 00:02:16.212]  But I know this.
[00:02:16.492 --> 00:02:24.355]  The cross-human-animal clones they've been making for 50 years, it's been declassified for more than 20, have not been shown to the world.
[00:02:25.955 --> 00:02:28.876]  They weren't just developed in petri dishes or test tubes.
[00:02:30.197 --> 00:02:31.037]  They were brought to term.
[00:02:32.128 --> 00:02:33.769]  And they're now admitting this.
[00:02:34.569 --> 00:02:39.831]  So all the hidden technology, all the horrors, are about to be shown to the world.
