[00:00:27.609 --> 00:00:28.750]  It's Sunday Live.
[00:00:28.770 --> 00:00:30.371]  I am your host Alex Jones.
[00:00:30.411 --> 00:00:37.957]  We're broadcasting worldwide from the embattled Infowars News Centers in Austin, Texas.
[00:00:37.977 --> 00:00:38.498]  It is June 27th.
[00:00:38.518 --> 00:00:38.978]  The year is 2021.
[00:00:43.899 --> 00:00:45.561]  We have some really big guests today.
[00:00:45.601 --> 00:00:51.947]  We have Mike Lindell on the latest with all of the election fraud that's coming out, and I've seen the evidence.
[00:00:52.007 --> 00:00:52.647]  It's massive.
[00:00:53.248 --> 00:00:55.690]  He's going to be joining us in the second hour.
[00:00:56.451 --> 00:00:59.333]  The media attacks him because he is so optimistic.
[00:01:00.134 --> 00:01:06.798]  But if you're not optimistic when you have the truth, then they're going to be able to gaslight everybody that understanding what a fraud Joe Biden is.
[00:01:06.858 --> 00:01:12.041]  But even a lot of mainline leftists that I personally know are starting to panic.
[00:01:12.602 --> 00:01:17.325]  Joe Rogan's gone from being a Democrat basically now being a nationalist populist Republican.
[00:01:17.365 --> 00:01:18.265]  It's awakened him.
[00:01:19.026 --> 00:01:23.769]  You've got Bill Maher coming out and saying Google and big tech are invested
[00:01:24.870 --> 00:01:30.075]  In the covid lie and they're involved the cover up and they shouldn't be doing that.
[00:01:30.216 --> 00:01:30.736]  It's criminal.
[00:01:31.757 --> 00:01:34.620]  And so again, the wheels are really really starting to come off.
[00:01:35.461 --> 00:01:38.904]  Also, we told you here a month ago because Roger Stone used to live in New York.
[00:01:39.725 --> 00:01:46.270]  He just sold his apartment there last year because they've been bankrupting him with all these criminal charges and the rest of it.
[00:01:46.990 --> 00:01:55.397]  And he has Democrat sources in the city, and they said, we're intending to indict Trump, at least members of his family, by July 4th.
[00:01:55.857 --> 00:02:06.244]  That was a month ago, now CNN's reporting, and the Democrats are saying that they're planning to indict his company, which is unheard of, before July 4th.
[00:02:07.190 --> 00:02:08.491]  And Rodgers talked to the people.
[00:02:08.551 --> 00:02:09.431]  They say it's happening.
[00:02:11.052 --> 00:02:11.893]  It's just insane.
[00:02:11.913 --> 00:02:16.436]  I mean, the government spent $47 million trying to find something.
[00:02:16.456 --> 00:02:17.256]  The feds did.
[00:02:17.296 --> 00:02:17.877]  They couldn't find it.
[00:02:18.217 --> 00:02:19.778]  But Rodgers got the inside scoop.
[00:02:21.459 --> 00:02:27.102]  He's going to be joining us coming up at the bottom of the hour.
[00:02:27.162 --> 00:02:28.323]  And then Lindell is on.
[00:02:30.282 --> 00:02:31.923]  In the second hour.
[00:02:32.203 --> 00:02:35.826]  I want to show TV viewers just a couple things here that really say it all.
[00:02:36.106 --> 00:02:38.988]  One of the producers gave me this and it touched my heart because it's so true.
[00:02:39.588 --> 00:02:44.272]  Many are the plans in a man's heart, but it is the Lord's purpose that prevails.
[00:02:44.332 --> 00:02:44.732]  Proverbs 19, 21.
[00:02:44.852 --> 00:02:51.837]  And then this really funny little piece that a friend sent me that I guess is from Twitter.
