[00:00:00.492 --> 00:00:04.796]  I also have some news to share on the president's response to domestic violent extremism.
[00:00:05.316 --> 00:00:12.882]  The January 6th assault on the Capitol and the tragic deaths and destruction that occurred underscored what we have long known.
[00:00:13.263 --> 00:00:17.907]  The rise of domestic violent extremism is a serious and growing national security threat.
[00:00:18.367 --> 00:00:22.611]  The Biden administration will confront this threat with the necessary resources and resolve.
[00:00:23.171 --> 00:00:28.594]  We're committed to developing policies and strategies based on facts, on objective and rigorous analysis.
[00:00:29.054 --> 00:00:34.437]  And on our respect for constitutionally protected free speech and political activities.
[00:00:40.080 --> 00:00:50.526]  Well, Jen Psaki, the White House press secretary, former Obama minion, now serving as a Biden's chief spokesperson, gave a press conference on Friday.
[00:00:51.693 --> 00:00:55.499]  And said that non-governmental organizations, the Southern Poverty Law Center and the ADL...
[00:00:56.894 --> 00:01:00.895]  Are going to advise them on what Americans to put on the extremist terror list.
[00:01:01.215 --> 00:01:02.315]  No judge, no jury.
[00:01:02.795 --> 00:01:06.276]  Our initial work on DVE will broadly fall into three areas.
[00:01:06.716 --> 00:01:18.138]  The first is a tasking from President Biden sent to the ODNI today requesting a comprehensive threat assessment coordinated with the FBI and DHS on domestic violent extremism.
[00:01:18.598 --> 00:01:25.279]  This assessment will draw on the analysis from across the government and as appropriate non-governmental organizations.
[00:01:25.979 --> 00:01:30.823]  The key point here is that we want fact-based analysis upon which we can shape policy.
[00:01:31.003 --> 00:01:38.369]  So this is really the first step in the process and we will rely on our appropriate law enforcement and intelligence officials to provide that analysis.
[00:01:38.890 --> 00:01:45.055]  And then the military, the FBI, local police, everyone will disrupt these terrorist networks.
[00:01:45.075 --> 00:01:48.017]  Now that's the same language when you heard disrupt al-Qaeda networks.
[00:01:48.618 --> 00:01:49.598]  That means go kill people.
[00:01:50.439 --> 00:01:51.320]  Let me set people up.
[00:01:51.360 --> 00:01:52.180]  That means infiltrate.
[00:01:52.581 --> 00:01:53.642]  It means take their bank accounts.
[00:01:54.142 --> 00:02:00.927]  And they wasted no time taking the president's corporate bank accounts in New York and now his private bank accounts in Florida.
[00:02:01.628 --> 00:02:02.989]  And if they can get Trump, they can get anybody.
[00:02:03.009 --> 00:02:06.852]  Just like I said, if they could shut me down online a few years ago, they were coming for you next.
[00:02:06.932 --> 00:02:09.674]  Congress must act and take action.
[00:02:09.754 --> 00:02:11.656]  This is beyond authoritarianism.
[00:02:12.196 --> 00:02:14.318]  This is more sophisticated than what Hitler did.
[00:02:14.898 --> 00:02:20.941]  The second will be the building of an NSC capability to focus on countering domestic violent extremism.
[00:02:21.541 --> 00:02:34.207]  As a part of this, the NSC will undertake a policy review effort to determine how the government can share information better about this threat, support efforts to prevent radicalization, disrupt violent extremist networks, and more.
[00:02:34.667 --> 00:02:37.729]  There's important work already underway across the interagency in
[00:02:39.002 --> 00:02:39.522]  We're good to go.
[00:03:07.099 --> 00:03:17.872]  You have to understand, the Southern Poverty Law Center spokesperson, Sasha Barrett-Cohen, said a few years ago, last year, as their spokesperson, he said, we need to arrest the heads of Big Tech if they don't do what we say.
[00:03:18.753 --> 00:03:26.042]  And so you have to understand, the ADL, the Southern Poverty Law Center, they are funded by George Soros and other criminal groups that have overthrown foreign governments many times.
[00:03:26.562 --> 00:03:28.424]  And the Democrats admit this is a systematic takeover.
[00:03:28.444 --> 00:03:29.224]  They say they want re-education camps.
[00:03:53.883 --> 00:04:03.647]  Uh, for libertarians, uh, Christians, they say that anybody that doesn't take the COVID shots or doesn't allow the contact tracers into their homes will be sent to these facilities to be locked up.
[00:04:04.148 --> 00:04:05.748]  And we're all following UN directives.
