[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[00:00:02.251 --> 00:00:03.772]  They're rejecting the neoliberals.
[00:00:04.232 --> 00:00:12.258]  They're rejecting George Soros, who now with Bill Gates is going to be over the UN global testing regime and control the contact tracer apps.
[00:00:12.298 --> 00:00:13.278]  I mean, what a nightmare.
[00:00:13.539 --> 00:00:17.321]  George Soros with the Clinton Foundation and Bill Gates can control your medical files?
[00:00:17.661 --> 00:00:18.802]  They're not going to get away with this.
[00:00:19.163 --> 00:00:29.610]  I'm just so ashamed of the average leftist subserviently wanting a vaccine pass and wanting to get all the shots and just buying into the fraud and pretending like they're part of the establishment.
[00:00:29.950 --> 00:00:30.751]  It's these people.
[00:00:31.372 --> 00:00:37.539]  It's the proletariat left going along with this, pretending like they're part of the ruling class that is going to destroy us.
[00:00:37.839 --> 00:00:42.384]  We have to realize communism is a tool of the ruling class to suppress and wage war against the people.
[00:00:43.205 --> 00:00:44.467]  It is a tool of the ruling class.
[00:00:44.807 --> 00:00:48.351]  It was created by British intelligence to get rid of their czar cousins.
[00:00:48.531 --> 00:00:49.192]  It is the enemy.
[00:00:49.633 --> 00:00:50.213]  Russia had it.
[00:00:51.607 --> 00:00:55.149]  For 80 years controlling them and finally kicked it out partially, that's why they hate Russia.
[00:00:55.389 --> 00:00:59.411]  We need to arrest the oligarchs and put their asses in prison, just like Russia's done.
[00:00:59.431 --> 00:01:00.652]  And we need to move forward.
[00:01:00.672 --> 00:01:02.172]  If we don't do that, we have no future, Owen.
[00:01:03.133 --> 00:01:05.334]  And I think when you see what happened in St.
[00:01:05.354 --> 00:01:12.017]  Louis County, where they just had a vote of seven people on a board, just aye, yay or nay, do we have vast mandated masks?
[00:01:12.078 --> 00:01:13.358]  And they five to two said no.
[00:01:13.578 --> 00:01:14.639]  That's the real America.
[00:01:14.939 --> 00:01:19.801]  From the front lines of the information war, it's Alex Jones.
[00:01:23.792 --> 00:01:51.059]  Alright ladies and gentlemen, the two big subjects of discussion for today are obviously going to be the mixed messages coming from our health officials and of course the media lying about it, where the CDC director is admitting that vaccinated people are responsible for
[00:01:52.577 --> 00:01:56.843]  This new outbreak, this new spread that's admitted by the CDC.
[00:01:57.744 --> 00:02:01.929]  I'm actually shocked and stunned that the CDC director is admitting it.
[00:02:04.833 --> 00:02:05.434]  But of course.
[00:02:07.563 --> 00:02:22.594]  On the back end saying, yeah, the vaccinated people are causing the spread and it's the highly vaccinated communities where it's the biggest outbreak and the vaccines aren't working, but we're still going to mandate the vaccines and now you need to wear a mask for the next two weeks.
[00:02:22.834 --> 00:02:27.057]  Oh, there's that nice two weeks again to stop the spread.
[00:02:27.077 --> 00:02:29.999]  Hmm.
[00:02:31.140 --> 00:02:33.162]  Where have we heard that before?
[00:02:35.054 --> 00:02:40.136]  And so we're going to be joined by Alex Jones coming up in the next segment, breaking all of that down.
[00:02:41.116 --> 00:02:50.080]  Then, in the aftermath of yesterday's January 6th show hearings, with a bunch of Democrat activists posing as police officers.
[00:02:50.740 --> 00:02:51.561]  Yes, that's right.
[00:02:52.381 --> 00:03:03.295]  Democrat activists posing as police officers, as neutral observers, as neutral reporters, know we now have the receipts.
[00:03:03.816 --> 00:03:06.139]  In fact, I've got a whole stack of them right here.
[00:03:08.530 --> 00:03:21.397]  How specifically one officer, but all of them, but one officer will be highlighted, and he was the one that they made the biggest deal of, made claims that he was called the N-word during the events of January 6th.
[00:03:21.517 --> 00:03:25.920]  Doesn't produce any body cam footage, of course, because he's making it up Jesse Smollett style.
[00:03:28.737 --> 00:03:32.560]  And now it turns out we've got all of his tweets going back four years.
[00:03:33.281 --> 00:03:40.187]  An avid leftist, an avid Democrat, an avid Trump-hater, and he's the voice of reason.
[00:03:40.607 --> 00:03:42.969]  He's the neutral voice of reason on January 6th?
[00:03:43.349 --> 00:03:44.190]  I don't think so.
[00:03:46.572 --> 00:03:52.257]  And then of course it turns out that his lawyer, Mark Zide, you may have heard of him,
