[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[00:00:01.965 --> 00:00:07.327]  They got court documents and others are now having to come out as they try to try and have trials.
[00:00:09.647 --> 00:00:23.451]  We're almost six months out, these people being held in solitary confinement, that the feds had up to 20 agents, hundreds of informants inside, and they were basically leading the Proud Boys, leading the
[00:00:26.624 --> 00:00:37.211]  Other organizations like Oath Keepers, and that doesn't mean that the majority of Oath Keepers are bad or Stuart Rhodes is bad, but I mean it was riddled, riddled with actual federal officers.
[00:00:38.352 --> 00:00:39.593]  So it's all coming out.
[00:00:39.613 --> 00:00:47.499]  We're going to talk to the investigative reporter coming up next hour, but I just want to telegraph to all of you and be one billion percent clear, one trillion.
[00:00:48.059 --> 00:00:50.781]  I want to be just to infinity clear on this, okay?
[00:00:52.938 --> 00:01:09.795]  They didn't produce hundreds of TV shows, hundreds of movies, hundreds of thousands of news articles the last five, six years about race war and killing the white people and white people are the devil and white people are killing blacks in record numbers.
[00:01:11.125 --> 00:01:34.475]  And really all that is, is the globalists take the nation over, as the globalists try to take the guns, they will stage events, they will escalate a civil war, and they will call everyone fighting for America and freedom and the Second Amendment and the right to life, Nazis, and then stir up racial conflict in the middle of it, to then try to sell that idea in the media, and get everybody else to come out and declare, no, we're with the government, and we're with the confiscation of guns, we're not Nazis.
[00:01:34.796 --> 00:01:39.658]  From the front lines of the information war, it's Alex Jones.
[00:01:58.456 --> 00:01:59.256]  InfoWars.
[00:01:59.596 --> 00:02:11.359]  Tomorrow's news, today.
[00:02:11.459 --> 00:02:16.720]  From the front lines of the Information War, it's Alex Jones.
[00:02:33.166 --> 00:02:35.388]  It's Wednesday, June 16th.
[00:02:36.469 --> 00:02:40.232]  The year is 2021 and I am your host, Alex Jones.
[00:02:46.497 --> 00:02:48.939]  Incredible things are happening as we speak.
[00:02:50.240 --> 00:02:55.885]  The fires of liberty and a global awakening are exploding.
[00:02:57.707 --> 00:03:01.230]  And the forces of corruption are striking back.
[00:03:03.677 --> 00:03:27.982]  You know, I always have, I don't want to call it guilt, but a lot of drive and inner fire that makes me angry at myself for not doing more and not really stating how real this tyrannical takeover is to really get it across to people that fighting back is what makes our world good and that lying down is what makes our world horrible.
[00:03:28.982 --> 00:03:32.623]  And that I'm usually years ahead of major developments
[00:03:33.885 --> 00:03:41.067]  But sometimes when I'm too close to something, I'm behind the curve, and that's not really the case here.
[00:03:43.608 --> 00:03:59.712]  But at the same time, I think I could have done a better job, and I'm just going to leave it at that, because it is overwhelming the evidence that criminal elements of the federal government provocateured and staged January 6th
[00:04:00.911 --> 00:04:02.772]  And I saw it coming.
[00:04:03.172 --> 00:04:05.192]  I warned people they were going to pull a false flag.
