[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[00:00:02.529 --> 00:00:10.536]  government is bankrupting the economy and igniting a third world war while flooding the border with single military-aged men.
[00:00:11.056 --> 00:00:20.545]  The media continues to divide us along party lines with another rigged election, while Hollywood tries to goad the people into a second civil war.
[00:00:21.105 --> 00:00:28.852]  And while this is all happening, humanity is being slow-killed with technologies that only serve to isolate and track us.
[00:00:29.452 --> 00:00:36.658]  Nine years ago, hundreds of scientists were warning us of the dangers of cell phones and 5G radiation.
[00:00:36.938 --> 00:00:42.302]  I'm Dr. Martin Blank from the Department of Physiology and Cellular Biophysics at Columbia University.
[00:00:42.642 --> 00:00:49.868]  We are scientists and engineers, and I am here to tell you we have created something that is harming us, and it is getting out of control.
[00:00:50.108 --> 00:00:53.831]  The incidence of fatal brain cancer in younger people has more than tripled.
[00:00:54.011 --> 00:00:59.453]  We are putting cellular antennas on residential buildings and on top of hospitals where people are trying to get well.
[00:00:59.853 --> 00:01:06.656]  It's particularly frightening that radiation from our telecommunication and power line technology is damaging the DNA in our cells.
[00:01:07.056 --> 00:01:11.418]  The time to deal with the harmful biological and health effects is long overdue.
[00:01:11.798 --> 00:01:17.541]  We are really all part of a large biological experiment without our informed consent.
[00:01:18.161 --> 00:01:19.642]  And things have only gotten worse.
[00:01:20.222 --> 00:01:31.086]  Millions have been murdered with a mandated mystery injection, which has debilitated even more, and infected the living with nanotechnologies that are linking us with machines.
[00:01:31.606 --> 00:01:37.888]  An artificial intelligence grid is being built around us, and the people have never been more divided.
[00:01:38.268 --> 00:01:42.730]  And if we fail to unite, the future of humanity is destined to be grim.
[00:01:43.490 --> 00:01:50.194]  In Ronald Reagan's famous 1987 speech, he referred to an alien threat that could unite humanity.
[00:01:50.514 --> 00:02:01.000]  I occasionally think how quickly our differences worldwide would vanish if we were facing an alien threat from outside this world.
[00:02:02.640 --> 00:02:06.883]  And yet, I ask you, is not an alien force already among us?
[00:02:07.717 --> 00:02:14.004]  And regardless of what he was referring to 37 years ago, that alien threat is here today.
[00:02:14.464 --> 00:02:19.550]  It is the anti-human artificial intelligence that humanity is giving birth to.
[00:02:20.030 --> 00:02:23.114]  Sentient artificial intelligence far beyond human beings.
[00:02:23.734 --> 00:02:25.576]  You give it a thousand years alone?
[00:02:26.998 --> 00:02:28.880]  To make better and better versions of itself.
[00:02:28.940 --> 00:02:29.581]  Where does that go?
[00:02:30.382 --> 00:02:31.383]  That goes to a God.
[00:02:31.403 --> 00:02:33.645]  I don't agree.
[00:02:33.685 --> 00:02:34.806]  What kind of God?
[00:02:35.207 --> 00:02:36.028]  I think of it this way.
[00:02:36.048 --> 00:02:42.995]  The first stage of the Industrial Revolution consisted of people building machines that were stronger than the human body.
[00:02:43.175 --> 00:02:43.375]  Right.
[00:02:44.396 --> 00:02:45.676]  So the steam-powered loom.
[00:02:45.896 --> 00:02:46.196]  Sure.
[00:02:46.677 --> 00:02:47.417]  The backhoe.
[00:02:47.477 --> 00:02:48.337]  Combustion engine.
[00:02:48.417 --> 00:02:49.117]  Combustion engine.
[00:02:49.137 --> 00:02:51.278]  They replace muscles.
[00:02:51.638 --> 00:02:51.838]  Right.
[00:02:52.278 --> 00:02:52.438]  Right.
[00:02:52.458 --> 00:02:53.438]  So that's what the machine does.
[00:02:53.458 --> 00:02:55.559]  It becomes stronger than the human body.
[00:02:55.999 --> 00:03:01.720]  The second stage, which we're in the middle of, consists of creating machines that are more powerful than the human mind.
[00:03:02.980 --> 00:03:03.980]  That's what computing is.
[00:03:04.461 --> 00:03:09.862]  And I would say AI or supercomputing is just that exponentially.
[00:03:12.230 --> 00:03:25.703]  But that doesn't make it a god, in the sense that the machine, however powerful it is, any more than a backhoe is a god, because it can dig a trench faster than a hundred men, it's still something that people created.
[00:03:26.003 --> 00:03:28.506]  So the story hasn't really changed.
[00:03:28.566 --> 00:03:29.867]  At the center of the story are people.
[00:03:31.434 --> 00:03:40.023]  And their creative power may lead to unintended consequences, but the machines that they build did not make the universe and did not make people.
[00:03:40.103 --> 00:03:41.044]  People made the machines.
[00:03:41.485 --> 00:03:42.025]  Right.
[00:03:43.387 --> 00:03:46.470]  But I would say the part I agree with is there's a spiritual component here for sure.
[00:03:47.691 --> 00:03:49.772]  People will worship AI as a god.
[00:03:50.352 --> 00:03:53.894]  AI, Ted Kaczynski was likely right, will get away from us.
[00:03:54.034 --> 00:03:56.035]  We will be controlled by the thing that we made.
[00:03:56.475 --> 00:03:57.295]  All those are bad.
[00:03:57.656 --> 00:03:58.556]  Like, that's just bad.
[00:03:58.596 --> 00:04:00.197]  And we need to say unequivocally, it's bad.
[00:04:00.257 --> 00:04:02.458]  It's bad to be controlled by machines.
[00:04:02.958 --> 00:04:03.198]  Right.
[00:04:03.378 --> 00:04:05.119]  Machines are helpmates.
[00:04:05.199 --> 00:04:10.081]  Like, we created them to help us to make our lives better, not to take orders from them.
[00:04:12.322 --> 00:04:15.084]  So I don't know why we're not having any of these conversations right now.
[00:04:15.145 --> 00:04:21.630]  We're just acting as if this is like some kind of virus like COVID that spreads across the world inexorably.
[00:04:21.650 --> 00:04:22.691]  There's nothing we can do about it.
[00:04:22.711 --> 00:04:23.552]  Just wait to get it.
[00:04:24.072 --> 00:04:30.197]  It's like, no, if we agree that the outcome is bad, which and specifically it's bad for people,
[00:04:31.789 --> 00:04:33.129]  We should care what's good for people.
