[00:00:00.287 --> 00:00:00.647]  Jump into it.
[00:00:00.667 --> 00:00:06.329]  I want to introduce our panel of incredible people, as I said earlier, and I'm going to start from the end and give you guys a chance to introduce yourselves.
[00:00:06.369 --> 00:00:07.549]  We have Ed Krasenstein.
[00:00:08.189 --> 00:00:09.010]  Yeah, how's it going?
[00:00:09.130 --> 00:00:10.310]  I'm Ed Krasenstein.
[00:00:10.350 --> 00:00:15.392]  You know me on X at Ed Krasen, also the twin brother of Brian.
[00:00:15.872 --> 00:00:18.633]  Thanks for pointing out that it's Krasenstein, not Krasenstein.
[00:00:18.653 --> 00:00:19.993]  Well, it can actually be either.
[00:00:20.033 --> 00:00:23.334]  You can do Krasenstein or Krasenstein, and I really don't care what you use.
[00:00:23.574 --> 00:00:25.395]  It's Frankenstein, not Stein!
[00:00:25.815 --> 00:00:26.555]  Or Frankenstein.
[00:00:27.616 --> 00:00:28.897]  That was Alex Jones, if you didn't know.
[00:00:29.198 --> 00:00:30.739]  We also have Brian Krasenstein.
[00:00:31.480 --> 00:00:33.002]  Hey Ian, it's great to be here.
[00:00:33.022 --> 00:00:42.092]  I'm Brian Krasenstein, known as Krasenstein on X. Ed's slightly better looking and more intelligent twin brother.
[00:00:43.024 --> 00:00:43.784]  And modest as well.
[00:00:43.964 --> 00:00:45.485]  Probably the most modest of the Krasensteins.
[00:00:45.905 --> 00:00:49.266]  Next to Brian, we have Stephen Bonnell, known as Destiny.
[00:00:49.727 --> 00:00:50.427]  What's happening, man?
[00:00:51.027 --> 00:00:51.507]  Hey, what's up?
[00:00:51.627 --> 00:00:53.188]  You know me on YouTube at Destiny.
[00:00:53.228 --> 00:00:56.669]  My real life name is Stephen and I scream and shout at people on the internet for a living.
[00:00:56.929 --> 00:00:59.210]  Next to this dude, we got Alex Jones.
[00:01:00.351 --> 00:01:01.891]  Alex, explain yourself.
[00:01:02.792 --> 00:01:08.994]  Well, I don't think I probably needed much of an introduction, but I was there on January 6th and I saw what happened.
[00:01:11.503 --> 00:01:13.585]  It's a very important discussion we're about to have tonight.
[00:01:13.605 --> 00:01:14.665]  I'm glad everybody came.
[00:01:14.685 --> 00:01:20.849]  We need to have more of this, not just left and right, but just different groups of people debating and discussing.
[00:01:20.869 --> 00:01:27.354]  I'm really glad that Zero Hedge and their great subscription service, people supporting it, is financing this.
[00:01:27.774 --> 00:01:30.196]  And so you're going to see a lot more of this, people supporting Zero Hedge.
[00:01:30.756 --> 00:01:34.118]  And so I'm just honored to be here with you guys in Austin, Texas.
[00:01:34.278 --> 00:01:34.859]  Yeah, absolutely.
[00:01:34.879 --> 00:01:35.699]  Shout out to Zero Hedge.
[00:01:35.739 --> 00:01:36.200]  Great company.
[00:01:36.220 --> 00:01:36.880]  Great people, too.
[00:01:36.940 --> 00:01:38.241]  Really great people involved with the company.
[00:01:38.321 --> 00:01:40.122]  And to your left, my right, Darren Beattie.
[00:01:40.142 --> 00:01:40.843]  What's happening, man?
[00:01:41.344 --> 00:01:41.510]  Yeah.
[00:01:41.755 --> 00:01:42.815]  Great to be here, thank you.
[00:01:42.855 --> 00:01:43.896]  I'm Darren Beattie.
