[00:00:00.169 --> 00:00:00.929]  How you doing Alex?
[00:00:01.129 --> 00:00:03.190]  Glad to speak with you, a real honor.
[00:00:03.770 --> 00:00:12.733]  I think my thought is kind of correlated to what Ken from Florida was just saying, but I believe Abbott is responding late because he was instructed to.
[00:00:12.753 --> 00:00:18.674]  He's a WEF member and there was a clip the other day where he was asked to denounce Klaus Schwab and he wouldn't.
[00:00:18.694 --> 00:00:20.275]  He was asked twice and refused twice.
[00:00:21.258 --> 00:00:24.419]  And I think there's obviously a connection with the 2020 election.
[00:00:24.479 --> 00:00:26.240]  Trump lost apparently by 7 million.
[00:00:26.260 --> 00:00:27.960]  I believe he actually won by 7 million.
[00:00:28.540 --> 00:00:31.181]  They flipped the numbers, ballots came in late, dead people voted.
[00:00:31.201 --> 00:00:33.822]  People with the same security number voted multiple times.
[00:00:33.902 --> 00:00:40.884]  I believe they knew they lost by 7 million and knew that if he won in 2024, they had to get at least 7 million votes more.
[00:00:41.044 --> 00:00:45.826]  Biden and the Democrats knew they were losing the black and Hispanic voters, so they wouldn't get them there.
[00:00:45.846 --> 00:00:46.446]  So what's next?
[00:00:46.586 --> 00:00:47.126]  Open the border.
[00:00:47.666 --> 00:00:50.228]  Get at least 7 million, double that number to be safe.
[00:00:50.508 --> 00:00:51.909]  They say 20 million have come in.
[00:00:52.429 --> 00:00:58.432]  I heard conservatively it's between 12 and 15, which would cover that amount by two for 2024.
[00:00:59.013 --> 00:01:04.336]  That way they can go to the right talking point about using paper ballots and we won't be able to say they cheated with voting machines.
[00:01:04.776 --> 00:01:11.200]  So once they got their quota of illegals as potential voters, the WEF greenlit Abbott to act patriotically against the crisis.
[00:01:11.863 --> 00:01:14.305]  That's why I think it's taken three years to get to this point.
[00:01:14.345 --> 00:01:19.230]  They got their quota of voters that they feel they need to beat Trump, quote, unquote, legitimately.
[00:01:19.530 --> 00:01:28.338]  And they need all these people to be healthy, alive, and actually here, which is why they're getting all the perks and money, so when they're activated, they've been properly taken care of and ready for the go-ahead.
[00:01:28.558 --> 00:01:29.499]  And that's all I gotta say.
[00:01:30.780 --> 00:01:36.386]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:01:37.487 --> 00:01:42.126]  Visit InfoWars.com/show and support the InfoWars.
[00:01:42.126 --> 00:01:45.087]  [MUSIC PLAYING]
[00:01:45.087 --> 00:02:01.027]  InfoWars.
[00:02:00.769 --> 00:02:01.670]  Tomorrow's news.
[00:02:01.750 --> 00:02:16.069]  today.
[00:02:16.271 --> 00:02:18.434]  You better believe you got one!
[00:02:20.377 --> 00:02:27.377]   From the front lines of the information war, it's Alex Jones.
[00:02:27.377 --> 00:02:39.377]  [Music]
[00:02:39.377 --> 00:02:43.377]   ...his responsibility to enforce the laws of the United States.
[00:02:43.734 --> 00:02:48.257]  I have used a clause in the Constitution that empowers states to defend themselves.
