[00:00:01.025 --> 00:00:01.886]  You can feel it.
[00:00:03.307 --> 00:00:04.267]  Something is off.
[00:00:05.948 --> 00:00:07.970]  Things are getting stranger by the day.
[00:00:08.670 --> 00:00:13.554]  Just a coincidence, or is something more sinister happening right under our noses?
[00:00:14.354 --> 00:00:16.976]  We want to warn you now, this next story is disturbing.
[00:00:19.151 --> 00:00:29.376]  Namely, in earlier times, it was easier to control a million people, literally, than physically to kill a million people.
[00:00:29.436 --> 00:00:35.299]  Today, it is infinitely easier to kill a million people than to control
[00:00:39.503 --> 00:00:45.450]  I would like to reduce the number of people on the planet because there's too many of us.
[00:00:46.190 --> 00:00:49.714]  It's a planet of finite resources and we're using them up.
[00:00:52.297 --> 00:00:53.779]  First we've got population.
[00:00:54.279 --> 00:00:55.801]  That's headed up to about 9 billion.
[00:00:56.474 --> 00:01:05.580]  Now, if we do a really great job on new vaccines, healthcare, reproductive health services, we could lower that by perhaps 10 or 15%.
[00:01:06.521 --> 00:01:09.123]  The true ruling elite are a death cult.
[00:01:09.763 --> 00:01:10.504]  Pure evil.
[00:01:11.244 --> 00:01:13.226]  The elite are extremely wealthy.
[00:01:13.726 --> 00:01:15.888]  They have more money than you can think of.
[00:01:16.788 --> 00:01:20.531]  So why would they want even more money, even more control?
[00:01:22.634 --> 00:01:26.717]  It's because they use their wealth and power to execute their agenda.
[00:01:27.338 --> 00:01:28.578]  To live out their evil.
[00:01:29.299 --> 00:01:32.942]  If you think this is just conspiracy theory, think again.
[00:01:33.562 --> 00:01:34.443]  Look around you.
[00:01:35.323 --> 00:01:38.386]  Everything benefits them, and not humanity.
[00:01:38.746 --> 00:01:40.527]  The globalists have a religion.
[00:01:41.148 --> 00:01:45.251]  To the public it's sold as climate change or the global crisis.
[00:01:46.131 --> 00:01:48.593]  What is the basis of the climate change agenda?
[00:01:49.294 --> 00:01:50.735]  It's population control.
[00:01:52.602 --> 00:01:53.762]  We're good to go.
[00:01:53.782 --> 00:01:54.343]  We're good to go.
[00:02:11.209 --> 00:02:11.849]  We're good to go.
[00:02:11.869 --> 00:02:12.370]  We're good to go.
[00:02:31.670 --> 00:02:32.931]  Threats of world war.
[00:02:33.371 --> 00:02:38.953]  But behind the scene, it's more about control and backdoor dealings between world governments.
[00:02:39.613 --> 00:02:46.376]  The open border, drug trafficking, human trafficking is covered up and controlled by our own government.
[00:02:46.957 --> 00:02:47.937]  It's deeper than that.
[00:02:49.137 --> 00:02:53.299]  There is a reason why most of these corruption networks never get shut down.
[00:02:54.020 --> 00:02:57.081]  These anti-humanists control mostly everything.
[00:02:59.266 --> 00:03:04.729]  You'd be shocked to know what the people in most power positions really think of the general public.
[00:03:05.830 --> 00:03:11.933]  The elite's corruption network operates like prison gangs or like a mafia, but on a larger scale.
[00:03:12.593 --> 00:03:13.274]  Blackmail.
[00:03:13.794 --> 00:03:14.514]  Controllers.
[00:03:15.035 --> 00:03:15.575]  Handlers.
[00:03:16.235 --> 00:03:17.036]  Money laundering.
[00:03:17.816 --> 00:03:21.998]  If you want to stay rich and powerful, you'll have to do their dirty work.
[00:03:22.539 --> 00:03:24.340]  They have their hands in everything.
[00:03:25.385 --> 00:03:28.266]  A lot of these players simply love the spotlight.
[00:03:29.006 --> 00:03:34.028]  Most of the celebrities, politicians, CEOs love the fame and fortune.
[00:03:34.749 --> 00:03:38.170]  But the ones at the top of these groups are completely evil.
[00:03:39.070 --> 00:03:45.993]  Many become unwillingly controlled by signing on into the club without knowing what they are actually involved with behind the scenes.
[00:03:46.833 --> 00:03:50.675]  Most of humanity is asleep and distracted by meaninglessness.
[00:03:52.165 --> 00:03:57.412]  The elite are warning us of a cyber attack, also known as a digital 9-11 event.
[00:03:57.993 --> 00:04:01.358]  The economy would collapse if we suffered an internet shutdown.
[00:04:03.513 --> 00:04:07.354]  The modern power grid relies on the internet to coordinate power plants.
[00:04:08.054 --> 00:04:16.377]  Without it, each country's national grid will become unbalanced, and local outages escalate into a blackout for most of the world.
[00:04:17.077 --> 00:04:23.379]  A society slipping into chaos will allow the elite to reset and rebuild a world for themselves.
[00:04:24.099 --> 00:04:26.860]  There will be events leading up to a total collapse.
[00:04:27.340 --> 00:04:31.662]  Domestic terror attacks, biological attacks, world wars.
[00:04:32.342 --> 00:04:35.443]  With each event, more and more control is gained.
[00:04:36.323 --> 00:04:37.523]  Time is running out.
[00:04:38.383 --> 00:04:43.544]  If society suffers from any of these trigger events, there might be no turning back.
[00:04:44.104 --> 00:04:45.924]  Humanity is at the crossroads.
[00:04:46.905 --> 00:04:48.385]  This is happening right now.
